,Hotel_Name,Negative_Review,Positive_Review
151206,Royal Hotel Champs Elys es, Room to small The bathroom was not spacious enough The design of the room was not appropriate They did not provide coffee and tea even cattel Was so poor, The location
151207,Royal Hotel Champs Elys es, The shower didn t really work the hallways were slightly claustrophobic the area around the hotel was kind of shady but a lot of Paris is, The hotel was old and quaint a great place to rest your head in Paris Close to the metro and Arc de Triumph Would stay here again for sure
151208,Royal Hotel Champs Elys es, TV didn t work the first two nights Was very sporadic , Location location location Better than expected room size 605 Bathroom facilities were more spacious and with better amenities than expected 
151209,Royal Hotel Champs Elys es, Metro movement below the hotel Internet was getting interruptions too much The coach bed was not comfortable Its price is higher than what should be comparing it to near by hotels ex Napoleon Hotel , The place and near by public transportations 
151210,Royal Hotel Champs Elys es, I think it s a European thing but the bacon at breakfast was pretty close to raw and the scrambled eggs were runny Overall the 20 I paid for breakfast got me all the coffee I could drink some cut up apples and lots of bread I think it s overpriced They should offer free coffee at least , The hotel is about 2 blocks from the Arc de Triomphe Champs lysees tons of shopping metro and some great restaurants They had spare umbrellas for guests to use which came in handy when it started pouring rain 
151211,Royal Hotel Champs Elys es, Too dark room not so big But the staff is really nice Good location too , Rooms are a bit dark You can find similar rooms for half the price Nothing too special definitely not a 4 star Hotel more like a 3 
151212,Royal Hotel Champs Elys es, TV and wifi did not work and took a day to get fixed Wifi very very poor and slowwhen working Old towels and very flimsy couch bed for the children, Location was good
151213,Royal Hotel Champs Elys es, no comments we like everything, our stay at Royal Champs Elysees was the best choice at our journey the staff was magnificent they tried to go out of their way to please you it really made a difference in our stay at this hotel staff of the restaurant was magnificent we really enjoy our short stay there 
151214,Royal Hotel Champs Elys es, We order a family room with 2 room But The second room is not appropriate The bed is ugly very uncomfortable to sleep with it , Location in the city center of Paris easy to travel to the whole city
151215,Royal Hotel Champs Elys es, Would be nice if they advertise photo rooms from this hotel , Hotel okay no tea coffee facilities Room completely different then photos on they website they don t even look close they very poorly decorated old furniture and very small room 
151216,Royal Hotel Champs Elys es, The classic room is a very small room bed is queen size and also very small furniture of the room is cheap Wi Fi barely worked Tv had so many problems , Location of the hotel is excellent actually 2 min to the Champs 
151217,Royal Hotel Champs Elys es, I just arrived at 12 30 but I could nt check in and they said it should be at 3 O clock exactly There was nothing superb but normal, Very good location nearby Champs Elysee and Arc de triomphe
151218,Royal Hotel Champs Elys es, The hotel is dirty and furniture garbage old fashioned The service is not good at all The reception is very badly treated The prices are very expensive room, no thing
151219,Royal Hotel Champs Elys es, The staff at breakfast were not as helpful as they could be We came down to breakfast at 8 30 it finished at 10 30 and everything was on on offer but as it got busy food ran out and you had to ask for food to be restocked replenished bacon croissants orange juice pancakes etc Which was done eventually but Only what you asked for which meant lots of empty plates therefore less choice for later guests , Very large room we stayed in the family room Big masiive and very comfortable 
