,Hotel_Name,Negative_Review,Positive_Review
134477,Royal Saint Michel, Lift is too small only for 2 people get in no room for luggage Because it is so small it is good for lovers , Room size is good with little balcony Bed is comfortable Have good sleep Open buffet breakfast with croissants and orange juice is fantastic
134478,Royal Saint Michel, It s our second stay at this hotel and we booked again because we liked the first time but we noted this time the facilities we re in need of maintenance broken closet doors in the room However price just went up in two years, Location was amazing
134479,Royal Saint Michel, Paris was unreasonably hot for the couple of days I was in town over 90 degrees Each room had a thermostat but the unit couldn t keep up with the heat , The location was fantastic just minutes to Notre Dame with lots of cafes and shops surrounding the hotel Shakespeare and company was down the street and I could see the Seine from my room Taxi s we readily available and the metro station was less than a block away but walking was the easiest way to get around I d stay here again in a heartbeat All the staff was extremely helpful and friendly 
134480,Royal Saint Michel, remember that The hotel building is quite old fashion one so if you are looking for a luxury and modern hotel this is not a good chose No proper big lobby Elevator is basically for ONE person so not that easy to take your luggage up to your room old furniture broken kettle at room, Location friendly staff
134481,Royal Saint Michel, The hotel was great the only thing we had a problem with when booking with booking com we thought breakfast was included however when we got to the hotel they said it was not ,No Positive
134482,Royal Saint Michel, Our room was the smallest on the 3rd floor in the awkward corner of the building I looked at the exit map behind the door Tiny cupboard space that was useless and not enough room on the floor to open your luggage Lucky the bed was comfortable , I loved the location 2 train stops from the main central station if arriving by train If you re a walker then you can stroll to Notre Dame Lourve and the Eiffel Tower easily Cosy little hotel with a tiny 2 person lift like all old buildings in Europe I was there at the end of June and area was alive but not boisterous safe but just tiny bit aware There is a tourist area just behind the hotel resturants cafes and souvenir shops all vying for your coin I had a bad dinner on the first night restuarant was empty and I felt sorry for the guy but had wonderful coffee and pastry on the 2nd morning 
134483,Royal Saint Michel, Didn t feel like a 4 star hotel Asked for 2 umbrellas during very heavy downpour and only given 1 Room was not ready so left our luggages to the reception while we grabbed a bite Returned to find our luggages were just left unattended unkept at the lobby lounge and there were other guests there The 2 guys at reception was quite cold but the lady was welcoming Room aircond not cold despite rainy weather Imagine if it was hot sunny day One of the smallest elevator I have encountered , Good location
134484,Royal Saint Michel, Better a c in some of the rooms Extremely small elevator but it worked to get luggage down one at a time , Our room air conditioner was very good Some that traveled with us did not have decent a c Room is comfortable but small but you re going to get that everywhere in Paris The location is OUTSTANDING very close to Notre Dame and Pont Neuf Staff was very responsive up until the last day where we had some issues no ice and they didn t book a taxi for us the night before our departure 
134485,Royal Saint Michel, WiFi didn t work for 2 3 day stay They finally rebooted the modem it worked but was slow , Location staff were amazing Breakfast was well worth the money
134486,Royal Saint Michel, the lift, really small lift dangerously placed near stairs very nice lady who carried the luggage over the saturday this past weekend the male receptionist was extremely impatient and impolite with some asian guests during the sunday 2nd july a different male receptionist was polite and kind to all guests while i waited in the waiting as it was storming with rain outside complementary coffee helped 
134487,Royal Saint Michel, Room and lift a bit small but it s Paris and that s what you get , The location was excellent walking distance to many attractions and restaurants and the Metro and RER very close Staff were helpful and friendly 
134488,Royal Saint Michel, I haven t yet figured out how to use European showers without flooding the floor If there is a trick I would like to know , The room was fine for one person would have been too small for two people The staff were great the breakfast was fine and the location was perfect for me in my favorite area of Paris 
134489,Royal Saint Michel, Could be noisy on Main Street didn t worry us but could worry others, Fantastic bedding very comfortable loved the free nesoresso Coffee in foyer 
134490,Royal Saint Michel, If the front desk staff had been friendlier it might have left a better impression Overall the hotel is a 1 2 star Although acceptably polite there is a resistance of the front desk staff to make you feel welcome or help navigate perhaps because nobody speaks very good English Tiny lobby small rooms elevator only large enough for your suitcase dirty and worn carpet up the stairs and not the value I expected from previous reviews , Location a block from the Seine and 2 blocks from Notre Dame If you like the Latin Quarter the location is great Breakfast was good 
134491,Royal Saint Michel, There might have been a little more TV channels in English we only had BBC World News , The bed It was really huge and comfortable We had the corner room overlooking Saint Michel Boulevard I could just stare at the street all day long It had the perfect location Also the staff was helpful and the room was always very clean 
134492,Royal Saint Michel,No Negative, The location On the line from the airport also easy to find Make sure you go to the exit for place de michel when leaving the metro The staff was friendly as well And the breakfast amazing 
134493,Royal Saint Michel, The reception staff were brusque and impolite as were the breakfast staff exception of one individual I met Initially I gave the benefit of the doubt I will not return ,No Positive
134494,Royal Saint Michel, Breakfast was OK but the staff did not know how to cook the eggs longer eggs were bad undercooked rest was ok Oh and the worlds smallest elevator , Excellent location for safety and for getting around 1 4 block to trains and subway walking to Norte Dame and quaint bistros everywhere We highly recommend this hotel if you are visiting Paris
