,Hotel_Name,Negative_Review,Positive_Review
394702,Sall s Hotel Pere IV, Breakfast too expensive compared with the local shops bakeries WiFi in the room was poor we had to move to find a good signal The drainer of the bathtub shower was not good resulting in a lot of water when the water flow was high Only a few TV channels in English mostly news , Great location Staff was always prompt to help Room size was good
394703,Sall s Hotel Pere IV, Cannot fault the hotel on any aspects of our stay , I must state that this Hotel was amazing from the professional staff on Reception Nicola was so helpful and informative The room was wonderful and we paid extra for the balcony The breakfast was very nice and lots of choice selection The staff in the morning during breakfast were very efficient and friendly and genuinely made a conscientious effort to engage with guests Dequinne was especially helpful and always made us feel welcome every day 
394704,Sall s Hotel Pere IV, The fitness center was small and poorly maintained I booked spa access but was not clear at time of booking it was just for a free 1 hour booking Was wanting to use it daily which was the reason I booked it , Very large comfy bed and amazing shower 
394705,Sall s Hotel Pere IV, Location was nt animated area away from restaurants the beach and the Olympic port but many transport options car metro even suburban, Room and comfortable bed good and varied breakfast The staff was friendly and professional Many facilities such as we had the possibility to leave the luggage at the hotel for 5 days when we returned after visiting Salou and returned to go home to Romania Many possibilities for transport not far from hotel auto and subway
394706,Sall s Hotel Pere IV, As a deluxe Double room with balcony the room was so small that we could not have our 2x suitcases open as there was no where to put them The pool is indoors in the Spa area really hot and uncomfortable when its hot outside We arrive on Saturday and Sunday everything was closed nearby There was bar eatery that was close but too close to smelly drains Would have prefered to stay nearer to the beach and the hop on hop off bus route 20min walk from hotel or we should ve stayed closer to town ,No Positive
394707,Sall s Hotel Pere IV, Mistake for withdraw money from my credit card after checking out without notified me they returned after i follow up and call them, Its great location to visit any activity but u should walk little bit
394708,Sall s Hotel Pere IV, I have reserved a room with a double bed but actually it s two single bed it s not very confortable , The restaurant is great they have really good things 
394709,Sall s Hotel Pere IV, The mattress is not very comfortable and it s a shame there is no outside terrace to sit Area around the hotel is not very attractive , Quiet room with nice dark curtains lunch menu for 16 50 including wine and coffee is not expensive 
394710,Sall s Hotel Pere IV, Spa voucher was confusing we thought we were entitled to an hour treatment as it specifies free access to the facilities on bookings com We ended up paying 60 euros for a sub standard message the shower was not clean loud music near by at Razamataz, sauna and steam room was good Room was a good size 
394711,Sall s Hotel Pere IV, The location though relatively close to the beacht 15 min walk is in an industrial area no much attractions close by Access to SPA i e the little pool and Sauna is limited to only once 1 hour This was very misleading to us since we expected an unlimited access as with other hotels we had to beg for extra vouchers to get to the pool shampoo and coffee sachets were not periodically replaced everyday we had to call and remind them twice during our stay WiFi reception in the room was very poor had to move to the corridors and lobby in order to get connected, Well maintained and decorated friendly and very helpful staff 
394712,Sall s Hotel Pere IV, Location isn t the most central but there is a taxi rank on the corner of the hotel and most places are no more than 10 A c in the rooms is poor so ask for an additional key card to leave the a c running all day that seems to solve the problem, Great hotel recently refurbished and fantastic staff
394713,Sall s Hotel Pere IV, Maybe spa access be good to have more than an hour pass, The room was incredible and the bed was so soacious A massive perk was the breakfast availability everything was so fresh 
394714,Sall s Hotel Pere IV, It seems like only half of the hotel is renovated The base rooms are quite old but huge The newer rooms looked because I asked were very nice but smaller , Staff was very attentive and did speak decent good English Location is good with some good cafes nearby and the beach within a 15 min walk 
394715,Sall s Hotel Pere IV, The air conditioning was a bit loud in the room To enter the spa you need to have a cap they sell one for 3 Eur and flip flops they sell one for 5 Eur Without these items you cannot enter The hotel is in ab it of a dead area , The hotel is nice room bathroom bed was all excellent The Spa in the hotel was also nice 
394716,Sall s Hotel Pere IV, The location was a little outside of the centre however very close to a metro station so it didnt bother us as was quiet nice to get outside of the centre , The hotel was beautiful it was exactly as described very clean and spacious The staff were so friendly and could do anything they wanted to help you out It was my boyfriends birthday and as a suprise they put a bottle of champagne in our room Such a lovely gesture 
394717,Sall s Hotel Pere IV, Location The hotel is located in a no life neighborhood 2 km by the Olympic port, Everything 10 A wonderful hotel as well as the staff Barcelona is a stunning unique city Transportation to the city auto subway or train is extremely efficient and comfortable
394718,Sall s Hotel Pere IV, Only small problem was we booked a transfer from the airport to the hotel and they had booked it the wrong way round we didn t know this and had to call the hotel who said to just get one from the airport it was the same price but not the best especially as it was late at night , Great hotel 15 mins stroll to the beach Clean and comfortable with friendly staff Close to cafes and the supermarket Would definitely stay here again 
394719,Sall s Hotel Pere IV,No Negative, Gorgeous room big shower huge bed We had a lovely view of the sangrada familia 10 minute walk to the beach local shops around Never short of getting a taxi staff were helpful hotel room very very clean would defiantly recommend and stay here again 
394720,Sall s Hotel Pere IV, The staff were unhelpful and inefficient We were staying for my friends pre wedding celebrations and every evening when we asked the staff to order taxi s for us they refused to even pick up the phone and inquire The taxi bay outside the hotel was vacant every evening and we were forced to run 20 minutes to the marina because we thought the hotel would help us to book the taxi s for our group but they point blank refused and so we almost missed our boat party If you don t mind very poor customer service then spend your hard earned cash on your stay here it is an expensive hotel and the only thing good about it are the cleaning staff and modern rooms The gym facilities are poor treadmill was inoperative and only open 10am until 9pm the spa does not allow you to wash with soap because of poor drainage however they do allow you to use the facilities if you have a late flight and want to freshen up Also the hotel has a safe stowage area to keep your bags after you check out Please bare in mind if your room is near the emergency exit as mine was you will be woken up every morning with a very loud jarring sound of what sounds like a service lift occupying a group of maintenance workers , The property was clean and the rooms were modern and comfortable 
