,Hotel_Name,Negative_Review,Positive_Review
341799,Senator Hotel Vienna, A c not working I couldn t sleep for two nights Didn t repair despite my requests At check out I was told that they know they have a c problems on the 6 th floor They didn t care to provide a room change , Nice nearby
341800,Senator Hotel Vienna, Rooms are too hot we been traveling in the car for 12 hours so we were looking forward to come to hotel and have a good rest but we actually got more tired and exhausted so we felt like it was waist of money I did say that hotel has air con but rooms where so hot that we couldn t sleep all night Very very disappointed specially when it s rated 4 star as well ,No Positive
341801,Senator Hotel Vienna, Firstly we specifically mentioned in our reservation that we would be arriving early between 7 9 AM as we were taking an overnight train from Prague to Vienna When we arrived they told us rather rudely that they had no place for us until 3 in the afternoon I showed them the email correspondence I d had prior to arriving and still the dismissed me By time I came back I had been awake more than 30 hours without sleep DESPITE being promised a room considering our circumstances before coming The room was clean but the pillows had zero stuffing in them and the beds are hard The air conditioning may as well not be there as it s so weak and the wifi didn t reach our room on the third floor Overall I wouldn t recommend Senator Hotel Vienna you can absolutely find better accommodation even closer to the city centre than this miserable place , It s close to the tram line into the city centre 
341802,Senator Hotel Vienna, Air conditioning didn t work We tried two different rooms At full blast the room was 77 F 25 c and very humid We chose this hotel only because they promised air conditioning so we were very disappointed Open wifi worked fine but could be a problem easier for hackers Hotel has lots of tour bus guests not a problem for us but lobby and elevators are congested in early morning and afternoon Nice stairs though , We got the room at a huge discount that made it affordable Because they had run out of rooms with two beds they gave us a corner room with three beds and large windows It s an American style hotel with large rooms an elevator clean and comfortable Easy access to center metro train stations with Tram 43 less than a block away Close to several supermarkets and a laundromat Excellent cheap restaurant just across from the tram stop lots more within a few blocks Neighborhood felt safe and clean 
341803,Senator Hotel Vienna, The breakfast it s really expensive and there are only a few options to choose from Internet it s really slow so you better relay on mobile data The window was really dirty on the outside probably never cleaned , This hotel is relative close to city center and Schonbrunn about 20 minutes with a bike We arrived by card and we parked the card in the street nearby it was not hard to find a spot and after that we travel with Vienna city bike and there was a bike station on the other side of the street 2 minutes walk There is Lidl supermarket on ground floor 
341804,Senator Hotel Vienna, AC is centralised and not really worked well It was noisy and when we set it to 5 celsius started to cool down the air so finally it did their job Smoking area is only front of the hotel on the street no garden or balkony Parking is a little bit tricky At the weekend it is allowed to parking in this area for free and for evenings as well but daytime you have to pay therefore better if you get the private parking option in the hotel however it is not possible to reserve it and till 12 00 am you have to leave the garage , Location is fine with tram 43 you can reach easily Schottentor appr 5 stops 12 minutes and basically there is the Freyung area and the Rathaus From there with tram D or 1 all of the sightseeing points are reachable within the city but also not far if you like to walk At weekend nights after midnight Metro can be used and walk 3 4 tram stops or take the nightbus for a short ride Only few steps away bakery just next door a Lidl supermarket and in 5 mins distance a small Shopping Center can be found with more shops and small buffet restaurants and there is a Burger King as well Staff is superb Special thanks to Goran and Ana from the reception I had issue with the parking so the staffed solved it and helped me parking in the garage No matter what is your request they solve it Not only the reception but the cleaning staff was super friendly too We were really satisfied Bed was really comfy the room was quite and cleaned every day 2 elevator big not scary perfect 
341805,Senator Hotel Vienna, I didn t face any issues that would write here Overall it was a pleasent stay , The staff is very helpfull The hotel is relatively new rooms are wide and clean Bathroom is comfortable All rooms are equipped with AC safebox and hair dryer I stayed 4 nights and were able to find free spot car parking on inner roads in neighbourhood 1 3min walk Breakfast is 14 50EUR and not bad However there is a turkish restaurant in 3mins walkin distance that has open buffet breakfast every day from 08 00 12 00 for 7 90EUR No reason to overpay at the hotel Although hotel s district is not touristic and not very close to city center it is easy to reach by tram in 15 20mins 
341806,Senator Hotel Vienna, Wi Fi , The room was clean and modern poor Wi Fi though good aircon Very nice stuff OK location 43 next to the hotel tram takes you to the city center Closest subway is Alser station Lidl supermarket just in a few steps Good experience after all 
341807,Senator Hotel Vienna, One room was OK the other one not so I have never seen so dirty window used chair towel holder falling down Squealing bed Breakfast is OK food not so tasty eggs are not really eggs ham is not really ham , Location is perfect Tram stop in front of the hotel direct line to the center 10 min Free parking in streets around the hotel from friday afternoon till monday morning Good value for the money 
341808,Senator Hotel Vienna, The staff was not friendly i did not even see a smile except in my check out there was a new guy who was actually welcoming and friendly I woke up with bugs bites in the second night I do not know if it was from their bedsheet but most probably yes Not even breakfast included for that price and it is 4 stars hotel , The air conditioning only 
341809,Senator Hotel Vienna, The pillows are terrible like not having one The airconditioner was a little bit noisy , The hotel is in a good location with the tram to the city centre just outside It is a 10 minute tram ride The rooms are just what you need as you don t spend time in them except for sleeping and they are quiet Having a kettle in the room would have been a plus but not to be You can buy breakfast at the hotel but there are eating places nearby We chose the latter option and had breakfast at the bakery across the road There is also a small bar in the foyer for drinks after a busy day of sightseeing Staff were very helpful with directions where to buy transport pass etc There were tour buses using this hotel but you didn t notice the extra people only when the busload arrived for check in Would recommend 
341810,Senator Hotel Vienna, The rooms are very basic and felt it was not a 4 star hotel Towels had holes in them windows filthy and all my requests for the room were ignored I wouldn t stay here again nor would I recommend it to anyone, Thought the cleanliness of the hotel was very good and location further than we thought but it was very easy to use the public transport to get to where we wanted to be
341811,Senator Hotel Vienna, I think it s more of a 3 star than 4 star hotel if you are really looking for a 4 star service Parking space is limited and expensive Fortunately you can park in the street 300m from hotel , Clean and comfortable Overall we are satisfied 
341812,Senator Hotel Vienna,No Negative, Satisfied our expectations in Vienna Really like the superstore right next door very convenient Tramway is also very convenient right out the door 
341813,Senator Hotel Vienna, Breakfast wasn t great Coffee was bitter from standing too long in thermos , Location is good value for money is ok Take a garden side room Quieter if u want to open the windows
341814,Senator Hotel Vienna, 1 No kettle in the room for making tea in the morning 2 Toilet pan not cleaned every day, 1 convenient to tram 2 clean towels every day 3 large showwer and toilet
341815,Senator Hotel Vienna, Only issue was that wifi was spotty in my room I would often get disconnected In the lobby it worked great though, The hotel is great I would definitely stay here again 
341816,Senator Hotel Vienna, Parking was a little too costly and too tight There is not public parking therefore forced to pay the charges , location was good easy to get to city centre 
