,Hotel_Name,Negative_Review,Positive_Review
99327,Seven Hotel, The paint work on skirting boards was peeling off a little and room was a little on the small side other than that it was great , Rooms were very stylish bed was so comfortable and the shower was incredible I d go again just to have a shower Breakfast had a good variety in a lovely boutique room and staff were very helpful and nice 
99328,Seven Hotel, The bathroom was with a see through glass So If you are not staying with a boyfriend girlfriend is just too embarrassing I had to ask my friend to go out while taking shower , Interior 
99329,Seven Hotel, Breakfast was not worth 21 Euros room downstairs low choice bad coffee stuff showed up after 20 minutes Rude and unfriendly manager She did not take my problems with the room serious Really not what you expect from a 4 star hotel , Nice star decoration in the room that was the only positive thing 
99330,Seven Hotel,No Negative, It s interior decoration particularly the rooms is quirky and visually interesting and this appealed to me Whilst the room was smaller than it appeared in photos it was well equipped and very comfortable 
99331,Seven Hotel, No complaints, Super comfy bed Small room nut you could slide luggage under bed Eould definitely stay here again Definitely get a navigo public trans pass if you stay here You can ride bus tram metro all over the city from this hotel Great neighborhood shopping area close by 
99332,Seven Hotel, The lighting is a bit odd wish the room had the option of better lighting , Staff were extremeley helpful and nice Hotel is clean and room although a bit strange was very comfortable 
99333,Seven Hotel, It was noisy inside the room at night I could hear water running through pipes all the time The design makes it look a bit less clean that what it may be there is no enough lighting in the room I understand it s part of the design but you should have the option to have full light whenever needed , Location is not bad price is good staff are helpful 
99334,Seven Hotel, I can only recommend roof over smoking area was nice but wet , Fashion room helpful staff nice breakfast room service nice meals location near to metro and RER stations airport 30 min to Eiffel tower from hotel with metro 
99335,Seven Hotel, We was on honeymoon and would of loved a free room upgrade even if for just one night and we asked a few times the hotel was mostly empty and there was no one in 5 of the suites anyway nor was there anyone due in them because I asked a few times It would of made our honeymoon even better , The bed was by far THE comfiest ever we slept so good The room was just amazing levitating bed was fab Would have looked to have tried a suite When we arrived Amar was fantastic so lovely and welcoming He showed us around the hotel gave us a glass of bubbly as we had just a got married super 
99336,Seven Hotel,No Negative, The concept is excellent That extra touch to make your Paris stay just perfect Remember that the hotel has a lot of different room styles so they hotel has a policy that you can switch room during your stay to make it a even better experience 
99337,Seven Hotel, Asked for more hangers for wardrobe but didn t get any Would have liked more coffee pods for machine TV signal was very poor , Polite helpful staff
