,Hotel_Name,Negative_Review,Positive_Review
410514,Sheraton Grand London Park Lane, Was told by the check in staff whether we would like an upgrade for 60 which we could have free afternoon tea and free drinks at the bar when leaving were charged for everything embarrassing trying to argue our case at reception we had afternoon tea and one drink at the bar before going to dinner not the behaviour you would expect from a Hotel of this standard , Nice hotel very comfortable
410515,Sheraton Grand London Park Lane, Arrived back at the hotel after an evening out at 11pm to find no food was available other than room service which we ordered for 5 people Unfortunately it took 1 75 hours for it to arrive and was cold and not edible very disappointing The staff were very understanding the next day and apologised, The rooms were beautifully decorated beds really comfortable fabulous bathroom Superb polite staff throughout the whole of the hotel Excellent location for events in Hyde Park 
410516,Sheraton Grand London Park Lane, Ordered some more milk for a cup of tea never arrived asked to stay another night and was told fully booked then I asked for reservations a few weeks away got put through to another reservation area asked the same question and yes we have another night booked all to do with who we booked through previously , The staff were lovely and the decor is beautiful
410517,Sheraton Grand London Park Lane, Can have more fish and salads items on menu but like what s there , Gym staff everyone helpful More French wines at bar All in all my stay was great and I plan to be back after a visit to Essex Thank you to all the staff 
410518,Sheraton Grand London Park Lane, The room allocated had no view at all but a view on the staircase of the next building Some individuals at the front desk staff not helpful at all rather arrogant no replenishment of in room amenities breakfast price outrageous , The Concierge Service was TOP they were on hand for their guests they are the heart of the hotel A few individuals at the Front desk were very friendly Location of the hotel is great overall feeling of the property fabulous 
410519,Sheraton Grand London Park Lane, Breakfast staff were not helpful and rude Some were difficult to understand because of their non English background , The bed was large and very comfortable
410520,Sheraton Grand London Park Lane, Perhaps the entrance to the hotel did not reflect it s status When we arrived we had to walk through the afternoon tea area and were a little bewildered as to where the reception was However a member of staff immediately stepped in and helped us with our luggage and showed us the correct reception desk , From the moment we arrived we were treated most politely and helpfully The room was very comfortable especially the bed superb 
410521,Sheraton Grand London Park Lane,No Negative, The property is fine but the staff is very unhelpful and way from being service oriented Very an placenta experience with the staff the Recprion specially
410522,Sheraton Grand London Park Lane, The hotel does not meet all 5 star criterias The windows are all very old and has to be changed The bathroom window must be 30 years old and did not close But this is in no way to say the hotel is bad It just has few things to be adjusted and we did enjoy our stay , In general it s nice
410523,Sheraton Grand London Park Lane, No housekeeping when we arrived back at room 4 30 in the afternoon to change for dinner Breakfast and staff are poor Wait to be seated empty hot trays and no offer of a coffee refill One day would be bad but we had breakfast prepaid for three days eat elsewhere , Pub staff were great and the location is central for shops restaurants and easy to get to shows 
410524,Sheraton Grand London Park Lane, Difficult to remember however I would say that lifts are a bit slow , Hotel has just been rennovated Perfect location I got luck to get a free room upgrade at arrival Wi fi is fast and works everywhere on the territory of the hotel Excellent breakfast 
410525,Sheraton Grand London Park Lane, There club lounge food variety was not good at al Far behind all the other hotels in the park pane piccadilly strip They should work on improving that for sure , Overall really good hotel and location 
410526,Sheraton Grand London Park Lane,No Negative, We were given an upgraded room a later check out because it was a special occasion we were brought a bottle of prosseco and cake An AMAZING experience cant recommend highly enough
410527,Sheraton Grand London Park Lane, The lift had a mind of its own and every time took me on a floor by floor tour which was quite annoying, Room was lovely and Decor was great throughout 
