,Hotel_Name,Negative_Review,Positive_Review
399732,Sixtytwo Hotel, nothing to mention, everything was perfect as we expected they offer us deluxe double room for our standard room reservation we were upgraded to better room that was very friendly and unexpected breakfast was very good and we had coffee through out the day free of charge
399733,Sixtytwo Hotel,No Negative, The location was perfect for a short break literally on door step to train to airport and walking distance to most things The staff were fantastic and really helpful nice to have mid afternoon drinks and pastries available too Great city to visit on short stay 
399734,Sixtytwo Hotel, My only regret at staying at the Hotel Sixty Two is the fact that I couldn t stay longer And by longer I mean for life If I could move in to this hotel on a permanent basis I would do so , I booked a standard double room the same day as check in and was upgraded to heaven and beyond upon arrival at the hotel The kind and professional staff gave me the Deluxe Suite with a roof terrace jacuzzi view of Paseig de Gracia and the Casa Batll This is the best room in our hotel sir 
399735,Sixtytwo Hotel, Everything was wonderful , Very friendly reception Excellant breakfast Modern updated rooms Perfect location for Gaudi s Casas and Sagrada Familia 
399736,Sixtytwo Hotel, Nothing the place was awesome , Excellent first impression for Barcelona My husband and I shared a room with my dad and it was comfortable for three people We had a welcome champagne in our room location was perfect five minutes from metro and the room was modern Free coffee tea and biscuits during the day and a free happy hour at 6pm Great location extremely friendly and bilingual staff We didn t eat breakfast in the hotel as we wanted to experience different places We had issues with the wifi in the room and they immediately provided us with a hotspot to use during our visit for free This was awesome since we didn t have a sim card and could use wifi all through the city We stored our luggage after check out and they let us continue using the hotspot until we had to leave for the airport We would totally stay here again Great service 
399737,Sixtytwo Hotel, No real problems at all Only bump was that I hit my leg couple times to bed frame which is much larger than mattress and dark in color , Room was extremely nice with many practical features Really loved it Best room light system I ve ever seen in hotel room Staff was extremely nice and always doing their best to help Prompt service as well Location of hotel is central to say 
399738,Sixtytwo Hotel, Our whole suite had one lighting system so whenever i used the bathroom shower toilet during the night or in the early morning hours the whole room had to be illuminated There isn t a separate bathroom light Husband was NOT a happy camper In room snacks and drinks weren t refilled after we ate drank them Would ve liked to enjoy them again Blackout roller shades needed some attention They were quite squeaky when rolling up or down which takes some time , Staff was eager to help when possible Taxi stand right outside Upgraded us to a suite Shower was heavenly Great coffee shops and eateries just steps away 
399739,Sixtytwo Hotel,No Negative, Fantastic experience staff very helpful and recommended some great restaurants The room was modern and spacious and overlooking the Beautiful tree lined boulevard Breakfast was fabulous Hotel is central and close to great restaurants and shops We will definitely be returning
399740,Sixtytwo Hotel,No Negative, Super friendly staff Everyone is very helpful and always wears a smile Love the welcome drinks free apples at the entrance and free coffee and cookies in a comfortable public area Great breakfast with good quality Besides the buffet there is a good spread of eggs that you could order from the kitchen including Spanish omelette scramble eggs boiled eggs American omelette egg white option and even soup noodle 
399741,Sixtytwo Hotel, No complaints, SixtyTwo was set in a super convenient location The staff were excellent and courteous and the room with free coffee and nibbles was a nice touch Our rooms were a little small but very comfortable bed and linen was especially comfy His places oozes class and the 4 stars is definitely warranted in this case 
