,Hotel_Name,Negative_Review,Positive_Review
137888,South Place Hotel, No negative comments , Staff were friendly and helpful yet discreet Coffee was great Food and drinks also well prepared and well presented VERY convenient location 
137889,South Place Hotel, Ummmmmm Mini bar prices were too high for us which is a shame as we would have been tempted with a g t and snacks on a couple of occasions , Good quality hotel the room was very good all fixtures and fittings top notch everything worked I travel the world on business a fair bit as well as holidays this is one of the quietest and most comfortable rooms I have stayed in the last 40years excellent 
137890,South Place Hotel, No complaints whatsoever , Very comfortable and spacious rooms and the bathroom had a great powerful shower The location is ideal if you re working anywhere near Liverpool Street Moorgate The overall feel of the hotel is more boutique but you have the service levels and facilities of a larger hotel There is also a great restaurant and rooftop bar The staff were very helpful and I found their room service and same day laundry service very useful There is also the option to have a hairdresser come to the hotel if you have a special occasion although I would recommend booking this in advance of your trip if possible Free newspapers were also supplied on request including the FT I will definitely be staying at this hotel again next time I am in London for me it is the perfect sized hotel with all the home away from home comforts that you need 
137891,South Place Hotel, The blind in our room didn t work so we were woken at about 4 30am when the sun started rising, Location was good bed was comfy bottled water provided Liked the huge shower
137892,South Place Hotel, Room service terrible Food tastes like plastic Check in not friendly Lots of noise brunch parties soundproof yes but If you are a regular person trying to rest not even think about it I told them I NEEDED a silent room etc I guess silence and Peace are not they specialty the contrarie noise and other business We were given a false flag fire alarm it DID NOT happen they choosed our room to do it why Three or four guys invaded our room kicking and knocking our door police harassment alike they threatned us I will call the police Asked me to return a complimentary wine was already pre set I MYSELF RETURNED DUE THE TERRIBLY EMBARASSING SURREAL SITUATION IN A SO CALLED 5 HOTEL COULD BE 1 respect has no stars I will call the police someone said the so called manager a guy with kind of blond short cut hair not much taller than myself we had a train to catch next morning a LOT of LUGGAGE was SURREAL WE should call the police but I just wanted to leave that place totally in panic by their approach and DARE the they Finsbury Park occured guess the police had more to do They made up a false fire alarm in our room which they check DID NOT EXIST AT ALL I was in my underwear and they came in even tough just ours we coincidently had a reservation to the end of our trip but also interestantly I was called earlier and politely ansewered that we changed our plans and that s all that is how they treat you if you doesn t like the place even though I did not mentioned it they threw us to the streets with 7 pieces of luggage I was told TO LEAVE IMMEDIATELY lost the Money they charged EVERY SINGLE THING AND ALSO CHARGE AND EXTRA NIGHT I had to communicate my credit card management no problem but this kind of people took care of me as the reception desk and a so called manager said , In the Picture seems like a cosy place not the case Bathroom and shower are good King size bed
137893,South Place Hotel, No windows claustrophobic place even in superior rooms at least mine We were going to stay twice at this hotel I think they got upset because I did not like at all lack of windows in a not cheap category bad tretament and service terrible room service taste of plastic VERY Expensive awful foo seriously noise a lot of noise seems like a dance club soundproff rooms always they throw parties whatever they call and loud music in sunday lunch when we were there trying to rest pointing out I sent like three e mails in advice alerting for that matter silence sleep rest we were in the 4th floor I think they got upset because I cancelled my last reservation Got to me asking why I cancelled in here guess what They MADE UP a ridiculous story smoking alert in our room it was a total lie Nobody called asking what supposedly was happening three or for men including some sort of manager knocked our door like the police knocking the door of a criminal it was the most embarassing and terrifying situation in hotels all over the world been to Corsica 5 star hotel boutique Cyprus Turkey Greece Iceland like 15 countries in my life never similar I could imagine in a hotel in my worst nightmares I was in MY UNDERWEAR AND THEY INSISTED TO COME IN THE ROOM THEY CAME NOTHING THEY THREW US OUT OF THE HOTEL I payed for another night at apex where I use to stay when in London many many times they were shocked in seeing me crying and scared tried to help all ways I can really describe threat from another guy as we left the hotel immediately they literally threw us out I returned to a sort of manager who said was going to call the police to take us away what We were in panic leaving this PLACE NOBODY refund us initially a guy who were with the bunch intimidating kicking our door agreed in refunding that night , Bathroom Shower We were going to stay twice at this hotel 2 nights in a row and then 3 days in our last days in London Lack of windows in a not cheap category bad tretament and service terrible room service taste of plastic VERY expensive awful food seriously Noise A LOT OF noise caused by them seems like a dance club soundproff rooms always they throw parties whatever they call and loud music in sunday lunch when we were there trying to rest pointing out I sent like three e mails in advice alerting for that matter silence sleep rest we were in the 4th floor I think they got upset because I cancelled my last reservation end of my trip 27th to 30th Got to me directly asking why I cancelled in booking com guess what They MADE UP a ridiculous story smoke alert in our room it was a total lie Nobody called asking what supposedly was happening three or for men including some sort of manager knocked our door like the police knocking the door of a criminal they found anything returned was SURREALISTIC it was the most embarassing and terrifying situation in hotels all over the world in our entire lives normally in this type of situation we are given a call and all the floor is evacuated no only us been to Corsica 5 star hotel boutique Cyprus Turkey Greece Iceland like 15 countries in my life never similar I could imagine in a hotel in my worst nightmares I was in MY UNDERWEAR AND THEY INSISTED TO COME IN THE ROOM THEY CAME NOTHING THEY THREW US OUT OF THE HOTEL I payed for another night at apex where I use to stay when in London many many times they were shocked in seeing me crying and scared tried to help all ways I can really describe threat from another guy as we left the hotel immediately they literally threw us out I returned to a sort of manager who said was going to call the police to take us away what 
137894,South Place Hotel, No Iron and ironing board in the room, The beds were very comfortable and the window shutters to keep out the light was a bonus toiletries were good in the bathroom breakfast is waitress service so no queuing at the buffet in the morning breakfast choice was good and tasted excellent would definitely stay there again 
137895,South Place Hotel, We were not offered our complementary glass of elderflower fizz when we dined in the chop house restaurant felt it should have been offered instead of us having to ask , The staff were all very friendly room modern bed very comfortable and the breakfast was excellent 
137896,South Place Hotel, Location is not the best for tourism Weirdly the toilet was too high I am 5 5 and my toes just touch the ground the sliding door to the bathroom is very heavy and hard to open and close and although the sink tub shower hardware is beautiful it is difficult to use if hands are wet or have lotion on and lastly the tub is so big you cannot lay back and relax without sliding down under the water unless you are a good 6 tall , Loved the staff atmosphere and rooms were very well suited Lots of little extras and turndown service every night Great lounge and rooftop lounge Overall if it were not for the location I would definitely stay again Good value for the 
137897,South Place Hotel,No Negative, Staff was extremely nice and welcoming Great atmosphere in lounge area Beautiful restaurant wellness area and rooftop bar Rooms were very stylish and comfortable 
