,Hotel_Name,Negative_Review,Positive_Review
7616,Splendid Etoile, Restaurant and bar closed Sunday evening not informed in the website Water in the room first night only why do hotels charge a lot for the room then not leave water complimentary in the room We were told to walk to the shop at 10 pm for water , Excellent location
7617,Splendid Etoile, Wifi was very weak I was able to get it on my laptop computer but could not get connection on my iPad or iPhone , Staff was incredible everyone at front desk extremely helpful and friendly They could not do enough Each day I returned I felt like I had come home Based on research I asked for a high floor with partial view of Arc de Triumphe I got exactly what I asked for Room large especially for a city like Paris bright with a balcony that had the view to the Arc Amenities in room were everything you would hope for Large and well lit bath Metro a 2 minute walk bus to both airports just across the street 
7618,Splendid Etoile,No Negative, Our stay here was excellent from the location to the staff We got the room with a view and it was absolutely amazing you could see the arc so close the pictures don t do it justice This was our first time in Paris and we loved it Farouk went out of the way to help us and book stuff we wanted to do around the city if it wasn t for him the stay wouldn t have been the same he was as good as the view we had Would definitely recommend it 
7619,Splendid Etoile, nothing, We had an amazing stay The rooms are very cozy with an amazing view of The Arc de Triumph I felt like home my entire stay Staff was nice all the time Would definitely stay again at this amazing little hotel 
7620,Splendid Etoile,No Negative, The staff and location of this hotel were great The hotel is located very conveniently near the Arc de Triomphe and the entrance to the Metro underground It was very easy to access my office at La Defence all the resturants and shopping as well as all the tourist sites And it also had a great view from the balcony 
7621,Splendid Etoile,No Negative, The room with the view was just fantastic Very confortable cozy and clean Amazing balcony where you just wanna stay whole day Comfortable bed Very polite and helpful staff 
7622,Splendid Etoile, Nothing no faults at all , Brilliant location staff were very helpful and the view from the room was excellent Would definitely visit again and highly recommend 
7623,Splendid Etoile, Nothing, Very helpful I got engaged and they helped in every way they could had roses in the room and rose petals on the bed and they made the occasion perfect couldn t ask for more Perfect location and views 
7624,Splendid Etoile,No Negative, Rooms were a really nice size Excellent location Nicely decorated The hotel reception staff were so friendly and helpful Really appreciated this as it was our first time in Paris Would definitely stay here again 
7625,Splendid Etoile, The bed is supposed to be king size and actually it is very small and uncomfortable Too much nose because of contraction that they did not warned me about it which they should inform me once I booked The staff are very rude You asked them for a missing item in the room kleenex towel toothbrush etc they had an attitude , The location is excellent
7626,Splendid Etoile,No Negative, The hotel location was great The hotel room was excellent and I can say that it can be compared to 5 stars hotels The room was always clean with beautiful views 
7627,Splendid Etoile, The lifts are a bit small so big suitcases might be a problem , The view was absolutely amazing Very nice and cozy room Perfect location at the Arc de Triomphe and Champs Elysees right in front of the metro 
7628,Splendid Etoile,No Negative, Beautiful room friendly staff and an amazing view of the Arc de Triomphe Well placed for attractions in Paris close to the metro and within walking distance of the Eiffel Tower 
7629,Splendid Etoile,No Negative, Excellent hotel wonderful staff Very convenient location as it s right on top of literally a metro via lift Definitely worth getting the arc de triomphe view 
7630,Splendid Etoile, Staff was friendly but could be slightly more helpful when asking some directions for a good place to eat Missing a bar or place for a drink Limited shops and restaurants in the direct area unless you cross over to the High Street Champs drinks in the minibar are overpriced 6 for a simple coke but this is a more Paris issue in general perhaps , Clean rooms no noise even when so close to the main street excellent balcony with a super view 5th floor nicely decorated safe everything you need for a perfect stay Close to the metro station and this line brings you to all good places 
7631,Splendid Etoile, Can t think of anything we didn t like , We had a beautiful room for three on the six floor with a full view of the Arc de Triumphe and a partial view of the Eiffel Tower Every detail was lovely Newly decorated I believe and tastefully done in soft colors it was a pleasure to stay at this hotel 
7632,Splendid Etoile,No Negative, Had a one night stay at this hotel and have nothing but praise for this hotel Be sure to get superior room that has fantastic view on Arc de Triomphe and enjoy your morning coffee routine or wine evenings on terrace Overall room was clean and cosy and very quiet and comfortable for good night rest Hotel staff was very courteous informative and helpful I ll definitely stay here again and make sure it is more then one night 
