,Hotel_Name,Negative_Review,Positive_Review
31647,Staybridge Suites London Stratford, Breakfast could be better don t like eggs that have been lying around for a while and placemats would be great It talks about self catering but you cannot sit and eat you meal in your room , Really enjoyed the location to the Start of Ride London 100 could not be easier Excellent location to all trains Special mention to our Reception area and Especially MD Mohammad he was excellent helped with everything and everybody all the times 
31648,Staybridge Suites London Stratford, I did mention that I wanted cleaning done on the weekends and the cleaner forgot to come on the Sunday but this is really my only complaint Everything else was perfect I will definitely be going back , When they told me I was in a studio I thought I would be cramped in a tiny box but the room was quite spacious with a stove fridge and even a dish washer It has everything to make you feel at home The staff were really friendly and helpful They also have a free laundry room and gym which is really convenient The weekend breakfast meal was the best I love that they have a variety of different foods and drinks 
31649,Staybridge Suites London Stratford, I didn t like the fact I had to go home the next day , I loved the friendly staff and being abe to make to help yourself to as much coffee as you liked from the lounge The rooms were very comfortable and you had everything that you needed I am planning my next stay already 
31650,Staybridge Suites London Stratford, It s difficult for the taxi to reach and you have to take your luggage by your self and walk till you reach the car that will be 2 minutes walking with your luggage , Its good that there is a tray i can take my breakfast to the bed The location of hotel in the mall and near the station its perfect
31651,Staybridge Suites London Stratford, Smoking area in front of the interance of the hotel I would suggest to advise people to smoke in another place, The location is very close to the shops and stations
31652,Staybridge Suites London Stratford, Breakfast could have been better, Comfy bed friendly staff excellent job by the housekeeping Laundry option is available and it s very convenient when it s a long stay Hotel location is very nice access to the station less than 100 m the mall located right in front of the property
31653,Staybridge Suites London Stratford,No Negative, Breakfast was excellent Staff were amazing Room very clean neat and tidy Classy set up all around It was my wife s birthday and they went the extra mile leaving a bottle of wine chocolate and birthday card waiting for her on arrival Request for late check out also granted without fuss Nothing to complain about Highly recommended Thanks 
31654,Staybridge Suites London Stratford, Nothing really , Staff amazing apologised for having to wait a few minutes while sorting out another customer and then offered me cookies really tasty cookies and I had to be firm about having only on D I would stay again but want to take my family they d love it Would feel the need to cook a meal in the room I work with disabled people and they would have been jealous of the accessible shower room Didn t work out how to get into the gym but it was such a great location I had a lovely run around the area in fact I could have run for ages as it was fascinating to be so central and yet the area be so lovely Was a shame I had to get off for work It was walking distance to my meeting that day and it was a beautiful day It was right by Westfield shopping precinct which seemed to stay open very late I don t like shopping but anyone that does would be broke in no time There were lots of places for the kids to play near the stadium a short walk would have taken ages if they were with me Definitely where we ll be staying next time we re having a city break in London
31655,Staybridge Suites London Stratford,No Negative, We were going to concert in Queen Elizabeth Stadium and location was perfect Entrance is in Westfield Shopping Centre which means lots of places to eat and drink and next to good transport links 
31656,Staybridge Suites London Stratford, Breakfast was terrible for this price and standard Croissants were stale Cooked breakfast was just warm and tasted reheated low quality bacon and inedible soggy potato cubes Manager gave us coupons for free breakfast at Holiday Inn when we come back Expected more than this, Staff were exceptionally well trained and helpful We felt very welcome 
31657,Staybridge Suites London Stratford, Loved it , Rooms were excellent and the service received from the staff was five star Would recommend to all without hesitation Perfect location for the city of london stadium and westfield 
31658,Staybridge Suites London Stratford, The staff kept forgetting their electricity cards in the room They look exactly like key cards so we had some trouble finding a functioning key among all the similar looking cards The quality of bread and pastries at the breakfast could be better The access to the hotel next to a big mall is not very convenient if you arrive or leave by a taxi with big luggage as taxis seem to find it difficult to get very close , The location was perfect for our purposes as we needed to stay near Mile End but the public transport connections are quite good and there s a direct tube line to center of London too The suite was spacious clean and quiet with a comfortable bed very clean bathroom and well equipped kitchen Breakfast is included in the price Very friendly and helpful staff 
31659,Staybridge Suites London Stratford, Air conditioning is a little noisy , Incredibly friendly staff at check in started the visit off really well Large room with wonderful showers and facilities Comfy bed Lucky enough to get a room with a great view across London always splendid at night 
31660,Staybridge Suites London Stratford, Breakfast choice was excellent However staying only one night would have appreciated more guidance with self service options and procedures , Accommodation Great Comfort Super Staff Very helpful particularly MD We would most certainly stay again and would recommend to others 
31661,Staybridge Suites London Stratford, no points, Great place to stay with good connections to the city centre you have everything you need in this place Great view on breakfast as well as from the room Staff is 5 starts 
31662,Staybridge Suites London Stratford, No parking facilities by the hotel which wasted lots of money Approx 20 a day which is ridiculous , Loved everything about the hotel Had a great time Thanks 
31663,Staybridge Suites London Stratford, The dryers up in the laundry room seemed to take forever and I d come back to find my clothes still damp so ended up hanging them inside my room , Staybridge is really convenient because it s 2 minute walk from the Stratford station and the express line as well as being smack next door to a huge mall full of eateries shops and a movie theatre You can wash your own clothes upstairs in the laundry room and the complimentary breakfast is awesome Cereals fresh fruit seeds and nuts to sprinkle on croissants chocloate au pain porridge a pikelet making machine toast hot eggs bacon hash browns and suasages The kitchenette is stocked with plenty of glasses and mugs and utensils so you can heat microwave meals or soup on the hob It s a lovely place to stay 
31664,Staybridge Suites London Stratford, The room temperature I always seem to get cold Sometimes the heating is fine but a few times the AC hasn t been efficient enough , The customer service is excellent I love the fact they have 24 7 coffee making facilities for free downstairs 
31665,Staybridge Suites London Stratford, Nothing , Great location for football at London Stadium Excellent friendly welcome Accommodation great and roomier than expected Very good breakfast Even arranged for West Ham to beat Tottenham doesn t get any better 
31666,Staybridge Suites London Stratford, Our room was at the back of hotel so only views of industrial units and railways , Lovely self catering apartment You can request to have no cleaning or staff entering your room during the weekend Excellent breakfast choices Lovely views from breakfast area Easy access to Olympic park Stratford tube and Westfield shopping center 
31667,Staybridge Suites London Stratford,No Negative, I booked the deluxe studio suite was a really nice hotel very friendly staff and breakfast is excellent It states contintental breakfast however a full cooked breakfast was included They also have a cool pancake machine which you can see your panckake cook The showers here are also nice and big 
