,Hotel_Name,Negative_Review,Positive_Review
164259,Strand Palace Hotel, The cleaning of the room was not super well We found hair and used soap in the bath One day we found the wet towels that we used the day before If you are OCD like us you will be a bit disappointed, The location is great Behind you is the covent garden and the market changes every three days and you can walk to Piccadilly Circus Metro is a walking distance You can walk as well to charing cross station Couple of blocks away Big Ben and Buckingham palace is not far at all by walking
164260,Strand Palace Hotel, Our executive room was gloomy and brown with minimal natural light quite small for the extra cost It looked out onto concrete walls A slightly larger executive room was available but only on payment of a supplement and the view was the same Breakfast could have been a treat but it was quite bland and served in an over crowded drab backroom Also one lift wasn t operating for two days causing delays so we used the stairs a lot On reflection we I may have had unrealistic expectations for a room in central London However like many visitors to the capital staying here was meant to be part of a special occasion for an important anniversary Overall the hotel was fine no real cause for concern just a little underwhelming , Great location and great coffee Some staff were friendly and helpful Gin Bar was very nice 
164261,Strand Palace Hotel, That the room was very basic there was no coziness about it I paid extra for an executive double room expecting more comfort and a bigger room but was really disappointed We have stayed here quite a few times but doubt we will return , Location of the hotel 
164262,Strand Palace Hotel, Far too noisy workmen and deliveries right outside if window was closed room was too hot window open ridiculously noisy , Position of hotel near local attractions bars shops restaurants
164263,Strand Palace Hotel, No bath got small daughter beds really uncomfortable, Excellent breakfast rooms adequate for a short stay Lovely bottle of Presecco in the room as wife s birthday 
164264,Strand Palace Hotel, No air con in the room in July was tricky One lift out of action so getting luggage downstairs took ages, Perfect location decent sized twin room great shower
164265,Strand Palace Hotel, The room was very loud The bed was hard and the breakfast was not fresh and to small The food selection was very small , The room was very clean and the size was also good 
164266,Strand Palace Hotel, The rooms were so small It was advertised as a cosy double but it was more like a very very cosy single There was no air con in the room and the rooms got very stuffy and warm quickly didn t affect us a whole pile because we were out most of the day but we were lucky the weather was mild and not roasting Also on the last day house keeping came at 9am to clean the room despite us not having to be out until 12 She came back then again at 10am for which I got annoyed , The location is unreal it without doubt would bring me back to the hotel 
164267,Strand Palace Hotel, No air conditioning in a room that overlooked a service courtyard so hot and stuffy There was a fan but it just moved the hot air around Everything else was excellent , Staff were very friendly and helpful Fabulous location Decor in public rooms excellent Breakfast 11 out of 10 
164268,Strand Palace Hotel, The room upgraded was small too warm and perpetually dark due to extensive scaffolding work Faced an internal courtyard and needed lamps on all the time Like being in an inside cabin on ship Lifts are a joke No aircon no fridge no iron and not 4 star , Location
164269,Strand Palace Hotel, I have stayed here many times and will stay again on this occasion however the breakfast choice was not quite as good as previous stays No mushrooms no hash browns price supplement for eggs other than scrambled That said what was on offer was good, The location Short walking distance to either Covent Garden or Charing Cross Tube Stations Good choice if you are going to the theatre Shaftsbury Avenue Leicester Square Covent Garden all within walking distance Price Reduced At around 120 a night this was excellent value for a West End located hotel but check as prices do vary Staff Always accommodating
164270,Strand Palace Hotel, The room was extremely small and the view out of the window which was facing the front of the hotel was just a wall so no view really The receptionist told us we had a front view like we were getting a treat The room facilities were also very limited tea and coffee with a TV Pretty much all I can say about it , The location of the hotel is ideal for visiting Covent Garden and is only a 2 minute walk to the piazza 
164271,Strand Palace Hotel, Rooms are quite tiny and couple with complex layout of some rooms 315 for e g leads to no space to walk around No air conditioning in this heat is killer The GBP20 early check in is a scam I can understand if that if someone wishes to avail of that in advance it s fine But if someone is at the property at 10am and the room is available who charges money for early check in then , Location
164272,Strand Palace Hotel, Very little although air conditioning would have been good to have, Very comfortable and well provided room There was construction work taking place at the time but it was limited to office hours only so no real interference or impact Staff were always very helpful and professional
164273,Strand Palace Hotel, haven t seen a tinier room no Air Con and the window doesn t open the view was some construction material the interior of the room was also very poor more like a storage ,No Positive
164274,Strand Palace Hotel, Room was too hot bed was a bit uncomfortable, Great location I understand the room was small but it had no air conditioning and was very very stuffy I stayed in the Z hotel a few weeks back the room was smaller but had air con very comfy bed
164275,Strand Palace Hotel, There was construction happening right outside my room I don t remember getting any notice of that and I woke up after my first night to a loud team of workmen just past the open windows If I had known about the construction I would not have booked that room , The staff was excellent after the horrible travel experiences leading to London Lovely 
164276,Strand Palace Hotel, Hotel bars lacked atmosphere and were more like libraries , Excellent location Directly across the road from the Savoy Other theatres and Covent Garden on the doorstep too 
164277,Strand Palace Hotel, There was scaffolding outside the window which blocked all light from coming into the room Rooms were also a lot smaller than the website let on , Location 
164278,Strand Palace Hotel, Expensive for what you get the shower didn t drain at all and I called the front desk but no one fixed it Also called for a bathrobe and that took too long so I cancelled it needs serious improvement on service Significantly better places if you pay a bit more , Location is the main sell
164279,Strand Palace Hotel, Help with luggage was a consistent problem , One of the elevators was out so getting downstairs with bags in the morning was difficult and the bag porters were always MIA Rooms were smallish and fine nothing fancy The hotel smelled a bit like smoke 
164280,Strand Palace Hotel, In London it s hot during summer and there are no air conditioner or nice broad windows for ventilation in the hotel Very suffocating Though the staff was very nice and helpful they changed my room within a few minutes but even on the 3rd floor it wasn t really working , Nice and friendly staff
164281,Strand Palace Hotel, The night we stayed was a hot one so we found it difficult to sleep At the breakfast it was a bit noisey and rather crowded But the service and food was excellent , We eat in the restaurant on Tuesday evening and the food was excellent We have stayed at this hotel in the past and we like the service and location 
164282,Strand Palace Hotel, First night stay in a room close to main road with noise coming from police sirens and noisy traffics No aircon in my room just fan , Convient to excess to everywhere Covent Garden just 5 mins walk
164283,Strand Palace Hotel, there were not water bottoles on the first and second night although I asked staff So on the third day I bought one bottle at bar Then I got them This is one of examples Although I asked staff I could not get their service , Accessible room
164284,Strand Palace Hotel, For the amount of money we paid for one night for five people the rooms were very ordinary Our rooms were very pokey on different floors and very hot with only tiny little windows looking out on to scaffolding It would be nice to have a top sheet on the bed as it gets very hot with a doona but is nice to have a cover , The best feature of this hotel is its location We were only back in London for one night having stayed earlier in the month in an apartment Given the cost of other similarly located hotels in London the price is ok but it is exorbitant compared to apartments It is very easy to access Covent Garden tube and catch the Picadilly line straight out to Heathrow so it is worth staying here for the convenience of access Rooms are clean Breakfast is what you expect in a large hotel buffet style and good to be included in the price 
164285,Strand Palace Hotel, Booked a room not realizing it was smaller than a college dorm Twin bed unsoft mattress Had to pay 40 pounds a night more for a double bed No Air conditioning just a fan Walls were paper thin, Staff was friendly Gin bar was nice
164286,Strand Palace Hotel, I paid for to have my room upgraded to a air condition room and that was way over charged for what was at best very poor working system if it was working at all the room was always warm This hotel would be fine in the winter or during cool weather but if the weather was hot it would be very uncomfortable Also for reason know only to the hotel the room bed had only a very heavy blanket on the bed with only the mattress sheeted so you only had one sheet not two as in most hotels , The hotel staff was very nice and helpful and when ever I needed help they helped me out 
164287,Strand Palace Hotel, No air conditioning in our room that s just not acceptable in any clinste, Very nice older hotel in the heart of westminister close to everything
164288,Strand Palace Hotel, Walls are quite thin and room was very hot Had to use fan which was already in the room but this was a little noisy , Very good against what was expected for cost in central London 
164289,Strand Palace Hotel, Hairs and dust behind the bathroom door Would ve taken a second to clean , The quality of the room and the location plus friendly staff made it a great stay 
164290,Strand Palace Hotel, Bar could serve a better range of bottled beer husbands comment , Comfy bed good sized room tea coffee facilities nice toiletries great view over The Strand Very short walk to Leicester Square Trafalgar Square Really central location Friendly staff at the hotel Lovely breakfast 
164291,Strand Palace Hotel, Breakfast was poor where we sat half the listed products on the menu were not available later we saw people walking to another area for an improved choice Scrambled eggs seemed to be powder not fresh which looked more like porridge , Great location
164292,Strand Palace Hotel, The lifts as others have mentioned were quite slow as one wasn t working Our room felt quite small even though only 2 of us were in there The bed was a bit hard and the bathroom was really small At one point the bathroom couldn t have been more than half a meter wide which meant we bumped ourselves constantly trying to get in or out of the shower There was also a huge amount of construction going on on our floor and outside the building It was extremely loud and would have been nice if we d been told to expect noise when we checked in , The location is fantastic right in the west end with theatres cafes and restaurants all around Easily walk to Trafalgar Square 2 tube stations are close by Check in was easy the staff were nice They held our bags free of charge on our last day 
164293,Strand Palace Hotel, No air conditioning in bedroom at 25 plus degrees degrees bedroom so uncomfortable Would not recommend a bedroom with no airconditioning in summer , Location excellent
164294,Strand Palace Hotel, first night terrible given a no aircon room 216 and next day changed room to 877 but additional fee of GBP40 , the bed small and old no air con only a table fan 
164295,Strand Palace Hotel, The corridors are a maze poorly signposted dimly lit and not very clean The rooms are in better shape but to be honest you only come to the Strand Palace for its central location and relatively affordable price not because you expect anything swanky It s functional that s the best I can say , It s well located Check out was very easy Bed was quite comfortable 
164296,Strand Palace Hotel, There was no air conditioning in the room not fitted but a fan was provided Not ideal but better than nothing considering the hot weather The bar closed at 11pm which seemed very early for a central London hotel , The hotel was very convenient for theatres and Trafalgar Square 
164297,Strand Palace Hotel, Bathroom is tired and needs attention Tap of bath tube was almost glued with lime and scale It took all my strength to open it Maybe everybody use only shower but it does not mean that bath tap has not to be in appropriate condition 4 star hotel without conditioner in the center of city in hot nights nothing to be proud of With the opened window to noisy to sleep with the closed window too hot to sleep blanket too thick No normal rest sorry , Very central location best for any need in London Friendly and helpful staff 
164298,Strand Palace Hotel, Lifts very slow and one out of action No air conditioning in bedrooms although a fan was provided , Staff are always helpful and friendly throughout each unit 
164299,Strand Palace Hotel, Please see comments above , We enjoyed our stay and the staff were very kind and helpful towards us However we found the heat last weekend perhaps could have needed air conditioning in the rooms and windows a fraction open more although a fan was provided The rooms could also have more hooks as there was few places to put clothes except in the wardrobe and this wasn t very big when we had evening dresses and suit 
164300,Strand Palace Hotel, The first day I had to bath instead of shower because I couln t manage to make it work as soon as I told them they came checking it turned out it could be turn on but it required strength even if no longer needed they changed it so to make it more confortable for me , The best part was the treatment Everybody was super nice and helpful Also the detail of always providing two water bottles was appreciated
164301,Strand Palace Hotel, Nothing except a longer stay , Everything Only there for one night taking in a couple of Westend shows Could easily walk to the theatres from The Strand Palace
164302,Strand Palace Hotel, Bed was not comfortable had sore back each morning Also room was very hot and uncomfortable due to weather and lack of air conditioning , Location ideal
