,Hotel_Name,Negative_Review,Positive_Review
37532,Terrass H tel Montmartre by MH, Asked in advance months in advance for a room with a view arrived and staff promised that this room was being sorted out for myself Waited over several hours only to be placed in a room 4th floor that did not have the view that I was promised by staff I was disappointed by the day time staff and felt they were slightly disorganised but overall I enjoyed my stay , I liked the location The concierge didn t get his name who works nights at the weekends I found extremely helpful efficient shame he wasn t working in the days 
37533,Terrass H tel Montmartre by MH, WiFi was poor but that was not vital as a leisure trip If on business it would not be acceptable, Room great especially view of Eiffel Tower Didn t eat in the hotel but found several very pleasant eating places just off the tourist areas 
37534,Terrass H tel Montmartre by MH,No Negative, All staff from reception to restaurant were very friendly and accommodating I had a late evening long haul flight to catch and wanted to take a shower before my flight after a day of walking around in the hot weather The staff were very accommodating and offered me a room to use late afternoon for 45 mins to freshen up which was appreciated 
37535,Terrass H tel Montmartre by MH, N A, Staff were so friendly and helpful all the extra details in the room were much appreciated including English plug sockets and USB points nice kettle rocking chair and view were fab 
37536,Terrass H tel Montmartre by MH,No Negative, The decor and the location in particular were excellent Perfect if you don t want to leave Montmartre explore the area around the hotel it s more beautiful than central Paris 
37537,Terrass H tel Montmartre by MH,No Negative, This was my 3rd time there I love the way they ve combined design with some classical touch each room is a bit different you feel like home not a standard hotel room
37538,Terrass H tel Montmartre by MH,No Negative, Spent in this hotel one night and immediately fell in love with it To me all other hotels of Paris do not exist eny longer Terrass is my new townhouse in Paris 
37539,Terrass H tel Montmartre by MH, No coffee in room just tea Couldnt figure out room service times very confusing, Really comfy bed Gorgeous room Excellent helpful staff Great location close to Sacre Couer and all attractions and easy metro ride away 5 min walk to closest metro Would stay again
37540,Terrass H tel Montmartre by MH, Nothing I will recommend this hotel over and over as it is really good value for money on top of it all , Super friendly and professional staff taking care of us from the moment we set foot inside Rooms were spacious clean and well fitted I had a beautiful view over Paris The Terrace is to die for and you get to eat your breakfast with this view Also open until 1am for drinks 
37541,Terrass H tel Montmartre by MH,No Negative, The breakfast was delicious with fresh orange juice croissants and pastry and products of local farms ham yoghurt Views from some rooms and hotel restaurant are magnificent Eiffel tower visible in distance The staff was friendly but the lady in chief of the reception was just awesome and helpful We also loved the maid everything was kept totally clean and we got bar of chocolate from her everyday Thank you Terrass 
37542,Terrass H tel Montmartre by MH, Noise from rooftop bar continues to 1 00 am Sounds of furniture being moved , Location to so many bars restaurants Wonnderful view from rooftop and restaurant 
37543,Terrass H tel Montmartre by MH, The 95 bus across the street is no longer That was my way to go down to the Opera and to the museums Sure I can use the Metro but the views from the bus are fun , I ve been staying at this hotel since 1986 After the renovation it has been a pleasurable stay every time The staff is bi lingual and very helpful The restaurant and terrace is great with a beautiful of the Eiffel Tower It s in Montmartre which for me is the best part of Paris A little more funky with a great vibe 
37544,Terrass H tel Montmartre by MH,No Negative, Absolutely loved our stay fantastic location hotel is very clean and all the staff are extremely friendly The roof top bar restaurant was a real bonus with amazing views over Paris 
37545,Terrass H tel Montmartre by MH, Bathroom was slightly small but very clean, Really helpful and friendly staff they were all excellent They couldn t do enough for you and made some excellent restaurant recommendations they even phoned and made the bookings too Hotel is close to the Metro and not too far from Gare du Nord for those travellers coming to Paris on Eurostar Highly recommended 
37546,Terrass H tel Montmartre by MH, Nothing , The staff were really friendly and helped with recommendations It s worthwhile downloading the app the hotel recommends as it gives you so many suggestions on where to go what to do The roof top bar is a must especially for the view The bottle of wine and handwritten note left was such a nice surprise as I had booked for my husbands 30th The hotel was close to so many cafes and restaurants Would definitely go back 
37547,Terrass H tel Montmartre by MH, I hadn t read any reviews stating some of the rooms face a cemetery Our room s view was the cemetery and i wasn t comfortable with it at first but it ended up being nice , The staff was very accommodating and the room was a nice size The hotel was in a great location with amazing views from the restaurant and rooftop bar 
37548,Terrass H tel Montmartre by MH, Hotel is on a busy junction but was well soundproofed so traffic noise was not a major issue , Comfy room very clean Conveniently located to explore Montmartre and within easy reach of the Metro system Breakfast was good and Staff were very helpful
37549,Terrass H tel Montmartre by MH, I would love to have had a drink at the bar but it was very crowded The safe in the room didn t work and I would have liked a robe in the bathroom Also the shower was tricky at first the overhead flooded the bathroom, The view was spectacular The staff was very helpful in making recommendations of places to eat in the area The location can t be beat 
37550,Terrass H tel Montmartre by MH, there is a very bad smell on my room at morning t was so disturbing I had to open all windows to take this smell out on second morning same bad smell was still there my room was on last floor maybe this is the reason but the hotel needs to solve this problem, reception staff is perfect location is perfect decoration is perfect restaurant is very good specially the terrass is very good with a stunning panoramic Paris view
37551,Terrass H tel Montmartre by MH, Nothing always wanted to stay in this hotel and it met my expectations, Lovely suite with view of Eiffel Tower Loved the spa treatments Fantastic roof top bar
37552,Terrass H tel Montmartre by MH, Although rooms were very clean we spotted a mouse in the restaurant kitchen during the brunch Management took care of it immediately The rest of the hotel was very clean , Very great location with marvelous view on Paris and Eiffel tower Very good food in restaurant and very pleasant terrasse on the top floor to take a drink 
