,Hotel_Name,Negative_Review,Positive_Review
283504,The Capital, Room was not quite as luxurious as I was expecting but perfectly acceptable , Bar sitting areas etc very comfortable and relaxing Attentive staff who kindly let us into our room early as we were suffering from jet lag It was unexpected and very much appreciated Enjoyed a really good and quiet breakfast in the Metro next door Brilliant location for Harrods 
283505,The Capital, See above, Quiet relaxed setting Nice attention to detail and staff very attentative but room average for the money and a little disappointed with lumpy hard bed and sour milk in fridge Noisy tea maker which only dribbled boiling water really a coffee maker We upgraded our room and paid a lot more for very little Had thought english breakfast was included but subsequently found it was only continental although they included in the upgrade 
283506,The Capital, I have stayed here for many years and in the past thebreakfast was worth the pricey price tag but now it was not One egg and toast for 35 american too much , Beautiful hotel at the door steps of Harrods Luxurious bedding real air conditioning delightful
283507,The Capital, Outlaw s the starred restaurant in the hotel was a disappointment The food was on point but the service was so rushed that we did not enjoy our 55 minute in and out dinner Don t know what the rush was about The restaurant was not busy Much better places close to the hotel , The best bed of our whole 17 day stay in Britain All staff were courteous smiling and helpful Breakfast at the Capital was always excellent I ll be back 
283508,The Capital,No Negative, Outlaws Restaurant is small and cosy Very good food Excellent breakfast with superb service Good service in the bar A small intimate hotel with a very good atmosphere Within 100yds of Harrods and 200yds of Harvey Nichols Very friendly 
283509,The Capital, The bathroom was so small that I burned my leg on the towel heater twice The room was so small that there was hardly room for the bed and one armchair It was very awkward trying to move around the luggage on the racks in the room , Outlaws restaurant
283510,The Capital, Location very nosy with people talking in the middle of the night and early morning garbage pick up Would ask for a room on opposite of building , Bed was super comfy and room nicely decorated and clean Great location if you like shopping Right next to Harrods and many other upscale boutiques 
283511,The Capital, The bathtub was a bit short the heater noisy tv sound crap and the bed too firm for my liking I was shown where the light switchs are lol, Everyone was so nice and I like the decor I came in before check in time and was upgraded so I don t wait and left after checkout time and they didn t say anything 
283512,The Capital, Nothing we didn t like , The hotel is first class with excellent amenities and friendly efficient staff We were made to feel special and very welcome The car park is a great bonus too 
283513,The Capital, Dull boring interior badly fitted soft furnishings lessens the experience slow to get a drink in the bar pre Christmas Eve only three people at the bar and two staff which is unusual its usually very busy with sharper service very noisy clearing up in Outlaws Restaraunt scrubbing tables etc before 10pm at this point we hadnt ordered dessert dissapointing for Michelin star Rest The rest manager who was charming asked the kitchen team to stop and they did but started up 15 mins later food was ok but not as good as it has been in the past we would nt go back the next time we stay in the hotel we love staying at The Capital but came away this time feeling that it has lost its edge o , The staff are always very friendly fabulous concierge and parking service great location
