,Hotel_Name,Negative_Review,Positive_Review
299346,The Chelsea Harbour Hotel, Soul less another corporate lobby no ambience whatsoever Felt like an office block at weekend However if you see your room more as an apartment then it s fine , We chose the hotel based on location as we wanted to source items from the showrooms in the design centre next door Room was good value for London given the separate sitting area etc Handy for King s Road restaurants etc Ritorno 5 mins by taxi very good modern Italian 
299347,The Chelsea Harbour Hotel,No Negative, As always a very nice experience at this hotel Staff are great food excellent A very relaxing hotel but very close to the busy streets of London if you want to explore 
299348,The Chelsea Harbour Hotel, Breakfast included would have been nice Apart from that no faults at all , A beautiful hotel with excellent facilities Unfortunately it s a little far out taxi to Sloane Square about 10 and there s not much to do in an evening Staff were extremely helpful and polite and we were thrilled to be given a complimentary upgrade to marina view suite 
299349,The Chelsea Harbour Hotel, The TV and menu system was so slow it was actually painful The gym was more of a token gesture and not up to scratch To get to the gym you have to use a crappy service elevator at the far end of the hotel which made a poor experience even worse On arrival we were offered an upgrade to a room with a view but this came at extra cost To be honest they weren t busy and outside our window was a building site as such I think they really should have given us a complimentary upgrade as it wouldn t have cost them anything Besides the room they were going to upgrade us to was exactly the same as the room we stayed in it was just overlooking the water instead of a building site The hotel is quite a way out of town and taxis are around GBP 20 35 to get to central London depending on traffic , Each room is a suite at this hotel I stayed here before quite a few years ago when it was the Conrad Hilton Nothing has changed in the rooms decor wise which is no bad thing as the rooms are perfectly laid out All fixtures and fittings are of high quality great water pressure for the showers Some nice restaurants on the Fulham Road within easy walking distance 
299350,The Chelsea Harbour Hotel, Prices were very expensive this time although I booked months in advance , Clean modern comfortable roomy lovely roomy suite shower and bath and bidet very clean and comfortable food and drink very good if a little expensive Thames path good for my mprning run or walk if feeling lazy Staff first class 
299351,The Chelsea Harbour Hotel,No Negative, Excellent hotel really good rooms and the staff on reception were very friendly and efficient The only down side is we did not have enough time to enjoy all the facilities 
299352,The Chelsea Harbour Hotel, At times the staff took your order but would come with something else But I did not complain about that As they appear busy, How clean the hotel was and locality overall really nice hotel
299353,The Chelsea Harbour Hotel, Reception staff seemed a bit frosty Doesn t help that they were all EAL Afternoon tea took an hour to arrive Bread was stale pretty poor afternoon tea What was that tea blend Vile Pretty poor hotel really expect the hair salon , I walked into the hairdressing salon and they put my hair up straight away Not just excellent service but the guys were absolutely lovely could of talked to them all day An absolute asset to the hotel And my hair was amazing 
299354,The Chelsea Harbour Hotel, I was disappointed with my room for the price paid I have stayed a number of times before and always felt I had had good value for money and paid for a river view this time which was more expensive but the rooms were smaller and the view was no better than ones on lower floors, This is a lovely hotel very clean comfortable and welcoming
299355,The Chelsea Harbour Hotel, Parking charges as a wedding party we recommended the Chelsea harbour and at least ten other people booked in As it was out honeymoon it would have been a lovely jesture to have waived the 2 nights charges, We booked this for our honeymoon night and my partner stayed the night before He thoroughly enjoyed his stay pre wedding I would have liked to have stayed longer to enjoy all the facilities
299356,The Chelsea Harbour Hotel, Breakfast was okay but had to request more juice glasses and the toast took forever to arrive even after 2 requests Also a rubber strip on the floor near the breakfast table was causing people to trip health and safety issue , The size of our twin room was amazing The view was fantastic overlooking the marina The concierge was so helpful and friendly A big thank you My friend and I would definitely use this hotel again and would recommend 
299357,The Chelsea Harbour Hotel,No Negative, Great hotel Lovely views and we enjoyed sitting on the balcony overlooking the harbour We also enjoyed drinking cocktails outside with a view of the harbour A lovely stay 
299358,The Chelsea Harbour Hotel, Very noisey due to building site directly outside our window so don t expect the views that you see on line Have had better room a few snagging points at a travel Inn , Foyer is lovely but suite wasn t anything special 
299359,The Chelsea Harbour Hotel, The air conditioning I have stayed probably 5 times in the last 8 months first time I insisted on moving rooms now I don t bother asking as no room I have been in for the past 5 times has working aircon On top of that you cannot open the windows A tip for visitors is to shell out the extra for a Marina View with a balcony or any room with a balcony then at lest you will be able to open the doors , Its a cracking hotel all suites great value Been staying there for years when I am in town unlikely to stay anywhere else in London Perfect if you have a youngster who can sleep in the other room of the suite ask for a pull out bed You won t find these sized rooms for this price anywhere else in London 
299360,The Chelsea Harbour Hotel, Staff in restaurant were very slow and not very attentive Pool area wasn t as nice as it looked from pictures quite tired and chilly , Lovely view over the harbour from the restaurant and patio heaters to keep you warm Suite was very big and really nice Hotel was in a great location tucked away but central 
299361,The Chelsea Harbour Hotel, We stayed here for our wedding night was a lovely hotel check in staff were great My husband left his wedding ring at the hotel in our room by the coffee machine He phoned the hotel and they were adamant they didn t find it He continuously rang them was put on hold for half hour at a time kept advising they didn t find the ring when my husband said he was going to take things further they said they will ring him back Surprise surprise we got a call back to say the ring had been found in the bed linen The bed and the coffee machine were in 2 seperate rooms and the ring didn t go anywhere near the bedroom so for it to be found in the bed linen is quite strange in the waste bin yes more understandable One of the cleaners had come across a beautiful expensive wedding ring and thought theyd pocket it when the hotel manager realised we weren t gonna leave it they found the ring miraculously ,No Positive
299362,The Chelsea Harbour Hotel, Service in the restaurant was slow I ordered a rose process and was given a flat pink drink which was swapped for pink champagne when I complained ,No Positive
299363,The Chelsea Harbour Hotel, The service in the bar was very poor waited in bar to be served with drinks for 20 mins ordered food on terrace starters eventually arrived after30 mins with my wife s main course waitress asked if she could leave it on table till we finished starter we said no My wife s main course came after 30 mins mine did not,No Positive
299364,The Chelsea Harbour Hotel, Poor staff in Resturant and Bar utterly disgraceful they all need to be given a lesson in how to work in the catering business OMG very poor service diabolical,No Positive
299365,The Chelsea Harbour Hotel, The service in the bar and restaurant could have been much better We were kept waiting for a long time before our drinks order was taken and then the drinks never came The hotel is in a lovely location but a little far out from the city centre and from the mainline train stations , The Marina View Suite was excellent with a lovely view of the boats from the balcony and the comfortable sitting room The room was very quiet The reception staff and concierge and doormen were very friendly and helpful It was nice to walk around the Marina and then along the river There is a good pub close by and a little walk to the overland train station Imperial Wharf to get into the city centre and also a little shop which is very convenient 
299366,The Chelsea Harbour Hotel, Notning, The area is amazing lovely to walk around The view from the room and having the balcony was a must The staff could not have done more to ensure we had everything we needed wanted 
299367,The Chelsea Harbour Hotel, Nothing at all, Large airy suite with balcony overlooking the harbour and River Thames beyond Lovely riverside walks Visiting Chelsea Flower show a perfect location for the venue 
299368,The Chelsea Harbour Hotel, Service in the bar and restaurant lacked any management direction so despite being really friendly and trying to be helpful didn t really know what they were doing shame , Very quite location great for London embankment attractions
299369,The Chelsea Harbour Hotel, Breakfast options and layout could be better We were charged VAT on the Breakfast Buffet charge of 17 50 each Why All other charges included VAT Breakfast staff would benefit from some further training Also 2 50 for a KitKat in the mini Bar what s that about , Excellent room facilities Great safe location Front of house staff excellent 
299370,The Chelsea Harbour Hotel,No Negative, The Hotel is conveniently situated and overlooks Chelsea Harbour Has a very nice restaurant and balcony Staff were very efficient and helpful I would highly recommend a visit
299371,The Chelsea Harbour Hotel, N A, Loved the room very spacious comfortable and quiet Balcony gave a lovely spot to have a morning cuppa Staff very helpful especially Paul the concierge as we were expecting some tickets and he delivered them to us personally Amazing to see the Chelsea team leaving for the match an added bonus we weren t expecting Food also excellent along with the service 
299372,The Chelsea Harbour Hotel, Room very dated and they definitely need to do quality control on cleaning Carpet was very very tired Spot marks on Bathroom floor that a good mop would have cleaned The General cleanliness and the state of the carpet were definitely not 5 Star Sunday morning was like a circus in the bar breakfast reception area with football fans I am sure a lot of these were non residents in the hotel but seemed to have taken over these areas When checking out the girl never asked how our stay was if we had enjoyed it if everything was ok just have we used mini bar and that was it Won t let me upload more photos, Hotel was in a nice location had a marina view suite which was very nice Reasonably spacious suite Bed and pillows were comfortable 
299373,The Chelsea Harbour Hotel, Finding a used condom in my wardrobe paying 47 for breakfast being made like we shouldn t really be there because we got a cheap deal via booking com the list goes on , Location
