,Hotel_Name,Negative_Review,Positive_Review
430983,The College Hotel, A small problem caused by unexperienced staff at breakfast was professionaly overcome next day Otherwise all smooth but expensive , An old building very nicely renovated and decorated like an historical stage Location is very close to city centre near Concertgebouw and museum district Rooms are spacey and very comfortable 
430984,The College Hotel, There were many faults in the room itself Poor lighting bedside lamps didn t work They didn t replace our coffee milk cups water etc, The breakfasts were good The hotel location is excellent and the staff were very pleasant 
430985,The College Hotel, The staff were rather inefficient for the quality and price of the hotel e g forgot to restock the room tea coffee more than once and forgot to order a taxi Although the food in the restaurant was very good quality it was overpriced and the service was extremely slow , Very friendly staff Very nice hotel well situated for the museums in a nice area Lots of good restaurants within easy walking distance Very nice breakfast Comfy bed nice well stocked bathroom 
430986,The College Hotel, The lack of detail i e Room not cleaned before 3 00 pm miscommunication as to dervices to room chackout with broken creditcard machine 2 , Location
430987,The College Hotel, No built in airconditioning only portable music playing late at night on terrace below my room while terrace was empty , Atmosphere friendly helpful staff nice spacious room 
430988,The College Hotel, as above, All very good Only problem we had planned our day around eating at the hotel in the evening The wedding event meant that the restaurant was closed to guests that night It would help to put a notice for people if this is the case so that they can plan accordingly After being out all day we had really wanted to relax and eat at the hotel that night The staff were very friendly and helpful The hotel is relaxing and the stylish environment and ambience are fab 
430989,The College Hotel, On thing which was very annoying was the light system As you turned one off others would come the other way round Not much tea milk but on requesting more it was supplied with a smile , Beds were comfy Good location Staff very helpful polite 
430990,The College Hotel, The rooms need maintaining peeling paintwork peeling plaster torn window blinds and broken air conditioning system House keeping could improve their services by checking that all items are in the room such as a shower curtain for the bath refreshments and crockery to drink them with Luggage racks for suitcases would also be nice , Comfortable bed clean hotel great location fantastic staff and customer services Our first room had a host of problems which couldn t be resolved quickly so the staff gave us a new room immediately which was a lot better They dealt with the matter efficiently effectively and with a lot of care and attention They were really helpful with advice on how to get around the city and other daily touristic queries 10 10 for the staff training as they are a credit to the hotel and a huge jewel in the crown 
430991,The College Hotel, The bathroom toilet arrangement in my room 217 was a little tight one almost had to slide onto the toilet seat , Comfortable beds welcoming staff 
430992,The College Hotel, During breakfast EVERY morning there is floor cleaning wet or with vaccum cleaner So with breakfast you will get dust as well 1st room which was given to us was small and with small window by ceiling like wardrobe Dare to ask for better room In both rooms some light bulbs was burned out , Great and ellegantly served breakfast beautiful and safe location museum area residential area 
