,Hotel_Name,Negative_Review,Positive_Review
94181,The Colonnade, Our room was very musty either a drain or damp problem All the windows were open when we arrived and we soon found out why when we shut them Given our short stay we didn t make an issue of this but I did mention it when checking out , We were only staying one night with an early start the next morning and had stayed at the Colonnade before It s in a nice area and on street parking is easy The general areas in the hotel are welcoming We were greeted with a welcome drink which was nice after a long drive 
94182,The Colonnade, The bedroom is in need of a refurb Nowhere dedicated for work in the hotel or the bedroom the tv took up the whole desk Hotel ok for leisure not for business Understaffed on front desk, The staff were very helpful and polite 
94183,The Colonnade, I felt the rooms we were shown were a little dark, The position of the hotel was excellent and the staff helpful after we asked if we could look at other rooms as the one allocated on the ground floor the window didn t lock
94184,The Colonnade, They don t reduce de price and seriously I want my money back Worst hotel and politic for booking ever see , I book a double bed bedroom and they don t have it The solution is get me in a little bed in a 2 or 3 square meters Horrible experience I book for the next day and do the same operation so they fill the Hotel that way 
94185,The Colonnade, The bedsheets are dirty the cushions are dirty The tissues has not been refilled even though I have requested several times during my stay for 8 days There are two bathrooms in the apartment but the water pressure is extremely low and not strong enough for using both of them in the same time The cooking utensils in kitchen are dirty The balcony is dirty with a lot of cigarette butts on the ground and plant pot The cleaning staff always forgets to clear all the rubbish bins for each floors , I don t like it at all 
94186,The Colonnade, Our room was very small We only had two small windows which didn t let much daylight come through The room itself could be more renovated There was one overhead light which hang from the ceiling and wasn t adjusted correctly The ceiling was painted sporadically One day there was no room service , Very comfy bed bathroom has a shower as well as a bathtub we could leave our luggage before check in and after check out for free staff was nice very cute hotel cat Price acceptable for that London area Tea and coffee facilities were good great choice 
94187,The Colonnade, Shoebox of a room When booking I tapped the room the room description and got a photo of a room with space to move and two armchairs On arrival we found a room so small that when our luggage was put down there was no room for our feet No armchair because there was no room to fit one in So crowded that dressing was awkward I paid for something which I didn t get This must be a management problem as staff were excellent Room description was false , Staff were excellent willing to help with any request even those outside their duties 
94188,The Colonnade, Waited an hour to check in as room not ready Room in the basement so musty and dark Immediately underneath the Underground so shook every time a train came through Very tired bathroom with poor grouting The whole hotel is in need of investment and up dating Not good value for money , Great location and nice outside terrace for drinks 
94189,The Colonnade, En suite facilities were disappointing no toilet roll holder soiled toilet roll took several attempts to flush the loo and broken bin Noise from underground trains our room was below ground level so we could here each train pass beneath the hotel Staff were friendly enough but didn t always understand English that well, Good sized room with classic decor Good selection of tea coffee in room Proximity to nearest underground
94190,The Colonnade, Hotel Miles away from where we wanted thanks to booking com The oppwrsite side to London that I wanted Are booking Com only offering certain hotels as they get more money First room cramped twin beds small no bedside cabnets on one bed damp showing on celling Cord too short on kettle Spot lights on wall outside Second bedroom stairs upto bathroom not ideal bed extremely poor very uncomfortable Parking is for only two cars in a back yard I only have a medium size car and was hard to get in and out only 1 inch either side trip items like hovers left in a tight hall way Lift only to floor 3 Had better facilities in a travelodge Not what I would expect in a four star hotel, Staff were great very helpful and friendly 10 out of 10 for that No charge for blue badge parking great 
94191,The Colonnade, We would have liked to stay longer, This is a great boutique London hotel If you are looking for a Marriott Hyatt Hilton type of hotel you are at the wrong place If you are looking for the London experience of staying in a neighborhood environment with all the small shops GREAT Pub and great small boutique restaurants then this place is perfect The area is called Little Venice where British Royalty resides not the queen and the royals but Londons famous royalty You will have to find out for yourself who but it s very enlightening eating somewhere and next to you are people who helped made Britain famous Within walking distance is the Warwick Street Station actually you can see it from the hotel 2 minutes if you walk slow Just hop on the Bakerloo Line and it will take you to all the stops that are important Paddington Station Baker Street Buckingham Palace Picadilly Circus Trafalgar Square and the River Thames plus other great stops The other lines are very easy to get on to go elsewhere The staff are great and very friendly and will assist in any way they can Take a picture with the knight in shining armor to help remember your stay Other sites to walk to is Abbey Road studios and BBC Maida Vale studios The BBC studio has free tickets for events there but you have to sign up for the tickets There are plenty of other shops and restaurants to visit too in the neighborhood Great hotel great neighborhood great people and great city You can t go wrong 
94192,The Colonnade, The room and particularly the en suite were really small We were disappointed that teabags used toilet paper and some toiletries were not replaced until we requested this , The bed was comfortable with good quality bedding 
