,Hotel_Name,Negative_Review,Positive_Review
332979,The Cumberland A Guoman Hotel, our room not clean well we found some foods under the bed Hot air conditior We ordered from the resturant water and they ignore us , Bigger room than before Daily room service Near many shops
332980,The Cumberland A Guoman Hotel,No Negative, the location is the selling point this is my 5th return no membership all in change staff undertrained paperwork too much wanted to extend my stay had to do online then get to the reception only hours later to find again not registered main issue this time was cleanliness the carpet was not deep cleaned for months old hair etc the sheets changed once a week the quality of food purchases terribly low I thought i was eating rubber not cheese or eggs tasteless Marginally better in the exec lounge that closes completely serving at 8 30 pm unacceptable in central london 
332981,The Cumberland A Guoman Hotel, Our room did not meet our expectations The bed smaller than queen size and one side was up against a wall more like a single room than a standard double room We complained are were moved to a larger room with king size bed but in another building Overall disappointed with our stay ,No Positive
332982,The Cumberland A Guoman Hotel, the staff at the Hotel were rude and offensive the room terrible no hot water TV stations did not work toilet did not work towels very hard When we complained the reception manager accused us as liars , Nothing at all 
332983,The Cumberland A Guoman Hotel, I have stayed here over a 5 year period now and the room was starting to show and feel a lack of investment It felt worn and ever so slightly as though it needed a deep clean The same is true of the corridors, The location is excellent and the service unfussy so it is easy to come and go
332984,The Cumberland A Guoman Hotel, Falling apart Aircon went off during the night Repaired by removing thermostat panel and replacing which means it has an electrical fault Light fell out in bathroom Wifi only worked if sitting in the toilet And this was in our second room We moved from the first as all the electrics creaked and clicked and the mattresses were so old they were U shaped with the aircon blasting on your head not your feet Terrible hotel , Location
332985,The Cumberland A Guoman Hotel, Bad lightening small rooms Blood and lipstick stain on the bed Safe not working Cupboard doors not closing Toilet make skweaking noise when sat on, Nothing other than the good location
332986,The Cumberland A Guoman Hotel, This was a 30th Birthday trip away which the hotel were aware of We arrived to a small dirty room the next morning we found a pair of a previous customers pants in among the clean towels When reporting this to staff at reception we were asked to speak to 3 different members of staff before someone decided to move us to another room not 1 of these members of staff apologised nor was the inconvenience acknowledged This was not an inexpensive hotel and for what I paid I would have expected a lot more in terms of service and cleanliness Extremely disappointed , Location
332987,The Cumberland A Guoman Hotel, Check in took too long No seats in foyer Made a mistake with the booking gave us double when we actually booked a twin Room was so dated Bathroom was old and needs redecoration Would not stay here agian,No Positive
332988,The Cumberland A Guoman Hotel, The twin room i have got did not have view it looks over a courtyard The twin beds are too small for an adult and they are unbalanced and not comfortable at all If you do not checkout by 1200 than you have to pay 50 Pounds, Location
332989,The Cumberland A Guoman Hotel, Fire drill on the Sunday morning was a bit of a nightmare We did not get told what was going on My friend was in the shower at the time I was in my pyjamas we both rushed out into the street there did not seem to be anyone in charge If someone had checked us off a list we could have gone for a coffee or a sit down in a caf I really appreciate fire drill have to be done and I am really glad they are but more organisation next time please , Excellent comfy bed good duvet and pillow ironing board came in very handy 
332990,The Cumberland A Guoman Hotel, View was terrible but that was not the reason for staying here so it can be overlooked I just felt underwhelmed by the whole experience There was nothing particularly wrong with anything staff were fine facilities were OK it was just that for the price I expected a bit more wow if you understand what I mean even for central London I have stayed at the Cumberland a couple of times before and the experience seemed much better on those occasions , Room was snug but clean and comfortable and facilities were good and fully functioning Breakfast was good and choices were fine 
