,Hotel_Name,Negative_Review,Positive_Review
53897,The Goring, Lift was a bit slow , Very attentive service staff knew your name sumptuous rooms attention to detail Immactulate service Nothing a problem Location was great for Victoria Station and visit to Buckingham Palace 
53898,The Goring, was served an extremely tough steak the second one was not much better so was given fish instead this was dry and not the best and I left most of it but they charged me on the bill I would have expected a free drink at least plus no charge for the meal, bed excellent d cor lovely garden very good
53899,The Goring, There was nothing that we didn t like Maybe the drinks from the bar could have been a bit cheaper but compared to other hotels at least when you are charged a premium you get quality, Fabulous hotel great location within walking distance of Victoria station so access to all of London via underground Easy walking distance to Buckingham Palace The Mall Trafalgar Square and on to Leicester Square Covent Garden and ChinaTown Whitehall Horseguards Downing Street Cenotaph Churchills War Rooms and Houses of Parliament Westminster Abbey and Westminster Bridge The hotel itself is beautiful and oozes quality and great customer service Absolutely beautiful 
53900,The Goring, Nothing of real consequence although they did charge me for cleaning I did not have done However it was the hotel that pointed this out to me and provided an immediate refund , Great food and almost all the staff were great
53901,The Goring, Breakfast selection options were average or just explained poorly head of staff at breakfast seemed to be in a rush and just a little abrupt , Level of detail friendliness by staff was mightly impressive Overall a truly wonderful place 
53902,The Goring,No Negative, An excellent hotel so peaceful and quiet with a lovely room and wonderfully attentive and polite staff It was a lovely place to go for a celebration birthday 
53903,The Goring, The lounge staff were not so good very slow and not particularly diligent Every order we had was the same but turned up different and we had to confirm our room number ALOT , The hotel is beautiful and the door staff and concierge were great The food was also excellent 
53904,The Goring, Nothing to dislike , The service was exceptional Everything was excellent The staff were very welcoming and we were made to feel very comfortable throughout the hotel 
53905,The Goring, no fridge in room no hair dryer no tea or coffee in room these are basics not practical to ring for room service for these items every time water provided but is warm restaurant is defiantly not a michelin star had white fish on white plate with white veg very salty very very disappointed will not return, staff are very friendly
53906,The Goring, The room was gorgeous but too small, The staff were exceptional and the hotel felt like a country residence in the heart of London The food was also fabulous 
53907,The Goring, Nothing it was lovely Maybe tea and coffee in the room But the room service was quick and efficient , Fabulous friendly staff we felt like we had stayed a hundred times though it was only our second visit My daughter and her friend arrived to meet us while we were out and were made to feel welcome and comfortable The bedroom was beautiful and very comfortable and we were both able to take some work calls in the gorgeous sitting room We were able to easily get to everything we needed in London it s a very quick walk to The Palace gardens and shops we will certainly stay again 
