,Hotel_Name,Negative_Review,Positive_Review
247613,The Grand at Trafalgar Square, Room was a dark but not a major issue, Brilliant location A cupboard in the corridor from where guest could help themselves to refills of all beverages and bathroom accessories An ice machine and a chilled water machine in the corridor was a really bonus Very quiet considering the location 
247614,The Grand at Trafalgar Square,No Negative, Absolutely fabulous location approx 100m from the official centre of London Rooms clean and ok for size given its a central London hotel No fancy trimmings but perfect for a short stay if you re exploring London Excellent value for money very helpful staff 
247615,The Grand at Trafalgar Square, Nothing other than the window, The hotel was superb but the room was in the middle of the hotel without a window but otherwise very good the room was of a good size with air conditioning a large TV and good WiFi The bed was extremely comfortable and the shower first class
247616,The Grand at Trafalgar Square, Basement toilet facilities were not well cleaned , Great location for a weekend stop in London nothing is too far or difficult to get to Hotel is relaxed and secure Nothing was too much trouble for the staff 
247617,The Grand at Trafalgar Square, value for money was terrible 300 for one night in a hotel whose rooms are tired and furnished extremely dark does not entice me back the bathroom had a shower which was fine but certainly nothing more than average overall i wouldnt return After I checked in I went to the bar to ask for a glass of wine which they seemed very shocked by despite it being 1230pm , the location of the hotel was fantastic and the reception staff extremely friendly 
247618,The Grand at Trafalgar Square, The staff was not friendly or helpful We lost power in the middle of the night and they acted as if we inconvenienced them when we reported it The wifi connection was pretty poor , Our room was clean and comfortable The location was close to the City center 
247619,The Grand at Trafalgar Square, I believe hotels should alert you when you book about events such a the Gay Pride Parade that coincide with your stay That event totally eliminated one full day night from a three day once in a lifetime visit to London Very disappointing that the hotel did not alert us with small children that this event was at our front door On top of that upcharged us for that night , Location was fantastic Providing cool water stations in hallways is a nice feature 
247620,The Grand at Trafalgar Square, At one point I had 4 staff at the front desk ignore me completely to listen to a collegue on the phone The phone in the room didn t work and they didn t replace the battery so I had to go downstairs to ask for towels to order room service and to request assistance with bags , Well located central to many things 
247621,The Grand at Trafalgar Square, fridge in room is needed in this day i was running in a 10k and i had jucies no were to put them, was ok bit over priced close to everything prime location
247622,The Grand at Trafalgar Square, We were misinformed twice on two days we asked about buying day Tube passes and were told FALSELY that it was not necessary as if you used you credit card with a tab you would only be charged the maximum for a day Well low and behold that only applies to residents not visitors The last experience was simply the worst as we were checking out and we asked about a cab taxi and they said the street was blocked off in front of the hotel and all we had to do was walk to end of street and they were there waiting Well NOT the case at all the entire area was blocked off and my wife and I had to cross the Thames hauling our bags to eventually take an Uber about 30 minutes later We were stressed and sweaty Just barely made it on time to the airport I was so upset contacted them from the airport and they said we should have read the signs in the hotel and Web site about street closing due to events they did not acknowledge the inconvenience at all Conclusion do your own research and lower your expectations for service at this hotel , Booked because of vicinity to our needs So location was perfect 
247623,The Grand at Trafalgar Square, Room is a bit small for the price and shower could be modernized i hate shower curtains that stick to you while you trying to shower , Bed was very comfortable location great
247624,The Grand at Trafalgar Square, Nothing It couldn t have been improved on , The staff were helpful but not obtrusive overpowering The downstairs bar dining area was roomy welcoming with a nice blend of traditional modern Water dispensers in the corridors a fridge microwave a nice touch 
247625,The Grand at Trafalgar Square, Didn t like food at breakfast Couldn t get poached eggs from kitchen chef No evening hot chocolate available at 9pm Not very inspiring in room service Wouldn t eat at you restaurant Also no lounge area to relax at end of day for a drink Just work areas looked like everything was catering to conferences , The staff were good The location good 
247626,The Grand at Trafalgar Square, Room cleaner window broken frame dirty very unhappy wth Booking com No phone no no and to my email that U advertised the room cheaper I like u guys but not when behave like cheapoair flim flam artists R Chillemi, Location Staff
247627,The Grand at Trafalgar Square, Room was a bit tight no drawers really narrow wardrobe had to keep clothes in suitcase , nice feature chilled filtered water and empty pba free ready to fill containers in hallway 
247628,The Grand at Trafalgar Square, The price Overrated even for London standards , Very friendly personal Excellent location Free concierge service for keeping bags during the day before checking in and after checking out 
247629,The Grand at Trafalgar Square, I wasn t there long enough for anything to come to light There was a minor line at check in but once one member of staff clearly doing another job by the way noticed they dropped what they were doing and checked myself and the people behind me in whilst his colleague was busy FABULOUS , As a former Londoner location was everything The price was just a bonus 
247630,The Grand at Trafalgar Square, I was there in unusually hot weather and air con in room was not as cool as that in foyers etc , Nice big room very helpful staff and useful facilities that are not common in London hotels tea and coffee making fridge microwave and chilled water and bottles to refill available in corridor A cupboard with guest facilities such as ironing board and iron made it easy to get those as needed This is the best London hotel I have stayed at 
247631,The Grand at Trafalgar Square, The room was particularly great and apparently it was an upgraded room really not worth the money, A great location close to everything we wanted to see
247632,The Grand at Trafalgar Square, Furnishings in room were a bit worn and tired Bed sheets or mattress underneath had a few stains but in fairness they were clean I did check with a small UV light I carry with me Also in fairness on the sheets I did not complain as it was pretty minor and they were clean If I had complained I suspect the staff would have addressed it Also didn t like that I had to use stairs regardless of the direction I approached the room not bad without luggage but if you have luggage in tow it would have been nice to have a ramp in at least one direction The technology for the TV was overall great but I would have liked the ability to sign on to my own social media accounts such as YouTube in order to access my own playlists , Lots of use of modern technology the machines on each floor to get water and ice guest lockers rooms on each floor where you could get extra supplies and amenities the available DIY guest laundry room 
247633,The Grand at Trafalgar Square,No Negative, Wonderful hotel it looks like it has been very recently refurbished gorgeous carpets everywhere and the room was amazing booking in and out was a breeze also our room was ready when we got there at 1pm so gave us a chance to change before going out to lunch All the staff were very helpful will definitely be going back again 
247634,The Grand at Trafalgar Square, Staff are curt to the point of rudeness at checkin Appear to have a preference for dealing with business suits rather than tourist guests although guests must be well healed to stay there Appear to have less than adequate English skills We requested a room after 7 days stay and were returning 2 weeks later for another 3 days Clearly no attempt was made to address this Just told the hotel is full sir Room was very hot and stuffy Windows only open 10 centimetres Bathrooms could have been cleaner especially the toilet and ice machine on most floors not working , Great location to be so close to Trafalgar Square Coffee good down stairs Ice machine and cool water dispenser good Easy walking distance to Soho and Convent Garden 
247635,The Grand at Trafalgar Square, Absolutely no staff service or support from taking ur own luggage up to getting any assistance for information or facilities No managager on site to address issues despite requesting for Mgmt , Brilliant Location
247636,The Grand at Trafalgar Square, Did you have breakfast in hotel at 20 each seemed high for all that we have for breakfast Garfunkels only 25 yards away offering full English breakfast at 5 95, The wifi was the best we ve ever had in a hotel 74Mb in the room Water supply and bottles in corridors Check in very efficient Location perfect only 60 metres or so from Trafalgar Square
247637,The Grand at Trafalgar Square,No Negative, Beautiful hotel and room a great location and price for 150 195 per night on a holiday weekend I was also able to check in at 11 30am Air conditioning worked great and I was even able to do my laundry for free I would stay here again 
247638,The Grand at Trafalgar Square, We booked three rooms and the rooms were very far apart We even had to take a different elevator to get to one of our rooms That made it difficult for a family , Location and cleanliness
247639,The Grand at Trafalgar Square, Nothing at all everything was perfect , This hotel is excellent the location is great the beds are really comfy and the room was really well equipped fridge and microwave Will definitely return here for my future London visits 
247640,The Grand at Trafalgar Square, The street outside the entrance is a main street with a traffic light therefore always in a traffic jam it took me 20 minutes to order a cab from the hotel better to walk around the corner and hail one and is somewhat noisy , Spacious clean rooms with comfy bed and modern facilities and extra amenities strategic location and friendly staff
247641,The Grand at Trafalgar Square, Booked two non smoking rooms but only received one One couple had to sleep with the window open in the cold rainy weather on our first night and were both subsequently sick for our stay Had complained on initial entry and asked to be moved due to the unbearable smell of smoke but they put a machine of some sort in the room instead which only helped marginally , Location Walk out the door and you are surrounded by great cafes and pubs Trafalgar Square on one corner buckingham palace in view as is Big Ben and Westminster abbey Easy walk to all Multitude of buses and the rail system on the corner 
247642,The Grand at Trafalgar Square, I wish I d known to ask if the room had natural daylight even if the windows looked over the street Consequently you needed the light on all the time which for all the comforts a room has makes it like feel like a cell , Art deco of the restaurant and bar area Breakfast was good although black pudding was hard as a clay pigeon Location was excellent 50 yards off Trafalgar Square but on a relatively quiet street 
247643,The Grand at Trafalgar Square, I requested a bath tub when booking a long time ago but the room allocation was not selected till we arrived when no such facilities were available even if we up graded to a suite I am sure that at the time of booking availability would have been easy Staff very efficient but not happy or at ease with residents , Thje location is superb for everything in central London for theatres restaurants shopping and the Thames 
247644,The Grand at Trafalgar Square, Only a minor complaint we were close to the lifts and we could hear the doors opening closing all night , My wife and I travelled to this hotel Right beside Trafalgar Sq There is a tube station about 100 feet from the front door of the hotel Great service We told the hotel that we were celebrating our 35th wedding ann anand asked for a quiet room with a view Not only did we get that we could see hear Big Ben but the hotel left us a complimentary bottle of wine sweets crisps water and something for our computer Really great service thank you There was even a free water bottle service in the corridor and you could fill your bottle with ice cold water before you left the building and ice and ice bucket service beside it excellent A great BIG thank you 
247645,The Grand at Trafalgar Square, Effectively this is Club Quarters the two are in the same building and share a front desk The rooms and public spaces are definitely not as nice as the pictures And query the cleanliness when I opened the curtains moths flew out, Staff was super friendly and helpful Water machines in the corridor is a nice feature
247646,The Grand at Trafalgar Square, The bed was rather small although good Breakfast has no a lot of choice it is not good value for money taken Shampoo is not good enough , Location is exelent Staff is very friendly The room was clean 
247647,The Grand at Trafalgar Square, Tiles on the floor of the shower were cracked and sharp the extractor fan did not work so everything steamed up when the shower was in use We reported this and were promised that it would be dealt with but it didn t happen Bins weren t emptied daily and neither were our water wine glasses washed no big deal we did it our selves but it s the little things sometimes which leave an impression , The location was perfect for sightseeing in London We hardly used the underground or public transport because everything was within walking distance from the hotel 
