,Hotel_Name,Negative_Review,Positive_Review
322813,The Guesthouse Vienna,No Negative, The staff were incredibly friendly and helpful The room was lovely free wine in the room was a nice touch Very central Would highly recommend 
322814,The Guesthouse Vienna,No Negative, Vienna is a city which always gives great pleasure Hotel Guesthouse Vienna is a real city jewel It s location on a quiet street is perfect There s a cozy restaurant with a small outdoor terrace on the first floor and they offer fresh oysters every Saturday and Sunday Hotel staff is professional and friendly Deluxe Double Room is a spacious bright room with 3 windows which offer gorgeous view on Albertina and State Opera Besides regular fridge the room was equipped with a small wine fridge with 4 bottles of great Austrian wine Wine fridge was restocked daily Coming home after a walk around Vienna how good it is to drink a couple of glasses of refreshing Gr ner Veltliner glancing over the evening city Hotel The Guesthouse Vienna is definitely a place you want to return to 
322815,The Guesthouse Vienna,No Negative, The Jura automatic espresso coffee machine was a bonus The staff over heard my young son mention my wife was celebrating her birthday and the next evening a wonderful birthday dessert was in the room Housekeeping must have seen the stack of pillows in the bed as the pillows are very soft and sent up firm pillows without requesting Amazing attention to detail The shower was the best my family experienced in our European travels and the daily complimentary bottle of local wine white red was beyond expectations Exceptionally clean quiet and enjoyable experience My family and I travel several times a year and stay in luxury boutique hotels and The Guesthouse Vienna is one of the best ever 
322816,The Guesthouse Vienna, I had to request several amenities that were not replenished each day wine several times and towels once also snacks , We had a lovely stay and would gladly return at our first opportunity We especially enjoyed the wine that was replenished daily Being allowed to take it to our meals was a very thoughtful policy 
322817,The Guesthouse Vienna,No Negative, We loved our stay at the Guesthouse in Vienna They gave us a beautiful room which we absolutely adored I loved the bathroom tub and shower Breakfast was a highlight and definitely something you should not miss It was truly a wonderful experience and we would highly recommend it to anyone looking for a 5 star hotel experience 
322818,The Guesthouse Vienna, Nothing really , Excellent hotel in a very central part of Vienna Generous room amenities and a great restaurant downstairs I wouldn t hesitate to recommend this hotel to others and if we were to visit Vienna again we would certainly like to stay there again 
322819,The Guesthouse Vienna,No Negative, Lovely hotel with great staff very comfortable room and little extras free bottles of wine juice water beer every day upper range in price but worth it hotel located in centre of city few minutes from Opera House
322820,The Guesthouse Vienna, W C room too small and dark , Upon our arrival we were a bit surprised by the lack of a lobby or hotel like reception area at this hotel However this was quickly forgotten as soon as we stepped in our room Loved the spacious modern and stylish interior decoration Confortable bedding Big closets Spacious and airy bathroom But what makes this hotel particularly outstanding is its central location and the excellent and efficient service provided by the entire staff namely Livia at the front desk 
322821,The Guesthouse Vienna, Hated not having a kettle Even though hot water is delivered it was never hot enough , Bed was excellent staff so friendly good size rooms Location perfect and a wonderful cafe 
322822,The Guesthouse Vienna, I think they need to figure out the horse smell issue on the street Perhaps bleach the street nightly or use a citrus solution that is non toxic I can see this being the only issue in the hot summer , I wish I could have stayed longer because they had so many free things 4 free bottles of wine plenty of bottled water and little cake treats when I arrived The bed was amazing and the cleaning staff was excellent Lastly the front desk reception helped me tremendously with food reservations 
322823,The Guesthouse Vienna, None, Friendly and helpful staff Arranged airport transfer and booked popular restaurant for us Very clean room Complementary soft drinks and local wine Tasty breakfast try Egg Benedict 
322824,The Guesthouse Vienna, Nothing, Perfect location in Old Town Square Staff was friendly and helpful helped us make reservations and made spot on recommendations Room was very spacious Bathroom was modern and clean finished in black marble chrome and glass Separate soaking tub Breakfast was delivered each morning to our room and was tasty and made to order Overall excellent experience 
322825,The Guesthouse Vienna, air conditioning was v poor hate to think what would be like in mid summer, very good menu extremely helpful staff very clean liked the free wine in our mini bar
322826,The Guesthouse Vienna, Everything great, Friendly helpful staff organised sightseeing restaurants airport pick up nothing too much trouble Excellent value breakfast so much choice Sun trap outside hotel 2 bottles of wine and water included for each day
322827,The Guesthouse Vienna, I really don t have anything worthy of being singled out for criticism , This is one of those hotels which simply deserves all the superlatives you can throw at it Beautiful and functional design high standards of comfort excellent levels of service and an ideal location in the central district of the city The attention to detail is definitely present down to the little things like the handwritten welcome note and the mini chocolate cakes in your room to the copy of the New York Times that s delivered to your door each morning I loved my stay here and will definitely be returning 
322828,The Guesthouse Vienna, Nothing, The hotel is modern well run and super clean The staff are knowledgable and very helpful Also the hotel is located in a great position to many leading sights The brasserie in the lobby has a fantastic menu and the food is excellent Can t fault this hotel at all 
322829,The Guesthouse Vienna, to change the breakfast menu to a buffet, we upgraded to the deluxe room with the opera view and it was worth any peny it was like home away from home cozy and warm feeling free mini bar esspreso tea water orange juice beer wine the location was amazing close to everything the service was welcoming and helpful with a smile 
322830,The Guesthouse Vienna, The only thing would have been to have a supply of hot water i e a kettle in the room or hot water tap for those who like coffee the machine was great but for those who liked tea like me you had to ring to get someone to bring hot water it would save the staff having to do that as well, The view was brilliant right by the State Opera and because there was sound proofing you slept well Breakfast had lots of choice and the staff were always helpful and friendly Ideal location to walk around the city 
322831,The Guesthouse Vienna,No Negative, The staff were great in particular Gabby who assisted us with an issue we had in changing the dates Wonderful location and restaurant Rooms very clean and very comfortable We go every year and will definitely be back again this year 
322832,The Guesthouse Vienna, Timing of housekeeping finishing the room each day varied making it difficult to know when our room was free for our use Restaurant waiting staff excellent but head waiters very stern , Cake and a card from the staff for my birthday Business cards with my name Housekeeping checking every evening if we required anything Excellent bath products 
322833,The Guesthouse Vienna, No complaints not even a small one , Amazing location friendly staff so many small touches that make it a special hotel that I ll certainly be visiting again Free amenities like bottles of wine water tea and coffee maker with daily refills really add a touch I appreciated Their brasserie for breakfast is also really amazing I didn t get breakfast included and only tried it one day a la carte will certainly try again 
322834,The Guesthouse Vienna, The pillows in the bed are too soft, EXCELLENT hotel From the friendly staff to the fast room service to the spacious luxurious and modern rooms every detail was well considered and taken care of The espresso machine and Austrian wines in each room was also a plus and it is great to have a sofa in them too Location couldn t be more central and the restaurant and food is also great I wish there were more hotels like this in there world 
322835,The Guesthouse Vienna, Installing blinds to provide more privacy for the shower which borders the bedroom , Very modern and comfortable room and bathroom Complimentary wine and soft drinks friendly staff and excellent location Lovely breakfast at the Italian restaurant in the lobby 
322836,The Guesthouse Vienna, The room is a good size for two When you are with a kid they put an additional bed which is very comfortable but the space becomes a bit tight Practically there is not a lobby just the reception and the restaurant , Very nice and clean room with a cosy seat by the window Beautiful views to Albertina hall and the State Opera Delicious menu for breakfast Best location for sightseeing and walking Fantastic staff helpful and polite 
322837,The Guesthouse Vienna, Nothing , The location is perfect Located in front of the square close to Albertina museum and Opera House You are close to all major sights and museums Minutes from pedestrian shopping zones and public transportation The staff could not be more friendly and attentive Wow We upgraded to a deluxe king with opera view Worth every penny It came with three bottles of wine unlimited water and soda and fresh ground coffee maker The room had two bay windows with seats that allowed you to relax and watch Vienna pass you by The rooms are beautifully decorated and the deluxe room came with your and art books We had our own private library They will also sell you the Vienna cards 
322838,The Guesthouse Vienna, Pillows are a little too soft , great bakery restaurant Free wine and beer in the room An excellent bean to cup coffee machine in every room too Very nice place to stay 
322839,The Guesthouse Vienna,No Negative, Delicious breakfast stylish hotel sizeable room and an amazing location Most of the items in minibar including wine are already included in the rate I would recommend any time of the day 
322840,The Guesthouse Vienna,No Negative, best location easy access to albertina sacher shopping lanes love the room amenities and great consideration to little details including a hand written welcome note a selection of books in each room 
322841,The Guesthouse Vienna, We have stayed at the Guesthouse a few times in the past 2 3 years This year we booked a room for 3 nights but unfortunately upon arrival one of our family members has fallen ill and we decided to leave after the first night We told them from the start of the happening and if they could understand us and at least not charge us for the 3rd night No there was no understading but rude and stubborn responses That is not how you treat your regular customers ,No Positive
