,Hotel_Name,Negative_Review,Positive_Review
95942,The Hari London, Bare floor in room, Pleasant staff
95943,The Hari London,No Negative, Excellent staff
95944,The Hari London, noise in hallways rooms not soundproof,No Positive
95945,The Hari London, Poor lighting in rooms,No Positive
95946,The Hari London,No Negative, Comfy bed Extremely pet friendly and will definitely be back 
95947,The Hari London,No Negative, Staff Atmosphere boutique hotel feeling
95948,The Hari London,No Negative, Great location 
95949,The Hari London,No Negative, Location and quality
95950,The Hari London, Not near an underground ststion,No Positive
95951,The Hari London,No Negative, Staff made our anniversary extra special
95952,The Hari London, Service Location, Excellent location value for money and friendly staff
95953,The Hari London,No Negative, Lage Stil des Hotels Freundliche Personal 
95954,The Hari London, Nothing, Service fantastic Staff brilliant Great location
95955,The Hari London, Noisy room No turndown service Only one plug for the desk ,No Positive
95956,The Hari London, Lighting is a bit dark in the room but it s cozy overall, Staff very friendly bed extra comfy
95957,The Hari London, Include breakfast in rate, Stylish super friendly and amazing location
95958,The Hari London, too expensive breakfast but it is not really buffet, clean rooms
95959,The Hari London, Nothing, Everything
95960,The Hari London,No Negative, I thought your staff were extremely helpful throughout all our group were impressed and would recommend you to a friend
95961,The Hari London, Room size Extremely small and uncomfortable Very noisy neighbors kept us awake for 3 nights, Location
95962,The Hari London, small room, The Boutique hotel in Belgravia
95963,The Hari London, Rooms much too small Particular public at tea time,No Positive
95964,The Hari London, Drinks in bar expensive, Love the staff amazing Very low key but still posh
95965,The Hari London,No Negative, Everything was perfect
95966,The Hari London, Nothing everything is well, The amazing hotel I seen in my life
95967,The Hari London,No Negative, Smoking area
95968,The Hari London,No Negative, We loved the hotel Small great service nice location 
95969,The Hari London,No Negative, What A refreshing experience I am used to drab five star hotels in London and on arrival here it was the absolute wow factor from minute one I would put it up there as one of my best ever Hotel experiences in my many years of travel and would highly recommend it as the only hotel to stay at in London 
95970,The Hari London, Found blood stain in bed duvet which is irresponsible by management team and house keeping AC not working properly and capped at 22 degrees cannot go lower which I was sweating at night Location is very far from soho regent and oxfords , Nice rooms and bed Staff were nice Nice room service 
95971,The Hari London, Room was a little small and overlooked from across street Better on upper floors Air conditioning was either too cold or off despite attempts to adjust it and there were no written instructions Not possible to have bedside reading lights on individually either both on or off , Belgravia location excellent and quiet despite being so close to the shops and attractions of central London Staff very friendly Very comfortable bed Good bar that had plenty of activity but never too full Hotel was small but better for it 
95972,The Hari London, The breakfast buffet could be better Things like butter soy milk fresh whole fruit and healthy mueslis were missing , The atmosphere of the hotel was very good Things were efficient but in a slightly bohemian way A great combination 
95973,The Hari London,No Negative, We received a warm welcome upon our arrival This hotel is located in a nice area within walking distance to Harrods and the Hyde park Staff were exceptional very professional yet friendly and helpful The ability to take the hotel bikes was so great as we felt safe to bike to Hyde park from the hotel and back Great way to see the the whole of Hyde park The bar service was excellent 
95974,The Hari London, The bed were too hard for me but the hotel manager quickly fixed the mattress stiffness problem by adding a thin mattress on top It worked , Very nice cosy place Well located Staff was always super helpful 
95975,The Hari London, Nothing, The service was second to none The best service levels I hve seen in a long time All staff with no exceptions was outstanding Fantastic hotel 
95976,The Hari London, Nothing , The staff were very friendly and helpful The room is not big but not small by London standard either It s a little far away from any tube station but a very pleasant walk along the high fashion Sloan Street as long as the weather is not too bad Seems always some taxi waiting at the gate so not a problem at all for those don t plan to use public transportation Walking distance to some of the A list museums 
95977,The Hari London,No Negative, The airconditioning broke and within 30 minutes we were provided with a new room and an unpgrade into a suite The staff and especially the night manager were extremely friendly and helpful 
95978,The Hari London, Water in shower did not drain away properly and standing in cold water from the night before was unpleasant The shaving mirror is required on the dressing table when drying hair as there is no vanity mirror in reach of power sockets for the hair dryer Would have liked some real coffee in the room without requesting room service Its a new hotel and I am sure these teething problems will get sorted out quickly , Lovely quiet oasis just off Sloane Square Very friendly and helpful staff Fabulous atmosphere and very restful We would be happy to return to the Hari given the opportunity 
95979,The Hari London,No Negative, The staff at the Hari were incredible I traveled from California to London to celebrate graduating from a master s program It was a much needed vacation and everyone at the Hari made the trip as fabulous as I envisioned it to be 
95980,The Hari London, Unfortunately due to the heavy rain earlier the balcony roof was dripping a bit , Very friendly staff Room service menu was delicious Gorgeous shower bathroom Comfy room bed with sofa balconette area
95981,The Hari London, the breakfast which we found a little poor for such a hotel and price Continental Breakfast for 20 00 Pounds No cups for the egg no spoon horn for the egg no butter on the buffet or table we had to ask for and the filtered coffee was not filtered coffee We had the coffe ground in the cup and it did not taste at all We recommend the place nearby 5 min walk called L eto its Russian and means Summmer and serves fantastic breakfast , the room the view to the Chesham Place Garden
95982,The Hari London, Nothing , An absolutely faultless 2 day stay in a quiet Belgravia location close to Sloane street Harrods and Hyde Park Amazing customer service from the Hari Hotel team who do everything to go the extra mile for their customers 
95983,The Hari London, The breakfast is ok nothing special The fitness room is super small , Relatively new hotel in Belgravia upscale and quiet location There a few good restaurants in the area and many amazing shops The room was spacious and comfortable bed is nice and large Had a cocktail in the bar and it was really good The vibe in the bar is cool also people from outside are visiting I like the design of the hotel a lot it is modern and warm at the same time Definitely a good hotel would recommend and stay again 
95984,The Hari London,No Negative, The staff were very courteous and professional in dealing with a slight hiccup at check in the room was not ready Their excellent customer service more than made up for the slight delay Room very comfortable with pleasant view to the square in front of the hotel Conveniently located for the Chelsea Flower Show and underground stations Sloane Sq and Knightsbridge 
95985,The Hari London, The breakfast was of high quality and in general had everything we need only we would have loved to see fresh vegetables at breakfast as well , The staff is outstanding friendly and helpful the rooms are very clean and the restaurant has excellent food and service staff The even came up with a off the card offer of a mixed grill fish which was excellent It is close to Hyde Park and Harrods as well as to public transport to get to the center The hotel is absolutely worth its price We will recommend this hotel and be back ourselves 
95986,The Hari London,No Negative, Fantastic location in Belgravia We went to the Chelsea Flower Show from the hotel and it was the perfect distance allowing a nice walk through the lovely streets nearby Staff were also very helpful 
95987,The Hari London,No Negative, The attention to details is impeccable I love when ART is appreciated and goes hand in hand with the design Beautiful interiors and creative facade Highly recommended 
95988,The Hari London, we check in at 12 o clock but they let us to enter the room only at 16 o clock it was rather unpleasant the breakfast is too expensive comparison to what you can get there , the location is good not far from the center the nearest underground station is at 12 minutes of walking 
95989,The Hari London, We had one of the tiniest rooms in the hotel for the first night and it felt like we were being over sold on its appropriateness since it was at the top of the hotel and had a great view But we couldn t swing a cat in the there let alone find a place to open our suitcases Luckily we were able to get a different room for the rest of our stay and they provided us a complimentary breakfast to compensate for our discomfort The hotel restaurant prices were higher than we have experienced elsewhere in London The staff were always polite and available but maybe a little over the top sometimes It was hard to have some anonymity privacy as guests Inconsistent turn down service which was to be daily , Lovely hotel overall well maintained good location and personable staff 
95990,The Hari London, nothing everything about this hotel is perfect , excellent intelligent and amazing staff clean rooms and facilities great views proximity to points of interest 
95991,The Hari London,No Negative, Check in was fast staff are friendly location is perfect and love the lounge Love everything about The Hari from the atmosphere scenery to the friendly staff 
