,Hotel_Name,Negative_Review,Positive_Review
338713,The Harmonie Vienna,No Negative, The hotel was beautiful Although it was a modern facility it had a certain feeling of an older time Afternoon Tea was available the lounge had a retro feel to it I felt that our room had the right amount of luxury The hotel is not in the old city Innerstadt but there were plenty of restaurants in walking distance 
338714,The Harmonie Vienna, N A, Perfect hotel with very nice rooms and esp very friendly staff The staff was very helpful and friendly any time we need some help We need to also appreciate very tasty Five stars 
338715,The Harmonie Vienna,No Negative, Very pretty hotel Very quiet Breakfast was good Location could be better since it does not have the best public transportation links Still quite good and a very pleasant area for walking Not a lot of quality dining options although the Pizza Corta at the end of the road did serve a quality risotto even though the ambiance of the place was a bit low rent To explore Vienna by foot and public transport there are better located hotels 
338716,The Harmonie Vienna, The room furniture was crammed in the room not enough space The hotel is not close to the city center , The hotel is modern nicely decorated and clean They have nice details like leaving sweets every day in the room The breakfast was good with a good variety of products 
338717,The Harmonie Vienna, Small room for 3 and the parking is not very close , Very nice and clean hotel situated not far from the bus tram station We have stayed several times in Vienna in different places we found the hotel good value for the money location and services The staff very friendly smiley and helpful Good choice at breakfast and some gut things to eat at lunch time or dinner if you are in hotel The room clean well decorated though a little small for a family with 3 members but perfect for a couple They offer cookies and tea in the afternoon which is very nice from a hotel We enjoyed the quiet of the hotel 
338718,The Harmonie Vienna,No Negative, Clean comfortable room very good breakfast Friendly staff Easy to reach from the airport with public transport S7 to Wien Mitte Landstrasse and then the U4 stop at Rossauer L nde 10 min walking to hotel Or take the U3 from Wien Mitte Landstrasse and stop at Volkstheater Take tram D to Nussdorf and then get out at Bauernfeldplatz less than 5 minutes walking 
338719,The Harmonie Vienna, There was only one English TV Channel BBC WORLD which was terrible with no English news Would have been nice to at least have Sky News in English not Arabic , Excellent room brilliant breakfast with friendly helpful staff manageress recognised from previous stays at the hotel 
338720,The Harmonie Vienna, The only issue is 10 minutes to reach the property from U2 or U4 whatever sunny or rainy But may be I am carping , Breakfast was tasty Staff was very friendly Bed comfortable Everything you want they have 
338721,The Harmonie Vienna, it is far from the center and the public transport closer metro station 10 min walk , The room was clean comfortable and big Breakfast war very good Good quality products and generous Hotel Personnel very helpful
338722,The Harmonie Vienna,No Negative, Super quiet top prof staff good comfort and super location Nice breakfast with a great selection We loved the neighborhood and found good restaurants coffee places etc nearby Easy to get to all sights and the center But you are out off the tourist crowds 
338723,The Harmonie Vienna, The first night we decided to have dinner at the hotel as we were rather tired after a long day but unfortunately they are not catered for it There was no chef and the food was prepared actually reheated by one of the front office staff So a big mistake and a sure no no There are plenty of restaurants a few hundred meters from the hotel so better stick to other options , The breakfast was very varied and meets all tastes Great selection of fruits cereals veggies yoghurts breads cold cuts sweets etc Most foods and breads are made with Organic ingredients or are of organic origin Staff very helpful especially the lady from Sri Lanka 
338724,The Harmonie Vienna, I have no complaints , The breakfast was good and the staff assisted us with everything From calling a taxi suggesting things to do and recommending local restaurants The hotel is also located in a very quiet neighborhood 
338725,The Harmonie Vienna, This is absoluetly minor but the hotel had a pillow menu on offer When asking the reception staff for one of the pillow choices him and his colleague had now idea what I was talking about Also this issue was quickly resolved , Loved the property Breakfast was excellent The best thing about this hotel is that they offer complimentary teas and cakes in the afternoon Such a wonderful touch Also the location is subherb with the hotel being right in the Servitenviertel you are spoiled for choice when it comes to restaurants etc 
338726,The Harmonie Vienna, Nothing, Very well thought out room with everything you need very comfortable bed and excellent ensuite shower room Staff at the front desk were very helpful as were the staff at breakfast Great breakfast selection Convenient location about 15 minutes walk from the centre We particularly enjoyed the D Landsknecht pub restaurant just near the hotel Have already highly recommended this wonderful hotel to friends 
338727,The Harmonie Vienna,No Negative, Checked the property on Tripadvisor Really enjoyed the hotel good location quiet but close to attractions very welcoming and most helpful staff The breakfast was one of the best I ve had on travels Would definitely stay at this hotel again greatly added to my wife s and my experience in Vienna Afternoon tea and cake courtesy of the hotel was a nice touch
338728,The Harmonie Vienna,No Negative, The hotel is very central but quiet many shops and restaurants nearby also public transport round the corner Breakfast is excellent and staff is very friendly helpful and professional We stayed in the hotel for the second time and will definitely come back 
338729,The Harmonie Vienna, The second double bed in the room was very uncomfortable It was a fold out sofa bed and the one half was like lying on a very thin mattress on top of a wooden panel , Superb helpful staff and very clean and modern hotel facilities The location is good 10 15 minute walk to the nearest metro station and 15 20 minute walk into the city centre The breakfast buffet was fresh and plentiful We would use this hotel as a tourist base again 
338730,The Harmonie Vienna, Nothing to complain , One of the most beautiful and efficient hotel ever The Staff are perfect always helpful with our requests The Airline company lost our baggage and the hotel staff help us in find places to buy clothes medicines and other personal needs All staff is happy and they are happy when can help us Taking away my problem with the airline my honeymoon experience was delightfull inside the hotel and in Vienna I ll back soon to Vienna and I ll booking the Best Western Harmonie again 
338731,The Harmonie Vienna, Breakfast crowds don t show up too late the earlier the better , The room was spacious well designed and extremely quiet 4th floor facing the street The bed is really good We would stay here again when visiting Vienna 
338732,The Harmonie Vienna, The lady serving breakfast was a little rude each morning I could tell she was extremely busy so maybe provide her with some more help , We loved this hotel The staff working the front desk was really friendly and helped us with everything from maps to public transportation tips Our room was very clean with modern fixtures and an extremely comfortable bed We also had control of our A C which can be rare in Austria but we loved this The gym is decent size and the breakfast each morning is delicious Lots of organic and healthy choices plenty of drinks meats breads and a yogurt bar The hotel is a littler far from the city center but we walked one day and rented bikes the next Their is a city bike rental right down from the hotel near the parking garage and I highly recommend it We had a blast 
338733,The Harmonie Vienna, it was not easy to get shower in the bathtub because of the half glass shield If you arent careful the water can easily spread everywhere , The hotel was clean and quite Breakfast was good 
338734,The Harmonie Vienna, Nothing If I should something negative it could be a window with not a perfect view , The location the staff the breakfast a very well decorated hotel
338735,The Harmonie Vienna,No Negative, all excellent great clean room wonderful bed delicious breakfast with high value products center is 15 min wolk very good neighborhood late check out without charged 
338736,The Harmonie Vienna, The room could be a little bit large and the housekeeping better In one of the days the bed was not made and we had to complain The problem was solved by the reception staff neverthless marred the impression about the hotel, The nice staff the breakfast and the general comfort
338737,The Harmonie Vienna, Views are not scenic and location could be slightly better , Breakfast is just amazing not the usual juice from concentrate style Superb amenities and great quality for money in every aspect 
338738,The Harmonie Vienna, Can t think of anything, Good location with walking distance to the city center transport links near by tram and metro very kind and attentive staff breakfast was fabulous with good quality bio products perfect start of the day the bed was comfortable and various types of pillows available upon request tea coffee making facility in the room And the afternoon tea with cake for the guests in a lovely lounge is a great touch 
338739,The Harmonie Vienna, Wifi needed re registration every time I needed to use it on my iPhone i iPad , Organic breakfast staff s hospitality vicinity to my business 
338740,The Harmonie Vienna, We liked everything , A role model for 4 hotels Very clean comfortable and beautifully decorated rooms Delicious breakfast with organic products and quick service Overall amazing value for money 
338741,The Harmonie Vienna, Not really a walking distance from city center but bus and tram stops only steps away Booked double bed and got connected single beds Too soft for my taste as well , Excellent breakfast super friendly staff at restaurant and reception Five stars cleanliness and interior quality Nice area around with few very good cafes and restaurants 
338742,The Harmonie Vienna, Public transport from airport is not a realistic option but this didn t trouble us at all , Great breakfast walking distance to central Vienna tourist attractions 
338743,The Harmonie Vienna, Nothing to not like, Decor was beautiful modern and clean Rooms are warm and very cosy in a good way and the beds very comfortable A great nights sleep Breakfast is yummy with many healthy options and a great variety Excellent transport links D tram towards town is dead easy 
338744,The Harmonie Vienna, There was nothing that I didn t like about the hotel and I can t think of anything that would have made my stay better The hotel was perfect , The staff at the hotel were excellent very friendly and very helpful and professional The hotel itself is really nice unbelieveably clean excellent location and one of the best I ve stayed in regardless of price It was amazing value and attention to detail and I would not consider staying anywhere else 
338745,The Harmonie Vienna, Only real issue we had was when we needed a taxi back to the airport The hotel said they could only call one taxi company for us which charged 43 euros when we had a number for another company that only charged 30 euros We could not use their pone and had no other way to call , The breakfast was great with hot and cold selections and overall all a lot of variety The ladies who ran the breakfast were great especially when it got busy Location was great with a major underground stop about 7 minutes walk Additionally downtown and many of the major attractions could be reached by walking 20 minutes 
338746,The Harmonie Vienna, The room was very warm even when the heating was off but didn t spoil our stay , Really friendly staff and helpful Nice breakfast and plenty of choice also a wide range of drinks to choose from 
338747,The Harmonie Vienna, A little more choice in the mini shop at reception , The staff were outstanding very polite their attention to detail and our personal wellbeing was very evident 
338748,The Harmonie Vienna,No Negative, The breakfast is magnificent super fresh cheese ham lots of fruits The location is very convenient calm place but close to center everything is reachable on foot Clean and comfortable rooms but may be a little bit small for big people traveling un coupled 
