,Hotel_Name,Negative_Review,Positive_Review
253051,The Hoxton Shoreditch, Came back at 5 and told room had been overlooked and not serviced After long day on our feet expected clean room to come back to Perhaps if rooms could be serviced by 2pm that would be great , Loved everything Although very busy a safe environment Helpful pleasant staff Great vibe Cafe staff in am very helpful 
253052,The Hoxton Shoreditch, The bed was rather soft the view wasn t spectacular but everything positive evened those things out for us On the weekend evenings there s a party going on in the lobby which didnt t bother us but still would have been nice to know in advance , Super friendly staff very quick to help with anything Nice complimentary breakfast at the room every morning In the whole room hotel it felt like it was thought through in design writing atmosphere and facilities 
253053,The Hoxton Shoreditch, The only thing I could fault would be that the room was too hot and no air con however we did stay on a really hot day , Room was nice and clean breakfast was a lovely touch 
253054,The Hoxton Shoreditch, Nothing I want to live there , Crispy white linen spotless bathroom cute tea station wifi radio TV fantastic air conditioning made this a very cool cool hotel Lovely boxed birthday balloon made was a really nice personal touch Nothing was too much trouble staff were incredibly friendly it looks like a nice place to work 
253055,The Hoxton Shoreditch, Bluetooth speaker would have been nice and a savoury option for breakfast bag but these are very small negatives, Location feel atmosphere look comfortable beds design unique but welcoming
253056,The Hoxton Shoreditch,No Negative, The location is great friendly staff nice area close to brick lane many good restaurants in the area close to old street station northern line 
253057,The Hoxton Shoreditch,No Negative, Fabulous communal spaces which are buzzing and lively friendly and welcoming staff excellent design details throughout which are super stylish but emphasis on comfy and cool not fussy Bed SUPER comfy Nice touches and sense of humour Homely and loungy in a very cool way Not pretentious just well done Superb avacado poached egg toast for the morning after a lovely wake up fresh juice yoghurt and banana at your door Well done guys consistently satisfied 
253058,The Hoxton Shoreditch, Nothing I didn t like I just wish they had a pool , Great hotel helpful staff convenient location I will come back often Plus they leave a lovely free breakfast bag at your door every morning It includes a fresh orange juice a granola and a banana 
253059,The Hoxton Shoreditch, I was charged for over 80 of drinks that were not mine as the fracture between the hotel bar separate company and hotel reception I complained but after waiting for over 20 minutes to have the issue resolved I had to leave for fear of missing my train , Location Decor
253060,The Hoxton Shoreditch, Didn t have an Iron in the room , The hotel lobby bar was always busy and lively but when you went to the room you had peace and quiet This gave a nice best of both worlds situation The location is excellent as well the tube is a short walk and there is a great selection of bars nearby 
253061,The Hoxton Shoreditch, I called afterwards as I didn t receive my receipt by email took me ages on hold for 15 mins to get through to anyone and still have not received the email with the invoice ,No Positive
253062,The Hoxton Shoreditch, Glass bathroom door made sharing room with a colleague a bit well more intimate than either of us were comfortable with , Lively atmosphere great coffee great food 
253063,The Hoxton Shoreditch, The drinks are very expensive Some level of parking facilities would be good but probably very impractical for the location , The atmosphere all over the hotel is great As is the bar area The shower is amazing The breakfast bag is a nice touch 
253064,The Hoxton Shoreditch, Bfast needs a gluten free alternative, Liked lack of wastecw regard to shampoos etc large containers good Staff excellent location great and terrible I gave friebds all overcand traffic is terrible therefore hours in cabs ubers or metro
253065,The Hoxton Shoreditch, I would have liked a dressing gown , The rooms like the rest of this hotel are beautifully designed the bed was comfortable with crisp cotton sheets All the staff were friendly and we just generally enjoyed the ambience The breakfast was also excellent 
253066,The Hoxton Shoreditch, Couldn t get checked in at 2pm which we were advised by reception staff was the time we could check in We arrived at 1 30pm and didn t get into our room until 3 35pm , Hotel was fab room was great lots going on within hotel 
253067,The Hoxton Shoreditch, The hotel restaurant staff were very poor and unattentive I waited over 10 minutes to be acknowledged I had to ask for my drinks after my meal had been served the wrong drinks were brought out without even an apology they did not once check back on me throughout the meal and I than had to ask for my bill and than waited another 10 minutes to receive it Very average service which is chalk and cheese to the service I received at the Hoxton in Amsterdam , The facility is very funky cool with a great industrial vibe 
253068,The Hoxton Shoreditch, Misleading room description led me to think it was a better bigger room terminology on booking doesn t match the Hoxton website Booking said it was a discounted deal but was actually 10 more than on the hotels own website Early check in wasn t possible but only found out on arrival Asked for a room on a higher floor but when we got back at 22 30 we were given a 1st floor room Asked if the restaurant was still open and excited it was dropped bags off came down only to be told it was closed Told no room service asked how we could get food only to be given a dominoes menu Mattress on the bed was soft thin the bed squeaked with every turn in the night Really was a stay of style over substance wouldn t stay in a cosy double again , Cool style nice bar
253069,The Hoxton Shoreditch, Air con kept turning itself off , Late checkout available on the day that you checkout for only 5 an hour which is an excellent service Room service very quick 
253070,The Hoxton Shoreditch, It was loud at night I could hear people opening and closing the doors, Great atmosphere and the price was incredible Rooms were clean and cute Loved the shower and the smell of the toiletries
253071,The Hoxton Shoreditch, The bathroom itself was very clean but the bathroom door was filthy It was impossible to get a night cap at the hotel as it s more like a nightclub downstairs on a Saturday night , The bedroom was well designed quiet and comfortable 
253072,The Hoxton Shoreditch, Staff were rude and came up to us to say that we needed to leave it turned out that one disgruntled person didn t like how we were queueing at the bar Once we told them we were paying guests at the hotel and also explained that we d been ideal guests they were apologetic of course but it took the shine off a good evening and I don t recommend others go there if they are from ethnic minorities , Great vibe the bar is a great place to head to for an evening in London
253073,The Hoxton Shoreditch, Difficult to gain entry to the hotel late at night Didn t seem to be any provision for guests to be treated differently to the other customers in the bar area ,No Positive
253074,The Hoxton Shoreditch, I would like to suggest if there is one more option for breakfast other than yogurt some people may feel not well after having yogurt or milk The cushion in the room is little bit dirty , Idea of simple breakfast is good 
253075,The Hoxton Shoreditch, Although the majority of staff were polite the morning food team weren t fantastic One girl in the morning was a little abrupt almost ordering us to our seats rather than politely informing us that they preferred to offer table service The serving staff forgot my colleague s breakfast and when he went up to find out where is was was told to sit back down or words to that effect This was eventually rectified I should point out at this point that we did go to a till with bakery goods on show to place our order We were not just aimless milling about , An exceptionally Hipster hotel The interior design was fantastic and we loved the bar reception area where we met friends in the evening The fireplaces really added to the atmosphere of the hotel The rooms themselves were comfortable and functional but most importantly quiet I was only based on the second floor and was not disturbed by the music downstairs in the slightest The bar and reception staff were brilliant friendly and welcoming as were the door staff in the evening A quick flash of the room card to show that you re a guest is also a fantastic power trip when there are people waiting to get into the bar in the evening 
253076,The Hoxton Shoreditch, The only downside was the noise from bar on ground floor I stayed on second floor and the noise continued throughout the night into the early hours of the morning , The hotel was in every way superb very trendy Reception area doubled as a cafe and bar which was always busy The rooms were glorious lovely beds light breakfast included shower facilities were lovely Couldn t fault the room at all 
253077,The Hoxton Shoreditch,No Negative, I LOVED this hotel We walked in on a Monday afternoon and the lobby felt like a busy Starbucks on a Sunday times 10 People everywhere drinking coffee and tea and working on their Macs Loved the energy feel right away As I was a bit off on my sleep time ended up down in the lobby at 3am to do a little work I asked the desk clerk if there was any chance I could get a coffee and he went and made me one told him he was my new bff staff friendly excellent thorough and accommodating I would go back here just to hang out In fact had dinner last night with some people I met there 2 weeks ago Highest Marks really great hotel 
253078,The Hoxton Shoreditch, We stayed on a Thursday night and they had a DJ in the lobby The music went until about 3am wish we hadn t been on the 2nd floor , We loved the hotel design the room was beautiful and the bed was extra comfortable The lobby was always busy and we ate at the hoxton grille and loved it 
253079,The Hoxton Shoreditch, The room was slightly run down with scratches in the paint The hotel was a little noisy from people in the corridor so not the best option for a light sleeper , Super fluffy thick towels big TV and a comfortable bed 
