,Hotel_Name,Negative_Review,Positive_Review
190107,The Justin James Hotel, We chose this hotel because we had stayed a few years ago but we now know that we paid well over the website tariff for this stay Very disappointed that no breakfast was included Staff in the hotel and cafe were very unhelpful There was no information in the room about breakfast options When we asked at reception where breakfast was served we were told through that door which was marked dining room but nothing else was explained When we went through in the morning it was door into a health food cafe and the options for breakfast were from the quite specialist cafe menu with matching prices No option for e g toast and cereal and the cost for coffee and tea was ridiculous for a hotel breakfast When we queried the menu explaining that we were hotel guests we were told quite rudely that it was up to us to choose from the menu and pay full price We went to another cafe round the corner and paid a reasonable price for a simple breakfast We will not be back , Location ideal for railway station underground and shops 
190108,The Justin James Hotel, Climbing a narrow staircase up two floors with heavy bags No lift and no offer of assistance We re in our upper sixties The only way to take a shower was kneeling in the bath head jammed against the angled ceiling , Adjacent free parking Spotlessly clean
190109,The Justin James Hotel,No Negative, Very convenient location for visit to Wimbledon Small amount of off street parking Technically no restaurant at the property but good choice of reasonably priced breakfast fare available at adjoining cafe with communicating door from the hotel Staff friendly and helpful 
190110,The Justin James Hotel,No Negative, Really great little find perfect for going to Wimbledon Staff were extremely kind and helpful The room I was in was spotlessly clean modern and bright Advertised as single but the bed was a large single for sure On the main road but really not too noisy at all Breakfast at the cafe next door was superb again lovely and clean place lovely decor you can also sit outside Not too expensive either for London 10 out of 10 If I get luckly enough to get tickets for Wimbledon again I will definitely be back here 
190111,The Justin James Hotel, I wish I could have sat up in bed more comfortably to watch TV at night , the room was well refurbished clean and had all the neccessities provided generously such as in addition to the tea coffee milk 2 types of sugar a chocolate sachet drink and a biscuit was provided each day
190112,The Justin James Hotel, The bathroom needed an airing to freshen the air but it was a particularly hot day so understandable Perhaps an option of breakfast to go for early leavers would be a real bonus but that s just an idea , Fantastic find We needed a place to stay near enough to Clapham Common to make an early start for the London to Brighton bike ride and were fortunate to find this Very easy parking at the hotel and an easy stroll into Wimbledon for a great choice of places to eat or drink or shop The owner couldn t be more friendly or helpful and had even put a fan in our room which was a lovely gesture and helped a little on a day that was in the 30s The room was very clean and though compact had everything we needed 
190113,The Justin James Hotel, The facts and websites introduction are slightly different For example their website said that most of their rooms have shower bathtub but it isn t true The staff told me that only the family room has a bathtub Moreover the website also said that they provide toiletries but they only have shampoo and conditioners no body wash Last but not least I wrote to them asked for a room with a bathtub they replied yes but when I got there they provided me with a room without a bathtub Which was disappointing and annoying , The breakfast is nice and the bed is comfortable The wi fi is stable and fast The location is great only 5 minutes walk to the station 
190114,The Justin James Hotel, Room 20 is a shoebox I ve stayed at this hotel a number of times over the years on business trips I ve always been impressed Spotless rooms comfortable beds and good location However this room did not live up to my expectations It was the last room available when I booked so I was aware there was no en suite which to be fair I ve always booked before However the bathroom was on a different floor and my room did not have space for a sink ,No Positive
190115,The Justin James Hotel, we had a huge issue with the late night staff member not letting my husband in when I was asleep despite confirming that this would be ok 3 times twice before we had even turned up when I spoke to the staff member in the morning he said that he couldn t identify him and didn t know if he should let him in so decided not to My husband had then travel back to bedford after finishing a 12 hour night shift who just wanted a couple of hours sleep This cost My husband a lot of money to travel back to our home and I was very very angry to know that he hadn t been let in I have heard nothing back despite being told they would call me during the day to confirm what had happened I will not be staying here again and I would advise against staying here if you need to check in separately as apparently the staff do not communicate with each other , The room was what was described the tv channel selection was good 1 of the staff members was good 
190116,The Justin James Hotel,No Negative, Great Location very near the Wimbledon Train station My single room was compact but had everything I needed to makes make comfortable and a nice break from corporate blandness you get from chains It had a relaxing feeling to the place which is nice after a long hard day in the City I would also consider using this hotel for a family trip in the future too 
190117,The Justin James Hotel, The Pillows were dreadful so soft the your head kind of fell through the middle and the contents bunched up at the sides Room 11 had a sloping ceiling which I bumped my head on a few times , It location was convenient to where I needed to be 
190118,The Justin James Hotel, Very disappointed with the very small bed room for the price and no breakfast in the price then the bath room is on a different floor you have to walk down the stairs and along a corridor to the bathroom same walk to fill the kettle up so you can have a cup of tea , The Staff were very pleasant just a shame the bedroom let them down 
190119,The Justin James Hotel, En suite for the price , Very comfortable room Small but lovely Bathroom was not en suite but was excellent Friendly staff no problems at all Would definitely recommend
190120,The Justin James Hotel, Our bedroom N0 1 was right next to the front door so we were a little troubled by the constant comings and goings from an early hour in the morning , Comfortable beds and spotlessly clean bedroom bathroom Breakfast was very good and quickly served in a very pleasant friendly manner 
190121,The Justin James Hotel, That I only had 1 night available to stay , I find the atmosphere friendly and relaxing the staff personable and helpful and the location very convenient 
190122,The Justin James Hotel, No problems all worked fine , Two nights here comfortable and well located for my appointments Car parking challenging but the helpful manager made sure I got in okay 
190123,The Justin James Hotel, Inconvenient location for shower and toilet on ground floor No value for money if its a struggle to get to the shower and toilet all the way down from the room , Friendly staff
190124,The Justin James Hotel,No Negative, Wonderfully cosy and spacious room 5 min walk from Wimbledon train tube station and shops free parking hotel owned parking space may run out late evening as hotel fills up Hotel does not serve breakfast but adjacent cafe has some excellent things on the menu 
190125,The Justin James Hotel,No Negative, The manager could not have been more helpful Giving us travel advice helping us at every turn I left medication in my room after check out the manager sent it home for me without any quibble I was very grateful The cafe attached to the hotel was an absolute delight Gluten dairy sugar fee heaven The location was fabulous 
190126,The Justin James Hotel, Although I knew the room had no en suite bathroom and the nearest bathroom was down the stairs it was a little overpriced However I would definitely stay again , Friendly staff location and comfortable room This was my 4th stay at the hotel as it is very handy for my work when I need to stay late in London for social occasions 
190127,The Justin James Hotel, There is no breakfast included but can be bought in the cafe next door The wording in the information about the hotel could definitely be better than sounding as if it is included Would still have booked it The room was extremely hot when I arrived in the evening however woke up at 3 am freezing cold as the radiators were switched off and didn t come on until 7 in the morning It was not possible to operate them from the room Blankets could definitely have been provided in the rooms ,No Positive
190128,The Justin James Hotel, The WiFi was very weak intermittent in one half of our room Wet room was so wet we couldn t walk in it after shower was used , Very clean and perfect location for our needs Receptionist was very helpful when we checked in 
190129,The Justin James Hotel, The dilemma of the kettle made me smile As the room has no sink you have to pop downstairs to fill the kettle It did have some water in it but then we all like to use fresh water Perhaps an empty kettle plus some bottled water , Hotel is welcoming with a cafe style curb appeal Very nice lady on reception check in was fast was even shown to my room I had the basic room so the shower room is downstairs however it was spotlessly clean with a brand new power shower Bed was comfortable so that plus the hotel being on a quietish road mean t I grabbed an excellent night s sleep Had to dash in the morning so can t comment on the breakfast but there were some lovely aromas as I approached the reception area Perfect location for everything in Wimbledon right next to all transport links 
190130,The Justin James Hotel, The bathroom was very clean but the toilet was just about touching the bath I think this property is more like a B B than hotel , The coffee shop has a great variety of home made dishes using fresh ingredients and no microwave non dairy non gluten menue 
190131,The Justin James Hotel, Old building oddly shaped rooms barely usable shower my room was on the top floor under an angled roof the only way to use the shower was to squat in the tub , Good location not far from Wimbledon centre funny organic Vegan cafe
190132,The Justin James Hotel, The bed could have been a bit softer , Room was nice and a reasonable size for a single room It was in a fairly quiet location and I managed to get a good night s sleep
190133,The Justin James Hotel, You could feel all the springs in the mattress Not super comfortable , Great location staff is super friendly Shower was great and the room was nice and warm The cafe associated with the hotel was brilliant with very tasty food and nice staff
190134,The Justin James Hotel,No Negative, Great hotel Perfect location 2 min from the centre of Wimbeldon I normally don t bother leaving reviews but they deserve one Best for me was easy and free off street parking 
190135,The Justin James Hotel, Older style and the decor is a bit dated Could be a bit cleaner as some mould in the bathroom Shower pressure not very strong but hot Shower would wet the whole floor even with the curtain , Great location close to shops and train station Beds are comfortable The staff are friendly and very helpful Enjoyed the healthy food in the associated cafe Warm and cosy in the middle of winter 
190136,The Justin James Hotel, See above, Location was most important One member of reception team was not ver polite to the friend who stayed there one night and the room they gave her was pokey They did change its eventually My room was good 
190137,The Justin James Hotel, Bed wasn t the most comfortable in the world but we both slept all night , Warm and friendly staff Close to everything Spacious rooms Free on site parking 
190138,The Justin James Hotel,No Negative, It was perfect for a single person wanting to do anything in the surrounding areas Beautiful room lovely and clean very comfy bed incredible price for everything Would definitely stay again 
190139,The Justin James Hotel, felt advertising was slightly misleading in that this is not a bed and breakfast and if you want breakfast you have to pay for it, Good location and great to have off street parking in central Wimbledon
190140,The Justin James Hotel, Room the size of a cupboard shared bathroom which was down two flights of stairs and bed located directly below a very cold draughty window Location was good for my business trip but did not stay the last night of the booking as just couldn t face it If you choose to book here do not get misled by the room facilities as it definitely does not have a toilet or shower in the room or anywhere close by A disappointing experience and certainly would not stay here again A real shame because the staff were great , Lovely friendly staff Clean Free wifi and parking 
190141,The Justin James Hotel, Room was a bit too small walls very thin and bathroom was downstairs from the room Staff were on hand throughout the stay but service was generally offered without a smile , Good location facilities generally modern and comfortable 
