,Hotel_Name,Negative_Review,Positive_Review
30320,The Kensington Hotel, The hotel staff were not bothered to check an earlier promise by one of their managers two years before to upgrade me whenever I came again They said they were anyway fully booked But it would have been nice if they at least checked , The comfort level the cleanliness and primarily the great location 
30321,The Kensington Hotel, The superior category rooms are tiny and the bathroom minuscule found it to be extremely poor value Rooms need refurbishment Turn down service in spite of specific request was irregular , The public spaces are attractive and inviting The terraces make for a comfortable space to relax outdoors whilst being indoors 
30322,The Kensington Hotel, Had to request the mascarpone cheese missing from my breakfast Requested olives to be told that they were coming and then needed to ask someone else because of time it was taking Maressa was excellent Group of people watching a LOUD video on their phone to which I had to ask them to turn it down to hear my conversation I wouldn t stay here again it s really not a 5 star , Good breakfast Lovely tea room George helpful with bags and good conversation
30323,The Kensington Hotel, We didn t get our room cool enough for the heat spell , I splurged on this part of our trip with our stay at the Kensington It was lovely and added to our time in London 
30324,The Kensington Hotel, We have emailed the hotel and passed feedback on check out We were allocated room 416 and it was extremely noisy due to the elevator position constantly through the night you could hear it being used Opposite our room was also a Storage cupboard for House Keeping so Saturday and Sunday Morning again constantly awoken by housekeeping entering and making noise using this cupboard For the amount we paid I was disappointed as we specifically chose a 5 hotel hoping it was going to luxury I am also disappointed that we have highlighted this to the hotel and they haven t responded I certainly think this room should have been discounted or highlighted as an issue with the closeness of the elevator and the service cupboard , We liked the location and the decoration of the hotel Staff were also friendly 
30325,The Kensington Hotel, Breakfast options were limited and while we didn t have a chance to try the dinner services they seemed to be priced unusually high , The staff were attentive and accommodating the downward facing shower nozzle in the bathroom felt amazing and the station was right near South Kensington Tube Station so we could go anywhere in London relatively cheap 
30326,The Kensington Hotel,No Negative, Amazing hotel in a great location Staff were so attentive and super friendly and helpful Really made me feel like I was at home and like I knew them my whole life Excellent service Will definitely repeat 
30327,The Kensington Hotel, Room we booked was advertised as a superior however our room was tiny and when I told the reception staff we had booked a superior room we were told that was their base room meaning it was standard Thought they would upgrade us as it s really a little bit false advertising but they didn t although they did move us to a slightly bigger room , Room service food was very good 
30328,The Kensington Hotel, Nothing , This is a lovely boutique Hotel in South Kensington beautifully decorated very clean with very comfortable beds and very friendly and helpful staff They will do everything to satisfy you and make your stay unforgettable The hotel smells very nicely and there are candles everywhere Stay there when you visit London You will be in one of the best London neighborhoods 
30329,The Kensington Hotel, Storage for bathroom items was a bit limited National phone calls were expensive , The staff were unfailingly helpful at all times especially the concierge and reception The lounge areas were comfortable and pleasantly decorated 
30330,The Kensington Hotel, Room on the small side, The hotel felt grand but not in an uncomfortably way The staff were very friendly probably the biggest plus point for the hotel The bar was also very good 
30331,The Kensington Hotel, The lobby is very well refurbished but the room we receive was still not refurbished yet, The people that works thereand their service the lounge and the restaurant
30332,The Kensington Hotel, Air conditioning heating was hard to control Had to call down to the front desk in the middle of the night and ask them to override the thermostat ,No Positive
30333,The Kensington Hotel, The bathrooms are a bit small but it s a boutique hotel so it s to be expected , I love the feel of The Kensington it feels like a second home I love the friendly staff they make you feel very welcome from the porter to the concierge and the reception staff It s the only hotel I look at when I come to London 
30334,The Kensington Hotel,No Negative, 25th wedding anniversary and a bottle of fizz and cakes with happy anniversary card left in our room on return from shopping a lovely touch Beds really comfy and after evening meal in the restaurant the bed had been turned down chocolates on the pillows and fresh towels in the room Concierge really helpful and attentive with luggage and directions 
30335,The Kensington Hotel,No Negative, The hotel is so tastefully decorated in appropriate period detail the drawing room seating and restaurant are lovely and comfortable My room was a nice comfortable size Staff was extraordinarily helpful Very well and conveniently located 
30336,The Kensington Hotel, Bed was extremely comfortable However I did find the room quite small for its nightly price A little difficult to maneuver around room and bathroom and closet area Plus not once piece of art on the wall a bit sterile , Outstanding staff location and public area d cor The location is prime Overall a wonderful property BUT note my comments on the next column Thank you
30337,The Kensington Hotel, Our Tea in the afternoon was served without sugar During our breakfast we had three times to ask for butter It wasn t on the buffet but normal on every table In the room we had no space to store our personal things beside the clothes to hang On Sunday morning at 8 00 am there was a big noise with glass which was ranged away outside During our last experiences with booking com the rooms were the farthest away very little not as beautiful as described on the website and when we booked directly on the websites of the hotels everything was much better and comfortable , We liked the athmosphere friendliness and professionality of the stuff in this hotel Our bed was very comfortable
30338,The Kensington Hotel, View from the room was very disappointing looking straight onto the roof at the back of the building Humming from generators and extractors were very distracting ,No Positive
30339,The Kensington Hotel, The room was a little small and a little loud The walls are thin Need to be able to plug blow dryer in bathroom , The aroma in the room was great Love the overall decor and public spaces
30340,The Kensington Hotel, The rooms are very small but well appointed especially the bathroom and you can hear a lot of noise from other rooms , The staff were lovely and the communal areas in particular the bar were stunning Great toiletries in the bathroom 
30341,The Kensington Hotel,No Negative, From the moment we arrived it felt comfortable a home away from home We felt the same on previous visits and once again it did not disappoint We had our family over for a meal a great evening in the lounge by the fire Highly recommend 
30342,The Kensington Hotel, Rooms were a tad on the small side Beautifully decorated but a little small , Staff was very friendly and accommodating Our room location at first was a little noisy next to the elevator and they took the time to locate another room for us 
30343,The Kensington Hotel, Nothing, Every aspect of the hotel and the way it was run was suberb From the comfort of the room temperature control to the friendliness and the attentiveness of all the staff and the lovely food Everything was excellent 
30344,The Kensington Hotel, The room I was given had no wifi signal and they knew as when I rang they immediately offered to move me The room I moved too was not the same quality that I booked and was right under a nightclub and the smoke alarm went off twice in the middle of the night due to the fog machine in the night club The paper I requested was never delivered The phone never got answered and every time I rang for anything I had to hold on and ring at least 3 times , The location and the friendly and helpful doorman
30345,The Kensington Hotel, One day I had poached eggs and they were red orange inside didn t eat them No one knew what happened to the color otherwise perfect , I stay at the Kensington whenever I can in London The location is perfect for me Everything is there in the hotel one would need to be comfortable The sheets and beds are like heaven I looked at air B B for long stay as I do stay long times and found the value much better at a 5 star hotel then an outrageous price air B B was charging Plus you have room service Dailey 
30346,The Kensington Hotel, The service for breakfast lacked the attention that had been experienced elsewhere , Friendly staff and cleanliness of the hotel with a warm and welcoming lounge that was relaxing after a busy day 
30347,The Kensington Hotel, Staff poorly trained and English not good Hence comms barrier This is not a five start hotel We rate it as they have alot of staff training to address to get that 5th star The 24hr menu was poor , Good value for location but you pay in other ways Room Was ok and we ll cleaned Earing facilities good Food acceptable 
30348,The Kensington Hotel, Please change the nife that guests use to cut the bread at breakfast The nife is bad quality and guests cannot easily cut the bread I stayed to your fantastic Hotel three times in three months and the nife is still the same although I complained the first time , location style staff food
30349,The Kensington Hotel, The bedroom was absolutely dreadful The noise from the air conditioning units for the whole of the hotel were just beneath our window making it impossible to sleep We rang the night manager at 3 o clock in the morning to Change rooms eventually getting to bed about 3 30 am We reported it to the day manager the following morning who said he would take the complaint up with his department and booking com to resolve the complaint He said we would receive a email within the next two days to resolve our complaint we are still waiting , The public rooms were very pleasant and comfortable 
30350,The Kensington Hotel, The services where slow no clean up of the room in the evenings noise also from the personnel very early in the morning, The bar and lobby restaurant area
30351,The Kensington Hotel, 2 of the rooms were very small one only had a shower which was on ceiling my sister didn t want to get hair wet so she had to come to my room for a bath all 3 rooms were supposed to be superior rooms I felt embarrassed as I made the booking 2 of the rooms weren t ready when checked in at 2pm had to leave luggage at reception still not ready at 3pm so went out, My room bathroom were spacious only had to ring for use of an iron was going to a wedding it was delivered straight away with ironing board Can t fault the service I would stay there again
30352,The Kensington Hotel, Rooms are old and small versus rate and need a furniture upgrade bed good too tight a space and the new luxury is space, Great location good food and excellent lobby and restaurant ambience
30353,The Kensington Hotel, There wasn t anything we didn t like, There wasn t anything at all that we didn t like about the Kensington hotel From the location to the service to the accommodation it was perfect It was like staying in a private home with the attention from staff who were attentive friendly but not stuffy or pretentious Could not have asked for a more pleasant and comfortable room and bathroom which accommodated everything we could possibly want We have stayed at hotels around the world and The Kensington is by far the best of all It s an absolute jewel 
30354,The Kensington Hotel, Nothing, Hotel staff excellent Our room was not quite ready when we arrived st 4pm We received a complementary drink at the bar Room large and comfortable 
30355,The Kensington Hotel, My room was the corner room room 502 very small and doesn t look like what it was advertised on the website , Very friendly staff The lounge looks trendy comfortable Strategic location for business The concierge was really helpful in recommending nice Italian restaurants nearby 
30356,The Kensington Hotel, Nothing , Love this hotel My first choice for London Staff excellent Bed super comfy Interior stunning Always feel spoilt and cared for My favourite hotel 
30357,The Kensington Hotel, The only downside was the lack of sleep due to our room wall being next to the air conditioning units the noise was constant all night , The Kensington was lovely the staff were friendly courteous and helpful 
30358,The Kensington Hotel, I booked two Junior suites at the same time One was on the 1st floor and one was on the 5th floor They were within your standards for rooms but not comparable The 1st floor room was elegant with full length windows curtains and a chandalier and the 5th floor room was attic in design with small windows no curtains and the lighting was inadequate Really the suites need to be called something else to differentiate them apart , The lovely rooms and furniture Staff were just fantastic a pleasure to talk with 
30359,The Kensington Hotel, wifi was terrible in my room no access to cable tv Need to be a bit more up to date with technology who has DVD s now I was really looking forward to a bath but there wasn t one in my room, Great location very friendly staff great bed comfortable and good sized room Lovely style to the hotel especially the common areas Lovely breakfast area
30360,The Kensington Hotel, The reservation made on booking com didn t seem to go through despite getting a confirmation , The rooms was perfect despite being a bit small Staff was extremely nice and very helpful Loved every minute of my stay 
30361,The Kensington Hotel, Bathroom very tight Also other than hanging part of wardrobe no place to put unpacked clothes so had to keep most in my luggage open on the floor next to my bed , Location and nice front desk and concierge Room size good but bath very tight
30362,The Kensington Hotel, The room could be bigger, very nice atmosphere coffe and tea in the room excelent Carlos in the front desk and spanish girl in the bar were so helpful and efficient 
30363,The Kensington Hotel, The room was super small And no breakfast was incl in the price , The staff was very attentive and helpful The location is around 5 min walk from the tube South Kensington And a lot of great restaurants in this area and not to mention the museums We had such a great time 
30364,The Kensington Hotel, Toast at breakfast or at least offer it Also yoghurt and a better fresh fruit selection Choice was very limited, Comfortable but very small room and tiny bathroom Staff were friendly and helpful
30365,The Kensington Hotel, house keepers not well trained they entered the room without knocking while the No disturb note was on the door Shampoos not replaced with new ones delays in cleaning the room on Monday the room wasn t cleaned till 2 00 pm , location
30366,The Kensington Hotel, The bathroom was tiny and just didn t work Water everywhere after a shower Three times I told the front desk the plug wouldn t dislodge from the sink rendering further use impossible They unstuck it each time but then the next time it was used it would do it again Felt they just smiled and nodded without really trying to sort it out Very small bedroom also for 2 people , The doormans big welcoming smile 
30367,The Kensington Hotel, We have no complaints lovely hotel , We stayed here for our first wedding anniversary very romantic hotel lovely decor great staff good restaurant and good location 
30368,The Kensington Hotel, I have nothing negative to say , Excellent location beautiful building and staff extremely polite and helpful I will definitely stay at the Kensington Hotel again 
30369,The Kensington Hotel, I thought the room was quite small for a couple staying over a week There was only one chair and no armoire I reserved at a point when the Canadian dollar was very very low and the full amount was taken from my credit card immediately NO refund and no chance to change my mind if I had found a place a bit more affordable In any case we enjoyed our stay but it really was too for us We didn t eat in the hotel restaurants due to the cost for us , The location is wonderful Equal distance from 2 underground stations Easy walk to restaurants and shops Public spaces beautiful
30370,The Kensington Hotel,No Negative, The staff was amazing the restaurant and location was amazing We really enjoyed everything Our room was just small I wish it had been bigger We were cramped with our suitcases in that small of a room
30371,The Kensington Hotel, Nothing that I didn t like , The beds are super comfy So lovely to have nespresso machine in bedroom Staff very pleasant and helpful My top choice of hotel when staying in London
30372,The Kensington Hotel, Rooms could use a refresh and update e g Stained comforter thermostat in room didn t work musty smell of chemical cleaning products, Fantastic staff excellent location beautiful public rooms beautiful bathroom in room great food large comfortable bed 
