,Hotel_Name,Negative_Review,Positive_Review
206624,The Lodge Hotel Putney, I asked for an early check in to get ready for a wedding the room was not ready when I arrived at 12 45 and i had to get changed etc in the gym changing rooms ,No Positive
206625,The Lodge Hotel Putney, The noise from the main road could be heard through the night due to the windows not being double glazed , The staff at reception were extremely friendly and very welcoming The breakfast room was nice and modern and looked out onto the outdoor patio area Breakfast was excellent especially the fruit smoothie delicious 
206626,The Lodge Hotel Putney, Don t put a service charge on the drinks The price on the bar menu should be the price you pay Not another 12 on top, Breakfast room and garden very good Lovely to have breakfast outside 
206627,The Lodge Hotel Putney, The bathroom wasn t good no shelf space and the toilet didn t flush The shower was more like a garden sprinkler , Parking and the location the beds were comfortable We were given complimentary breakfasts because of the poor bathroom facilities The staff were very helpful 
206628,The Lodge Hotel Putney,No Negative, Really great bedrooms with nespresso coffee machines and towel robes Having a gym was nice even though it was very small The whole hotel was very clean quiet and looked good 
206629,The Lodge Hotel Putney, There was no shower in the room as our room was in the roof And we did not have breakfast as we thought it was too expensive , My friend twisted her ankle on the stairs and the staff where very friendly and helpful 
206630,The Lodge Hotel Putney, First night airco did not work and room very hot second night this was solved, Spacious room location near Wimbledon to visit the Championships quiet
206631,The Lodge Hotel Putney, There was a problem with the hairdryer It s location was nowhere near a mirror and it was fixed , Facilities were very good Bed a little too firm but understand this is what people like Staff very friendly 
206632,The Lodge Hotel Putney, The room was ground floor at the back with no outlook and too hot A fan was provided but room needs airconditioning It is quite easy to fit an airconditioning unit on a room by room basis For example all USA hotels and motels , Location and general ambiance Breakfast good Staff excellent
206633,The Lodge Hotel Putney, fire alarm being set off at 3 45 am by drunken guests staff at checkout the following day should have made a gesture to make up for the disruption, location and free parking were great new rooms in the extension are very good
206634,The Lodge Hotel Putney, Overall very satisfied with our stay However would have preferred a walk in shower instead of over bath tub Not ideal for older person to climb in and out Unfortunately there wasn t air conditioning A definite must in hot summer conditions So the room became too warm and uncomfortable An electric fan was available This helped a little but obviously couldn t be used through night because of the noise , The Hotel is situated in a good location Fairly quiet and close to tube station and amenities We arrived on a scorching hot day and the staff were very pleasant and considerate providing iced lemon water while we waited for our room to be available The room was fine Very clean Clothing storage was adequate Bedding and towels were spotless 
206635,The Lodge Hotel Putney, Room a bit pokey for the price and had to ask how to use the air con as no instructions air con also noisy , Nice decor and very friendly reception staff Nice bathroom Decent food through room service 
206636,The Lodge Hotel Putney,No Negative, The whole experience was very good and the breakfast the next morning was one of the nicest I ve ever had All the staff were friendly and helpful 
206637,The Lodge Hotel Putney, Didn t like that gratuities included as an item on the bills This I feel should be discretionary Lots of choice for breakfast but unfortunately the cooked items were just warm and the coffee was cold You served yourself from a Vacuum pump flask , Very different staff friendly and helpful especially those on reception Building unusual Rooms small but had everything that was needed Dyson air cooler no air con Good coffee machine 
206638,The Lodge Hotel Putney, Nothing , Reception was super friendly and helpful Rooms quiet Nice to have air con iron and ironing board and hair dryer in the room Very much appreciate being able to bring our dog and take her in to breakfast Great value for money Breakfast was delicious Would stay again 
206639,The Lodge Hotel Putney,No Negative, Staff were very polite upon arrival Our room although smaller than I anticipated was extremely clean which automatically makes me feel relaxed in a hotel The onsite bar restaurant is fab and I really liked the overall feel and decor of the hotel Would definitely recommend it I also liked that as a genius member I got the perk of having a late checkout free of charge without the 25 late checkout fee 
206640,The Lodge Hotel Putney, Limited parking spaces onsite enough for about 2 3 of the rooms at a guess we found a space but late arrivals may struggle otherwise a perfect hotel, Great service warm welcome and a free upgrade to a small studio suite The whole place was clean well maintained Parking on site and a district line tube station just a 3 minute walk away The area seemed lovely and friendly even when returning after midnight Lots of shops cafe s and quiet bars close to the hotel if you want an alternative to the super facilities offered by the hotel 
206641,The Lodge Hotel Putney, Malbec from the bar was poor quality I don t mind paying 9 for a 175ml glass if it s reasonable quality but this was a little unpleasant Next day we paid the same for a glass of Malbec at the Michelin starred restaurant at the Westbury Alyn Williams and it was far superior , Newly refurbished room Very clean and comfortable
206642,The Lodge Hotel Putney, Air con did not work fans provided still hot in the roof rooms No lift we were up 3 flights of stairs which may not suit all, Staff very friendly and helpful great that there is parking available Good location
206643,The Lodge Hotel Putney, I booked what I understood to be a room with a garden view slightly higher cost but also in the newer building Garden view is a stretch It was more a patch of dirt in front of an impenetrable fence Ultimately it is not a show stopper but either the hotel or booking com has a misleading description of their rooms , This hotel is fine you will be happy here Staff are good restaurant is also good although the wine is a bit pricey 
206644,The Lodge Hotel Putney, We had to change rooms as they put my elderly Mum up three flights of stairs with no lift The bedrooms in the old part of the hotel are very small and airless It was too small and hot for us and we had to change room also The downstairs rooms in the new build are much bigger and better and also 20 per night dearer but worth it ,No Positive
206645,The Lodge Hotel Putney,No Negative, The room was very basic not enough blankets and the room was very noisy ovoid hear the phone ringing in another room and people banging around which prevented me from sleeping which was very annoying We checked out very early so we could go home and get some sleep Also the smell in the hotel was awful not sure what it was but not nice at all
206646,The Lodge Hotel Putney, The room was difficult to find right at back of property the late on duty dtaff member didn t seem to want to make any effort to show me to the room Althougb it was late 11 30pm but is it not his Job Breakfast was average not too much choice paying in advance 12 per person or been build on the day as 15 p P is s bit cheeky , The room was nice comfotable clean modern nice to have option of Real coffee Nespresso kettle for herbal teas I think a couple of biscuits would have complimented this Bed comfortable nice linen 
206647,The Lodge Hotel Putney, The door between the bedroom and hallway slammed when it swung closed We had to prop it open to avoid disturbing other guests , Lovely big room very quiet Nice to have a separate dressing room 
206648,The Lodge Hotel Putney, No instructions for fancy coffee machine no instant coffee as alternative either No instructions for air conditioning on one of hottest nights of year Very expensive considering not in central London and no breakfast included Hefty 15 head for breakfast when simple continental breakfast would have been appreciated for price of room, Spacious tastefully furnished room
206649,The Lodge Hotel Putney,No Negative, This is great hotel with good facilities friendly staff and located a short walk from the rail network with easy access into The city The free parking was a bonus for a London Hotel and we were allowed to leave the car after the normal checkout time that gave us chance to do more sight seeing 
206650,The Lodge Hotel Putney, Breakfast was not of the standard expected Only one choice of egg fried which were looking like plastic asked for fresh cooked which was ok Coffee needed to get staff to top up container on both mornings Fruit was not good quality pineapple hard and tasteless Service charge in the bar I thought was out of order as prices were typical London prices which were expected but not service charge on top , excellent reception staff Room was comfortable good bed air conditioning excellent 
206651,The Lodge Hotel Putney,No Negative, A very comfortable and pleasant hotel The staff were extremely helpful and polite The hotel was far beyond our expectations Very clean modern and comfortable Would have no hesitation in recommending this hotel 
206652,The Lodge Hotel Putney, While the breakfast offer was good we thought the coffee dispensed in pump vacuum flasks was rather stewed and fresh coffee would have made all the difference While this is obviously to relieve the staff from serving in an otherwise self service area maybe a self service fresh coffee machine could be the solution For us coffee lovers it would make the breakfast experience perfect , The location was of prime importance direct short journey time rail connection into central London Very pleasant location near riverside walks bars and excellent restaurants Although the property is located on a busy road the South Circular our room was very quiet and overlooked a garden with trees We found the hotel very tranquil and relaxing to return to after our action packed days in town Would stay here again 
206653,The Lodge Hotel Putney, The breakfast staff were quite surly when asked for items that had run out and a request for fresh coffee was met with great reluctance We travelled with 2 suitcases and assorted backpacks all of which had to go on the floor When both suitcases were open there was no room to move , The late checkout was good 
206654,The Lodge Hotel Putney, THE ROOM WAS SO HOT AND STUFFY WHILE SLEEPING OR TRYING TO And the fact it only had a duvetvand no too sheet meant you had to sleep sweating under a pretty warm cover , The hotel location and the ambience was all good 
206655,The Lodge Hotel Putney, Size of the room, We booked a double room which turned out to be extremely small barely had any space to move around with my husband and our dog I would not recommend this hotel or at least not their double rooms Communal areas are nice and clean and the staff welcoming 
206656,The Lodge Hotel Putney, The only negative thing I can say about the hotel is that our room had the window completely frosted over We thought this might be for privacy but it wasn t particularly overlooked and this can be dealt with by using a net curtain of some sort It made the room feel very claustrophobic especially as the windows only opened partly due to the fact that we were on the 3rd floor , The breakfast was very good It was a helpyourself buffet but very good standard Our room was at the end of a corridor separate from the other rooms on the floor and was therefore very quiet which was lovely 
