,Hotel_Name,Negative_Review,Positive_Review
375107,The Mandeville Hotel, For the price I expected a little more of this hotel I m sorry I cannot be more specific but I just left feeling like it could have been more than your average unexciting hotel , Quiet room Clean Friendly staff 
375108,The Mandeville Hotel, Attitude of management staff given problems of being charged in full without notification a month ahead when we had confirmation to pay at hotel No consideration given to customer is right totally unbending Met with manager of customer relations for coffee to discuss at her suggestion The coffee then appeared on our bill at check out left a very bad taste We had one free breakfast for all the hassles around the booking which turned out to be awful Much better quality and price at local restos on the High St Booking com was far more accommodating , Although typical London rooms are on the small size but bathroom very nice with separate bath tub and walk in shower Everything very clean and maids are good but unobtrusive Turn down service if you want it AC works well Generally a nice boutique atmosphere We know London well This location is very good We love sophisticated Marylebone High St with all the restos shops etc If you love books visit Daunt on the High St Quite an icon For fish go to Fishworks restaurant Try to get into the Marylebone back streets Lots of atmosphere Maybe touristy but if you like the world famous shops and business of Oxford St it is a stone s throw away 
375109,The Mandeville Hotel, Housekeeping i found hair in the toilet during check in I paied for superior room and i got small sized room instead then i had to change it the next day The elevator takes long time to arrive, Friendly reception
375110,The Mandeville Hotel, The rooms are quite small however for a one or two night stay it was fine , This Hotel is in an excellent location for site seeing and shops The staff were delightful and the bed was extremely comfortable 
375111,The Mandeville Hotel, Air conditioning unit was pumping out fumes We we were moved without question however wifi signal was very very poor in the new room We also had to ask for coffee and wine glasses as these hadnt been restocked from the night before Perhaps that s why there is a charge of 3 00 on my bill We would return however we would choose a larger room , Staff very friendly and accommodating
375112,The Mandeville Hotel, We booked 2 room of which one the a c was not working very well although they sent the maintenance guy twice The toilet in the other room was too small We did not actually speak to any one to change the rooms as we didn t want to take the risk to move to rooms that may have other problems and not close to each others I am not very sure about the cleanliness of the beds as 2 out of 4 of us weren t able to sleep before covering the pillows as they couldnt stop coughing , Stuff at the prescription and the concierge location size of the room compering to other hotels in London and the speed of delivering any request 
375113,The Mandeville Hotel, I thought the TV channel availability could be better particularly sports , We have tried many hotels in the West End over last several years trying to find that balance between location price facilities etc and consider the Mandeville passed our expectations We booked a Deluxe Double room which was very nice although quite compact Separate tea coffee facilities safety box Bed was very comfortable linen fresh The bathroom was excellent well appointed and large with separate shower and bathtub yes a true bathroom unlike some places which advertise a bathroom but which has no separate bath and is actually just a shower room The AC was excellent and we were able to keep the room cool very important in London in the summer Lounge bar was a great venue for pre dinner cocktail or after dinner relaxing Staff were all very efficient and friendly Overall we were very happy Free WiFi very good and we did not have to continually re login which can be a real inconvenience in some locales Location simply excellent with great pubs dining across Wigmore Street in St Christopher Place also along and behind Marylebone High Street 
375114,The Mandeville Hotel, Small standard room, All staff amazing bar staff brilliant Ian conserierge he s the reason we keep coming back he is an amazing asset to the Hotel Please make sure he reads this
375115,The Mandeville Hotel, Our view from our hotel room could of been better , The location of the hotel was great not to far from oxford street or the American embassy Room lovely decorated and comfy bed two showers which was good when there s two of you 
375116,The Mandeville Hotel, Our superior room was very small and the aircon very noisy I know this is London but for the price you can do a lot better Room service stopped at 11 pm but the menu in our room didn t mention that so a snack planned for our return from a night out didn t happen Sandwiches were available but there was no menu for that We had to go to reception to find all this out as the phone in the room didn t work No action on that was taken by reception staff Will not be returning here , Staff were generally very good Location was the reason we booked here 
