,Hotel_Name,Negative_Review,Positive_Review
463406,The May Fair Hotel,No Negative, As always the staff were super Friendly welcoming and helped out re extra things I needed All with a smile Fabulously comfy bed and great air con it was a muggy night Highly recommend when I can afford it 
463407,The May Fair Hotel, The comfort in the room , We booked a room and we received another one a duplex with a bedroom upstairs without bathroom without space for luggage Hopefully we stay just one night I ll never come back 
463408,The May Fair Hotel,No Negative, As always the staff were fabulous I had a rather last minute stay and so had to use their overnight laundry services They went out of their way to ensure I had everything I needed It s a great place to stay if you re travelling on business and if you re a lone female It all feels safe and secure 
463409,The May Fair Hotel, Would have liked some movie channels on the TV or ability to rent movies or watch Netflix , Location was excellent room was gorgeous bathroom was AMAZING staff was extremely helpful and friendly breakfast buffet was DIVINE Room service was great too It s hard to find a bad thing to say about this hotel It s one of the reasons our visit to London will go down as one of the best vacations of all time 
463410,The May Fair Hotel, Deadly for persons not so young e g 45 much worse for elderly bathtub shower entrance departure use single uselessly installed placed grab bar very slippery tub high unwieldy tub sides ,No Positive
463411,The May Fair Hotel,No Negative, We were welcomed before we stepped into the doors the doorman added an extra touch We were warmly greeted at the Reception Desk and were made to feel like we were the only guests staying there The room was perfect not too hot not too cold the bed was heavenly the bathroom was spotless and had everything we needed and more The free Wi Fi was an added bonus In a nutshell we are going to be staying there anytime we go to London and recommend the May Fair to anyone looking to pamper themselves 
463412,The May Fair Hotel, Don t really like the new tall tables in the small bar area it s lost its cosy feeling, The location is brilliant very comfortable room staff very helpful sainsbury across the road for essentials walk to most places
463413,The May Fair Hotel, Nothing really there could have been more hooks I the bathroom but it s a minor thing , We booked a family room with two double beds and the room was much larger than I would have expected my daughter was literally able to do cartwheels in it Everything was very clean and the beds super comfortable It s only a hundred metres or so from the tube station Piccadilly line so a direct train from the airport The staff were super friendly and the breakfast was fantastic 
463414,The May Fair Hotel, Nothing was what I was expecting Rooms very small boring design staff kept changing their statements of what they said and what they did not say I arrived after long travel at about 10pm I went to the room It was like a prison cage When I asked to change my room they asked me to wait in the room and they will call me back No one called for more than 10 minutes I tried to call reception was not picking up I had to go down to the reception around 10 20pm They said nothing was available so I had to upgrade The lady at the reception told me the smaller Suite sells for more than 800 pounds per night I said this is more than my budget She asked how much is your budget I said 550 pounds She made a few calls and said she found me something I had to sign a paper and I am all set Tired and late at nigh I put the pen on paper and went to the room The room was really really horrible A small living area with stairs going up to a tiny place the could hardly hold the bed I thought I was in one of those fairy tale dreams in a bad way of course After three nights what I was checking out they present me with a huge invoice at the reception I asked what is this They said this is the 375 pounds that I had already paid at the time of booking online plus the 550 pounds upgrade It really blew my mind I said the lady clearly said the room sells for 800 per night And she will lower it for me to 550 How come it became suddenly 925 375 550 Doing all the math they could not explain the situation Finally I was confronted with a paper that I had signed late at night trusting their words that it was the upgrade price not total price I repeatedly asked how will do the math saying the room was selling for 800 and now you want me to pay 925 No explanation After making a lot of fuss one of the staff told me we can waive one night upgrade price Very unprofessional worst rooms and bad location , Nothing but the Concierge boys It was one of the worst travel experience I have ever had And I do travel quite often 
463415,The May Fair Hotel, view from the window horrible to the next wall roof and pipes small windows with ugly little blinds no curtains very small dark basic room not the one on the photo very crowded at breakfast, Great breakfast good location
