,Hotel_Name,Negative_Review,Positive_Review
121850,The Nadler Kensington, Nothing really , Lovely location in Kensington very friendly staff nice quiet room with outdoor space and the staff had excellent knowledge of the area and restaurants 
121851,The Nadler Kensington, 1 only very small issue with air conditioning making a buzzing noise but really nothing as it didn t bother me , the staff were excellent so incredibly helpful I was in a long deluxe room so the size was great and good size bathroom too I was given a room with an outdoor patio too unheard of in central london
121852,The Nadler Kensington, The fridge should have had something to eat especially for people who arrive late at night and won t go out again to buy something Also as there s a shower there should have been two soaps Moreover I would strongly recommend stating that there is no hairdryer available just so you know whether to take it or not , The room was super cozy and the bed was extra comfy As soon as your turn on the TV they recieve you with jazz and blues The kitchenette was nice 
121853,The Nadler Kensington, Everything was wonderful No suggestions for improvement , From attentiveness to every little detail of guest comfort to superior help from front desk staff with anything at any time this was truly a gem of a hotel Situated in a lovely Kensington neighborhood within 5 minute walk to Earl s Court tube station I couldn t have asked for a better place to stay on my first trip to London Highly recommend 
121854,The Nadler Kensington, Bathroom was nice and updated but tub was too high which can cause getting in and out difficult specially for older people Also the glass shower screen was small and didn t seal completely Every shower ended up with water on the bathroom floor We had a problem with the key card to the bedroom every single day we stayed This was due to a malfunctioning set of cards sent to the hotel Even though this was annoying staff was extremely helpful and accommodating , We loved many things about this hotel Great location only five minute walk from public transportation both underground and bus Grocery store and restaurants also within five minute walk Nice neighborhood quiet street Beds were very comfortable kitchenette with mini fridge microwave sink nespresso machine with unlimited coffee pods and kitchenware for all guests Great WiFi connection Clean and quiet Great room service Last but not least staff was excellent always eager to help 
121855,The Nadler Kensington,No Negative, The staff is the best I ve come across anywhere in the world Even the fanciest shmanciest hotels can t beat these helpful knowledgeable and kind people They made early check in easy and gave us great recommendations for things to do and places to eat And they went above and beyond I had an accident outside the hotel The manager and her team rushed to take care of me and my son What could have been a scarring event for both of us was soon forgotten about Thank you 
121856,The Nadler Kensington, No restaurant on site at the hotel and usually there are not enough people at the front desk to perform all the tasks needed due to high customer femand so sometimes we had to wait for them to answer the phone if we dial for reception or if we needed them to carry our luggage, Staff were very friendly and accomodating to our every need They even gave us the option of changing our rooms as we were initially placed in the basement which we did not loke at the start but ended up staying there due to the level of comfort of the rooms It was also around the corner from Earl s court unerground station with plenty of food options within a 5 min walking distance from the hotel to choose from They also offer discount codes to guests staying in the hotel to use in nearby restaurants and cafes which we found to be very nice 
121857,The Nadler Kensington,No Negative, Simply couldn t fault it Great location in a lovely part of Kensington Very conveniently placed for public transport especially if you re visiting Wimbledon yet also within easy strolling distance of Knightsbridge Hyde Park museums etc Well appointed comfortable room with excellent kitchenette facilities including a Nespresso machine Staff very helpful 
121858,The Nadler Kensington,No Negative, Location was terrific close to Earls Court tube station Lovely area to stay We had single rooms which were quite compact however very clean well designed and had everything we needed for our stay Air conditioning worked really well and room amenities included good hairdryer iron and tea coffee facilities and excellent shower Staff were extremely helpful and polite 
121859,The Nadler Kensington, Would have liked a bath Description misleading I thought that a compact double meant the size of the room In fact the bed was a large single Good job we had 2 of them , MIni kitchen in room handy 
121860,The Nadler Kensington, While still centrally located what I would consider outer circle and excellent tube access it was a little bit of a trek from central sights for quick long weekend trip to London Other trips to London I ve stayed more central where I could walk everywhere At the Nadler we would take the tube and then walk everywhere After careful research however I couldn t beat the price for such lovely accommodations so it was worth being a little farther out , Easy hop from Heathrow one tube ride Very helpful staff Beautiful room and spacious bathroom Many amenities provided including great coffee robes quality shampoo etc Charming neighborhood Excellent value for London Family room was outstanding value for family of four We will return and recommend to our friends 
121861,The Nadler Kensington, We travelled by car and had no idea that the hotel had two parking spaces on site Unfortunately we had already sourced parking elsewhere So it would have been good to know this fact prior to arriving at the hotel ,No Positive
121862,The Nadler Kensington, Not particularly friendly welcome or helpful for a family arriving quite late at night after a long flight delay unfortunately from there we only noticed the negatives There are some physical challenges for example all the stairs and doors with suitcases to navigate and the lack of breakfast service On reflection a okay hotel for couples or solo travellers , A good location near Earls court underground Kensington Museum Parks etc So the hotel has that on its side 
121863,The Nadler Kensington, Very tiny room no where to store our very large suitcases so we were tripping over them constantly The bed was a little small but still enough room for a couple Disliked that it was pushed against a wall so one person had to climb over the other to get in or out On the whole it was a nice experience and the minor negatives did not outweigh the positives , Very clean and really appreciated the kitchenette with fridge sink filtered water and dishes Small room but had a good size bathroom kitchenette and closet Air conditioning was a bonus It was within a few blocks of a subway station a main thoroughfare with restaurants and amenities but with just enough distance to be quiet at night The staff was wonderful and happily held our bags when we arrived too early to check in and when we checked out but wanted to keep touring the city for a while 
121864,The Nadler Kensington, The dirty blanket and floor room is too small Price is not worth , it is very convenient to go other places from the train station behind the hotel Staff are friendly There are a lot of restaurants near by 
121865,The Nadler Kensington, The room was smaller than I thought but it had all the things I needed , I liked the flexibility of the staff with check out and parking I will definitely be coming back as soon as possible with my partner P
121866,The Nadler Kensington, The window blinds in my room did not block out much of the light from the street however staff informed me that they are currently in the process of updating the window dressings in the hotel , Being alone in a foreign city can be daunting however I felt 100 safe and secure in this hotel and had complete privacy The whole room was modern and spacious especially considering I had booked a single room Staff were very friendly and accommodating 
121867,The Nadler Kensington, The room was a bit small but had good amenities complimentary hot drinks nice shower , The staff was wonderful I was alone and 4000 miles from home never been to Europe and they were so welcoming and helpful it made my first day here quite pleasant 
121868,The Nadler Kensington, Lack of in house restaurant However the pub recommended a short walk away was very good, Accommodation staff and location could not have been better Would certainly booked again 
121869,The Nadler Kensington, Only very minor issue was that the fridge could have been colder, Staff very friendly and helpful Clean and comfortable rooms Good location Useful kitchenette Had thought about putting extra towels in bathroom which we so often don t get when travelling with children thank you Staff gave our daughter a small duck as a gift which was a lovely touch We parked our car at the hotel whilst it was not a car park as such was very secure and a great service for us
121870,The Nadler Kensington, Nothing everything was great, Location to Earls Court tube station and high street with plenty of restaurants pubs laundry drycleaners of you want to get some laundry done quickly at a low cost It s on the right side of town for a quick trip out to heathrow Staff were super friendly and very helpful The property is very comfortable spotlessly clean the rooms were quiet and well appointed modern bathrooms plenty of space in the room I booked to stay in The kitchenette was great to make a coffee of a morning being back a few bits pieces to store in lieu of breakfast And house keeping was great each day thoroughly tidying the room bathroom kitchenette I would happily stay here again when I m back in London
121871,The Nadler Kensington,No Negative, London hotels in this area are very small but this hotel does an amazing job with the space and the modern touches and friendly staff make up for the cozy quarters Would definitely stay here again 
121872,The Nadler Kensington, Nothing to dislike, The staff were excellent our room wasn t quite ready when we arrived but we given a bottle of wine to compensate Close to Earls Court tube and lots of restaurants and walking distance to the V A and other museums
121873,The Nadler Kensington, Everything was good and as I expected , The hotel is a very cosy bolthole furnished in contemporary style and with very good fittings I chose it for the convenience to Earl s Court Station which is very accessible to Heathrow and because I had previously enjoyed staying at the Soho Nadler I was able to check in early after an early arrival at Heathrow which was very helpful 
121874,The Nadler Kensington, Really happy with everything room was quiet being alone felt nice safe , Location was great really central and close to underground plenty of good places to eat Key fob was used to gain entry out of hours so could come and go as one pleases 
121875,The Nadler Kensington, The throw on the bed is incredibly ugly The thick carpeting on the floors can make it difficult to roll a suitcase , I have previously stayed at this property and return due to location and staff The rooms are compact but include some nice touches such as a Nespresso machine kettle refrigerator and microwave The shower is excellent 
121876,The Nadler Kensington, Wish the room had been a few square feet larger However the design and layout overcame compact room size in a most clever and sophisticated way , Staff best in our England experience Design very cool Room layout extremely clever Nice residential neighborhood a few minutes easy walk to restaurants and Underground Wonderful experience and our favorite stay in England 
121877,The Nadler Kensington, I have no complaints at all about the Nadler It was a great place to stay , Super clean room fantastic helpful staff someone at the desk around the clock Great security with card access to door of building and room Close to the Underground for easy travel My family was very happy here and I can recommend it wholeheartedly to others 
121878,The Nadler Kensington, The staff was great super friendly The room was clean and quiet and had everything I needed The housekeeping staff even let me sleep undisturbed I know rims in London are generally small but it was a little smaller than I expected The mattress was a little too firm for my taste I had difficulty sleeping and woke up a little sore , The staff was great super friendly The room was clean and quiet and had everything I needed The housekeeping staff even let me sleep undisturbed 
121879,The Nadler Kensington, The free wifi was very very slow and the paid options were expensive We are now in an apartment in Lisbon with fast free wifi why can t London hotels provide good wifi , Great location very quiet comfortable and clean 
121880,The Nadler Kensington, The room was not the same as that booked on Booking com Hotel were friendly but unable to change rooms as they were fully booked Booking com failed to respond to my messages , Hotel room was spotlessly clean excellent power shower Pillows mattress comfy 
121881,The Nadler Kensington, We don t really like to be in the basement room , we love the location and the stuff were very helpful and nice The neighbourhood is quiet and friendly There is a Holland Park and Hyde Park where you could have a morning walk and exercise nearby 
121882,The Nadler Kensington, Theres too much hallway and doors like a maze Wifi was choppy , They surprised us with hearts chocolates and and towels shaped like a swan on our bed Comfortable bed with fur 
121883,The Nadler Kensington, Nothing , Lovely boutique hotel set in a relatively quiet area off Earls Court High Street Great location within walking distance of the Tube Strange thing to say but the hotel was not only spotless but it actually smelled fresh and clean All of the staff were marvellous from front of house to the cleaners Many thanks in particular to Pauline in reception Great bed So glad we upgraded from small double to king size Great location for seeing the sites We don t get to London that often and have stayed in less than a dozen boutique style hotels but we would stay here next time and would recommend it 
121884,The Nadler Kensington, Breakfast could have been included, Location was truly excellent Rooms were very comfortable staff was welcoming and friendly Major attractions are at walking distance from the hotel 
121885,The Nadler Kensington,No Negative, Stay at The Nadler for 9 nights 3 adults Nice location less than 5 minutes from Earl s court station Easy access to central London and other attractions Great service and friendly staff Highly recommended 
