,Hotel_Name,Negative_Review,Positive_Review
20546,The Nadler Victoria, The rooms are just a tad small the only downgrade I could find But really it s an older building probably 19th century that s been upgraded and modernized nicely , Staff was 1st rate The young woman Carmen with the most enchanting eyes I might add was especially friendly and helpful 
20547,The Nadler Victoria, Even though we booked over 6 months in advance we asked for rooms side by side as we had young children and were put at opposite ends of the hallway which was a bit annoying, Beds were amazingly comfy In an excellent location with great little coffee cafe straight down stairs The staff could not do enough for us Enjoyed our stay 
20548,The Nadler Victoria, In the basement you can feel the underground but it s not too bad , The bed was very comfortable and the hotel can be accessed via a tube exit that means you don t need to go through Victoria station Tiny kitchenette would be very handy if staying more than overnight 
20549,The Nadler Victoria,No Negative, Room was very comfortable and well appointed Very easy walk to the tube and Victoria station with lots of eating options nearby Staff were all excellent to deal with This will be my first choice when I m next in London 
20550,The Nadler Victoria, No breakfast Given the price for the room this is a little hard to swallow , Just 2 blocks from Victoria Underground Station and 3 blocks from Victoria rail station There are bus tours of London starting and ending near the station making this a pretty convenient location Extra large rooms for a London hotel The staff is very friendly and helpful We highly recommend the hotel for this feature Their tourism and dining recommendations were very helpful The rooms are the largest and nicest I have seen in many years of visiting London The room was very quiet and had good air conditioning 
20551,The Nadler Victoria, The receptionist never told us anything about the hotel so I did not know of any faculties e g if there was a bar or dining facilities , The coffee making facilities in the room comfy beds and quietness of the area 
20552,The Nadler Victoria, Housekeeper did not empty the wastebaskets every time she cleaned , The hospitality staff was excellent Roberto Russo is the manager and he leads by example Before we left the US we contacted Carmen who arranged for a car to pick us up at Gatwick She responded very promptly to my enquiries Roberto personally helped us plan a day outing to Greenwich Cristina Altaur and Silvia and Carmen were exceptionally attentive to me and my husband greeting us answering our questions arranging for transportation and making us feel welcome I would go back because we were treated as guests should be The hotel is a five minute walk to Victoria Underground and a seven minute walk to Victoria Coach Station It is directly acrosss from Buckingham Palace and St James s Park Lots of good cafes take away and restaurants for every budget 
20553,The Nadler Victoria, There is nothing that I would change , Staff was amazing The hotel is hidden on a quiet street one block from the Buckingham Palace wall 2 minute walk two blocks to the Palace stables 3 minute walk and three blocks from the main Palace entrance easy 4 minute walk Hop on Hop off bus stop one block away 1 minute walk Victoria Transportation Station 5 minute walk Huge shopping and many many restaurants within minutes Cab service is available at the front desk and usually takes 2 3 minutes for it to arrive Best hotel and best hotel service I ve had in years
20554,The Nadler Victoria, OK everything was great but 2 annoying items The garbage can in the rooms was one the you have to step on the side lever to open You might have to chase the can around the room when it is empty A good old trash can would have been great Number 2 is this hotel is technically advanced with electronics Maybe too advanced you might have to play with items to get them to work or like I did call the front desk , The front desk was beyond outstanding in every way The rooms were small but they had everything you need or could want If the room didn t have the staff would get it Terrific hotel 
20555,The Nadler Victoria, I stayed in a back room with an uninspiring view of an interior courtyard but the room was quiet due to the location , Amazing Location near Buckingham Palace and across from the Royal mews It was 2 blocks from Victoria Station so central to the entire city 
20556,The Nadler Victoria, I was given a room in the basement and it was really noisy due to trucks driving on the road next to the hotel It felt like they were driving on you because the room was below ground , Nice decoration great location 
20557,The Nadler Victoria, Only request would be for better coffee available in the rooms, Small rooms this is London but excellent customer service Nauris was the gentlemen who checked us in and was superb I stayed in two rooms and found the basic room better laid out than the King room or similar name the fact the basic room was downstairs but still had natural light didn t bother me Great place with great staff and will stay again when back in London 
20558,The Nadler Victoria, Nothing to complain about really , The central location We attended an event at Buckingham Palace so only had to walk around the corner And we were given an upgrade 
20559,The Nadler Victoria, The hallway lights were on motion detectors and still dark when lit It was also dark decor which can make it difficult to navigate The room had a safe but was on the lowest shelf in the wardrobe and not easy to access especially if older or mobility is a problem , The location was perfect for our visit The room was spacious The decor and bathroom was modern Our room was above a side street and very quiet 
20560,The Nadler Victoria, Can t think of a thing that wasn t above my expectations , Superb customer service The Nadler had the most helpful and personable staff I ve ever dealt with 
20561,The Nadler Victoria, Pillows could be more comfortable, Extremely friendly and welcoming staff well trained Nothing is a problem Good showers plugs next to mirrors so that you can dry your hair and ghd hairdryer 
20562,The Nadler Victoria, There is no real breakfast option they can organise you some food but its not the same as a breakfast served at the hotel restaurant But you have a kitchenette so you can prepare some breakfast for yourself , This was my second time in Nadler Victoria I will be coming back This is a great location walking distance from Victoria station Extremely comfortable for my business commuting Rooms are really great comfy bed kitchenette 
20563,The Nadler Victoria, Somewhere to eat in the hotel would have been great but we knew it didn t exist when we booked so couldn t really complain , The hotel has no facilities itself other than a room service I E no restaurant which we knew about anyway but they did give us great guidance on where to eat locally and with discounts provided Excellent and extremely helpful staff without too much exuberance great please to stay and particularly good if you re going to see the Palace 
20564,The Nadler Victoria, Nothing it is a boutique hotel that is room only If you book knowing this you won t be disappointed, The finish of the hotel overall is to a good standard The room I stayed in was very quiet for central London
20565,The Nadler Victoria, Would of Likeed to be able to have breakfast or meals within hotel but there were restaurants near, The staff were fantastic and couldn t do anymore to help Brilliant 
20566,The Nadler Victoria, Nothing negative at all to say A suggestion an electric toaster would be an added bonus to the already great supplies in the kitchenette , The Nadler Victoria in a great location very convenient to Victoria Station and popular tourist destinations Room super clean kitchenette with microwave fridge and kettle a big bonus Also found nearby shops have everyday essentials No hesitation in booking Nadler Victoria for my next stay in London 
20567,The Nadler Victoria, This may sound silly but I m not a big fan of fake fur throws on the beds Also a bathroom would be a welcome enhancement , This is about the 4th time I ve been here since last year so all things good The staff is cheerful and helpful no matter what time of day Any problem with the room is addressed as soon as possible The decor is tasteful and relaxing Good mattresses I always get a good night s sleep In terms of location two minutes to my office unbeatable 
20568,The Nadler Victoria, Room 007 is right next door to one of the staff s main thoroughfares this meant that from relatively early in the morning you could hear the beep of the cards they used for access this woke us up several times I would definitely stay here again but would ask not to be located in one of the basement rooms , The staff were lovely 
20569,The Nadler Victoria, Nothing we had a great stay, We had a king room booked to attend a royal garden party The hotel is very convenient for the Palace and a good location in all close to Victoria and Belgravia The room although not large had everything required for a comfortable stay The GHD hairdryer was a nice touch and a big improvement on most rubbish hotel hairdryers We did not use the mini kitchen other than for a couple of cups of tea but the water filter tap was appreciated I m always happy to see a solid loo door these days when new hotel style seems to be more important than practicality The hotel and room were very quiet great soundproofing The hotel staff were very professional very friendly and helpful We had an issue with the safe and TV when we arrived but help arrived immediately to resolve the problems So nice to stay somewhere where the employees are happy 
20570,The Nadler Victoria, Rooms were on the small size, Staff were very helpful in terms of answering questions and making suggestions for restaurants for example The sound insulation is obviously very good as despite a major construction project across the street the hotel was very quiet
20571,The Nadler Victoria, Had room in basement Room was still good But looking at a wall is not nice , Location is great close to Victoria Nova with nice restaurants The room was small but clean and nicely furnished 
20572,The Nadler Victoria, Construction across the street although the hotel is very sound proof and noise was not an issue , The staff was exceptionally helpful and friendly As a first time visitor to London and your hotel this was very much appreciated 
20573,The Nadler Victoria, The room was a little on the small side , Friendly helpful staff Clean room The location is excellent just a few minutes walk from Buckingham Palace St Jame s Park The Mall and Victoria station
20574,The Nadler Victoria, Nothing I can think of , The location was very good next to the Victoria tube station and next to a number of excellent restaurants The staff was very willing to help you and was able to book a personal taxi service to London City Airport when the DLR was not running in the weekend 
20575,The Nadler Victoria, It would have been good to have the option of breakfast in addition to diy in room tho plenty of eateries nearby , Great mini kitchen in room Staff were great Location superb 
20576,The Nadler Victoria, The standard room rate excluding breakfast is a bit too expensive , All staffs are very friendly and willing to help in all cases The hotel location is excellent 
20577,The Nadler Victoria,No Negative, This is in the center location of Victoria and you can walk to Buckingham Palace Big Ben London Eye It takes around 10 minutes walks to Big Ben and London Eye For Buckingham Palace it only 5 minutes walk The service is spectacular and very friendly 
20578,The Nadler Victoria, We were on the bottom floor so the views weren t great and I would have liked there to be a bar restaurant but you didn t have to walk very far to get to the nearest one, The location was perfect and local amenities were excellent and also very close Room was very modern with a luxurious feel to it and while it was compact it had absolutely everything you could need It was very very clean and the staff were friendly and fabulous 
20579,The Nadler Victoria, Housekeeping may be improved Standard double room no 110 has a small window looking to bathroom door , Staff on the reception was very hospitable kind and helpful Especially our special thanks to Christina Bathroom design was modern and the hair dryer worked very well Room was large Very close to the Apollo theatre Wicked musical and Victoria station 
