,Hotel_Name,Negative_Review,Positive_Review
228012,The Piccadilly London West End, No BBC World and No CNN unfortunately Slow lift, Very helpful and Pleasant staff toiletary products very good Wifi worked very well Nice with complimentary water daily 
228013,The Piccadilly London West End,No Negative, The location of hotel was really good not far from the tube station and theatres restaurants The staff was very kind The room was well equipped with luxurious items It was quite good experience stay 
228014,The Piccadilly London West End, The rooms are tinnnnnnyyyy for an overnight stay it would be great but we were there for several days travelling from the US to Israel There was no room in our room for the suitcases No counter in the bathroom , the service was impeccable as were the amenities It was a pleasure staying there
228015,The Piccadilly London West End, Room is a little small but this is to be expected in the heart of London and not too small to feel uncomfortable or claustrophobic Basically everything felt perfect , Very warm welcome friendly reception staff glass of prosecco chocolates unexpected room upgrade Couldn t have been better Room was modern well equipped spotlessly clean Had everything you need including safe iron and ironing board fast free wifi high quality bathroom toiletries lovely rain shower and a super comfortable bed I slept well and heard no noise despite being in the heart of the West End The location is second to none just minutes from all theatres shopping Chinatown SOHO etc Staff were consistently friendly and helpful recommended a very good Italian restaurant for us nearby Va Piano Lots of little touches to make you feel pampered and special We greatly enjoyed our stay would highly recommend and would return 
228016,The Piccadilly London West End, Breakfast not included in price especially as cost of rooms not cheap Lack of shelf space in bathroom in dressing table area due to room extras e g mobile landline phones pad paper TV remote stand brochures hotel info etc No real bar facility as it appeared to cater more for guests who were taking meals in the hotel , Cleanliness daily cleaning of room Approachable staff Location
228017,The Piccadilly London West End, Small bedroom, Very attentive and friendly staff Lovely room right in the heart of London Coffe tea fruit chocolates all provided Nice products in bathroom Close to theatres tube station etc Nice lighting
228018,The Piccadilly London West End,No Negative, The staff made this trip to London the best yet My partner was made to feel special for his birthday and my daughter was spoiled with attention In particular Maria was a star 
228019,The Piccadilly London West End,No Negative, We had a wonderful stay in this beautiful hotel which was in a perfect location on Shaftesbury Avenue The staff were friendly and welcoming we were given a glass of Prosecco on arrival which was lovely Our room had wonderful views and was spacious extremely clean and very comfortable We were visiting Ronnie Scotts the hotel is literally just around the corner a few yards away the location was perfect I would highly recommend this hotel I would definitely stay there again 
228020,The Piccadilly London West End, The noise from the road outside was disruptive, Very nice bed and bedroom Good quality Elemis products in the bathroom and plenty of hangers in the wardrobe Fantastic location
228021,The Piccadilly London West End, Poor Club facilities This is not a true Club experience which I was expecting for the price we paid No breakfast served and tired dried sandwiches at 5pm Very limited drinks The Lounge itself is very comfortable , Bed extremely comfortable Staff were wonderful professional and informative Location excellent to shows and sites 
