,Hotel_Name,Negative_Review,Positive_Review
144417,The Queens Gate Hotel, Bed was uncomfortable room was very small could hardly walk between end of bed and side of room, Staff were very pleasant and attentive It did have air conditioning which pleased my husband 
144418,The Queens Gate Hotel, Not enough restaurant in the immediate vicinity but decent choices within a 10 minute walking distance, Love the location with the many landmarks and museums within walking distance 
144419,The Queens Gate Hotel,No Negative, We were upgraded to a Club Room by the wonderful staff on Reception after a little mix up and it was lovely The room was spacious clean and the little extras made it feel very special and added to our whole experience The breakfast was really good and beautifully presented The staff were very friendly and helpful Overall a lovely stay Thank you 
144420,The Queens Gate Hotel, The bathtub cleanliness wasn t inviting enough to enjoy this amenity The high speed WIFI was very spotty , The room included a smartphone to use international and domestic calls as well as unlimited data This was free of charge and helped me navigate the city and stay connected The staff was pleasant and accommodating The room view was fantastic and the room itself was spacious with two large windows 
144421,The Queens Gate Hotel, Food choice in restaurant was very limited and restaurant was quite small for a fairly large hotel Found drink sizes a bit small for price charged , General Facilities were great but the room was not quite so good had very squeaky floor boards alonside the bed particularly as had asked for a good room as celebrating our 60 th wedding anniversary 
144422,The Queens Gate Hotel, Nothing , The hotel was in a fantastic location and only a 5 minute walk to the nearest London Underground station The hotel itself was refreshing and a polished appearance which represented its 4 status The staff were extremely welcoming and happy which made the check in process that little bit easier During the stay they were also very attentive if needed and made for a comfortable stay The icing on the cake was the great price that was paid given the location 2mins from the Natural History Museum and South Kensington or 2 mins from Hyde Park 
144423,The Queens Gate Hotel, Very tired hotel room wasnt clean torn wallpaper in room and in corridor loose floor tiles in bathroom dirty mini fridge shower head fault I asked to move room but non available receptionist tried her best i did email the hotel to flag up issues but no reply , Location to the Royal Albert Hall bed v comfy 
144424,The Queens Gate Hotel, Barely enough space to walk between the bed and the desk and the shower was tiny , The hotel was clean and the staff were friendly Wifi was good too The water pressure in the shower was good too 
144425,The Queens Gate Hotel,No Negative, Stayed at th Queens Gate Hotel to watch Tom Petty at Hyde Park great location lovely hotel rooms and very helpful and friendly staff Lots of amenities within a short walking distance Would definitely stay again 
144426,The Queens Gate Hotel, It took long time to receive the baggage and ask for the taxi arrangement on leaving Apart from this everything was great , Good value for money Nice location to go to the Hyde park etc 
144427,The Queens Gate Hotel,No Negative, Large room and nice facilities Nice area close to the metro Architectural design of the building gave it character Staff were friendly and very helpful 
144428,The Queens Gate Hotel, Rooms are well appointed and comfortable but it wasn t the cleanest Rooms were tidied up but not necessarily cleaned , Location is perfect Close to Gloucester and South Kensington tube stops Easy walk to the V A Science Museum Royal Albert Hall Hyde Park etc Boutique style hotel so very cozy Triples are spacious and well appointed Several wonderful restaurants nearby too 
144429,The Queens Gate Hotel, The room felt a little cramped and some breakfast items ran out and weren t replaced while we were there , The room was very nicely decorated and comfortable The staff very friendly and attentive 
144430,The Queens Gate Hotel, The water from the tap was yellow and smelt horrible The sink did not drain very well The room was extremely small for the price we paid in comparison to other 4 or 5 star hotels The overall first impression was not good The beds did not look crisp cushions seemed to have collapsed against the pillows It just didn t look perfect like other hotels we have stayed in of the same rating No free bottle of water provided in the room we have had this in numerous hotels previously Could buy from reception for 1 or the bar or mini bar for 2 50 , The shower was very good The bed was comfortable The body lotion was good and smelt lovely 
144431,The Queens Gate Hotel, Booked a twin room for two nights first night not available given a temp double room that was tiny Moved to a twin room and this room was fantastic plenty of room and very comfortable so I forgave them , Location was great style cleanliness good bar food Breakfast had a great selection Two lifts which is unusual in a relatively small hotel and staff very helpful with suitcases etc 
144432,The Queens Gate Hotel, Disappointed when we saw our room as it was a family room two normal singles and two child singles We specifically chose the hotel to have three equal single beds for three adults as we booked a triple room which looked nicer in the pictures But we didn t get into our room until past 1am so just put up with it We were also lower ground so had no view we couldn t even see the weather to know what to wear the next day That said I was told the smaller bed was comfortable enough Disappointed we couldn t have an earlier check in time as requested which meant we had to go out without seeing our room until the early hours the next day after the concert , Comfortable beds Friendly courteous staff Breakfast was good plenty of choice Rooms were a nice temperature and bedding was good quality and cosy They looked after our luggage happily
144433,The Queens Gate Hotel, N A, Superbly comfortable and quiet room and delicious breakfast with nice touches like fresh orange juice The hotel enjoys a brilliant location near Kensington Gardens Hyde Park and museums like the V A Science Museum and the Natural History Museum The friendly staff were keen to help and showed good attention to detail Would definitely stay there again 
144434,The Queens Gate Hotel, The room was at the back a room at the front of the hotel would have had a better view, The bed was enormous and very comfortable The breakfast was very tasty The staff were friendly and polite Nice part of London and walking distance to the Royal Albert Hall
144435,The Queens Gate Hotel,No Negative, could not find a better hotel convenient for both the Albert hall on a Sunday night and the London Museumns on a Monday morning turn left for the Albert Hall and righ for the Natural history 5 minute walk if you run in both directions ideal would not choose anywhere else 
144436,The Queens Gate Hotel, Hair in bed and in the bathroom Late breakfast start only at 7 00 no vegetable Thin walls between rooms Noisy AC , Perfect supply of stuff in the room bathrobe slippers tea coffee items in the bathroom complimentary water and chocolate Magazines and newspapers in the lobby Walking distance to Albert s Hall Hyde park and tube Next to Imperial college 
144437,The Queens Gate Hotel, The telly going of at 6oclock as someone had set the alarm before our stay There was a slight smell in the room that wasn t nice , The Staff were lovely 
144438,The Queens Gate Hotel, Nothing the hotel was too over priced for the small room you go 560 for two days , Nothing the hotel was too over priced for the small room you go 560 for two days 
144439,The Queens Gate Hotel, , The staff were extremely helpful and welcoming The room was excellent standard double with great facilities in top condition including a comfortable bed The stay was brilliant and felt safe the entire time The location too is fantastic right near several national museums and the Royal Albert Hall I would readily book to stay again 
144440,The Queens Gate Hotel, The rooftop bar was closed for maintenance Shame as it was one of the reasons we chose this Hotel Also the shower seemed a touch small although this could be because we are both over 6ft , Due to availability we were upgraded to a Family room Just a little larger than normal but the extra space was a bonus The staff were very accommodating warm and polite An excellent room quiet and comfortable 
144441,The Queens Gate Hotel,No Negative, Upgraded as fully booked Extremely spacious room Very quiet even though the room was downstairs and at front of property The bed was very comfortable Toiletries were lovely 
144442,The Queens Gate Hotel, When we arrived we were told we would not be able to check in until 2 00 So we left and returned right before 2 00 only to be told it would be a few more minutes The few more minutes turned into 1 5 hours that we could have been sightseeing We also had 5 00 dinner reservations to get ready for Not a happy camper here , Not much 
144443,The Queens Gate Hotel, the price for the breakfast was to expensive for the quality of the food fried eggs over cooked hash browns very greasy mushrooms dried out overall disappointing , location for the Royal Albert Hall was fantastic 
144444,The Queens Gate Hotel, Room could ve been better for the money I note that we got swapped to room 1011 as the couple who checked in just before us complained about the room Was a room with no view which is a shame Bathroom could ve been cleaner and sink plug was also broken Could also do with decor touch up as wallpaper peeling slightly , Staff were great accomodated every need Extremely helpful and well mannered Location was great right near to Royal Albert Hall so really convenient Beds were very comfy 
144445,The Queens Gate Hotel, Rooms may be small We asked for a larger one Staff was friendly , Breakfast buffet was varied and provided choice for all Location good for transportation restaurants and nearby sights Be prepared to walk a lot if you are set to explore London 
144446,The Queens Gate Hotel,No Negative, Staff were very professional helpful efficient and friendly Food was very high quality Room was perfect comfortable bed and all facilities as described Breakfast was defiantly worth taking Perfect location for the Royal Albert Hall Close to South Kensington and Gloucester Road tube station Excellent stay 
144447,The Queens Gate Hotel,No Negative, The property was central for the Royal Albert Hall Science Museum etc close but not too close to the underground Friendly staff Fluffy white towels and all the toiletries you could need 
144448,The Queens Gate Hotel, This was close to the smallest hotel room I was ever in The distance between the end of the bed and the wall was about 18 There was nowhere to put our luggage and we travel with only carryon A big suitcase would have been a show stopper But my biggest gripe is about the desk staff The first morning we only had one towel Eventually we found the other in the wardrobe The second morning there was only one towel and none in the wardrobe We told the desk about the problem and went out to breakfast Came back no towel Told them again and left for the day Finally after telling them a third time someone in housekeeping left a towel on the bed How hard is it to go and get an extra towel and hand it to the guest , We loved the location of this hotel It is in a residential area but very near tourist attractions such as museums has good tube access including access to Heathrow and has good restaurants in walking distance 
144449,The Queens Gate Hotel, No horel specific parking and I had not noted this when I booked so had to incur unplanned parking costs, Clean easy access to central London but also abut away from excessive traffic
144450,The Queens Gate Hotel, The room was too small and I would have preferred to stay somewhere closer to a metro station because due to the distance we never used it Spent a lot on Uber s to get back from everything Also the bartender had a bad attitude and the food in bar was not good , The breakfast was very good good for walking to Victoria and Albert fine distance to bus 
144451,The Queens Gate Hotel, The service in the bar was slow and poor , Great location for Royal Albert Hall and Hyde Park and we had a lovely peaceful newly refurbished room at the back of the hotel with excellent bed and en suite Emil was also very helpful at check in and check out 
144452,The Queens Gate Hotel, The walls between some rooms are not very sound proof but not dramatically so The nearest Tube station is a ten to fifteen minutes walk away which might be a problem with heavy luggage , The hotel has an unbeatable location if you have a concert in the Royal Albert Hall to attend or just wish to explore South Kensington and Hyde Park and Kensington Gardens It is clean and comfortable and a very pretty old building of course refurbished and modernised 
144453,The Queens Gate Hotel, Room was very small for 2 people and a lot of luggage , Appointments were very nice loved the double shower Bed was stiff but bedding was high quality 
144454,The Queens Gate Hotel, Very creaky bed shower from room above leaked through to our bathroom Needs better attention to maintenance Surprised Wifi was not a secure network but at least it was free , Was expecting a lot more for a 4 star hotel and the price Bit run down needs refurb Breakfast buffet not as good as Premier Inn However great location 
144455,The Queens Gate Hotel, Rooms tiny bit small inc bathroom but we ll furshied everything you might want , Great Location staff pleasant all very easy Breakfast good book when there as cheaper 
144456,The Queens Gate Hotel, Bathroom too small Breakfast very very average Had to wait for food to be cooked buffet style Very small bed Housekeeping not very thorough, Bar staff were pleasant
144457,The Queens Gate Hotel, The Room was the smallest Hotel Room I have every stayed in not at all like the sizes shown in Hotel literature The foot of the bed was so close to the wall that to get passed we had to turn sideways and slide through ducking to miss hitting head on the TV that is mounted on the wall at this point The Bathroom was minuscule with a stuck plug in the sink which I fixed but it then let Sewer smells into the Room unhygienic and dangerous the toilet roll holder was positioned under the sink and was broken The shower was so small that any movement inside it sprung the door open flooding the floor and also caused user to hit temp control changing temperature DANGEROUS When I reported the above it was met with indifference For the money this was a disgusting Ripoff Staying here spoilt our visit to London Will NEVER stay here again would Definitely NOT Recommend , Location
144458,The Queens Gate Hotel, The first night we were in the smallest room I have ever seen We asked to move and we re accommodated with a much more comfortable room at the same price , The staff were great
144459,The Queens Gate Hotel, The bed a little worn TV close to bottom of the bed having to bend every time to walk past, Excellent hotel for Albert Hall Hyde Park and Kensington Palace plus museums
144460,The Queens Gate Hotel, No Baileys at the bar , The hotel is clean well presented and has a fresh modern interior The location was ideal for us to visit the Albert Hall V A Museum 
144461,The Queens Gate Hotel, Only 1 British plug point plenty European Kettle had to be boiled on table next to bed Cupboard only 20cm from corner of bed with glass corner Accident waiting to happen , Friendly staff and helpful
144462,The Queens Gate Hotel, I think the room would be far too hot and stuffy in the summer The bathroom could do with an overhaul broken floor tiles and loose fittings, Very comfy bed clean and good breakfast excellent value for money The main plus was the friendliness and helpful staff 
144463,The Queens Gate Hotel, We was fully satisfied with everything Location to the Royal Albert hall , The bed was amazingly comfortable and we were at the back of the hotel no view but have to say it was really quiet and peaceful 
144464,The Queens Gate Hotel, Not one thing, Booked hotel to visit RAH Excellent situated for this visit Everything about hotel excellent from checking in until check out with Vangelis Showed us to brilliant room spacious and very quite Special thanks to barman for excellent service Ate in hotel and fish and chips were very good praise indeed since I live up north
144465,The Queens Gate Hotel, Breakfast satisfactory but unfortunately on a buffet service the food has to be kept hot and can deteriorate rubbery eggs However there was plenty of choice , Room recently renovated Spotlessly clean Nice bathroom with large shower cubicle Reception staff were particularly helpful to us
144466,The Queens Gate Hotel, Was disappointed Reviews had been great but room very small for value Very low bed No bathroom counter Drains were slow sink drain broken and had terrible smell slimey No point saying anything as would have to move rooms Defeats purpose of settling in after very long travel day with lots of luggage for 5 weeks of travel This just should never happen Rooms should be top notch upon arrival with all expectations met Clean but not spotless , Location for Kensington excellent Staff helpful 
144467,The Queens Gate Hotel, There was nothing that I didn t like I would stay there again although there were several other hotels in the area which seemed to have good rates , The front desk was very helpful in obtaining a private driver to the airport This is a residential neighborhood with many restaurants nearby very classy neighborhood with a good vibe Close to the tube and the Victoria and Alert museum and museum of Natural History A mere 15 20 minute walk to Harrod s I did not decide to try the breakfast as it seemed more than I wanted to eat but I bought yogurt and fruit from a nearby grocery and kept it in the in room refrigerator I was given room 4 which is considered a club room which had 2 cozy bathrobes and slippers chocolates and bottled water although there was NO view When I returned I was in room 512 which was very adequate and had a window which opened giving a slight view of London Very satisfactory and quiet 
144468,The Queens Gate Hotel, The bathroom smelled moist Probably because the vent was not located above the shower The double beds consist of two single beds these will slide apart if you sit lay in the middle of them , Bathrooms were newly renovated the staff was very service minded and breakfast was nice although pricey The hotel is very central and about 10 minutes from the closest subway station Quiet neighborhood 
144469,The Queens Gate Hotel, Described in the profile as elegant stylish and recently refurbished we were deeply disappointed to find The Queens Gate was none of that There was a bit of surface prettiness but in general the rooms were somewhat shabby and scuffed with a strange odor when windows were open The rooms vary in size some with lots of space but too little room to put away small items Not a single drawer in the bedroom or bath We were adequately comfortable in our rooms but The Queen s Gate was too basic for our tastes A move was discussed but inertia and a full seven day schedule won out , Well situated on a lovely street in Kensington with easy access to Hyde Park the Underground and walks to the V A The front desk staff particularly Marta were available responsive and effective problem solvers Queen s Gate was well priced but we would have been happy to spend more in a hotel with higher standards and more comfortable amenities 
144470,The Queens Gate Hotel, The hot breakfast could have been fresh by order instead of sitting congealing eggs in particular under covers , Only ate breakfast there Was fairly good not excellent tho 
144471,The Queens Gate Hotel, On checkin we ended up in the third room that we were given since all rooms smelled of sewer gas The room we stayed in also had the odour as well as smoking smell from other guests although the hotel is supposed to be non smoking , The reservations manager was most kind in providing a small refund for our inconvenience and disappointment in our stay 
144472,The Queens Gate Hotel, I liked everything , Very friendly and accommodating staff Safe and secure Nice neighborhood Just a great experience Really cool feature was a local cell phone that we took with us all over the city and even to Cardiff for the day which was quite handy Also it s called a handy phone 
144473,The Queens Gate Hotel, Breakfast was a bit chaotic the food was very good but the layout meant that guests had little room for maneuvering around the various dishes It would be better against a longer wall or lose a couple of table rows and increase the areas of footfall around the food , We were upgraded to a Townhouse Room on arrival and because I told reception staff it was our wedding anniversary they sent up a desert for us to share very thoughtful There was a mobile phone in the room which was specifically for us to take around London with free wi fi calls to the UK and many worldwide There was a super coffee machine the bathroom was great shower very powerful room very quiet despite being at the front There is a lot of attention to detail in this hotel and the porter who brought our bags was very attentive he showed us all the facilities in the main bedroom and in the bathroom We would definitely stay here again 
144474,The Queens Gate Hotel, Why did the air conditioning come on automatically at 5am and wake us up , Location was excellent for Royal Albert Hall and convenient for Underground Service for bar meal was excellent as we needed to have a quick meal before going out 
144475,The Queens Gate Hotel, Nothing really The overall room size was a touch on the small size but that s not unusual in central London hotels unless you pay a fortune On balance reasonable value for money , Friendly reception staff very comfy and spacious bed Excellent location for museums and parks and the underground 
144476,The Queens Gate Hotel, The breakfasts were poor the main reason being the food was not hot and people were kept waiting for some items of food to arrive at the buffet on the first day all of the fried eggs were over cooked and were like rubber ,No Positive
144477,The Queens Gate Hotel,No Negative, On arrival we were upgraded at no extra cost to a large room by Sarah the receptionist excellent The cooked breakfast although self service was hot and a good choice
144478,The Queens Gate Hotel, Can t think of anything , Staff efficient and very helpful Bed was extremely comfortable Above all the location in relation to the Royal Albert Hall is the best we have found over the many years we have attended concerts there Our room was both spacious and quiet 
144479,The Queens Gate Hotel, Nothing perfect in every way , Whole experience was fantastic received a free room upgrade upon arrival which made our stay even better Will certainly return to this wonderful hotel when visiting this area again 
144480,The Queens Gate Hotel, Breakfast Poor quality and expensive , Staff and room was excellent only criticism is that I wasn t impressed with the breakfast Tried it once and went elsewhere after that 
144481,The Queens Gate Hotel, Bar service very slow but that was only due to the fact only one member on duty and a busy busy bar, Receptionists very friendly and helpful A wonderful warm welcome 
144482,The Queens Gate Hotel,No Negative, Staff polite and friendly Our room was quiet clean very comfy bed and had everything we needed for our stay Convenient for RAH and hopefully book next time we go to see a concert 
144483,The Queens Gate Hotel, Original booking payment mess up was very disconcerting Considering we got upgraded for the inconvenience the room seemed no better than the average Holiday Inn rooms However I heard that the other rooms were likened to broom cupboards The room was very stark no floor coverings which meant the floor was slippery Lighting switches most confusing Not enough T bags only 2 The coffee machine was too complicated and not appreciated A small cafeti re would be better or decent instant coffee No dressing gowns In the bathroom there was no where to put towels if using the bath or shower A towel rail to dry and hold towels would be useful In the foyer there was a smell of cigarettes Breakfast food looked a little over cooked hard fried eggs , Comfy and spacious bed and room Room temperature was very pleasant Quiet No stairs so easy access Good hot water plenty of towels good shower Breakfast was OK 
144484,The Queens Gate Hotel, The food nearly cold breakfast Noisy breakfast room Ploughmans sandwich , The breakfast room was rather noisy as there was a constant banging and clattering of plates etc as staff were clearing replacing plates cutlery etc Breakfast was luke warm which was a shame as it was quite tasty and would have been so much better if it had been hot It would have been nice if there had been some biscuits with the tea and coffee in our room We ordered a ploughmans sandwich which was brought to our room and despite it being toasted it was cold and appeared that it had been sitting somewhere before eventually arriving at our room and after having waited 30 minutes for it which instigated a phone call to ask where it was it did not taste good 
144485,The Queens Gate Hotel, Room was extremely small Shower cubicle was very tiny with a leaking shower head Food was dried up at breakfast, Location was great for the Royal Albert Hall Room was clean Bed was comfortable
144486,The Queens Gate Hotel, The kettle lead was cut Bits of paint knocked off and not touched up Mould in the shower , The proximity to the Royal Albert Hall The staff were friendly 
144487,The Queens Gate Hotel, Wallpaper peeling scorch marks on bedside table soap dispenser did not work in bath , The location was excellent for our trip to the Royal Albert Hall there in 8 minutes and the staff were helpful
144488,The Queens Gate Hotel, We liked everything really At the risk of sounding picky breakfast was quite expensive so we didn t use this facility it would have been good to have had a continental option at a cheaper price However there were plenty of coffee shops nearby and tea coffee making facilities in the rooms , Great location in Queen s Gate easy walk to both tube and bus routes felt very safe even late at night Staff very helpful and smiley happy to look up bus tube times etc and to give directions Arrived around midday and we were able to check in to our room rather than leave bags in the luggage room really helpful as we were due to watch two theatre performances in the afternoon and evening and wouldn t be returning till midnight Room was well appointed boutique style with everything you could need including a fridge Excellent bathroom with amazing water pressure and plenty of toiletries fluffy towels Comfortable bed with loads of variations for the lighting 
144489,The Queens Gate Hotel, Same as above , When I booked through booking com they had two prices for a room one with breakfast one without I took the one with breakfast When I got to the hotel I found out the breakfast was free with any booking but I was charged 40 a day for two people I would like to know where that 40 a day went 
144490,The Queens Gate Hotel, unfortunately when we arrived our room had a leaking toilet and while it was being fixed we were not offered another room until I actually went down to reception to ask due to us going out for the evening so needed to get ready , the location is great for the Royal albert hall
144491,The Queens Gate Hotel, The breakfast was terrible food was luke warm and not replaced Three dried fried eggs sat on the hot plate for the time we were there Far from good , The location
144492,The Queens Gate Hotel, Not enough staff on in the bar had to wait 10 minutes before someone turned up and then he got my food order wrong so we had to wait again this was after the show at the royal Albert hall when they know it will be busy , it was brilliant for the royal Albert hall a 5 minute walk
144493,The Queens Gate Hotel, Lumpy pillows check them when you get there so gives you time to change them, Very friendly helpful staff fantastic location for the Royal Albert Hall
144494,The Queens Gate Hotel, Coffee was a bit ordinary but they did try to make a weak cappacino so full marks for trying , Hotel was just lovely staff very accommodating and friendly The location is excellent Gloucester Tube is nearby Hyde park and museums on your doorstop Will go there again 
144495,The Queens Gate Hotel,No Negative, Very comfy bed and windows that I could open despite being on the top floor It was a warm day and the fresh air was nicer than the air con Nice area and close to the Royal Albert Hall the tube and the Natural History Museum
144496,The Queens Gate Hotel, Some of the staff were excellent but the evening bar staff was very slow Also the bar food left a lot to be desired , The hotel was clean with an axcellent location 
144497,The Queens Gate Hotel, The cooked buffet breakfast was disappointing and not worth the money Cold bacon not very nice hash browns and burnt sausages that were lukewarm and generally unappetising The bread rolls and the muffins were nice though , Friendly and welcoming receptionist Location good for going to the Royal Albert Hall as we saw ABC there Sons room got upgraded so he was happy 
144498,The Queens Gate Hotel, The door to the room had several large scratches 1014 The mural behind the bed was damaged The bath had several chips and cracks in it The whole room had a tatty 1980s feel to it, Big bed
144499,The Queens Gate Hotel, The room felt a little cramped Hot water went off in the morning so cold showers all round The hotel did apologise and included free breakfast which was nice , It was in a great location for the Royal Albert Hall The staff seemed very friendly and willing to help when needed
144500,The Queens Gate Hotel, Other guests luggage was still in my room when I checked in rooms looked old and tired Bed was not clean stains on sheets not worth the money I paid not the room in the pictures I ended up with a really small room at the top, Staff were friendly
144501,The Queens Gate Hotel, The rooms are very tight and sometimes the view is not good , It s very pleasant hotel one of the best in that area The rooms are very clean and stuff is very friendly 
144502,The Queens Gate Hotel, Small room and bathroom Shower so small if you have a big belly you wouldn t get into it Toilet flush broke , Very good location for Royal Albert Hall
144503,The Queens Gate Hotel, Could have had some draught Cider in bar, WiFi was free so often have to pay that bugs me Good position close to the Albert Hall which is where we were going 
144504,The Queens Gate Hotel, Fortunately I m not a big man otherwise not sure how you fit in the shower It s tiny But worked well for me so all good , Comfortable and had a nice little desk to work good wifi
144505,The Queens Gate Hotel, No bottled water in the room and poor tasting coffee very small bathroom with the extractor not working , Excellent location for the purpose of our trip Polite and friendly staff A good lunch menu at a reasonable price Large and comfortable bed 
144506,The Queens Gate Hotel, Nothing at all, Friendly staff and professional throughout Room was ready at 12pm so they allowed me and my partner to check in early which was very helpful 
