,Hotel_Name,Negative_Review,Positive_Review
34660,The Rembrandt, English standard breakfast is difficult to like There is no whole milk much less half and half and the coffee has almost no caffeine It won t wake you up at all , The concierge was very helpful and taxis were right in front all the time Very central location 
34661,The Rembrandt, Only the one lady having a bad day Everyone else was extremely helpful and very kind , The eggs were not cooked enough The beds were great as was everything else except for the breakfast hostess the first morning very sour Made it clear a large party was a bother In room iPhones with local attractions and very detailed maps was awesome Also able to call home was awesome We had a great time and would stay again without hesitation 
34662,The Rembrandt, Was initially given an inferior room to which I had paid for displayed on the booking site This was quickly corrected by the reception staff , The ambience was relaxing and friendly Very helpful staff
34663,The Rembrandt, Don t stay if it s a business trip as it doesn t cater to business people The rooms lobby and gym don t look like the photos on the website it is a really old hotel but not in a good way , I paid for a Club room on Booking com and when I got my room Room 666 the photos did not match the ones on Booking com I was told to complain to Booking com about it but the photos are still up on the site and I feel if the Rembrandt are going to be available on Booking com they should make sure it is correct I was moved begrudgingly to a better room but it had soft decaying apples on the table and the bathroom was small The rooms seriously need a renovation if someone is paying more than AU 600 per night I chose The Rembrandt imagining I would get an elite hotel and found it old and tired I tried to print out a book contract on the computers in the lobby and the printer had run out of ink I assume this is supposed to be the business centre A table with two computers and a printer in the lobby I had to organise to get someone from the front desk to print it and they weren t overly impressed None of this suggests a hotel with as many stars or costs as much as it does The breakfast was pretty bad the eggs overcooked not runny the tomatoes waterlogged and the juice containers appeared dirty and had drip tray saucers underneath again I would not expect this from a hotel like The Rembrandt The bar lounge was OK but I wouldn t expect to have televisions playing in there and it was largely empty with very old 1970s carpet and furnishings I m afraid I was really disappointed in the experience and will stay somewhere else next time Just as a note a Club room should only be called a Club room if you have a Club lounge I booked this room also believing I would have access to a Club room for the extra money I paid It is deceptive and I was told many other people had mistaken the same thing Call it something else 
34664,The Rembrandt, Read instructions on operating the Jacuzzi bath but not able to find the on off switch or button , The Handy phone provided in room was helpful but not really worked like own device 
34665,The Rembrandt, Old door in bedrooms and especially if interconnecting allowed sound to travel through too much and service in breakfast area was slow at busy times , bedroom was well equipped breakfast was good
34666,The Rembrandt, The restaurant in particular the rooms and reception are extremely dated The gym facilities are abysmal and the 7 00 charge is ridiculous for its use , Location and the building itself 
34667,The Rembrandt, I booked a twin bedded room as I was meant to be staying at the hotel with a friend not my partner The twin beds were right beside each other My friend was unable to come with me so my partner took her place so it was fine for us but would have been a bit too cramped for two friends sharing the room , Comfortable quiet bedroom but a little cramped Breakfast was good 
34668,The Rembrandt, Too bad we only have to stay one night , Spacious rooms attention to details quick check in and out free use of mobile phone internationally and locally friendly and not intimidating staff great breakfast spread
34669,The Rembrandt, Nothing I can think of Everything was just perfect for our stay , Very nice hotel excellent breakfast perfect central location to tubes buses A special mention on the most helpful concierge They were so helpful and willing to assist with anything They even arranged a hired car for us just before we were about to check out It was sorted and arranged in a flash Traveled and stayed all over in the UK for 2 weeks and this was one of my best stays and locations If i visit London again i will most definitely book here again 
34670,The Rembrandt, The rooms have jacuzzi baths which looked good until you hear the neighbouring room using it It drowned out the TV any conversation and one neighbour decided to have a jacuzzi bath at 5 30am waking me up The staff in the bar were very offhand and unwelcoming we were going to spend the evening there and ended up only having one drink and leaving , It had a very comfortable bed very clean and an amazing location The neighbourhood was stunning with loads of cool cafes and shops The museum is a must visit and the local architecture is beautiful 
34671,The Rembrandt, What s not to like , Great hotel in a great location Staff were really lovely and nothing was a problem Breakfast one of the nicest in all the hotels I ve stayed in London and I ve stayed in quite alot over the years Restaurant good was also top quality ate there every nite which says it all Will come back to the Rembrandt again because of its location accommodation and the high level of service to its customers Thank you Rembrandt 
34672,The Rembrandt, Nothing to fault, Good sized modern and clean room comfortable beds free bottles of water in room Great individual temperature control in the room which was welcomed on a humid day night Staff were super friendly Breakfast was fantastic
34673,The Rembrandt, Unfortunately there was some redecoration going on whilst we stayed which I wasn t aware of , Check in was quick and easy Friendly staff Room was a good size Bar has a good range of drinks and cocktails open til late good choice of breakfast not rushed Good location
34674,The Rembrandt, Ok except for price room size shelf space and all of this is really minor and I plan to keep staying there , Have stayed their many times and like the hotel the staff the breakfasts and the location A standard room a little small and very little drawer or shelf space Hotel is expensive as all London hotels are so for London the value is good but for Europe in general it is expensive for the room one gets 
