,Hotel_Name,Negative_Review,Positive_Review
137058,The Westin Paris Vend me, I think due to the location this hotel thinks that service is second when it should be first Each time I stay here it becomes worst in terms of service The housekeeping and porters are nice The restaurant members dont look like they want to be bothered However the front desk and concierge people could not be any more rude As a SPG gold member I expect more Overall this is the worst service I have ever had in Paris , Location 
137059,The Westin Paris Vend me, New guests entered our room while we were still in bed at about 7 00 a m with their own card keys we tried ours and it no longer worked our check out time was not till noon of that day Soon enough we got a call from the hotel apologizing for the mistake and they did not charge us for our breakfast that morning as a gesture of recompense but we didn t care about that It was still unacceptable such an error could have led to a number of worse situations we were just glad that it did not ,No Positive
137060,The Westin Paris Vend me,No Negative, The spectacular view over the Jardin des Tuileries and to the Tour Eifel and Louvre the nice garden inside the hotel with the Bar Restaurant
137061,The Westin Paris Vend me, Quite a run down property lighting not really good With a price like what we pay there are more place better However locat ion and convenient great, Location
137062,The Westin Paris Vend me, Room size a bit below expectation compared to other westin in Asia The hall a bit messy Tidy but would need a good architect to re lay out the whole thing, The location is great 
137063,The Westin Paris Vend me,No Negative, The staff were very helpful I had travelled to the hotel for work and this was booked through my company with the weekend covered through Booking com When I checked in the staff couldn t have been more helpful to make sure we had the same room for the whole duration of our trip and also made sure my wife could access the room the following day when she arrived During our stay I was recovering from leg surgery and the staff couldn t have been more helpful in assisting us The breakfast was great and the location was perfect for exploring all the normal locations in Paris 
137064,The Westin Paris Vend me, all went very well, concierge and staffs were very helpful receptionist as well i requested a larger room and was given a very nice one with the help of the receptionist 
137065,The Westin Paris Vend me, The bathroom showers needed fixing The toilets are old and yellow The carpets needed changing The whole room needed to be gutted out, I love this hotel I stay here every time I m in Paris However this time I upgraded my family to a suit and it was such a bad idea The quality of the room was horrible and I would not recommend it The location and view are awesome but the room and facility were poor 
137066,The Westin Paris Vend me, We were a little cold the first night as the bedding was quite light and there wasn t an extra in the wardrobe We turned on the heating and asked for an extra blanket for the 2nd night and we were toasty TV remote didn t work very well frustrating at times but I m sure if we d raised it as an issue it would have been rectified we were in and out a lot so didn t bother , The location was awesome really central Can walk most places and it is very close to bus train batobus Taxi to Gare de Nord under Euro 10 Taxi from Eiffel Tower to hotel at 11pm under Euro 10 We were upgraded to a Royal Palais Suite on 2nd floor It was wonderful and has views over the Eiffel Tower the Ferris wheel the finger of Paris Tulieries gardens and Louvre Check in Checkout was easy Staff really pleasant to interface with and breakfast was nom nom nom nom i e yummy with lots of choice 
137067,The Westin Paris Vend me, Very tired and dated property in a grand building From the dirty wood behind reception to the scruffy false grass in the courtyard and corridors that smelt like an old one star hotel The glass tables in the old fashioned restaurant are so scratched they should have been replaced years ago But I suppose for a Vendome hotel the price is towards the lower end , Location
137068,The Westin Paris Vend me, Bed is not comfortable sheets are dirty the bed cover is flat you have to ask for the fillings I had the worst checkout experience ever They charged me for everything even for the complementary water i had to double check everything in the bill be aware the concierge is not free We are in 2017 and they dont have free internet , just the location
