,Hotel_Name,Negative_Review,Positive_Review
478288,UNA Hotel Mediterraneo,No Negative, They allowed us an early check in And the property is only five minutes walk from Porta Romana metro station which goes directly to Duomo and Central Station 
478289,UNA Hotel Mediterraneo, The room really wasn t like the picture Not sure where that was but I assure you all I didn t see that The lifts were annoyingly slow The room cards were annoyingly unpredictable I had an awesome view from my room of a fire escape if you like that sort of thing , I am struggling to find things to like The breakfast was ok The staff doing breakfast and dinner were good 
478290,UNA Hotel Mediterraneo, Parking terrible The hotel does not have private parking They tell You to go to parking that is actually so suspicious You need to leave the keys to the owner of the garage and the guy working their is not normal and U get afraid There is PUBLIC PARKING very close to the hotel 250meters Better park there , Like location and clean rooms 
478291,UNA Hotel Mediterraneo,No Negative, We like the location it was very easy to reach any part of Milan by public transportation The hotel has exceptionally friendly and helpful staff The room was comfortable and very clean It was important that the air conditioner worked properly I would recommend this hotel to my friends to stay 
478292,UNA Hotel Mediterraneo,No Negative, Staff is lovely we arrived very early in the morning and they gave us the room immediately Location is 3 blocks from metro station really convenient and if you want to go at night to Navigli for dinner the taxi back to hotel is 15 20 Breakfast buffet is not huge but has several options and all very tasty Several nice restaurants and cafes in the area 
478293,UNA Hotel Mediterraneo,No Negative, We were very happy with the stay and i must say i ve never slept better in a hotel bed before In addition the quality of the breakfast surprised us Really nice food and a wide variety We did encounter a power shortage in the room cause unknown not that it matters We contacted the lobby and they sent a member of staff to check it out We literally waited no more than 30 seconds before he was at our room Big thumbs up from a couple of satisfied Danish guests 
478294,UNA Hotel Mediterraneo, The room could use a bit more cleaning Some corners showed that the furniture or fixtures were old , The staff were very friendly and accommodating The breakfast was delicious and filling The location was near to a lot of establishments Wifi was fast and reliable 
478295,UNA Hotel Mediterraneo, Although it s not on a main road there is noise from the traffic at the front when the windows are open If you prefer quietness then request a room at the back , We have stayed several times at this property It is located in a pleasant area with many locals and residences in the streets nearby There are excellent restaurants and access to the subway system is very convenient If you prefer to walk and window shop then the Duomo can be reached in about 20 25 minutes The hotel is not lavish but it is clean pleasant and recently refurbished Book a superior room if you want more space The breakfasts are good 
478296,UNA Hotel Mediterraneo, There were not cofee maker in the room , The location was very convenient Tram and metro were very close The room was a litle small but very clean with excellent bedsheets and towels The breakfast very good Nearby there were very good restaurants The staff was great 
478297,UNA Hotel Mediterraneo, The price per night was high but Milan is an expensive destination Given this the value for money was good Also the room was too small There wasn t enough space for two people , Very clean hotel Bed mattress was comfortable Metro station is 5 min walking away and there are many restaurants around with good italian food The breakfast had plenty of choices and good quality The staff was very friendly and helpful We had a problem with the bathroom and the reception reacted immediately 
