,Hotel_Name,Negative_Review,Positive_Review
273892,Urban Lodge Hotel, Sheets were not changed during the 3 day stay Tea coffee not replenished No massage facilities Parking expensive and not always available , Great handy location A short walk from the train tram and bus station 
273893,Urban Lodge Hotel, The only down side to this hotel is that despite being convenientely close to the train station for quick acccess to the airport and downtown and also to the tram station its still a 7 minute walk that with amsterdam very changing weather it can mean you could get very wet as we did Also as you wonder around Amsterdam Center and buy things it could be conveniente to have a close hotel nearby to drop stuff off and keep exploring in this case going back to the hotel and back would be a little to far away Yet we did love the hotel and it is much cheaper than most of the options downtown so if you dont mind the commute this hotel is for you , The hotel is very nice the rooms are spacious the design and overall decor of the hotel is really modern in a chill out way The breakfast was really good It could have used some better fruit Arriving from the airport is really easy just 12 minutes by train and then a 7 minute walk from the station They provided a good crib for our little one and were very friendly to all our request 
273894,Urban Lodge Hotel,No Negative, Wow I am an older gent of 55 years and I need an overnight stop near to the work location I arrived to find lots of young people around the front and thought I had booked into student accommodation Not so This is a great hotel The staff were just fantastic really good WiFi and the restaurant was cheap and really high quality Cant recommend it enough and I will be back if heading to Amsterdam again 
273895,Urban Lodge Hotel, Only problem that I had was that my key was wiped however that was quickly sorted by staff, Right beside the train station good comfy beds couch in the lounge is unbelievably comfy
273896,Urban Lodge Hotel, Having to 10 for parking my motorcycle Parking was in a secure garage underneath the hotel but it seems to becoming the new theme that you charge for parking in Europe I would look elsewhere in future as I have just had 21 hotels in Europe on this tour and it is very expensive just for parking , Easy check in Nice welcome from reception Very helpful staff within the hotel
273897,Urban Lodge Hotel, Cooperation and well behavoiur, We arrived early in the morning but they provive both rooms available for us At reception all young and very helpful Actually that was my second time stay in urban lodge in two months 
273898,Urban Lodge Hotel, It would be really nice if it had washing machines to do your own laundry They do offer the service which takes 1 day to get it ready and it is not cheap , The room and bathroom are really good very clean good beds and bedding The staff is super helpful There is a nice lounge room if you feel like hanging around The location is not bad you can use the train to the centre just one station away from Amsterdam Central But there is not much around the hotel but other hotels and the train station Safe area The hotel is very good for such a place like this one will pay a lot more if it was closer to the center In spite of being a little away of everything I do recommend it if you don t mind walking to the very close by train station and taking the train to get to Amsterdam Central which is very easy 
273899,Urban Lodge Hotel, The communication from the hotel was really poor Things wasn t said that was really important such as 1 They will reserve money on your credit card and if it didn t go through they cancel your booking without letting you know They should keep contact with guests in such instances 2 The housekeeping is not up to standard We did get clean towels but the beds were unmade and dishes left in the room Give the impression that they do not care 3 The dining room area and smoking area is not maintained during the day night when there is no service Should have cleaner s to make sure that everything is clean and up to scratch 4 The parking is available but would cost an extra 15 per day, The location was very good Only a couple of minutes walk to and from the Slotendijk train station The room was sufficient with a safe and clean towels and bedding 
273900,Urban Lodge Hotel,No Negative, We got here by car we found the hotel easy and parked in their paid parking next to it The hotel looks great modern all doors have access cards and the rooms have individually controlled air conditioning In a 5 min walk you can get to the Sloterdijk station where you can get a train a metro or a tram to the city center Also at the train station there is a Spar mini market open until 23 00 The staff was very helpful and very nice The breakfast has a lot of buffet options and is very delicious We really enjoyed our stay here it is a great hotel 
273901,Urban Lodge Hotel, shower is not designed very well water always splashes on the bathroom s floor not major problem though , very close to the train tram or a bus comfortable beds and relatively fast wifi 
273902,Urban Lodge Hotel, Nothing it was all excellent, Of all the hotels we ve stayed it this was the BEST The decor staff cleanliness service were better than most 5 without the high tariff
273903,Urban Lodge Hotel, Parking lot was small and unsecured Surrounding area is business park not much in the way of restaurants shopping outside of conveniences at the station , Comfortable quiet and clean with very friendly staff and above average hotel restaurant Easy access to transit trains to central Amsterdam or anywhere 5 minute train ride to the center 
273904,Urban Lodge Hotel, Sadly restaurant was closed It took a little longer to get into the centre than we had anticipated , Good beds nice room easy parking plenty of wifi Free tea coffee Very friendly helpful staff 
