,Hotel_Name,Negative_Review,Positive_Review
201920,Villa Beaumarchais, The bathroom could have been a little bit more modern but this is a minor comment , Lovely decor in a great location in Paris and at a reasonable price 
201921,Villa Beaumarchais, The room was small which made it difficult with luggage and trying to get dressed The cupboard was right near the door which was awkward if one person trying to get in the room or leave The tv remote was not working at times , Close to metro and buses There was a self serve laundry and supermarketband restaurants nearby The staff were very friendly and helpful 
201922,Villa Beaumarchais, The only preference from our side would be to have a separate shower and not having to shower in the bath But this is just a minor detail , Very nice ambiance of the hotel had a nice feel to it Nice large room superior great bed and friendly staff Breakfast was nice Location very close to metro many restaurants in the area and quiet at night so one can have a good sleep 
201923,Villa Beaumarchais, We didn t book breakfast with our room but we had it on the last morning I have to say it was a little disappointing Apart from that everything was excellent thank you very much , The service upon arrival was excellent and it really made all the difference to my stay 
201924,Villa Beaumarchais, Access stairwell carpet a bit grubby Leak from pipes in nearby room flooded hallway carpet so the smell was not nice for a couple of days though the staff had the problem fixed quickly , Lovely staff Damon very helpful Room clean Not far from Metro 
201925,Villa Beaumarchais, The safe in our room didn t work and we were told it would be fixed the next morning at 8 30am but it was never fixed during our stay, The best was very comfortable especially the pillows
201926,Villa Beaumarchais, The breakfasts were pricey but there were 3 price options , Room was carpeted The full sized tub and shower were modern The small fitness room was sufficient for my needs The staff was great 25 minute walk to Notre Dame and metro was 2 blocks away 
201927,Villa Beaumarchais, Some members of staff not very up on assisting with tourist info need to offer a more efficient helpful tourist service with info maps pamphlets bookings etc, Well located in the Marais Quiet at night Comfortable beds and small boutique style
201928,Villa Beaumarchais, Our room was tiny but I believe they have larger ones The place is Undergoing some renovation It is a little tired old and dusty , The lifesaver for us was the heated towel rail in the bathroom on which we managed to dry our clothes after getting totally drenched in the rain The bedding was beautiful and the bed comfy 
201929,Villa Beaumarchais,No Negative, The Hotel was in little off street beautiful and quaint No traffic noise The room was old fashioned chique The neighbourhood was friendly great for walks Plenty of restaurants and bars markets at the Bastille square Short walk to Metro Chemin Vert or to Bastille Metro 
201930,Villa Beaumarchais, The hotel decoration is old and we could not prevent the light penetrating the room early in the morning , Excellent location comfortable room kind staff 
201931,Villa Beaumarchais,No Negative, Breakfasts were really very delicous and variety of dishes was high We appriciated big and very comfortable double bad Everyhing was clean and comfortable 
201932,Villa Beaumarchais,No Negative, Friendly and well presented small hotel Rooms a good size by Paris standards ditto en suite Clean and characterful Outside space A more atmospheric cocktail bar area are my only improvement suggestions
201933,Villa Beaumarchais, I was able to do all I planned so no negative feedback , The staff were all very friendly and helpful and it was a nice relaxing break in a quiet area but close to the metro Lots of good restaurants in the area and near many tourist attractions 
201934,Villa Beaumarchais, Nothing it was all very good , This hotel was great The staff were very friendly and went out of their way to assist us especially as we were not French speaking The room was large and the facilities are fantastic The breakfast was very good A great hotel 
