,Hotel_Name,Negative_Review,Positive_Review
180550,citizenM Tower of London, Rooms are small but well designed, The use of technology was impressive UBS outlets using a tablet to control tv lights and room temp The breakfast which was extra was very good
180551,citizenM Tower of London, breakfast is a bid on the expensive side facilitation to use a local gym even if for an additional price would be a plus, the rooms are modern and very clean no carpet which is nice if you are allergic the bar on the 7th floor offers one of my favorite views on London Tower Bridge Shard and is very nicely decorated overall the public places are nice and gave me a very comfortable feeling this time I had a room without view but there are rooms with a beautyful view on Tower Bridge try to get one of those if available
180552,citizenM Tower of London, the room was a smaller than i thought it would be, location and view From my bedroom window I could see the Tower of London like a watching movie from the front row of the theatre amazing and memorable view of London The hotel lobby was an open space where many people are using as a meeting place It was a different innovative style of running hotel and i enjoyed it 
180553,citizenM Tower of London, I love to exercise and missed a gym at the hotel But hey I ll get over that , The staff were fantastic They clearly seemed to enjoy their work and interacting with guests 
180554,citizenM Tower of London, Tea and coffee facilities in the room was greatly missed, Bed very comfy very clean Excellent breakfast especially the fresh fruit and greek yoghurt 
180555,citizenM Tower of London, Bed occupied entire width of room making it difficult to get and out of with two sharing Coffee was disappointing, Helpful and friendly staff really fresh pastries in the coffee shop Spectacular views from the 7th floor bar 
180556,citizenM Tower of London,No Negative, The welcoming atmosphere when I entered the hotel It really felt like coming home where the staff was waiting for you Wish that more hotels would be like this Great job 
180557,citizenM Tower of London,No Negative, Know CitizenM from stays at their hotel in CDG Paris Airport Love the concept and design of the hotel and the rooms Everything you need in the Canteen for breakfast or an evening drink The Bar on the 7th floor is amazing Great location to have a drink with friends looking upon the Tower and the Skyline of the Citiy of London Big comfy bedding 
180558,citizenM Tower of London, The bedrooms were very small with a strange small little bathroom in a kind of pod sink not in bathroom sink was in main bedroom area , View of the shard was amazing Bed was very comfy room so small the bed was literally wall to wall iPad with controls for lights temperature etc was great 
180559,citizenM Tower of London, there was absolutely nothing I did not like 10 out of 10 , The hotel is literally right next to the metro more like the hotel building is part of the metro so you are right there Citizen M is very innovative and modern Rooms small but they have everthing you need Well designed so it feels much bigger than what is actually is Everything is the room is automated so you can adjust with the ipad mood lighting temperature and use the TV Technology very fast internet great offer of TV channels and movies Restaurants the rooftopbar has a stunning view over London Great cocktails and fun foods Downstairs the breakfast and lunch have various options from very healthy to some indulgence food In the evening you have a great bar downstairs as well Lobby great place to relax and chill and after breakfast you even have a hotel bakery that offers snack through out the day All in all it was a really great stay Staff was friendly from check in to check out everything worked well When I had questions they were eager to help me quickly When I am going back to London I would def stay here again 
180560,citizenM Tower of London, No space at the end of the bed Have to clamber over your partner if you get out in the night With hindsite we should have put our pillows under the window , Views from the bar were stunning Good to have a small fridge Thanks for the free water Very large and comfortable bed I pad to control lighting tv blinds etc Location is brilliant 
180561,citizenM Tower of London, Bathroom cleanliness could have been better by day 3, Convenience to Tower Hill tube 15 steps away for use of central and district lines location to tower bridge and southbank super cool vibe in hotel free movies daughter loved lights etc controlled by iPad Floor 7 bar with amazing views of gherkin Thames Tower of London tower bridge and shard Super comfy huge bed x
180562,citizenM Tower of London, No staff apart from the bar all computer check in Nothing personal about this hotel complete buget with a 4 star price tag yet when you add on the cost of a mere cup of tea it soon adds upto 5 star prices People hanging around some asleep It was more like a student hostel As for the bedroom I do not appreciate brushing my teeth in the hallway I own bigger shoe boxes Squashed and claustrophobic is how myself and my husband felt Couldn t wait to leave Glad this trip was business not pleasure , Clean room comfortable bed Can t think of anything else good 
180563,citizenM Tower of London, No windows in the room No kettle in the room Only being able to get out of bed on one side Tv very limited Sink unit in bedroom The list is endless, Room was very clean
180564,citizenM Tower of London, Felt like I was catapulted into the future Rooms small and very clinical No natural light couldn t open the blind All very tech orientated Lift unecessarily complicated check yourself in create your own room key There is no reception IPad to use the TV Would suit a 15 year old Maybe I m just getting old but after a long day at a PC dealing with IT support last thing I wanted was more self service tech , Hotel is very hip and trendy Great views from 7th floor lounge bar 
180565,citizenM Tower of London, Room became very humid after showering housekeeping didn t come on the second day doesn t offer room service lack of facilities and services for a 4 star hotel, Right above Tower Hill station very modern and design is on point Apple TV is a plus
180566,citizenM Tower of London, Not much space in the room for your own stuff clothes luggage , Absolutely great concept Citizenship with all the perks and quirkiness Really great bed guaranteed good sleep it was surprisingly quiet as well Loved the iPad although has battery issues for room control Breakfast was good and check out was the fastest ever Location was on top of Tower Hill tube station and within walking distance of Shoreditch 
180567,citizenM Tower of London,No Negative, the rooms are small but awesome best entertainment system in a hotel i have every see really cool hotel probably only stay there from now onwards 
180568,citizenM Tower of London, I didn t want to leave the hotel, The high tech rooms Amazing staff really the key part of the hotel and that s saying a lot Top floor bar with the best views 
180569,citizenM Tower of London, Very impersonal you do checking in and out yourself breakfast was expensive so we ate elsewhere cause there are plenty of pubs around that do great breakfasts , The location was fantastic subway out the front of your door heaps to do around the hotel The hotel was so trendy really really nice looking 
180570,citizenM Tower of London, The room is too small for more than one person unless you are madly in love or it s your first weekend together, A fantastic location and really conveniently between east and west london plus close to the tube Clean rooms and bathrooms 
180571,citizenM Tower of London, no parking although not far Shower and toilet in the room stayed in many London hotels at approx same price and felt like You were in a quality place not here felt like the tiny rooms were making the most of the space and charging you only for the location Everything in room ran off iPad great unless you don t know how to use one 2 of our party were nearly 70 And if You don t put it on charge but set the morning alarm no way of switching it off until you charge the damn thing, Breakfast was fine cleanliness good location excellent
180572,citizenM Tower of London, Could have benefited from a welcome person on arrival Self check in procedures but as mine was a little complicated I needed a bit of help and had to go and find a team member , Technology based rooms Rooftop bar was awesome too 
180573,citizenM Tower of London, Not a lot of options within walking distance for dinner or over the weekend to eat as it s a business district However the tube will take you anywhere you need and that s directly outside the hotel door , I ve never rated a 10 before but this place deserves a 20 We had an uninterrupted view of Tower of London and we were only on the 2nd floor The rooftop bar is incredible and the hotel is basically outside Tower Hill tube station Although the rooms aren t huge the bed is ginormous and super comfortable with storage for bags underneath Cafe downstairs Wifi worked well Hotel was quiet at night for a good night s rest Would highly reccomend it s worth the cost we will stay here again 
180574,citizenM Tower of London,No Negative, The rooms are super cool loved the bed right at the window could almost touch the Tower of London the roof top bar is great I will never tire of these awesome views 
180575,citizenM Tower of London, One day we found a hair in our bed after the room cleaning It is inappropriate, View from the roof top bar is just amazing Also a concept of smart rooms is very nice 
180576,citizenM Tower of London, Access to bed only on one side View of construction which is temporary I assume , Crisp modern decor Breakfast was plentiful with a varied selection 
180577,citizenM Tower of London, Only one thing was surpring and harder to accept As the hotel is probably design as energy efficient building it has rooms with permanent air condition ventilation and there is no possibility to open the window It feels claustrophobic , The hotel is excellent personnel interior design comfort great breakfast the intelligent quite small room 
180578,citizenM Tower of London, Nothing , Service was excellent they really went the extra mile for me It was lovely to stay in a hotel which had an international hostel feel about it but business clients I met some fantastic people just sat eating breakfast The rooms are perfect they are not large but just enough to be cosy and with ipad controls to set the mood lighting etc FREE MOVIES Only thing I missed was a kettle in my room BUT you have your own fridge with bottled water and they made fab fresh coffee downstairs and much better than a crappy nescafe sachet Great location and all in all my new favourite hotel 
180579,citizenM Tower of London, Check in is automated which is great for singles but it is very slow with a group of 10 12 when they are tired and just want to get to their rooms , The Citizen M chain is excellent and provides superb accommodation in a very comfortable style with the downstairs lounge room or salon for total relaxation The rooms are small but no one cares because the food and drink is 24 hours and downstairs has books and papers all sorts of places to relax and enjoy your stay 
180580,citizenM Tower of London, That the same bar refreshments as below were not available on level 7 and bar prices were expensive, The bed was huge and very comfortable we enjoyed the citizenM experience immensely very clean bright modern the location was great with the subway just below the rooms were sound proof The late check out for a small fee was an added bonus because we were flying out of Heathrow later that evening and could use the room till 4 pm the next day The staff were excellent friendly and helpful 
180581,citizenM Tower of London, It was a bit shame that they don t have twin bedroom for family, The view from the rooftop bar was amazing and it was a very special experience for us 
180582,citizenM Tower of London, a longer stay , The room was really well thought out with no waste at all on space The room also has lots of gadgets operated through a tablet Cool The bed was the width of the room and up against the window therefore maximum comfort whilst enjoying the amazing view The top floor Bar not only has interesting nooks and alcoves stuffed with books mags and an eclectic mix of objects to delight but also has a balcony that really impressed especially at night as the main view is of the Tower of London and all that you can see down the Thames The ground floor cafe bar reception is also stuffed with a myriad of interesting and arty paraphernalia akin to a gallery or museum rather than a hotel The staff were above and beyond This really is a gem 
180583,citizenM Tower of London, I understand the savings made from using self service check in hubs and the support staff hovering around are great but when you re tired from a journey and just want to get to your room and the bar having to laboriously type in postcodes and telephone numbers on a clunky screen keyboard is a pain not severe but mildly irritating The hotel is only one year old and there are little signs that maintenance may not be quite as obsessive as it should be Electric blinds a little damaged wash basin tap a bit wobbly These details that didn t bother me but if maintenance isn t kept at 100 it will soon get dingy and the whole brilliant cool value proposition goes down the drain and it turns into a bland Mercure or Best Western , This modern ber cool hotel is not my normal style but I loved it it s as far from the classical luxury hotel as you can get yet every tiny detail has been carefully and lovingly worked out The WiFi is astonishingly fast c 100Mb download AND upload at 8 30am The roof top bar views are heart stopping The d cor is brilliantly original yet tastefully short of being over the top the floating lamps in the atrium and ethereal video game lift elevator announcements just made me laugh out loud with delight Yet this is a great value hotel In an amazing location with the one of the best views in London for around 200 a night is excellent I ve stayed in some really miserable places for that rate The cost cutting is extremely sophisticated in its implementation The small rooms are built with standard plastic modules and yet feel comfortable and high design with huge comfortable beds big TV screens and total room control from an iPad mini In the shower lavatory module the shower is outstanding with intuitive controls that don t require an engineering degree to figure out I really didn t care that the bars great music btw are only counter service because the bar staff were so good and the view well I already gushed about that Staff are not too cool to be charming even to an old fart like me The restaurant is self service with a limited but tasty and creative menu it calls itself a canteen and that s what it is but that feels right From my experience this is by far the best 200 hotel in London I m curious to try some of the others in the chain The ambience made me feel about 20 years younger too 
180584,citizenM Tower of London, Although very clean and modern Rooms very small and not worth what you pay Room alarm didn t go off and we almost missed our train home , Brand new very clean great atmosphere and style iPad in room great idea and worked well Great central location and helpful staff
180585,citizenM Tower of London, Small room Boat like showers but very nice fittings , Outstandig view we were located in 5th floor Great lounge in public 7th floor Very nice and helpful people everywhere 
180586,citizenM Tower of London, Room far too small Room cleaning bad effort at a clean Food expensive Noisy main hall reception Crewets thin on the ground Decor so fussy it was not relaxing,No Positive
180587,citizenM Tower of London, Everything was 10 plus , Absolutely everything was perfect The bed was ultra comfy The room a smart room operated almost entirely via the provided iPad The metro was steps outside our door as was the Tower of London The seventh floor bar overlooking all of London provides an unparalleled view of the Tower of London The staff was over the top wonderful When I mentioned on the day of our arrival that it was my husbands birthday they surprised us with a handmade card a complimentary pastry with a candle two lattes and they sang him Happy Birthday right in the lobby There is truly nothing to dislike about this hotel 
180588,citizenM Tower of London,No Negative, Great location beside the underground station clean quiet and practical rooms with sufficient space lovely service cosy lounge breakfast areas and excellent views from the 7th floor bar Recommended 
180589,citizenM Tower of London, The room size was small hardly two people can stand at same time and toilet fairly small , The hotel is in between three tube stations making the sightseeing so simple Check in check out took seconds
180590,citizenM Tower of London, All Good , This is my second stay in a CitizenM I love the modern design and concept The rooms are great and the staff are extremely friendly and helpful Will certainly book again 
180591,citizenM Tower of London, Nothing to complain, Everything We never experience hotel like this before It is very modern with fantastic artistic ideas Very great staff I became to a member citizen for this place now 
180592,citizenM Tower of London, Room is very small we were there for 1 night We always travel light and even we would have struggled in a room that small for more than a few nights Seemed expensive given the size of the room even given the location, Super comfy kingsize bed and I am VERY picky about beds due to joint pain How quiet it was inside the rooms Shower lots of hot water great water pressure Helpful friendly staff Location was soooooo convenient
180593,citizenM Tower of London, Cleaning standards could have been better specifically toilet bowls Pillow was too soft did not match the hard bed Bed was good though , Communal space in the lobby area is fantastic conducive for anything up your sleeve chilling reading doing work discussion having meals Auto log in wifi that works in every part of the hotel Strong signal too Round the clock food in the communal space is great considering most eateries shut down by 7pm around the area Food quality is great too Next to Tower Hill station can t ask for more Love the edginess the vibes of the hotel 
180594,citizenM Tower of London, Room is clever but cramped Toilet and shower in a frosted glass cubicle in the room is unusual Great room for one but crowded for two Strangely relatively few English language channels on the TV but many international languages Breakfast is pricey but indifferent and the same every day Don t pre book you can do better in the immediate neighborhood , Location is fabulous right at tube station and bus stop right across the street from the Tower Welcoming decor comfortable public spaces great lounge bar it has an open deck with an incomparable view 
180595,citizenM Tower of London,No Negative, Excellent location literally walk out of Tower Hill station and the hotel entrance is there On arrival We were greeted by a very polite young lady who assisted us with the self check in From the tube to the room in 10 minutes Very impressed with the whole experience 
180596,citizenM Tower of London, The bed was too high and access in and out of bed was limited The hotel is designed for younger people , The convenience of the underground station was good 
180597,citizenM Tower of London, The iPad failed to retain its charge for very long so couldn t use all controls The curtain and blind got stuck a couple of times when opening and closing , The bed and pillows are amazingly comfy Loved the lighting The shower was insanely good 
180598,citizenM Tower of London, Well location wise its OK by the Tower bridge but from Heathrow it takes a while Though Underground station is under the hotel which was great , Tre room facilities were all handled via Ipad great Free movies was an extra advantage 
180599,citizenM Tower of London, Rooms are a little small with just one way in and out of bed but that was fine for a solo traveller could be tricky as a couple , Very modern with great views and nice touches in the bedrooms The roof top bar is superb if not a little pricey 
180600,citizenM Tower of London, They could have had coffee and tea in the room and there was no room service The bed was against the wall so it wasn t easy for both people to get out of bed at night , The room was a smartroom and controlled by iPad We enjoyed this added feature It made using the room easy and fun We also found the staff extremely helpful 
180601,citizenM Tower of London, Sometimes a bit confusing what is and what isn t included in the room rate Luckily there is a lot included so no unpleasant surprises , Very good bed and pillows With the technology available there is a lot of comfort in the room Perfect location for public transport and a base for travelling The hotel has her own style and atmosphere very laid back but luxerious at the same time 
180602,citizenM Tower of London, Room was a tad small Bathroom didn t provide much privacy , SUCH a cool place Amazingly unique style Super funky You basically check yourself in so you don t have to wait in line or deal with people Room was small but very uniquely designed Great room 
180603,citizenM Tower of London, Something was strange about the elevators You would call them but then the button light would go out and you would have to call them again Over the speakers you could hear the continuous automated elevator doors announcements doors opening and doors closing day and night Probably isn t needed so much at night when it s very quiet and it sounds louder , Clean well designed chic hotel and room Excellent service Fantastic hip comfy lobby and awesome penthouse level view bar Great suspended umbrellas art installation in inner courtyard Easy friendly check in and check out Half hour check out extension for free 
180604,citizenM Tower of London, This is totally personal not keen with hot and cold food on display for everyone to help themselves, Exceptionally clean bed very comfy and had everything needed for a comfortable night 
180605,citizenM Tower of London, Bathroom is particularly small but functional, Great location modern hotel with everything you could need in a compact space Great roof top bar looking at Tower of London
180606,citizenM Tower of London, Cleanliness was not good Our bins were not emptied even though our room had been serviced The toilet stank I had to leave a note asking for it to be disinfected so the stench of old urine could be removed After the toilet was disinfected the bathroom was left with white streaks of the disinfectant all over we had to wipe these off ourselves Also the breakfast is a rip off As if the 13 pounds p p charged for breakfast is not high enough the hotel charges an extra 3 pounds if you decide to book the breakfast on the day Better go to 1 of the many places nearby for a good breakfast for better value , This is a no frills hotel however the deco is beautiful the location is great and comfort has in no way been compromised It appears a lot of thought has gone into creating disabled access which is great P S we are not disabled this is merely an observation of something I was impressed with Our bed was big and comfortable and the shower gels for morning and evening are divine The bar fridge is stocked with water daily very important if you will be commuting using the underground in summer like we were The lounging areas are equipped with newspapers books etc for guests use and this too is a beautiful touch 
180607,citizenM Tower of London, No Iron in the room as advertised but a leaflet in the room advised to go to another floor and use a shared Iron Heaven , Location was excellent Tower Hill Underground 20 second walk away and amazing views of Tower Bridge and all of the attractions in the area Room was lovely huge comfy beds and the iPad control system was different but really handy 100 will visit again and would recommend to anyone 
180608,citizenM Tower of London, Room was bit smaller than expected very nice rain shower but didn t like having no sink in the bathroom pod , Clean fresh and modern hotel with unique contemporary design features We had an amazing view of Tower of London from our room because the friendly and helpful staff upgraded us and gave free drinks when hearing our stay was for our anniversary treat Nice breakfast and coffee too and superb location next to tube station 
180609,citizenM Tower of London, 1 The pillows were super fluffy the first day I arrived but as I used them they got flatter and I was only there for 4 days 2 Having an iPad to control the room was fun controlling the light color and easy however the iPad had to be on the dock the whole time or else it runs out of charge 3 The hotel s lifts work using your room key for security measures however sometimes I had to scan the card multiple times to get the elevator to work I had an incident where I was sharing the lift with guests staying on the 8th floor and I had to wait for the lift to reach their floor before going back down again to my floor 4th 4 The hotel doesn t provide any amenities The room is only equipped with a safe mini fridge hangers and lacked bathrobes slippers and toilettries , 1 The easy check in and check out process through the touch screens The quickest I ve ever experienced 2 The hotel is brand new so all the rooms and facilities are extremely clean Hope they keep up the standard 3 The location next to tower hill station is a BIG PLUS And the exit from the station is even closer to the hotel if you re carrying any luggage 4 The lounge on the 7th floor has an amazing view and is only exclusive to the hotel s guests so you don t have to worry about over crowding 5 The different variety of rooms to suit different tastes If you like a quiet room like myself I would recommend booking on a higher floor outlooking the courtyard the inside of the hotel If you d like a room with the view of the tower you ll have to pay an extra charge 6 The sink was inside the room which might sound messy at first but it s wide enough to prevent any water from splashing 
180610,citizenM Tower of London, Nothing I m aware of , Overall modern design which young travellers would prefer such as an iPad to control everything in the room from TV to curtains lightings Breakfast has limited selection but great quality food Breakfast is one of the longest serving hour I have experienced from 6 30am 11am good for laterisers who went late party the night before Check In Out process is automated so it was hassle free Excellent location just above Tower Hill Station and bus stop nearby And also the bar at top floor offers excellent view minus the crowd it feels like a hidden gem in the city 
180611,citizenM Tower of London, Slightly mesmerising on arrival as all technology orientated and as we had two separate bookings made for over three nights which we wished to amalgamate so we kept the same room we were able to check in only for our first night and then needed to look for assistance to sign in for the following two nights As there was no reception this took a little time , Rooftop Terrace was awesome Cocktails to die for High tech Breakfasts in abundance 
180612,citizenM Tower of London, the fact that u cannot open the windows some small items like i have ran out of facial and ears cotton pads and it was sunday and nothing could be found at the hotel , breakfast could be more varied every few days bed v comfi
180613,citizenM Tower of London, The shower curtain Ruined the style of the hotel room and it would stick to your body while washing , Stylish hotel Amazing technology to use in the room Really good wifi Comfortable bed and relaxing shower Had a large sitting area by the reception and a comfortable cafe downstairs to relax 
180614,citizenM Tower of London, Bathroom not good Need urgent refurbishment A pity that the bathroom was in that bad condition mold on the curtain the ground needs to be renovated urgently , Close to Tower Hill Station Interesting new hotel concept Great TV Movies database that can be used free of charge in the room Very nice bar with great view on the 7th floor Nice lounge at the ground floor
180615,citizenM Tower of London, Rooms are functional but too small for multiple nights , Good location although trains weren t running this particular weekend and that cuts into your mobility Uber Great bar for guests and friends with amazing tower views 
180616,citizenM Tower of London, The prices in the roof bar are crazy 16 50 for a beer and small glass of wine, So much about he hotel was amazing the roof top bar and views stunning the quirkiness of the lobby the amaxing extra big super comfy beds just so much we loved
180617,citizenM Tower of London, nothing wrong with the citizen M, I love the Citizen M hotels large beds with a big tv and free movies The bathrooms are pods inside the room and are a great design You can control all the lights TV blinds etc from the iPod A lovely bar on the 7th floor has stunning views over the tower of London
180618,citizenM Tower of London, We were overcharged for our drinks in the bar when I pointed this out I was given a full refund no questions asked I think that there may be a practice of automatically charging for a large glass of wine but giving a standard glass which was the size promoted in the price list , The location was perfect and the hotel is bright and cheerful 
180619,citizenM Tower of London, No criticisms whatsoever , CitizenM hotels have a unique design The rooms are all the same size and although small they are super efficient and comfortable The lobby and other public area are filled with art books cozy corners and ways to relax with friends or solo The staff goes above and beyond to make your stay fun and easy The view of the Tower of London from the rooftop bar was beyond spectacular 
180620,citizenM Tower of London, Room was a little small but nothing that would put us off coming back again , The bed was really big and comfy and loved the fact you could change the mood of the room 
180621,citizenM Tower of London, when I travel for business I like to be alone when having breakfast in this hotel it s almost impossible as you have to share big tables with others , It was my first time in a CitizenM hotel and I enjoyed it Check in and check out are a bit unusual as they can fully done by yourself there is no reception like in most hotel but I liked that it s much faster that way Hotel is nicely decorated and full of touches of humor here and there Room is a bit small if you re staying with 2 Room can be completely controlled with a tablet TV lights shutters it s the first time I see this in a hotel Don t forget to put the tablet back on its dock when sleeping as the battery will be empty by the time you wake up I had set the alarm with the tablet and got woken up by a creepy countdown on TV that I couldn t switch off because the tablet had no battery anymore Good location near the tower of London and a few minutes away from the City 
180622,citizenM Tower of London, Room was on the small side , Modern feel with automated check in and tablet in the room to control lighting temperature tv etc Well designed hi tech environment 7th floor bar has excellent views over the Tower and the City Great reception area for informal meetings etc and entrance right next to Tower tube station 
180623,citizenM Tower of London, None, Clean quiet friendly stuff Low price You can chose a room with a view on Tower of London Bar on the top of the hotel is very big The room was very clean Very nice smell in the whole hotel mixture of coffee and flowers or something like that Very convenient to use all facilities IPad in your room helps you to do everything turn on off TV volume channels turn on off lights color of lights blinds up down set an alarm in different modes There is a safe in a room Rain shower 
180624,citizenM Tower of London, Bathroom was a bit small and were part of the room Not a very clear separation Room was very narrow , Interesting and different facilities Pretty cool place Lighting and iPad interaction with room was nice 
180625,citizenM Tower of London, Choice of beers in the rooftop bar A choice of one 330ml bottled lager 5 50 is not value for money Would recommend guests take in the view but don t have a drink it s too pricey , pillows were out of this world 
180626,citizenM Tower of London, Room design is like marmite well appointed but size and layout will disappoint some , Well located for City Tower Tube and carparks should you want to drive into town Great bar on top floor Great staff 
180627,citizenM Tower of London,No Negative, Imagine looking out the window and all you see is the world famous Tower of London Very clean rooms amazing lounge well priced food and beverages I d come here every weekend if I could 
180628,citizenM Tower of London, I didn t try the breakfast and 11 00 am is a bit early for check out , Great design of the smart room with an Ipad to change lights etc It was quiet the bed was comfortable I LOVED the entertainment media program great latest movies available for free streaming 
180629,citizenM Tower of London, Nothing at all , The ease of registering and choosing your room the attentiveness of the reception staff the modern clean room the most fantastic shower that I have ever been under the view from the bar from the 7th floor 
180630,citizenM Tower of London, Nothing , Great atmosphere in a superbly modern design Rooms are great love the bed idea Loved the roof top bar with fantastic views and great little spaces Self checkout system worked really well Loved it all 
180631,citizenM Tower of London, In hotel breakfast was expensive for what it was , The hotel is in an excellent location was clean and comfortable and we will definitely be back to stay again Loved the little coffee shop at the front of the hotel and the Sky bar is a lovely touch 
180632,citizenM Tower of London, The towels in the rooms in first day were good but theresfter they were not good and in fact stinking It seems they were bot being changed when rooms were being cleaned , Staff were very helpful
180633,citizenM Tower of London, Even though we had looked at the room pictures on booking com it was a shock to see the size of the room and that we couldn t walk around the bed but had to launch ourselves onto it from the end of the bed The bed itself was quite comfortable It was a real squeeze to fit in our 2 large suitcases as they wouldn t fit in the drawer under the bed We liked the public spaces downstairs and the rooftop bar with its fantastic views but for a 9 day stay would have preferred to have had the space to be able to relax in our room , The staff were extremely helpful Check in and check out were accomplished with no fuss on the hotel computer pod in the lobby The location was great and it was fantastic to have the tube station next door 
180634,citizenM Tower of London, Nothing, This property is in an excellent location The staff are very friendly and willing to help when ever they can The room is a little on the small size but more than acceptable for our needs 
180635,citizenM Tower of London, Only 2 of the lifts seem to work other than that no issues , Loved the rooms Very modern controlled by ipad Really comfy bed had an excellent sleep Good selection of programmes movies on the TV Shower was excellent Towels where lovely felt new and fluffy Hairdryer in the room was good 
180636,citizenM Tower of London,No Negative, Small but high quality rooms with a very modern approach to the hotel that makes the stay enjoyable fast self service check in ipad in room to control lights tv etc and everything is completed to a very high standard Would definitely stay again Great lounge area working space and bar in the downstairs lobby too
180637,citizenM Tower of London, Well overpriced for the offered services Staff not efficient Aircon not working properly either freezing cold or too hot, Great location Nice bar overlooking the Tower of London Comfy bed
