Hotel_Name,Descriptions
K K Hotel George,"['super', 'nice', 'new', 'useful', 't', 'fine', 'tiny', 'big', 'miss', 'quiet', 'small', 'adequate', 'underground', 'few', 'choose', 's', 'fantastic', 'helpful', 'wonderful', 'clean', 'friendly', 'large', 'extra', 'good', 'great', 'comfortable', 'polite', 'easy', 'excellent']"
Apex Temple Court Hotel,"['pleasant', 'super', 'nice', 'bus', 'fair', 'delicious', 'little', 'big', 'central', 'main', 'breakfast', 'circus', 'quiet', 'only', 'fabulous', 'efficient', 'cozy', 'feel', 'beautiful', 'welcome', 'able', 'minor', 'be', 'need', 'stay', 'helpful', 'clean', 'friendly', 'lovely', 'large', 'important', 'amazing', 'good', 'great', 'comfortable', 'relax', 'have', 'modern', 'eat', 'spaciious']"
The Park Grand London Paddington,"['sized', 'nice', 'delicious', 'bed', 'smiley', 'close', 'easy', 'quiet', 'fairly', 'walk', 'express', 'internet', 'free', 'helpful', 'tube', 'clean', 'friendly', 'heathrow', 'spacious', 'good', 'fast', 'great', 'complain', 'comfortable', 'indian', 'modern']"
The Principal London,"['next', 'pleasant', 'nice', 'return', 'grand', 'small', 'quiet', 'excellent', 'beautiful', 'undergound', 'warm', 'helpful', 'clean', 'exceptional', 'friendly', 'heathrow', 'lovely', 'bad', 'good', 'great', 'comfy', 'comfortable', 'explore', 'old']"
Park Plaza County Hall London,"['decent', 'let', 'super', 'reach', 'nice', 't', 'white', 'watch', 'close', 'recommend', 'sufficient', 'beautiful', 'few', 'old', 'welcome', 'n', 'warm', 'attractions', 'didn', 'dust', 'third', 'fantastic', 'handy', 'go', 'south', 'tube', 'clean', 'various', 'use', 'friendly', 'cooperative', 'lovely', 'luckily', 'amply', 'good', 'huge', 'restaurant', 'great', 'birthday', 'previous', 'comfy', 'polite', 'hear', 'excellent', 'offer']"
Splendid Etoile,"['good', 'super', 'superb', 'perfect', 'friendly', 'clean', 'main', 'excellent', 'safe']"
Hotel Trianon Rive Gauche,"['nice', 'clean', 'comfortable', 'main', 'quiet']"
InterContinental London Park Lane,"['luxurious', 'next', 'very', 'good', 'close', 'reasonable', 'be', 'clean', 'comfortable', 'friendly', 'available']"
Grand Royale London Hyde Park,"['decent', 'attentive', 'tidy', 'nice', 'perform', 'complimentary', 'fine', 'little', 'superb', 'perfect', 'bath', 'central', 'modern', 'small', 'safe', 'reasonable', 'recommend', 'underground', 'full', 'overall', 'tubes', 'professional', 'beautiful', 'see', 'regular', 'say', 'double', 'clerks', 'negative', 'early', 'free', 'fantastic', 'stay', 'helpful', 'opposite', 'tube', 'clean', 'hot', 'friendly', 'lovely', 'local', 'good', 'visit', 'great', 'comfy', 'comfortable', 'theatre', 'have', 'easy', 'excellent']"
Milestone Hotel Kensington,"['amazing', 'make', 'recommend', 'great', 'nice', 'whole', 'beautiful', 'clean', 'friendly', 'sure', 'exceptional']"
Crowne Plaza London Kings Cross,"['decent', 'super', 'complementary', 'nice', 'new', 'bus', 'fine', 'bed', 'available', 'poor', 'efficient', 'rest', 'expensive', 'kings', 'free', 'early', 'helpful', 'clean', 'friendly', 'lovely', 'spacious', 'much', 'good', 'visit', 'great', 'comfy', 'busy', 'comfortable', 'trainstation', 'modern']"
Select Hotel,"['super', 'nice', 'new', 't', 'convinient', 'close', 'beautiful', 'warm', 'able', 'major', 'helpfull', 'helpful', 'other', 'wonderful', 'clean', 'calm', 'friendly', 'good', 'metro', 'great', 'comfortable', 'old', 'offer']"
H tel De Vend me,['clean']
Pullman Paris Centre Bercy,"['chic', 'polite', 'multilingual', 'daily', 'great', 'nice', 'outdoor', 'clean', 'electronic', 'bottled', 'friendly', 'hot']"
Gardette Park Hotel,"['major', 'good', 'metro', 'nice', 'helpful', 'wonderful', 'clean', 'comfortable', 'station', 'friendly', 'public', 'subway', 'quiet']"
Hotel Panache,"['great', 'nice', 'helpful', 'clean', 'comfortable', 'recommended', 'excellent']"
H tel des Ducs D Anjou,"['clean', 'excellent']"
Novotel London West,"['several', 'open', 'central', 'big', 'welcoming', 'cold', 'quiet', 'small', 'recommend', 'underground', 'bar', 'warm', 'different', 'helpful', 'clean', 'friendly', 'lovely', 'spacious', 'good', 'great', 'comfy', 'comfortable', 'plus', 'excellent']"
Intercontinental London The O2,"['luxurious', 'next', 'gorgeous', 'attentive', 'travel', 'nice', 'gig', 'available', 'close', 'imaginable', 'excellent', 'fabulous', 'right', 'see', 'beautiful', 'double', 'fantastic', 'be', 'stay', 'o2', 'helpful', 'wonderful', 'clean', 'friendly', 'lovely', 'spacious', 'very', 'good', 'immaculately', 'superior', 'comfortable', 'knowledgeable', 'tasty', 'polite', 'have', 'modern', 'possible']"
H tel Juliana Paris,"['new', 'clean', 'quiet']"
Hotel L Antoine,"['great', 'delicious', 'helpful', 'clean', 'friendly']"
Belfast,"['direct', 'good', 'polite', 'fresh', 'metro', 'arc', 'excelent', 'cordial', 'right', 'fine', 'whole', 'helpful', 'clean', 'neat', 'atmosphere', 'friendly', 'easy', 'important']"
Mercure Paris Tour Eiffel Pont Mirabeau,"['good', 'nice', 'helpful', 'clean', 'perfect', 'friendly', 'public', 'excellent']"
The London EDITION,"['great', 'lobby', 'excellent']"
Hotel Le 10 BIS,"['metro', 'new', 'be', 'helpful', 'clean', 'exquisite', 'centre', 'bring', 'friendly', 'utilized', 'small', 'extra']"
The Nadler Soho,"['attentive', 'nice', 'fleece', 'little', 'available', 'close', 'convenient', 'feel', 'few', 'welcome', 'try', 'free', 'oxford', 'peaceful', 'go', 'stay', 'helpful', 'wonderful', 'clean', 'exceptional', 'friendly', 'lovely', 'make', 'good', 'great', 'international', 'comfortable', 'have', 'modern', 'excellent']"
Grange St Paul s Hotel,"['good', 'fantastic', 'nice', 'clean', 'comfortable', 'big', 'friendly', 'spacious']"
The Ampersand Hotel,"['perfect', 'nice', 'clean', 'comfortable']"
The Nadler Victoria,"['attentive', 'proffesional', 'new', 'nice', 'perfect', 'available', 'quiet', 'safe', 'few', 'helpful', 'clean', 'friendly', 'lovely', 'large', 'extra', 'good', 'fast', 'comfy', 'comfortable', 'polite', 'excellent']"
Novotel London Tower Bridge,"['good', 'lovely', 'underground', 'professional', 'helpful', 'other', 'walk', 'clean', 'perfect', 'clear', 'watch', 'shower', 'turn', 'friendly', 'satisfied', 'secs', 'quiet']"
Crowne Plaza Paris R publique,"['next', 'only', 'lemon', 'good', 'super', 'metro', 'nice', 'be', 'professional', 'nearby', 'clean', 'plaza', 'extra']"
Le Metropolitan a Tribute Portfolio Hotel,"['friendly', 'great']"
Le Senat,"['several', 'hotel', 'different', 'helpful', 'clean', 'friendly']"
Windsor Opera,"['friendly', 'nice']"
Hotel des Tuileries Relais du Silence,"['first', 'helpful', 'clean', 'close', 'excellent']"
Bradford Elys es Astotel,"['good', 'pleasant', 'free', 'soft', 'cheap', 'clean', 'friendly', 'available']"
The Victoria,"['next', 'excellent', 'visit', 'good', 'fresh', 'nice', 'outdoor', 'beautiful', 'perfect', 'clean', 'clear', 'old', 'interior']"
