Hotel_Name,Descriptions
Hotel Arena,"['next', 'put', 'pleasant', 'tidy', 'nice', 'big', 'available', 'small', 'quiet', 'provide', 'full', 'cool', 'beautiful', 'see', 'immediate', 'want', 'classy', 'public', 'door', 'double', 'check', 'fantastic', 'hectic', 'be', 'stay', 'helpful', 'other', 'clean', 'avoid', 'friendly', 'get', 'local', 'amazing', 'light', 'good', 'chic', 'make', 'red', 'great', 'middle', 'comfortable', 'have', 'artsy', 'old']"
K K Hotel George,"['non', 'classic', 'plenty', 'nice', 'travel', 'keep', 'little', 'shower', 'perfect', 'open', 'big', 'modern', 'central', 'easy', 'quiet', 'safe', 'small', 'adequate', 'convenient', 'sleep', 'recommend', 'absolute', 'overall', 'lit', 'inside', 'beautiful', 'few', 'atmosphere', 'have', 'cafes', 'warm', 'stop', 's', 'early', 'disappointed', 'different', 'spend', 'smart', 'relaxing', 'quite', 'helpful', 'other', 'clean', 'powerful', 'use', 'friendly', 'linen', 'lovely', 'get', 'underfloor', 'important', 'extra', 'sit', 'direct', 'usual', 'good', 'great', 'superior', 'comfortable', 'granite', 'polite', 'satisfied', 'relax', 'short']"
Apex Temple Court Hotel,"['several', 'luxurious', 'amenable', 'next', 'pleasant', 'sized', 'super', 'comment', 'new', 'nice', 'fair', 'delicious', 'perfect', 'suite', 'big', 'open', 'main', 'many', 'housekeeping', 'breakfast', 'easy', 'quiet', 'small', 'excellent', 'only', 'fabulous', 'enjoyable', 'all', 'recommend', 'efficient', 'wide', 'find', 'practical', 'unable', 'walk', 'requested', 'tea', 'deep', 'public', 'due', 'high', 'free', 'smart', 'special', 'minor', 'need', 'stay', 'be', 'helpful', 'clean', 'wonderful', 'other', 'friendly', 'lovely', 'spacious', 'large', 'much', 'amazing', 'good', 'huge', 'great', 'spotless', 'catch', 'reachable', 'comfortable', 'noisy', 'tasty', 'separate', 'hot', 'modern', 'eat', 'possible', 'short']"
Monhotel Lounge SPA,"['attentive', 'close', 'good', 'metro', 'recommend', 'arc', 'great', 'active', 'pro', 'comfortable', 'quiet', 'friendly', 'restful', 'airport', 'modern', 'excellent', 'short']"
Splendid Etoile,"['nice', 'confortable', 'central', 'main', 'available', 'quiet', 'recommend', 'overall', 'fantastic', 'stay', 'helpful', 'clean', 'friendly', 'much', 'metro', 'wan', 'cleanliness', 'whole', 'comfortable', 'polite', 'easy', 'excellent']"
Hotel Trianon Rive Gauche,"['necessary', 'nice', 'tiny', 'fine', 'open', 'store', 'small', 'quiet', 'cool', 'right', 'beautiful', 'orange', 'french', 'fun', 'wonderful', 'clean', 'friendly', 'large', 'great', 'comfortable', 'hot', 'old']"
InterContinental London Park Lane,"['luxurious', 'next', 'be', 'clean', 'comfortable', 'friendly', 'available', 'excellent']"
Novotel Suites Paris Nord 18 me,"['modern', 'clean', 'comfortable']"
Milestone Hotel Kensington,['comfortable']
Crowne Plaza London Kings Cross,"['several', 'pleasant', 'brilliant', 'new', 'nice', 'bus', 'bed', 'perfect', 'take', 'central', 'tasty', 'welcoming', 'breakfast', 'such', 'quiet', 'small', 'lavish', 'fabulous', 'recommend', 'right', 'professional', 'find', 'distant', 'few', 'clear', 'welcome', 'rest', 'overnight', 'wait', 'free', 'presented', 'firm', 'go', 'be', 'contact', 'helpful', 'park', 'help', 'clean', 'need', 'use', 'friendly', 'standard', 'wifi', 'signal', 'long', 'spacious', 'get', 'front', 'know', 'good', 'visit', 'great', 'late', 'cheap', 'whole', 'busy', 'comfortable', 'reserve', 'separate', 'strong', 'modern', 'excellent', 'short']"
