Hotel_Name,Descriptions
Hotel Arena,"['next', 'pleasant', 'hadn', 'nice', 'tram', 't', 'leidseplein', 'rare', 'big', 'central', 'stylish', 'main', 'agree', 'fabulous', 'move', 'recommend', 'dangerous', 'beautiful', 'few', 'want', 'door', 'choose', 'public', 'sell', 'u', 'stop', 'artsy', 'double', 'major', 'try', 'high', 'relaxing', 'be', 'stay', 'helpful', 'clean', 'enough', 'friendly', 'front', 'lovely', 'get', 'awful', 'much', 'unusual', 'spacious', 'usual', 'chic', 'good', 'huge', 'steep', 'great', 'late', 'comfy', 'continental', 'comfortable', 'have', 'modern', 'excellent', 'short']"
K K Hotel George,"['next', 'nice', 'new', 'central', 'modern', 'close', 'quiet', 'safe', 'last', 'convenient', 'sleep', 'recommend', 'absolute', 'overall', 'underground', 'find', 'beautiful', 'minute', 'atmosphere', 'choose', 'u', 's', 'fantastic', 'spend', 'smart', 'be', 'helpful', 'clean', 'powerful', 'friendly', 'underfloor', 'get', 'extra', 'good', 'int', 'great', 'comfortable', 'satisfied', 'easy', 'excellent']"
Apex Temple Court Hotel,"['luxurious', 'equipped', 'reliable', 'nice', 'historic', 'perfect', 'neat', 'considerate', 'big', 'approachable', 'central', 'short', 'easy', 'quiet', 'small', 'quick', 'excellent', 'decor', 'reasonable', 'efficient', 'full', 'professional', 'beautiful', 'walk', 'heard', 'old', 'bonus', 'warm', 'interior', 'able', 'high', 'fantastic', 'different', 'smart', 'be', 'helpful', 'email', 'help', 'clean', 'willing', 'tube', 'type', 'friendly', 'lovely', 'inner', 'large', 'much', 'spacious', 'important', 'good', 'polite', 'fourth', 'great', 'cheerful', 'busy', 'comfortable', 'knowledgeable', 'relax', 'theatre', 'have', 'modern', 'eat', 'etc', 'ready']"
The Park Grand London Paddington,"['lebanese', 'nice', 't', 'fitted', 'pay', 'central', 'quiet', 'enjoyable', 'underground', 'beautiful', 'organise', 'internet', 'queen', 'different', 'help', 'heathrow', 'splendid', 'accessible', 'dental', 'get', 'huge', 'surprise', 'great', 'international', 'first', 'such', 'have', 'decent', 'fresh', 'brilliant', 'tidy', 'tired', 'white', 'little', 'keep', 'perfect', 'sure', 'small', 'technical', 'national', 'stop', 'transport', 'tube', 'window', 'much', 'upgraded', 'restaurant', 'comfortable', 'neighboring', 'paddington', 'gorgeous', 'equipped', 'personal', 'ride', 'new', 'wet', 'big', 'take', 'stylish', 'welcoming', 'hotel', 'reasonable', 'recommend', 'rooom', 'overall', 'nicer', 'walk', 'public', 'detail', 'free', 'boutique', 'smart', 'be', 'helpful', 'clean', 'friendly', 'extra', 'do', 'fault', 'comfy', 'modern', 'excellent', 'short', 'complimentary', 'left', 'safe', 'affordable', 'wi', 'upmarket', 'happy', 'due', 'warm', 'say', 'rely', 'fantastic', 'special', 'willing', 'spacious', 'usual', 'soy', 'good', 'amazing', 'comy', 'hot', 'easy']"
The Principal London,"['gorgeous', 'eager', 'comtable', 'attentive', 'architecture', 'arrange', 'brilliant', 'ride', 'nice', 'undergroud', 'complimentary', 'traditional', 'historic', 'superb', 'perfect', 'big', 'central', 'centre', 'main', 'grand', 'close', 'small', 'location', 'quiet', 'fabulous', 'excellent', 'convenient', 'general', 'real', 'reasonable', 'efficient', 'overall', 'feel', 'nearby', 'affordable', 'beautiful', 'walk', 'undergound', 'requested', 'assist', 'happy', 'national', 'interior', 'check', 'double', 'sumptuous', 'high', 'helpful', 'wonderful', 'clean', 'help', 'use', 'friendly', 'british', 'heathrow', 'splendid', 'get', 'spacious', 'large', 'amazing', 'good', 'very', 'twin', 'overlooked', 'great', 'junior', 'first', 'cheap', 'touristic', 'busy', 'superior', 'comfortable', 'easy', 'old', 'short']"
Park Plaza County Hall London,"['pleasant', 'nice', 't', 'central', 'quiet', 'underground', 'professional', 'beautiful', 'see', 'worthwhile', 'double', 'expensive', 'outside', 'stay', 'dissapoint', 'wonderful', 'child', 'long', '7th', 'get', 'large', 'second', 'great', 'first', 'busy', 'such', 'have', 'tidy', 'confortable', 'little', 'perfect', 'convenient', 've', 'tube', 'other', 'much', 'metro', 'birthday', 'comfortable', 'card', 'soft', 'main', 'recommend', 'nicer', 'walk', 'welcome', 'italian', 'hit', 'interior', 'elemis', 'free', 'go', 'be', 'south', 'helpful', 'fix', 'clean', 'assign', 'friendly', 'extra', 'round', 'sauna', 'polite', 'explore', 'modern', 'excellent', 'come', '40th', 'bus', 'ask', 'fabulous', 'spa', 'lucky', 'efficient', 'nearby', 'find', 'happy', 'warm', 'fantastic', 'special', 'lovely', 'spacious', 'know', 'none', 'amazing', 'good', 'whole', 'easy']"
One Aldwych,"['friendly', 'professional', 'excellent', 'extra']"
Splendid Etoile,"['bad', 'amazing', 'check', 'good', 'early', 'tidy', 'great', 'overall', 'beautiful', 'clean', 'friendly', 'welcome']"
Hotel Trianon Rive Gauche,"['decent', 'keep', 'perfect', 'store', 'big', 'many', 'quiet', 'beautiful', 'happy', 'early', 'fantastic', 'du', 'helpful', 'clean', 'friendly', 'much', 'good', 'rich', 'second', 'great', 'late', 'comfortable', 'excellent']"
InterContinental London Park Lane,"['luxurious', 'next', 'quick', 'good', 'gorgeous', 'great', 'nice', 'first', 'be', 'comfy', 'beautiful', 'italian', 'clean', 'comfortable', 'friendly', 'talk', 'available', 'excellent']"
