Hotel_Name,Descriptions
Hotel Arena,"['brilliant', 'nice', 'historic', 'big', 'easy', 'beautiful', 'door', 'major', 'high', 'free', 'be', 'help', 'willing', 'stunning', 'friendly', 'lovely', 'get', 'unusual', 'good', 'gothic', 'metro', 'great', 'comfortable', 'polite', 'have', 'modern', 'old']"
K K Hotel George,"['pleasant', 'conscientious', 'nice', 'residential', 'subway', 'short', 'benefit', 'available', 'close', 'small', 'quiet', 'convenient', 'london', 'reasonable', 'basic', 'nearest', 'hard', 'stop', 'expensive', 's', 'helpful', 'wonderful', 'clean', 'friendly', 'ok', 'get', 'private', 'much', 'bad', 'usual', 'good', 'make', 'great', 'noisy', 'comfortable', 'hot', 'easy', 'come']"
Apex Temple Court Hotel,"['decent', 'pleasant', 'nice', 'delicious', 't', 'smiley', 'treat', 'stylish', 'big', 'store', 'housekeeping', 'quiet', 'small', 'decor', 'overall', 'walk', 'respectful', 'immediate', 'old', 'atmosphere', 'public', 'temple', 'warm', 'interior', 'marvelous', 'fantastic', 'smart', 'go', 'be', 'stay', 'helpful', 'attentative', 'help', 'clean', 'west', 'near', 'friendly', 'get', 'long', 'large', 'sit', 'much', 'atmospheric', 'spacious', 'good', 'extra', 'second', 'great', 'comfortable', 'polite', 'modern', 'excellent']"
The Park Grand London Paddington,"['several', 'pleasant', 'travel', 'nice', 'please', 'central', 'quiet', 'last', 'underground', 'professional', 'proper', 'station', 'qualify', 'child', 'get', 'awesome', 'surprise', 'leave', 'great', 'first', 'decent', 'ur', 'tired', 'little', 'perfect', 'provide', 'want', 'wait', 'bathroom', 'peaceful', 'handy', 'relaxing', 'tube', 'other', 'expect', 'local', 'roomy', 'copious', 'upgraded', 'restaurant', 'helper', 'pubs', 'comfortable', 'paddington', 'eager', 'take', 'reasonable', 'rooom', 'overall', 'walk', 'slow', 'train', 'early', 'free', 'friendy', 'be', 'triple', 'helpful', 'clean', 'uk', 'use', 'friendly', 'extra', 'staff', 'do', 'comfy', 'cafe', 'polite', 'modern', 'excellent', 'short', 'next', 'prepared', 'return', 'complimentary', 'mobile', 'efficient', 'affordable', 'find', 'comfotable', 'u', 'due', 'able', 'fantastic', 'special', 'lovely', 'spacious', 'good', 'easy']"
Monhotel Lounge SPA,"['attentive', 'good', 'confortable', 'helpful', 'arrive', 'comfortable', 'stylish', 'modern']"
The Principal London,"['several', 'next', 'pleasant', 'classic', 'reach', 'nice', 'traditional', 'little', 'historic', 'big', 'central', 'take', 'grand', 'quiet', 'small', 'enjoyable', 'underground', 'heritage', 'incl', 'beautiful', 'old', 'pick', 'national', 'train', 'free', 'outside', 'helpful', 'tube', 'fit', 'clean', 'stunning', 'friendly', 'interesting', 'steep', 'spacious', 'large', 'local', 'victorian', 'essential', 'good', 'visit', 'leave', 'do', 'great', 'top', 'comfy', 'impressive', 'comfortable', 'easy', 'excellent']"
Park Plaza County Hall London,"['decent', 'pleasant', 'tidy', 'nice', 'complimentary', 'tourist', 'little', 'sight', 'perfect', 'pay', 'big', 'central', 'short', 'many', 'warmful', 'easy', 'quiet', 'small', 'quick', 'key', 'enjoy', 'efficient', 'right', 'tubes', 'professional', 'walk', 'assist', 'italian', 'happy', 'due', 'double', 'penthouse', 'expensive', 'train', 'storing', 'free', 'smart', 'be', 'stay', 'helpful', 'obliging', 'wonderful', 'clean', 'friendly', 'vibey', 'lovely', 'spacious', 'large', 'extra', 'much', 'luckily', 'good', 'huge', 'top', 'comfortable', 'polite', 'separate', 'modern', 'flexible', 'excellent', 'ready']"
One Aldwych,"['good', 'free', 'arrival', 'helpful', 'clean', 'prompt', 'anniversary', 'old', 'comfortable', 'friendly', 'spacious', 'quiet']"
Splendid Etoile,"['good', 'airport', 'clean', 'friendly', 'close', 'easy', 'local']"
Hotel Trianon Rive Gauche,"['bueatiful', 'decent', 'nice', 'take', 'main', 'quiet', 'safe', 'small', 'antique', 'affordable', 'beautiful', 'walk', 'asian', 'upgrade', 'major', 'latin', 'stay', 'helpful', 'opposite', 'clean', 'local', 'direct', 'good', 'awesome', 'do', 'late', 'top', 'everyday', 'noisy', 'comfortable', 'explore', 'have', 'short']"
InterContinental London Park Lane,"['very', 'good', 'reasonable', 'nice', 'clean', 'polite', 'close', 'excellent']"
Novotel Suites Paris Nord 18 me,"['many', 'good']"
Grand Royale London Hyde Park,"['adjacent', 'attentive', 'courteous', 'pleasant', 'wooden', 'nice', 'fine', 'central', 'typical', 'quiet', 'electrical', 'underground', 'professional', 'see', 'beautiful', 'edwardian', 'bar', 'double', 'major', 'different', 'stay', 'ground', 'hundred', 'get', 'large', 'victorian', 'subtle', 'great', 'top', 'worth', 'have', 'such', 'decent', 'fresh', 'tidy', 'little', 'small', 'web', 'provide', 'relate', 'peaceful', 'handy', 'jump', 'transport', 'tube', 'much', 'local', 'restaurant', 'birthday', 'character', 'impressive', 'comfortable', 'unhelpful', 'alternative', 'delightful', 'equipped', 'non', 'let', 'residential', 'traditional', 'fair', 'big', 'main', 'breakfast', 'grand', 'adequate', 'few', 'common', 'welcome', 'historical', 'healthy', 'train', 'burst', 'free', 'early', 'initial', 'go', 'helpful', 'clean', 'use', 'friendly', 'direct', 'natural', 'do', 'round', 'comfy', 'superior', 'polite', 'theatre', 'explore', 'modern', 'relax', 'excellent', 'short', 'next', 'classic', 'open', 'many', 'close', 'gergian', 'safe', 'real', 'tubes', 'find', 'choose', 'recommended', 'due', 'average', 'smallish', 'oxford', 'pleased', 'stayed', 'quiete', 'park', 'front', 'lovely', 'good', 'fab', 'hot', 'easy', 'old']"
Crowne Plaza London Kings Cross,"['nice', 'new', 'young', 'pay', 'english', 'central', 'big', 'oyster', 'cold', 'close', 'available', 'quiet', 'convenient', 'accessed', 'reasonable', 'full', 'buy', 'nearest', 'tea', 'want', 'public', 'choose', 'warm', 'cooked', 'early', 'be', 'remember', 'helpful', 'clean', 'west', 'friendly', 'lovely', 'get', 'spacious', 'long', 'extra', 'usual', 'good', 'do', 'unlimited', 'great', 'refurbished', 'cereal', 'first', 'iron', 'whole', 'comfortable', 'wouldn', 'polite', 'excellent']"
Select Hotel,"['sized', 'nice', 'fine', 'perfect', 'sure', 'quiet', 'small', 'beautiful', 'french', 'able', 'check', 'early', 'be', 'helpful', 'friendly', 'extra', 'good', 'great', 'salle', 'comfortable', 'normal', 'modern', 'excellent']"
H tel De Vend me,"['amazing', 'good', 'charming', 'reach', 'nice', 'great', 'overall', 'clean', 'comfortable', 'friendly', 'large']"
Pullman Paris Centre Bercy,"['multilingual', 'nice', 'bottled', 'cold', 'close', 'extensive', 'complete', 'check', 'high', 'helpful', 'park', 'clean', 'friendly', 'large', 'important', 'chic', 'good', 'bercy', 'daily', 'great', 'outdoor', 'comfy', 'comfortable', 'electronic', 'polite', 'hot', 'excellent']"
Gardette Park Hotel,"['nice', 'silent', 'confortable', 'little', 'reasonnable', 'close', 'easy', 'quiet', 'small', 'convenient', 'reasonable', 'overall', 'find', 'few', 'aware', 'major', 'be', 'stay', 'helpful', 'clean', 'friendly', 'good', 'metro', 'comfortable', 'lively', 'subway']"
Hotel Panache,"['good', 'metro', 'nice', 'little', 'table', 'close', 'excellent', 'interior']"
Hotel Scribe Paris Opera by Sofitel,"['best', 'good', 'key', 'efficient', 'nice', 'be', 'helpful', 'know', 'central', 'friendly', 'outstandig', 'happy', 'approach', 'spacious', 'come']"
Novotel London West,"['attentive', 'necessary', 'needs', 'nice', 'weight', 'little', 'fuss', 'central', 'modern', 'many', 'welcoming', 'ten', 'small', 'upfront', 'quick', 'recommend', 'efficient', 'underground', 'overall', 'professional', 'minute', 'extras', 'additional', 'similar', 'internet', 'stay', 'helpful', 'tube', 'clean', 'various', 'friendly', 'work', 'ok', 'get', 'inner', 'local', 'good', 'great', 'previous', 'whole', 'comfortable', 'easy', 'excellent']"
Haymarket Hotel,"['quick', 'good', 'such', 'nice', 'comfy', 'helpful', 'clean', 'friendly', 'lovely']"
Intercontinental London The O2,"['nice', 'ordinary', 'covered', 'big', 'cold', 'main', 'quiet', 'reasonable', 'buy', 'choose', 'memorable', 'added', 'fantastic', 'be', 'stay', 'helpful', 'clean', 'friendly', 'seperate', 'spacious', 'green', 'local', 'good', 'fault', 'great', 'comfy', 'busy', 'comfortable', 'hot', 'excellent', 'short']"
H tel Juliana Paris,"['important', 'good', 'exclusive', 'nice', 'go', 'bed', 'clean', 'comfortable', 'quiet', 'choose', 'easy', 'large']"
Hotel L Antoine,"['next', 'nice', 'stylish', 'modern', 'small', 'quiet', 'doorstep', 'free', 'quite', 'helpful', 'stay', 'clean', 'lingual', 'friendly', 'lovely', 'spacious', 'good', 'metro', 'great', 'easy', 'excellent']"
Belfast,"['good', 'tiny', 'need']"
Mercure Paris Tour Eiffel Pont Mirabeau,"['good', 'free', 'daily', 'friendly', 'front', 'happy', 'much']"
Knightsbridge Hotel,"['good', 'same', 'silent', 'other', 'optimum', 'friendly', 'interior']"
The London EDITION,"['good', 'nice', 'beautiful', 'interesting', 'modern']"
The Cranley Hotel,"['good', 'pleasant', 'communal', 'high', 'great', 'nice', 'be', 'little', 'prosecco', 'comfortable', 'few', 'quiet', 'small']"
Hotel Le 10 BIS,"['new', 'good', 'familiar']"
The Nadler Soho,"['next', 'super', 'complementary', 'nice', 'watch', 'stylish', 'thoughtful', 'quiet', 'fabulous', 'unfussy', 'wee', 'choose', 'helpful', 'clean', 'friendly', 'sleek', 'good', 'great', 'comfy', 'comfortable', 'modern', 'excellent']"
Grange St Paul s Hotel,"['lukewarm', 'decent', 'attentive', 'new', 'nice', 't', 'call', 'young', 'central', 'doesnt', 'quiet', 'hotel', 'unavailable', 'recommend', 'helpless', 'beautiful', 'able', 'say', 'free', 'be', 'stay', 'helpful', 'transport', 'change', 'clean', 'other', 'limited', 'use', 'friendly', 'expect', 'star', 'single', 'spacious', 'much', 'i', 'good', 'desk', 'overcrowded', 'do', 'great', 'closeby', 'bitter', 'whole', 'comfortable', 'dead', 'modern']"
The Ampersand Hotel,"['gorgeous', 'good', 'personal', 'lovely', 'free', 'great', 'helpful', 'clean', 'comfortable', 'friendly', 'hot']"
Covent Garden Hotel,"['good', 'super', 'second', 'great', 'stay', 'complain', 'clean', 'friendly']"
The Nadler Victoria,"['eager', 'nice', 'new', 'silent', 'minimalistic', 'big', 'quiet', 'safe', 'convenient', 'basic', 'professional', 'find', 'love', 'see', 'few', 'resolve', 'assist', 'welcome', 'happy', 'attend', 'royal', 'boutique', 'be', 'stay', 'helpful', 'other', 'clean', 'use', 'friendly', 'important', 'large', 'much', 'good', 'rubbish', 'great', 'solid', 'comfortable', 'polite', 'modern', 'eat', 'excellent']"
Novotel London Tower Bridge,"['equipped', 'pleasant', 'travel', 'nice', 'perfect', 'look', 'close', 'quiet', 'convenient', 'recommend', 'nearby', 'professional', 'pick', 'able', 'high', 'stay', 'helpful', 'other', 'clean', 'friendly', 'ok', 'local', 'good', 'borrow', 'leave', 'great', 'top', 'comfortable', 'polite', 'easy', 'excellent']"
Crowne Plaza Paris R publique,"['good', 'great', 'nice', 'stay', 'touristic', 'walk', 'comfortable', 'enough', 'friendly', 'many', 'get', 'excellent']"
Le Metropolitan a Tribute Portfolio Hotel,"['helpful', 'good']"
Atala Champs Elys es,"['friendly', 'good']"
H tel de Jos phine BONAPARTE,"['good', 'awesome', 'fantastic', 'great', 'helpful', 'perfect']"
Le Senat,"['good', 'nice', 'comfortable', 'english', 'friendly', 'speak', 'easy', 'local']"
Windsor Opera,"['good', 'same', 'other', 'atmosphere', 'spacious', 'quiet']"
Holiday Inn Paris Montparnasse Pasteur,['good']
H tel Keppler,"['helpful', 'great', 'good']"
Les Plumes Hotel,"['good', 'metro', 'helpful', 'few', 'comfortable', 'friendly', 'classy']"
Hotel des Tuileries Relais du Silence,"['helpful', 'clean', 'good', 'pretty']"
Bradford Elys es Astotel,"['lavish', 'good', 'great', 'overall', 'cozy', 'holiday', 'wide', 'be', 'helpful', 'beautiful', 'comfortable', 'friendly']"
W London Leicester Square,"['good', 'great', 'nice', 'be', 'gym']"
The Victoria,"['good', 'south', 'other', 'central', 'public', 'easy', 'quiet']"
Pullman London St Pancras,"['attentive', 'super', 'necessary', 'brilliant', 'tidy', 'nice', 'fine', 'big', 'stylish', 'central', 'available', 'small', 'competent', 'deluxe', 'underground', 'quality', 'wide', 'see', 'eurostar', 'warm', 'expensive', 'train', 'free', 'stay', 'helpful', 'other', 'stuff', 'clean', 'friendly', 'ok', 'get', 'spacious', 'much', 'euro', 'good', 'great', 'upper', 'comfortable', 'worth', 'excellent']"
Doubletree by Hilton London Kensington,"['pleasant', 'personal', 'nice', 'little', 'central', 'communal', 'ten', 'poor', 'quiet', 'small', 'nearby', 'affordable', 'see', 'walk', 'parking', 'happy', 'warm', 'check', 'third', 'free', 'fantastic', 'special', 'helpful', 'tube', 'transport', 'clean', 'west', 'use', 'friendly', 'ok', 'get', 'remain', 'good', 'intermittent', 'isolated', 'comfortable', 'modern', 'bedroom', 'excellent']"
Ace Hotel London Shoreditch,"['theme', 'extraordinary', 't', 'modern', 'many', 'countless', 'quiet', 'underground', 'overall', 'cool', 'love', 'nearby', 'und', 'public', 's', 'helpful', 'other', 'enough', 'friendly', 'get', 'accessible', 'large', 'spacious', 'good', 'drink', 'great', 'comfortable', 'easy', 'eat', 'excellent']"
The Grosvenor,"['next', 'comment', 'exterior', 'nice', 'bus', 'gatwick', 't', 'fine', 'call', 'little', 'big', 'communal', 'central', 'frills', 'supportive', 'grand', 'quiet', 'hotel', 'enjoyable', 'london', 'underground', 'efficient', 'beautiful', 'check', 'major', 'early', 'firm', 'helpful', 'tube', 'clean', 'friendly', 'get', 'direct', 'good', 'impressive', 'comfortable', 'easy', 'excellent']"
The Park Tower Knightsbridge a Luxury Collection Hotel,"['key', 'good', 'enter', 'certain', 'few', 'open', 'available', 'spacious', 'excellent', 'safe']"
Amp re,"['next', 'pleasant', 'super', 'white', 'arrive', 'taxis', 'welcoming', 'many', 'available', 'small', 'quiet', 'pray', 'choose', 'public', 'free', 'arc', 'relaxing', 'helpful', 'touristy', 'clean', 'friendly', 'much', 'light', 'good', 'metro', 'comfortable', 'subway']"
Le Parisis Paris Tour Eiffel,"['chic', 'amazing', 'good', 'super', 'complementary', 'brilliant', 'great', 'nice', 'little', 'helpful', 'clean', 'comfortable', 'quiet', 'friendly', 'typical', 'modern', 'large']"
Thistle Kensington Gardens,"['next', 'pleasant', 'shortish', 'nice', 'tired', 'left', 't', 'shower', 'take', 'central', 'sum', 'available', 'quiet', 'safe', 'serviced', 'small', 'convenient', 'reasonable', 'underground', 'tubes', 'own', 'find', 'stilish', 'walk', 'elevator', 'equivalent', 'pick', 'check', 's', 'third', 'early', 'fantastic', 'different', 'same', 'stay', 'helpful', 'transport', 'tube', 'clean', 'friendly', 'ok', 'green', 'important', 'large', 'good', 'make', 'metro', 'red', 'restaurant', 'great', 'costly', 'comfortable', 'tasty', 'hungry', 'modern', 'eat', 'excellent', 'short']"
Park Plaza Sherlock Holmes London,"['pleasant', 'sized', 'nice', 'soft', 'big', 'modern', 'close', 'safe', 'quick', 'recommend', 'dine', 'efficient', 'few', 'public', 'happy', 'able', 'be', 'stay', 'helpful', 'help', 'clean', 'friendly', 'spacious', 'much', 'large', 'good', 'leave', 'fast', 'great', 'first', 'comfortable', 'easy', 'excellent']"
The Kensington Hotel,"['good', 'decor', 'great', 'such', 'nice', 'first', 'helpful', 'romantic', 'anniversary', 'welcoming', 'big', 'friendly', 'many', 'close', 'easy']"
Holiday Inn London Stratford City,"['decent', 'popular', 'travel', 'new', 'centre', 'big', 'modern', 'close', 'quiet', 'small', 'reasonable', 'find', 'few', 'overnight', 'high', 'be', 'helpful', 'other', 'tube', 'clean', 'friendly', 'get', 'spacious', 'large', 'local', 'bright', 'good', 'leave', 'spotless', 'international', 'whole', 'comfy', 'busy', 'comfortable', 'straight', 'have', 'easy', 'excellent']"
Staybridge Suites London Stratford,"['decent', 'good', 'spotlessly', 'awesome', 'tidy', 'great', 'new', 'helpful', 'clean', 'comfortable', 'quiet', 'friendly', 'public', 'such', 'accessible', 'spacious', 'excellent']"
Shepherd s Bush Boutique Hotel,"['next', 'pleasant', 'nice', 'new', 'many', 'easy', 'quiet', 'underground', 'overall', 'right', 'shops', 'affordable', 'find', 'public', 'say', 'able', 'expensive', 'free', 'high', 'be', 'stay', 'helpful', 'tube', 'park', 'clean', 'other', 'friendly', 'much', 'good', 'very', 'metro', 'haul', 'great', 'spotless', 'commercial', 'noisy', 'comfortable', 'modern', 'excellent']"
My Bloomsbury,"['next', 'nice', 'complimentary', 'little', 'call', 'stylish', 'central', 'main', 'available', 'poor', 'small', 'quiet', '21st', 'novel', 'efficient', 'full', 'sufficient', 'table', 'dated', 'bakery', 'warm', 'able', 'check', 'fantastic', 'outside', 'boutique', 'stay', 'helpful', 'tube', 'artisan', 'clean', 'use', 'friendly', 'british', 'work', 'get', 'spacious', 'large', 'good', 'great', 'birthday', 'comfy', 'busy', 'comfortable', 'polite', 'easy', 'excellent', 'come']"
Holiday Inn Paris Gare de Lyon Bastille,"['pleasant', 'non', 'nice', 'travel', 'bus', 'useful', 'young', 'suite', 'open', 'main', 'many', 'gare', 'close', 'small', 'quiet', 'total', 'key', 'needing', 'beautiful', 'walk', 'old', 'choose', 'free', 'le', 'different', 'be', 'helpful', 'transport', 'lounge', 'clean', 'friendly', 'front', 'large', 'direct', 'good', 'metro', 'comfortable', 'easy', 'smooth', 'excellent', 'short']"
H tel Chaplain Paris Rive Gauche,"['double', 'good', 'sized', 'free', 'nice', 'go', 'helpful', 'clean', 'friendly', 'french', 'easy', 'unexpected', 'excellent']"
H tel Regina Op ra Grands Boulevards,"['great', 'clean', 'modern', 'good']"
11 Cadogan Gardens,"['good', 'boutique', 'noise', 'comfy', 'helpful', 'calm']"
The Wellesley Knightsbridge a Luxury Collection Hotel London,"['nice', 'good']"
Op ra Marigny,"['good', 'great', 'nice', 'clean', 'friendly', 'n', 'small']"
H tel Diva Opera,"['will', 'pleasant', 'super', 'nice', 'gare', 'close', 'quiet', 'nearby', 'thank', 'few', 'famous', 'du', 'helpful', 'clean', 'louvre', 'friendly', 'spacious', 'pera', 'good', 'metro', 'comfortable', 'outstanding']"
Le Marcel,"['clean', 'good']"
H tel Duo,['good']
