Hotel_Name,Descriptions
Splendid Etoile,"['good', 'close', 'local']"
Grand Royale London Hyde Park,['good']
Pullman Paris Centre Bercy,['good']
Gardette Park Hotel,"['beautiful', 'good']"
Novotel London West,['pleasant']
Intercontinental London The O2,"['luxurious', 'direct', 'good', 'personal', 'great', 'soft', 'comfy', 'superb', 'clean', 'comfortable', 'knowledgeable', 'bee', 'spotlessly', 'friendly', 'spacious']"
Grange St Paul s Hotel,"['good', 'short']"
The Victoria,['nice']
Pullman London St Pancras,"['next', 't', 'big', 'central', 'main', 'available', 'adequate', 'reasonable', 'recommend', 'full', 'try', 'stay', 'soundproofed', 'much', 'extra', 'good', 'continental', 'busy', 'easy', 'excellent']"
Doubletree by Hilton London Kensington,"['good', 'professional']"
Amp re,"['friendly', 'good', 'comfortable', 'helpful']"
Holiday Inn London Stratford City,['good']
Shepherd s Bush Boutique Hotel,"['good', 'large', 'helpful', 'comfortable', 'enough', 'friendly', 'small']"
Le Marcel,['good']
Arbor City,"['good', 'nice', 'new', 'comfortable', 'worth']"
Ambassadors Bloomsbury,"['nespresso', 'good', 'little', 'beautiful', 'clean', 'cafe', 'smoked', 'many', 'have', 'easy', 'single', 'small']"
London Marriott Hotel Regents Park,"['expensive', 'good']"
The Chamberlain,"['informative', 'good', 'courteous', 'comfortable', 'plush']"
Radisson Blu Edwardian Grafton,"['friendly', 'good', 'excellent']"
Saint Georges Hotel,['good']
Clayton Crown Hotel London,"['several', 'next', 'pleasant', 'ride', 'operate', 'useful', 'sure', 'central', 'general', 'efficient', 'stop', 'free', 'outside', 'high', 'cleaning', 'other', 'limited', 'friendly', 'work', 'ok', 'get', 'good', 'make', 'fast', 'great', 'frequent', 'noisy', 'comfortable', 'polite', 'short']"
H tel California Champs Elys es,"['friendly', 'good']"
Britannia International Hotel Canary Wharf,"['great', 'good', 'short']"
Best Western Op ra Batignolles,"['beaten', 'good', 'little']"
Novotel London Greenwich,"['next', 'good', 'courteous', 'free', 'do', 'daily', 'nice', 'be', 'professional', 'see', 'local', 'clean', 'comfortable', 'hospitable', 'maid', 'friendly', 'short']"
H tel Horset Op ra Best Western Premier Collection,"['good', 'twin', 'stay', 'comfortable', 'english', 'quiet']"
Best Western The Boltons Hotel London Kensington,"['good', 'helpful', 'tube', 'clean', 'comfortable', 'safe']"
DoubleTree by Hilton London Victoria,['good']
Villa Opera Drouot,"['expensive', 'good']"
citizenM London Bankside,"['varied', 'good', 'explore', 'available', 'control', 'small']"
Mercure Paris Terminus Nord,"['talkative', 'good', 'answer', 'free', 'nice', 'find', 'helpful', 'able']"
The Kings Head Hotel,"['good', 'stay', 'clean', 'friendly', 'modern']"
Montcalm Royal London House City of London,"['good', 'recommend', 'great', 'relaxing', 't', 'helpful', 'beautiful', 'impact', 'friendly', 'particular', 'small']"
London Marriott Hotel West India Quay,"['excellent', 'good', 'great', 'full', 'comfortable', 'friendly', 'large']"
