Hotel_Name,Descriptions
Hotel Arena,"['good', 'metro', 'gothic', 'restaurant', 'nice', 'stay', 'helpful', 'beautiful', 'clean', 'enough', 'comfortable', 'big', 'friendly', 'have', 'spacious']"
K K Hotel George,"['good', 'pleasant', 'do', 'great', 'nice', 'underground', 'fine', 'helpful', 'tube', 'clean', 'proper']"
Apex Temple Court Hotel,"['good', 'nice', 'helpful', 'clean', 'comfortable', 'quiet']"
The Principal London,"['gorgeous', 'nice', 'traditional', 'little', 'stylish', 'bath', 'big', 'look', 'reasonable', 'overall', 'nicer', 'beautiful', 'happy', 'magnificient', 'stay', 'helpful', 'other', 'clean', 'slippy', 'friendly', 'british', 'lovely', 'bad', 'good', 'great', 'fab', 'rainy', 'impressive', 'comfortable', 'polite', 'have']"
Park Plaza County Hall London,"['check', 'good', 'nice', 'late', 'helpful', 'clean', 'friendly', 'cooperative', 'flexible']"
One Aldwych,"['friendly', 'excellent']"
Hotel Trianon Rive Gauche,"['good', 'do', 'great', 'nice', 'love', 'need', 'worry', 'many', 'happy']"
Grand Royale London Hyde Park,"['decent', 'fresh', 'nice', 'return', 't', 'fine', 'perfect', 'subway', 'modern', 'live', 'small', 'general', 'excellent', 'sleep', 'full', 'right', 'chose', 'dining', 'find', 'see', 'outstanding', 'auper', 'hard', 'historical', 'elegant', 'different', 'stay', 'helpful', 'clean', 'enough', 'friendly', 'ok', 'get', 'single', 'good', 'great', 'impressive', 'comfortable', 'prepaid', 'queens', 'such', 'easy', 'old']"
Crowne Plaza London Kings Cross,"['great', 'comfortable']"
Pullman Paris Centre Bercy,"['work', 'excellent']"
Gardette Park Hotel,"['decent', 'good', 'hop', 'nice', 'get', 'stay', 'touristy', 'easy', 'eat']"
Intercontinental London The O2,"['fabulous', 'nice']"
H tel Juliana Paris,"['wonderful', 'nice', 'convenient', 'small']"
Hotel L Antoine,"['nice', 'metro', 'excellent']"
Grange St Paul s Hotel,"['last', 'attentive', 'modem', 'good', 'real', 'satisfy', 'nice', 'steamy', 'top', 'beautiful', 'comfortable', 'open', 'friendly', 'many', 'hot']"
The Ampersand Hotel,"['bright', 'next', 'good', 'great', 'boutique', 'nice', 'stay', 'helpful', 'friendly']"
Novotel London Tower Bridge,"['friendly', 'great', 'nice']"
Maison Souquet,"['unique', 'explore', 'wonderful']"
W London Leicester Square,"['good', 'great', 'nice', 'gym', 'friendly']"
The Victoria,"['great', 'nice']"
Pullman London St Pancras,"['friendly', 'nice', 'upper']"
Crowne Plaza London Kensington,"['double', 'usual', 'good', 'next', 'nice', 'stay', 'helpful', 'garden', 'big', 'friendly', 'such', 'modern', 'large', 'sit']"
Ace Hotel London Shoreditch,"['comfy', 'great', 'nice']"
Staybridge Suites London Vauxhall,"['helpful', 'other', 'eat', 'necessary']"
The Grosvenor,"['friendly', 'nice']"
Amp re,"['comparable', 'comfortable', 'spacious']"
Thistle Kensington Gardens,"['great', 'nice', 'have', 'friendly', 'available']"
Park Plaza Sherlock Holmes London,"['general', 'good', 'major', 'fresh', 'nice', 'break', 'detract', 'comfortable', 'open', 'take', 'friendly', 'modern', 'say']"
Holiday Inn London Stratford City,"['general', 'good', 'free', 'nice', 'clean', 'friendly', 'large']"
11 Cadogan Gardens,"['good', 'great', 'nice', 'traditional', 'old', 'british', 'large']"
H tel Duo,['fabulous']
The Rembrandt,"['friendly', 'great', 'nice']"
Marlin Waterloo,"['good', 'nice', 'new', 'comtemporary', 'helpful', 'comfortable', 'big', 'eat']"
The Athenaeum,"['good', 'restaurant', 'great', 'nice', 'comfortable', 'spacious']"
Le Dokhan s a Tribute Portfolio Hotel,"['fantastic', 'nice', 'helpful', 'comfortable']"
Hotel La Lanterne,"['nice', 'good', 't']"
Ambassadors Bloomsbury,"['friendly', 'tube']"
1K Hotel,"['amazing', 'great', 'nice', 'large', 'go', 'be', 'ensure', 'comfortable', 'grab', 'polite', 'explore', 'small']"
H tel Westminster,"['good', 'nice', 'little', 'central', 'friendly']"
The Chamberlain,"['major', 'good', 'free', 'great', 'nice', 'go', 'useful', 'romantic', 'clean', 'comfortable', 'central', 'big', 'use', 'friendly', 'have']"
Radisson Blu Edwardian Grafton,"['nice', 'helpful', 'loud', 'friendly', 'public', 'get']"
Saint Georges Hotel,"['last', 'good', 'great', 'nice', 'friendly']"
Sofitel Paris Arc De Triomphe,"['expensive', 's', 'attentive', 'huge', 'personal', 'flat', 'give', 'table', 'suite', 'comfortable', 'central']"
The Bailey s Hotel London,"['nice', 'right', 'perfect', 'comfortable', 'friendly']"
Hilton London Paddington,['nice']
Mill sime H tel,"['next', 'great', 'nice', 'return', 'be', 'other', 'wonderful', 'tasteful', 'continental', 'many', 'french', 'modern', 'easy']"
DoubleTree by Hilton London Hyde Park,"['cold', 'good', 'nice', 'helpful', 'park', 'clean', 'central', 'friendly', 'hot', 'modern', 'small']"
