Hotel_Name,Descriptions
K K Hotel George,"['several', 'nice', 'useful', 'short', 'benefit', 'small', 'quiet', 'reasonable', 'underground', 'few', 'nearest', 'buffet', 's', 'helpful', 'clean', 'enough', 'spacious', 'good', 'noisy', 'excellent', 'come']"
Apex Temple Court Hotel,"['great', 'nice', 'good', 'quiet']"
The Park Grand London Paddington,"['decent', 'polite', 'high', 'nice', 'start', 'be', 'comfortable', 'central', 'friendly', 'explore', 'short']"
Park Plaza County Hall London,"['expensive', 'good', 'real', 'free', 'nice', 'avaliable', 'tubes', 'complimentary', 'helpful', 'busy', 'pay', 'neat', 'friendly', 'have', 'large', 'extra']"
Hotel Trianon Rive Gauche,['nice']
InterContinental London Park Lane,"['friendly', 'beautiful', 'nice']"
Novotel Suites Paris Nord 18 me,"['th', 'great', 'nice', 'accessible', 'spacious']"
Crowne Plaza London Kings Cross,"['check', 'general', 'good', 'nice', 'room705', 'comfy', 'excellent']"
Pullman Paris Centre Bercy,"['friendly', 'nice', 'clean', 'safe']"
Gardette Park Hotel,"['nice', 'little', 'helpful', 'compact', 'friendly', 'public', 'short']"
H tel des Ducs D Anjou,"['good', 'great', 'nice', 'friendly', 'small']"
Novotel London West,"['good', 'pleasant', 'fresh', 'gentleman', 'fantastic', 'underground', 'nice', 'top', 'helpful', 'departure', 'central', 'friendly', 'bar', 'warm']"
Intercontinental London The O2,['nice']
H tel Juliana Paris,"['upgrade', 'expensive', 'major', 'good', 'nice', 'feel', 'bed', 'accommodate', 'comfortable', 'quiet', 'friendly', 'welcome', 'small']"
Grange St Paul s Hotel,"['excellent', 'good', 'nice', 'be', 'stay', 'helpful', 'comfortable', 'friendly', 'happy', 'quiet']"
The Ampersand Hotel,"['second', 'great', 'nice', 'stayed', 'complimentary', 'friendly', 'thoughtful']"
The Nadler Victoria,"['good', 'lovely', 'excellent']"
Crowne Plaza Paris R publique,"['nice', 'good']"
Le Metropolitan a Tribute Portfolio Hotel,['nice']
H tel de Jos phine BONAPARTE,"['super', 'free', 'nice', 'special', 'professional', 'beautiful', 'clean', 'comfortable', 'neighbourhood', 'big', 'many', 'quiet']"
Le Senat,"['second', 'nice', 'arrival', 'first', 'sweet', 'small']"
Windsor Opera,[]
Holiday Inn Paris Montparnasse Pasteur,[]
H tel Keppler,"['l', 'comfortable', 'quiet']"
Bradford Elys es Astotel,"['good', 'visit', 'non', 'metro', 'free', 'nice', 'soft', 'comfy', 'other', 'helpful', 'alcoholic', 'use', 'welcome', 'single', 'large', 'due']"
Pullman London St Pancras,"['good', 'great', 'nice', 'different', 'superb', 'excellent']"
Crowne Plaza London Kensington,"['double', 'usual', 'good', 'next', 'nice', 'stay', 'helpful', 'garden', 'big', 'friendly', 'such', 'modern', 'large', 'sit']"
Doubletree by Hilton London Kensington,"['convenient', 'great', 'nice', 'helpfull', 'helpful', 'neighborhood', 'excellent', 'safe']"
Staybridge Suites London Vauxhall,"['good', 'reasonable', 'outside', 'great', 'nice', 'complimentary', 'tube', 'busy', 'suite', 'central', 'assisting', 'tea', 'friendly', 'welcome', 'happy', 'spacious', 'much', 'causal']"
The Grosvenor,"['nice', 'small', 'little', 'clean', 'comfortable', 'quiet', 'friendly', 'excellent']"
Thistle Kensington Gardens,"['nice', 'available', 'quiet', 'reasonable', 'recommend', 'basic', 'underground', 'few', 'appropriate', 'elegant', 'helpful', 'transport', 'other', 'clean', 'friendly', 'ok', 'amazing', 'good', 'comfortable', 'excellent']"
Park Plaza Sherlock Holmes London,"['friendly', 'nice', 'good', 'comfortable']"
Holiday Inn London Stratford City,"['efficient', 'nice', 'large', 'clean', 'comfortable', 'friendly', 'sanitary', 'modern', 'excellent', 'extra']"
Staybridge Suites London Stratford,"['good', 'free', 'nice', 'same', 'clean', 'big', 'have', 'important']"
Shepherd s Bush Boutique Hotel,"['super', 'nice', 'get', 'steps', 'easy', 'stop']"
My Bloomsbury,"['double', 'nice', 'historic', 'superior', 'friendly', 'main', 'spacious', 'small']"
Holiday Inn Paris Gare de Lyon Bastille,"['good', 'early', 'nice', 'transport', 'railway', 'much']"
H tel Chaplain Paris Rive Gauche,"['tidy', 'great', 'nice', 'nearby', 'helpful', 'clean', 'stylish', 'friendly', 'positive']"
H tel Duo,"['good', 'le', 'nice', 'beautiful', 'modern']"
The Rembrandt,"['good', 'travel', 'nice', 'clean', 'comfortable', 'easy']"
Ashburn Hotel,"['excellent', 'furnished', 'nice', 'small', 'helpful', 'tube', 'other', 'clean', 'comfortable', 'big', 'spacious', 'quiet']"
Novotel London Waterloo,"['friendly', 'welcome', 'good', 'nice']"
The Athenaeum,"['great', 'nice', 'super']"
Best Western Mornington Hotel Hyde Park,"['good', 'attentive', 'nice', 'cozy', 'fine', 'stuff', 'helpful', 'clean', 'hospitable', 'quiet', 'friendly', 'easy', 'spacious', 'small']"
Arbor City,"['next', 'nice', 'convenient', 'cafe']"
Hotel La Lanterne,"['adequate', 'real', 'great', 'nice', 'helpful', 'use', 'ten', 'awful']"
Hotel Louvre Montana,"['clean', 'large']"
Ambassadors Bloomsbury,"['good', 'great', 'nice', 'helpful', 'friendly', 'easy']"
Le 123 S bastopol Astotel,"['hotel', 'super', 'free', 'nice', 'cool', 'friendly', 'private', 'spacious', 'extra']"
The Bryson Hotel,"['tube', 'nice', 'theatre', 'short']"
London Marriott Hotel Regents Park,"['non', 'underground', 'nice', 'refurbishment', 'outdated', 'delicious', 'useful', 'comfortable', 'lovely', 'quiet']"
Staunton Hotel B B,"['good', 'drink', 'free', 'great', 'nice', 'be', 'little', 'nearby', 'spacious', 'friendly', 'clean', 'polite', 'eat']"
1K Hotel,"['friendly', 'nice', 'comfortable', 'modern']"
H tel Westminster,"['leave', 'great', 'beautiful', 'take', 'tasty', 'spacious']"
Le Marceau Bastille,"['nice', 'delicious', 'bed', 'centre', 'big', 'smile', 'convenient', 'professional', 'moderate', 'due', 'wonderful', 'change', 'clean', 'spacious', 'bright', 'good', 'metro', 'first', 'modern', 'excellent']"
Mercure London Bloomsbury Hotel,"['excellent', 'equipped', 'pleasant', 'good', 'great', 'overall', 'nice', 'little', 'helpful', 'local', 'comfortable', 'sure', 'inviting', 'uht', 'have', 'small', 'short']"
Radisson Blu Edwardian Grafton,"['next', 'excellent', 'good', 'metro', 'tidy', 'underground', 'nice', 'great', 'right', 'bus', 'clean', 'few', 'fat', 'central', 'standard', 'close', 'small', 'safe']"
London Marriott Hotel Marble Arch,"['good', 'nice', 'different', 'little', 'helpful', 'friendly', 'small']"
Park Grand London Lancaster Gate,"['drink', 'free', 'wet', 'be', 'helpful', 'mobile', 'clean', 'net', 'friendly']"
Sofitel Paris Arc De Triomphe,"['nice', 'clean']"
Hotel Op ra Richepanse,"['several', 'next', 'good', 'nice', 'comfortable', 'possible']"
H tel Duc De St Simon,"['charming', 'nice', 'good', 'quiet']"
Hotel Indigo London Tower Hill,"['vegan', 'nice', 'complimentary', 'handy', 'be', 'friendly', 'explore', 'continue', 'happy', 'flexible']"
Windermere Hotel,"['upgrade', 'great', 'nice', 'be', 'helpful', 'friendly']"
La Villa Maillot,['friendly']
H tel Madison by MH,"['pleasant', 'sleep', 'nice', 'avid', 'helpful', 'open', 'christian', 'friendly', 'quiet']"
Hilton London Paddington,"['check', 'good', 'great', 'fashioned', 'nice', 'tiny', 'helpful', 'clean', 'comfortable', 'friendly', 'grand', 'modern', 'old']"
Kensington House Hotel,"['tube', 'nice']"
The Montague On The Gardens,"['attentive', 'personal', 'high', 'nice', 'traditional', 'additional', 'polite', 'british', 'excellent']"
Hotel Lumen Paris Louvre,"['good', 'nice', 'helpfull', 'regular', 'small']"
COQ Hotel Paris,"['good', 'super', 'fantastic', 'great', 'nice', 'new', 'cozy', 'interiour', 'confortable', 'helpful', 'friendly', 'subway', 'pr', 'big', 'supernice', 'wifi', 'easy', 'quiet']"
Mill sime H tel,['friendly']
