Hotel_Name,Descriptions
One Aldwych,"['good', 'disappointing', 'cheap', 'weee', 'sit']"
Splendid Etoile,"['5th', 'recommend', 'great', 'clean', 'excellent']"
Hotel Trianon Rive Gauche,"['good', 'reasonable', 'free', 'full', 'helpful', 'available']"
Select Hotel,"['luxurious', 'varied', 'good', 'great', 'same', 'stay', 'helpful', 'other', 'charge', 'perfect', 'comfortable', 'parisian', 'central', 'friendly', 'hot', 'modern', 'uncomfortable', 'small']"
H tel De Vend me,[]
Pullman Paris Centre Bercy,"['valuable', 'nice', 'pay', 'sure', 'central', 'close', 'recommend', 'nearby', 'unable', 'charge', 'happy', 'wait', 'try', 'third', 'yellow', 'hang', 'helpful', 'other', 'friendly', 'much', 'good', 'great', 'crazy', 'excellent']"
Gardette Park Hotel,"['good', 'shout', 'great', 'ideal', 'be', 'other', 'clean', 'short', 'bedroom', 'small', 'safe']"
Hotel Panache,"['great', 'comfortable']"
H tel des Ducs D Anjou,['great']
Knightsbridge Hotel,"['good', 'super']"
The Ampersand Hotel,"['good', 'be', 'helpful', 'clean', 'comfortable', 'central']"
The Nadler Victoria,"['luxurious', 'pleasant', 'personal', 'super', 'courteous', 'new', 'nice', 'fine', 'perfect', 'quiet', 'small', 'recommend', 'basic', 'own', 'queen', 'contemporary', 'famous', 'fantastic', 'pleased', 'helpful', 'friendly', 'exceptional', 'lovely', 'get', 'good', 'do', 'great', 'comfortable', 'have', 'excellent', 'short']"
Crowne Plaza Paris R publique,"['fantastic', 'good']"
H tel de Jos phine BONAPARTE,"['fabulous', 'free', 'great', 'arrival', 'accommodate', 'happy', 'friendly', 'lovely']"
Maison Souquet,"['hopeless', 'high', 'experienced', 'rough', 'friendly', 'pitch', 'poor', 'small']"
Hotel Tour d Auvergne Opera,"['excellent', 'good', 'useful', 'comfortable', 'hospitable', 'warm']"
Le Senat,"['friendly', 'excellent', 'offer']"
H tel Keppler,"['recommend', 'helpful', 'clean', 'comfortable', 'friendly']"
Les Plumes Hotel,"['usual', 'excellent', 'good', 'incredible', 'convenient', 'nice', 'show', 'helpful', 'normal', 'interesting', 'small']"
The Victoria,"['great', 'clean', 'good', 'excellent']"
Doubletree by Hilton London Kensington,"['amazing', 'good', 'free', 'great', 'nice', 'immaculate', 'helpful', 'other', 'decorative', 'clean', 'ask', 'modern', 'excellent']"
Staybridge Suites London Vauxhall,"['good', 'super', 'be', 'clean', 'friendly', 'impressed', 'have', 'small']"
Amp re,"['good', 'third', 'real', 'metro', 'god', 'nice', 'love', 'stay', 'helpful', 'clean', 'comfortable', 'front', 'spacious', 'excellent']"
Holiday Inn Paris Gare de Lyon Bastille,"['expensive', 'good', 'fantastic', 'nice', 'generous', 'wonderful', 'perfect', 'patient', 'big', 'exceptional', 'unusual', 'divine']"
H tel Regina Op ra Grands Boulevards,"['good', 'enthusiastic', 'great', 'stay', 'helpful', 'hidden', 'clean', 'modern', 'small']"
Le Marcel,"['pleasant', 'new', 'nice', 'stay', 'helpful', 'get', 'due', 'able']"
H tel Duo,"['great', 'tired', 'unhelpful', 'little']"
H tel Le Marianne,"['expensive', 'only', 'modest', 'boutique', 'cozy', 'change', 'superior', 'turn', 'available', 'thermostat', 'small']"
Best Western Premier Marais Grands Boulevards,"['similar', 'next', 'modest', 'good', 'stuff', 'other', 'refreshed', 'clean', 'comfortable', 'big', 'central', 'modern', 'due', 'outstanding']"
Novotel London Waterloo,"['great', 'nice', 'late', 'helpful', 'clean', 'additional', 'modern', 'get', 'spacious', 'large']"
Le Relais Madeleine,"['paris', 'good', 'pleasant', 'recommend', 'fantastic', 'great', 'professional', 'helpful', 'comfy', 'other', 'clean', 'taxis', 'excellent', 'location']"
Hotel Louvre Montana,"['good', 'helpful', 'perfect', 'sort', 'clean', 'compact', 'friendly', 'relative']"
Le 123 S bastopol Astotel,"['great', 'good', 'high']"
Le 123 Elysees Astotel,"['real', 'provide', 't', 'be', 'helpful', 'own', 'need', 'short']"
The Bryson Hotel,"['good', 'excellent']"
