Hotel_Name,Descriptions
Suites H tel Helzear Montparnasse,"['unusual', 'reveal', 't', 'want', 'nice', 'have', 'be', 'helpful', 'attic', 'professional']"
A La Villa Madame,['uncomfortable']
Boutique H tel Konfidentiel,"['quiet', 'private', 'choose']"
Mercure Vaugirard Paris Porte De Versailles,"['comfortable', 'charge', 'refundable', 'small', 'few', 'exeptable']"
MARQUIS Faubourg St Honor Relais Ch teaux,"['ritzy', 'comfortable', 'small', 'beautiful']"
Medinaceli,['uncomfortable']
City Hotel Deutschmeister,[]
Gran Hotel Barcino,"['dark', 'bad', 'old', 'bed', 'uncomfortable']"
Eurohotel Diagonal Port,['uncomfortable']
Ilunion Almirante,"['great', 'hot', 'wasn', 'have', 'pleasant', 'uncomfortable', 'pay']"
The Hub Hotel,"['breath', 'small', 'uncomfortable']"
Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,"['be', 'boring', 'uncomfortable', 'repetitive']"
Amsterdam Canal Residence,"['small', 'uncomfortable']"
