Hotel_Name,Descriptions
Hotel Arena,"['send', 'good', 'have', 'small', 'comfortable', 'plug', 'say', 's', 'whole', 'ok', 'go', 'complain', 'friendly', 'open', 'clean', 'ignore', 'other', 'close', 'inform', 'be', 'next', 'pay', 'bad', 't', 'get', 'annoyed', 'happy']"
Apex Temple Court Hotel,"['don', 'good', 'available', 'have', 'easy', 'polite', 'only', 'preliminary', 'many', 'added', 'workout', 'go', 'expensive', 'public', 'detailed', 'parking', 'local', 'nice', 'find', 'special', 'be', 'outside', 'blue', 'reasonable', 'difficult', 'use', 'bad', 'do', 'alongside']"
Hotel Trianon Rive Gauche,"['absolute', 'available', 'small', 'free', 'public', 'own']"
Pullman Paris Centre Bercy,"['much', 'nice', 'do', 'small', 'high', 'nearby', 'free', 'expensive', 'be', 'public', 'limited']"
Hotel L Antoine,['close']
Knightsbridge Hotel,['noisy']
The London EDITION,"['suspicious', 'available', 'late', 'get', 'impressed', 'move', 'put']"
The Cranley Hotel,"['else', 'unwelcome', 'arrival', 'much', 'human', 'chinese', 'jump', 'struggle', 'let', 'assume', 'first', 'warm', 'ask', 'devoid', 'arrive', 'luke', 'beautiful', 'inclusive', 'second', 'additional']"
Hotel Tour d Auvergne Opera,"['total', 'available', 'check', 'slow', 'unreliable']"
Holiday Inn Paris Montparnasse Pasteur,"['be', 'maximum', 'slow', 'measure']"
Pullman London St Pancras,"['available', 'many', 'limited', 'hot', 'much', 'think', 'wasn', 'following', 'give', 'park', 'friendly', 'main', 'sweet', 'local', 'tired', 'argue', 'be', 'uncomfortable', 'overnight', 'unsympathetic', 'horrible', 'print', 'rental', 'bad', 'possible', 'brilliant', 'sum', 'efficient', 'ready', 'professional']"
Ace Hotel London Shoreditch,"['little', 'low', 'trendy', 'central', 'cool', 'loud']"
The Grosvenor,"['great', 'hard', 'unclear', 'fair', 'rubbish', 'extra', 'sparking', 'disabled', 'ok', 'go', 'chinese', 'find', 'be', 'indicate', 't', 'carpark', 'tiny', 'few', 'unhelpful', 'operate']"
Le Parisis Paris Tour Eiffel,"['quiet', 'such', 'small', 'high', 'see', 'visible', 'extra', 'big', 'much', 'wasn', 's', 'old', 'expensive', 'helpful', 'give', 'oh', 'park', 'call', 'open', 'clear', 'feel', '2nd', 'young', 'narrow', 'few', 'take', 'beautiful', 'reserve', 'secure']"
Hilton Paris Opera,[]
Shepherd s Bush Boutique Hotel,"['double', 'good', 'available', 'hard', 'have', 'small', 'such', 'minimal', 'hot', 'much', 'pull', 'unload', 'expect', 'continental', 'cupboard', 'right', 'helpful', 'convenient', 'below', 'cold', 'park', 'show', 'main', 'official', 'open', 'ridiculous', 'nice', 'find', 'disappointing', 'fabulous', 'assist', 'be', 'didn', 'next', 'horrible', 'difficult', 'fresh', 'sat', 't', 'ask', 'do', 'full', 'take', 'tea', 'website']"
H tel Chaplain Paris Rive Gauche,"['hidden', 'small']"
H tel Duo,"['nice', 'go', 'be', 'historic', 'impossible']"
The Rembrandt,"['large', 'local', 'perfect', 'short', 'expensive', 'chose', 'recommended']"
Best Western Premier Marais Grands Boulevards,[]
Park International Hotel,"['new', 'seasonal', 'available', 'have', 'festive', 'be']"
Millennium Hotel Paris Opera,"['poor', 'get', 'non', 'be', 'second', 'difficult']"
Batty Langley s,"['be', 'email', 'enjoy', 'website']"
H tel Square Louvois,['available']
Ambassadors Bloomsbury,"['drop', 'pull']"
Le 123 S bastopol Astotel,"['pricey', 'nearby']"
Best Western Mercedes Arc de Triomphe,"['good', 'close', 'modern', 'enough', 'stay', 'arc']"
L H tel,"['little', 'room', 'small', 'drop', 'classy']"
Maxim Op ra,"['large', 'other', 'initial', 'accommodate', 'adjacent', 'only', 'believe', 'watch', 'full', 'next', 'numerous', 'basic', 'remote', 'second', 'reserve', 'first']"
Le Marceau Bastille,"['t', 'arrival', 'find', 'possible', 'look', 'public', 'use']"
Mercure London Bloomsbury Hotel,"['drive', 'available', 'wasn', 'have', 'expensive', 'best', 'opposite']"
Radisson Blu Edwardian Grafton,"['available', 'ridiculous', 'underground', 'whole', 'get', 'real', 'check', 'helpful', 'convenient', 'cheap', 'restaurant']"
Park Grand London Lancaster Gate,"['tricky', 'circulate', 'small', 'put', 'difficult', 'etc', 'complex']"
Hotel Op ra Richepanse,"['hard', 'find']"
Hotel Indigo London Tower Hill,"['available', 'public']"
Mercure London Paddington Hotel,[]
