Hotel_Name,Descriptions
InterContinental London Park Lane,"['t', 'poor', 'good', 'say', 'special', 'be', 'enough', 'particular', 'tight']"
Hotel Scribe Paris Opera by Sofitel,[]
Hotel des Tuileries Relais du Silence,"['overall', 'double', 'hear', 'dirty', 'little', 'poor', 'further', 'terrible', 'damp', 'hard', 'find', 'insect', 'be', 'cosy', 'move', 'inedible']"
The Park Tower Knightsbridge a Luxury Collection Hotel,"['hear', 'cramped', 'poor', 'unsupervised', 'chaos', 'be', 'next', 'slow']"
H tel Chaplain Paris Rive Gauche,"['large', 'poor', 'quiet', 'fine', 'huge']"
Hotel La Lanterne,"['new', 'good', 'tiny', 'be', 'next', 'spend', 'shoe']"
H tel Square Louvois,"['great', 't', 'hot', 'helpful']"
Sofitel Paris Arc De Triomphe,"['tiny', 'bad', 'micro', 'limited']"
London Marriott Hotel Park Lane,"['overall', 'consider', 'other', 'similar', 'meet', 'high', 'same']"
The Pelham Starhotels Collezione,"['double', 'return', 'much', 'normal', 'get', 'go', 'be', 'didn', 'next', 'spacious', 'single']"
The Montague On The Gardens,"['eat', 'much', 'say', 'clean', 'everyday', 'small', 'expensive', 'same', 'fresh']"
Ritz Paris,[]
Sofitel Paris Le Faubourg,[]
Best Western Premier Le Swann,"['basic', 'small']"
Villa Eugenie,"['much', 'appropriate', 'old']"
Hotel Le Pera,[]
Best Western Paris Gare Saint Lazare,"['recommend', 'formal', 'have', 'passable', 'obvious', 'big', 'much', 'further', 'dangerous', 'old', 'go', 'same', 'reach', 'heavy', 'round', 'deal', 'own', 'cheap', 'converted', 'poor', 'remove', 'jump', 'find', 'be', 'outside', 'make', 'carry', 'difficult', 'consider', 'narrow', 'ground', 'remain', 'get', 'central', 'take', 'full', 'elderly', 'spiral']"
InterContinental Paris Le Grand,[]
H tel Le M,"['broken', 'see']"
The Abbey Court Notting Hill,"['comfortable', 'low', 'open', 'warm', 'good', 'nice', 'perfect', 'classic', 'have', 'high', 'help', 'ok', 'be', 'present', 'sure', 'fine', 'average']"
Seven Hotel,"['great', 'busy', 'recommend', 'beautiful']"
H tel Brighton Esprit de France,"['appalling', 'previous', 'have', 'review']"
Hotel Opera Cadet,"['small', 'outstanding', 'parisian']"
Hotel Atmospheres,"['great', 'hard', 'many', 'uncomfortable', 'move']"
H tel Bourgogne Montana by MH,['small']
Holiday Inn Paris Op ra Grands Boulevards,['small']
ME London by Melia,"['stay', 'horrible', 'perfect']"
Mercure Paris Porte De Versailles Expo,"['fixed', 'get', 'uncomfortable', 'ask']"
Grand H tel Du Palais Royal,"['laughable', 'simple', 'small', 'poor']"
Best Western Aulivia Op ra,"['be', 't', 'bright']"
Renaissance Paris Vendome Hotel,[]
H tel Concorde Montparnasse,"['dark', 'close', 'free', 'next', 'fair', 'hv']"
Suites H tel Helzear Montparnasse,['exceptional']
Renaissance Paris Republique Hotel Spa,"['little', 'bad']"
H tel de Varenne,"['ready', 'small', 'normal']"
The Zetter Townhouse Clerkenwell,['nice']
Sanderson A Morgans Hotel,"['call', 'low', 'read', 'speak', 'use']"
Hotel Royal Elys es,[]
Balmoral Champs Elys es,[]
Nell Hotel Suites,"['spacious', 'second']"
InterContinental Paris Avenue Marceau,"['poor', 'have', 'anniversary', 'be', 'sit', 'superior', 'chipboard']"
H tel Bel Ami,['poor']
Melia Paris Notre Dame,"['overall', 'dreadful', 'much', 't', 'russian', 'terrible', 'have', 'stay', 'big']"
Paris Marriott Champs Elysees Hotel,[]
Hotel Verneuil Saint Germain,"['know', 'last', 'fit', 'open', 't', 'lovely', 'poor', 'tiny', 'work', 'small', 'correct', 'complementary', 'com', 'c', 'nespresso']"
Pillows Anna van den Vondel Amsterdam,['expansive']
Novotel Barcelona City,"['good', 'have', 'small', 'hot', 'lucky', 'cooked', 'thin', 'euro', 'cold', 'perfect', 'poor', 'unfriendly', 'shook', 'inedible', 'difficult', 'burn', 'early', 'hunt', 'com']"
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,"['last', 'go', 'assist', 'enough', 'spoken']"
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,[]
The Mirror Barcelona,"['total', 't', 'next', 'cold', 'cheap']"
Mercure Wien Zentrum,"['toilet', 'middle']"
H10 Casanova,"['call', 'unpleasant', 'new', 'perfect', 'non', 'change', 'first']"
InterContinental Wien,"['large', 'poor', 'cooked', 'tiny', 'have', 'free', 'old', 'be', 'pay', 'euro', 'cold', 'fresh', 'unacceptable']"
Hotel Bristol A Luxury Collection Hotel,"['be', 'secluded', 'austrian', 'additional']"
Hotel Imperial A Luxury Collection Hotel,['justify']
Grand Hotel Wien,"['expensive', 'find']"
The Level at Melia Barcelona Sky,['center']
Alexandra Barcelona A DoubleTree by Hilton,['poor']
Alma Barcelona GL,"['basic', 'inclusive', 'have', 'nice']"
Hotel Arts Barcelona,"['little', 'hidden', 'terrible', 'quiet', 'have', 'small', 'modern', 'general', 'important', 'compete', 'offer', 'wait', 'much', 'whisper', 'go', 'expensive', 'enough', 'reach', 'complimentary', 'own', 'sunbeds', 'enjoy', 'friendly', 'call', 'leave', 'poor', 'different', 'special', 'be', 'cart', 'uncomfortable', 'bad', 'young', 'tiny', 'unnecessary', 'take', 'outrageous', 'ready', 'social']"
Pakat Suites Hotel,"['main', 'european', 'famous', 'good']"
Ham Yard Hotel,"['bad', 'small', 'proper', 'poor']"
Hotel Grums Barcelona,"['local', 't', 'nice', 'view', 'homeless', 'have', 'small', 'high', 'full', 'take', 'next', 'walk', 'happy', 'black', 'awfull', 'rised']"
Grosvenor House A JW Marriott Hotel,"['good', 'vegetarian', 'table', 'have', 'small', 'high', 'ok', 'enough', 'complimentary', 'single', 'leave', 'poor', 'other', 'work', 'overhead', 'anniversary', 'free', 'find', 'be', 'feel', 'uncomfortable', 'portable', 'kettle', 'soft', 'red', 'get', 'basic']"
Mandarin Oriental Barcelona,"['extra', 'learn', 'free', 'pay']"
Hotel Midmost,['many']
Hotel DO Pla a Reial G L ,"['total', 'hear', 'acceptable', 'poor', 'natural', 'tiny', 'expensive', 'right', 'noisy', 'next']"
Andaz Amsterdam Prinsengracht A Hyatt Hotel,"['open', 'good', 'recommend', 'hadn', 'small', 'find', 'didn', 'pleasant', 'unprofessional', 'first', 'difficult', 'cupboard']"
NH Collection Barcelona Gran Hotel Calder n,"['steep', 't', 'small', 'whole', 'see', 'expensive', 'european', 'be', 'didn', 'peek', 'impressive']"
The College Hotel,"['great', 'good', 'short', 'expensive', 'many', 'basic']"
Evenia Rossello,"['be', 'enjoy']"
Hotel Neri,['touristy']
Hyatt Regency Amsterdam,"['expensive', 'daylight', 'top']"
Hotel Royal,"['fantastic', 'be', 'bad']"
The Savoy,[]
The May Fair Hotel,"['poor', 'old']"
UNA Hotel Cusani,"['double', 'recommend', 'available', 'future', 'exorbitant', 'classic', 'free', 'wifi', 'attic']"
Hotel Pierre Milano,[]
Admiral Hotel,"['old', 'poor']"
Hotel Magna Pars Small Luxury Hotels of the World,"['overall', 'valuable', 'good', 'nice', 'small', 'modern', 'real', 'be', 'miss']"
Four Points Sheraton Milan Center,"['small', 'poor']"
Hotel Boutique Duomo,"['adjust', 'hot']"
Armani Hotel Milano,['be']
Sina The Gray,"['top', 'equal', 'small', 'worth', 'bot', 'move', 'outiide']"
Antica Locanda Dei Mercanti,"['expensive', 'litlle']"
The Berkeley,"['pneumatic', 'high', 'o']"
