Hotel_Name,Descriptions
Kube Hotel Ice Bar,"['last', 'do', 'make', 'sub', 'due']"
One Aldwych,"['be', 'free']"
Splendid Etoile,"['t', 'poor', 'weak', 'able', 'have', 'laptop', 'get', 'be', 'stay', 'entire', 'limited', 'keep']"
InterContinental London Park Lane,"['little', 'great', 't', 'poor', 'have', 'free', 'get']"
H tel De Vend me,"['bad', 't', 'terrible', 'few', 'get', 'old', 'right', 'didn', 'connect', 'below', 'child']"
Hotel Scribe Paris Opera by Sofitel,"['little', 'post', 'hard', 'strong', 'high', 'small', 'stay', 'superior', 'outdated', 'offer', 'know', 'able', 'wifi', 'free', 'be', 'slow', 'let', 'overall', '60th', 'tiny', 'tedious', 'possible', 'calculate', 'minor']"
Mercure Paris Tour Eiffel Pont Mirabeau,"['dirty', 'ideal', 'bad', 'hot', 't', 'available', 'other', 'high', 'nearby', 'go', 'wifi', 'horrible', 'keep']"
Novotel London Tower Bridge,"['give', 'get']"
Atala Champs Elys es,['unavailable']
Holiday Inn Paris Montparnasse Pasteur,['english']
H tel Keppler,"['slow', 'say', 't']"
W London Leicester Square,"['bad', 'poor', 'want', 'terrible', 'hotel', 'have', 'free', 'get', 'be', 'pay', 'ill', 'practical', 'avaible', 'care']"
The Victoria,"['weak', 'lovely', 'only', 'be', 'fine', 'walk', 'big']"
The Park Tower Knightsbridge a Luxury Collection Hotel,"['broken', 'hear', 'available', 'avalible', 'uk', 'have', 'fulfill', 'high', 'check', 'offer', 'wait', 'much', 'psy', 'fare', 'ambiguous', 'able', 'late', 'expect', 'improve', 'expensive', 'executive', 'give', 'helpful', 'proper', 'complimentary', 'convenient', 'cheap', 'call', 'other', 'nice', 'free', 'standard', 'be', 'outside', 'next', 'pay', 'spend', 'slow', 'horrible', 'bad', 'early', 't', 'get', 'full', 'noisy', 'busy', 'ready', 'certain', 'confirm', 'start']"
Melia Paris Champs Elys es,['last']
Holiday Inn London Stratford City,"['charitable', 'ing', 'have', 'high', 'pleasant', 'limited', 'adequate', 'tricky', 'low', 'crazy', 'expensive', 'frequent', 'sufficient', 'wifi', 'miss', 'impossible', 'several', 'new', 'tired', 'poor', 'nice', 'work', 'planned', 'free', 'find', 'stressful', 'isn', 'prohibitive', 'be', 'make', 'juggle', 'slow', 'difficult', 'ruined', 'use', 'fast', 'persevere', 't', 'do', 'get', 'put', 'online', 'resolve', 'first']"
H tel Diva Opera,"['little', 'unstable', 'weak', 'normal', 'have', 'such', 'small', 'help', 'only', 'strong', 'fault', 'tasteful', 'unprofessional', 'offer', 'stop', 'hot', 'say', 'able', 'complete', 'ok', 'go', 'expensive', 'give', 'proper', 'like', 'convenient', 'clean', 'poor', 'typical', 'work', 'be', 'next', 'long', 'aware', 'slow', 'unreliable', 'triple', 'overall', 'bad', 'soft', 't', 'warm', 'claustrophobic', 'do', 'super', 'tiny', 'get', 'noisy', 'disconnect', 'first']"
Hotel Eden,"['unstable', 'log', 'terrible', 'have', 'small', 'connect', 'wifi', 'try', 'nice', 'work', 'sign', 'be', 'make', 'didn', 'pay', 'difficult', 'use', 'ask', 'get', 'reset', 'minor', 'login', 'fine', 'hang', 'twin']"
Best Western Premier Marais Grands Boulevards,"['bad', 'think', 't', 'refresh', 'poor', 'small', 'only', 'old', 'pointy', 'sharp', 'connect', 'slow']"
