Hotel_Name,Descriptions
K K Hotel George,"['wonderful', 'big', 'adequate', 'quiet', 'fantastic', 'comfortable', 'extra', 'great', 'super', 'safer', 'friendly', 'polite', 'excellent', 'nice', 'few', 'fine', 'underground', 'large', 'small', 'useful', 'clean', 'helpful', 'good', 'easy', 'tiny', 't']"
Apex Temple Court Hotel,"['delicious', 'amazing', 'big', 'i', 'fair', 'quiet', 'spacious', 'comfortable', 'able', 'great', 'super', 'friendly', 'efficient', 'modern', 'only', 'overall', 'breakfast', 'fabulous', 'nice', 'minor', 'most', 'important', 'light', 'beautiful', 'little', 'lovely', 'welcome', 'large', 'pleasant', 'central', 'clean', 'helpful', 'spaciious', 'london', 'good', 'main', 'shower']"
The Park Grand London Paddington,"['delicious', 'big', 'express', 'bed', 'sized', 'quiet', 'spacious', 'comfortable', 'great', 'friendly', 'fast', 'modern', 'smiley', 'free', 'nice', 'tube', 'soooo', 'clean', 'helpful', 'internet', 'good', 'indian', 'easy']"
The Principal London,"['comfy', 'warm', 'old', 'helpfull', 'quiet', 'grand', 'comfortable', 'next', 'great', 'friendly', 'excellent', 'nice', 'bad', 'beautiful', 'lovely', 'small', 'pleasant', 'clean', 'helpful', 'london', 'good', 'fresh', 'undergound', 'exceptional']"
Park Plaza County Hall London,"['waterloo', 'previous', 'third', 'gossip', 'warm', 'handy', 'old', 'sized', 'fantastic', 'comfortable', 'great', 'super', 'friendly', 'close', 'polite', 'ideal', 'excellent', 'amply', 'n', 'various', 'huge', 'nice', 'few', 'sufficient', 'decent', 'white', 'beautiful', 'dust', 'lovely', 'central', 'clean', 'cooperative', 'london', 'good', 'didn', 'south', 't', 'luckily']"
Splendid Etoile,"['superb', 'excellent', 'main', 'clean', 'super', 'friendly']"
Hotel Trianon Rive Gauche,"['clean', 'quiet', 'comfortable']"
InterContinental London Park Lane,"['green', 'underground', 'good', 'very', 'marble', 'exellent', 'luxurious', 'main', 'comfortable', 'next', 'available', 'oxford', 'clean', 'reasonable', 'friendly']"
Grand Royale London Hyde Park,"['early', 'handy', 'full', 'professional', 'fantastic', 'bigger', 'comfortable', 'great', 'super', 'attentive', 'reasonable', 'friendly', 'hyde', 'park', 'closest', 'modern', 'overall', 'excellent', 'fabulous', 'free', 'nice', 'opposite', 'decent', 'tube', 'bath', 'theatre', 'fine', 'botique', 'beautiful', 'little', 'underground', 'lovely', 'small', 'local', 'central', 'clean', 'langtree', 'helpful', 'tidy', 'hot', 'queensway', 'london', 'superb', 'complimentary', 'good', 'safe', 'immaculately', 'easy', 'perfect', 'visit', 'tubes', 'negative', 'double', 'natural', 'exceptional', 'cozy']"
Milestone Hotel Kensington,"['beautiful', 'amazing', 'whole', 'nice', 'sure', 'clean', 'great', 'exceptional', 'friendly']"
