Hotel_Name,Descriptions
Hotel Arena,"['amazing', 'big', 'full', 'quiet', 'fantastic', 'comfortable', 'next', 'largest', 'great', 'chic', 'friendly', 'classy', 'heineken', 'polite', 'artsy', 'huge', 'nice', 'available', 'better', 'light', 'cool', 'red', 'beautiful', 'immediate', 'small', 'local', 'pleasant', 'door', 'clean', 'helpful', 'tidy', 'good', 'easy', 'double', 'hectic']"
K K Hotel George,"['absolute', 'smart', 'usual', 'classic', 'big', 'higher', 'adequate', 'early', 'warm', 'sleep', 'travel', 'quiet', 'superior', 'comfortable', 'extra', 'open', 'next', 'atmosphere', 'great', 's', 'relaxing', 'friendly', 'convenient', 'polite', 'quite', 'modern', 'lit', 'excellent', 'granite', 'cafes', 'direct', 'nice', 'few', 'disappointed', 'earls', 'most', 'important', 'earl', 'beautiful', 'little', 'lower', 'inside', 'underfloor', 'lovely', 'small', 'non', 'english', 'relax', 'central', 'clean', 'helpful', 'linen', 'london', 'safe', 'good', 'plenty', 'different', 'perfect', 'other', 'short', 'shower', 'powerful']"
Apex Temple Court Hotel,"['smart', 'wonderful', 'comfy', 'new', 'all', 'big', 'amazing', 'satellite', 'deep', 'delicious', 'sized', 'suite', 'fair', 'wide', 'high', 'quiet', 'tasty', 'comfortable', 'spacious', 'open', 'amenable', 'next', 'great', 'super', 'friendly', 'possible', 'efficient', 'modern', 'due', 'only', 'overall', 'excellent', 'breakfast', 'free', 'housekeeping', 'more', 'fabulous', 'huge', 'nice', 'minor', 'luxurious', 'most', 'requested', 'theatre', 'spotless', 'large', 'lovely', 'much', 'pleasant', 'small', 'central', 'clean', 'enjoyable', 'helpful', 'hot', 'street', 'public', 'special', 'good', 'covent', 'tea', 'perfect', 'noisy', 'easy', 'other', 'main', 'short', 'shower', 'practical', 'separate']"
Monhotel Lounge SPA,"['pro', 'active', 'close', 'faux', 'restful', 'modern', 'excellent', 'good', 'quiet', 'comfortable', 'great', 'attentive', 'friendly']"
Splendid Etoile,"['polite', 'overall', 'excellent', 'much', 'easy', 'whole', 'quiet', 'fantastic', 'main', 'comfortable', 'nice', 'friendly', 'central', 'clean', 'available', 'confortable', 'helpful']"
Hotel Trianon Rive Gauche,"['wonderful', 'old', 'quiet', 'comfortable', 'great', 'friendly', 'fun', 'more', 'paris', 'nice', 'fine', 'cool', 'beautiful', 'necessary', 'large', 'small', 'clean', 'hot', 'right', 'tiny', 'fresh', 'french']"
InterContinental London Park Lane,"['green', 'underground', 'excellent', 'marble', 'exellent', 'luxurious', 'main', 'comfortable', 'next', 'available', 'oxford', 'clean', 'friendly']"
Novotel Suites Paris Nord 18 me,"['clean', 'safe', 'comfortable', 'modern']"
Milestone Hotel Kensington,"['outstanding', 'comfortable']"
Crowne Plaza London Kings Cross,"['busy', 'holiday', 'new', 'lavish', 'i', 'presented', 'bed', 'signal', 'quiet', 'professional', 'spacious', 'comfortable', 'best', 'great', 'friendly', 'front', 'd', 'modern', 'excellent', 'fabulous', 'more', 'free', 'whole', 'nice', 'strong', 'firm', 'welcoming', 'distant', 'self', 'welcome', 'small', 'large', 'pleasant', 'late', 'wait', 'lovely', 'english', 'bus', 'clean', 'helpful', 'right', 'brilliant', 'good', 'perfect', 'overnight', 'such', 'wifi', 'standard']"
Select Hotel,"['wonderful', 'delicious', 'charming', 'top', 'warm', 'old', 'many', 'smaller', 'fair', 'quiet', 're', 'comfortable', 'next', 'open', 'fussy', 'great', 'friendly', 'close', 'modern', 'ideal', 'excellent', 'happy', 'huge', 'nice', 'ready', 'latin', 'luxurious', 'fine', 'beautiful', 'major', 'gorgeous', 'small', 'cellar', 'central', 'clean', 'helpful', 'london', 'right', 'good', 'neat', 'perfect', 'easy', 'other', 'shower', 't', 'calm']"
Pullman Paris Centre Bercy,"['hot', 'modern', 'excellent', 'large', 'spacious', 'comfortable', 'extra', 'entire', 'largest', 'great']"
Hotel Panache,['comfortable']
H tel des Ducs D Anjou,"['excellent', 'good', 'small', 'quick', 'bed', 'comfortable', 'outstanding', 'friendly']"
Hotel Scribe Paris Opera by Sofitel,"['excellent', 'large', 'bed', 'professional', 'comfortable', 'friendly']"
