Hotel_Name,Descriptions
Hotel Arena,"['usual', 'comfy', 'big', 'i', 'quiet', 'high', 'stylish', 'spacious', 'comfortable', 'next', 'great', 'awful', 'chic', 'relaxing', 'friendly', 'modern', 'overall', 'excellent', 'quick', 'free', 'fabulous', 'artsy', 'few', 'nice', 'beautiful', 'lovely', 'much', 'unusual', 'pleasant', 'door', 'central', 'clean', 'continental', 'helpful', 'public', 'good', 'enough', 'main']"
K K Hotel George,"['absolute', 'smart', 'last', 'delicious', 'quiet', 'fantastic', 'comfortable', 'extra', 'next', 'atmosphere', 'great', 's', 'u', 'friendly', 'minute', 'close', 'convenient', 'modern', 'excellent', 'nice', 'earls', 'beautiful', 'underfloor', 'underground', 'central', 'clean', 'helpful', 'safe', 'good', 'perfect', 'easy', 'shower', 'powerful']"
Apex Temple Court Hotel,"['smart', 'busy', 'reliable', 'extreme', 'big', 'end', 'i', 'warm', 'old', 'stayed', 'full', 'quiet', 'high', 'approachable', 'historic', 'comfortable', 'spacious', 'extra', 'nye', 'able', 'great', 'fantastic', 'reasonable', 'friendly', 'efficient', 'polite', 'modern', 'excellent', 'more', 'quick', 'nice', 'type', 'fourth', 'ready', 'luxurious', 'interior', 'tube', 'better', 'considerate', 'theatre', 'important', 'beautiful', 'bar', 'large', 'lovely', 'much', 'small', 'decor', 'knowledgeable', 'fab', 'first', 'clean', 'helpful', 'willing', 'cheerful', 'good', 'covent', 'neat', 'perfect', 'different', 'easy', 'short', 'equipped', 'inner', 'fleet', 'bonus']"
The Park Grand London Paddington,"['quiet', 'fantastic', 'bigger', 'comfortable', 'extra', 'paddington', 'friendly', 'fitted', 'excellent', 'wet', 'gorgeous', 'lancaster', 'small', 'central', 'helpful', 'hot', 'boutique', 'wi', 'complimentary', 'international', 'short', 'equipped', 'fresh', 'usual', 'comfy', 'amazing', 'i', 'warm', 'dental', 'queen', 'fast', 'free', 'upmarket', 'soy', 'lower', 'much', 'affordable', 'first', 'internet', 'upgraded', 'accessible', 'brilliant', 'indian', 'lebanese', 'sure', 'enjoyable', 'neighboring', 'technical', 'big', 'comy', 'stylish', 'grand', 'park', 'nice', 'decent', 'italian', 'most', 'splendid', 'hotel', 'white', 'welcoming', 'beautiful', 'little', 'clean', 'willing', 'public', 'special', 'rooom', 'safe', 'easy', 'left', 'such', 'shower', 't', 'wish', 'smart', 'restaurant', 'tired', 'window', 'spacious', 'best', 'great', 'reasonable', 'modern', 'due', 'overall', 'huge', 'nicer', 'tidy', 'london', 'good', 'national', 'perfect', 'different']"
The Principal London,"['sized', 'helpfull', 'quiet', 'fantastic', 'comfortable', 'super', 'friendly', 'centre', 'efficient', 'excellent', 'fabulous', 'fine', 'multi', 'gorgeous', 'small', 'central', 'friday', 'helpful', 'complimentary', 'main', 'short', 'double', 'busy', 'amazing', 'sumptuous', 'touristic', 'nearby', 'superior', 'attentive', 'free', 'interior', 'british', 'junior', 'older', 'affordable', 'first', 'impressive', 'comtable', 'right', 'superb', 'brilliant', 'architecture', 'general', 'wonderful', 'big', 'old', 'overlooked', 'twin', 'grand', 'close', 'exterior', 'convenient', 'euston', 'happy', 'nice', 'splendid', 'beautiful', 'large', 'iconic', 'marble', 'clean', 'west', 'easy', 'shower', 'location', 'cheap', 'very', 'real', 'high', 'historic', 'spacious', 'great', 'reasonable', 'relaxing', 'eager', 'overall', 'traditional', 'requested', 'beautifull', 'london', 'good', 'national', 'perfect', 'undergound']"
Park Plaza County Hall London,"['waterloo', 'busy', 'wonderful', 'i', 'warm', 'nearby', 'sized', 'birthday', 'quiet', 'fantastic', 'professional', 'comfortable', 'extra', 'spacious', 'able', 'awesome', 'great', 'super', 'friendly', 'closest', 'efficient', 'convenient', 'polite', 'modern', 'excellent', 'long', 'free', 'fabulous', 'happy', 'more', 'nice', 'better', 'italian', 'c', 'spectacular', 'confortable', 'interior', 'beautiful', 'elemis', 'little', 'child', 'underground', 'lovely', 'soft', 'much', 'pleasant', 'nicer', 'large', 'english', 'first', 'clean', 'spa', 'second', 'central', 'helpful', 'tidy', 'lucky', 'special', 'superb', 'sauna', 'good', 'perfect', 'south', 'easy', 'other', 'main', 'such', 'round', 't', 'whole', 'double', 'card', 'expensive']"
One Aldwych,"['little', 'excellent', 'professional', 'nice', 'extra', 'great', 'friendly']"
Splendid Etoile,"['beautiful', 'amazing', 'clean', 'overall', 'good', 'early', 'welcome', 'bad', 'great', 'friendly', 'tidy']"
Hotel Trianon Rive Gauche,"['big', 'many', 'early', 'rich', 'quiet', 'fantastic', 'comfortable', 'great', 'friendly', 'excellent', 'happy', 'decent', 'beautiful', 'much', 'late', 'clean', 'second', 'luxembourg', 'helpful', 'good', 'perfect']"
InterContinental London Park Lane,"['comfy', 'flower', 'exellent', 'fantastic', 'comfortable', 'next', 'great', 'friendly', 'excellent', 'quick', 'nice', 'oxford', 'available', 'luxurious', 'italian', 'beautiful', 'gorgeous', 'underground', 'marble', 'first', 'clean', 'good', 'main', 'green']"
