Hotel_Name,Descriptions
Hotel Arena,"['big', 'old', 'high', 'historic', 'comfortable', 'great', 'friendly', 'polite', 'modern', 'fabulous', 'free', 'nice', 'beautiful', 'major', 'lovely', 'unusual', 'door', 'stunning', 'willing', 'good', 'brilliant', 'gothic', 'easy']"
K K Hotel George,"['usual', 'wonderful', 'quiet', 'comfortable', 'ok', 's', 'great', 'reasonable', 'friendly', 'close', 'convenient', 'excellent', 'more', 'nice', 'conscientious', 'available', 'earls', 'bad', 'basic', 'beautiful', 'underground', 'small', 'much', 'pleasant', 'hard', 'clean', 'helpful', 'hot', 'london', 'private', 'residential', 'good', 'noisy', 'easy', 'short', 'expensive']"
Apex Temple Court Hotel,"['smart', 'delicious', 'big', 'near', 'warm', 'attentative', 'old', 'quiet', 'stylish', 'fantastic', 'spacious', 'comfortable', 'extra', 'atmosphere', 'nespresso', 'great', 'friendly', 'marvelous', 'modern', 'polite', 'smiley', 'overall', 'excellent', 'long', 'respectful', 'more', 'housekeeping', 'paul', 'nice', 'oxford', 'decent', 'interior', 'large', 'small', 'pleasant', 'decor', 'clean', 'second', 'helpful', 'public', 'london', 'west', 'good', 'covent', 'shard', 't', 'atmospheric']"
The Park Grand London Paddington,"['restaurant', 'copious', 'tired', 'friendy', 'comfy', 'i', 'early', 'pubs', 'quiet', 'professional', 'fantastic', 'spacious', 'comfortable', 'able', 'next', 'extra', 'triple', 'great', 'paddington', 'u', 'relaxing', 'friendly', 'station', 'park', 'reasonable', 'awesome', 'efficient', 'polite', 'modern', 'eager', 'several', 'overall', 'excellent', 'free', 'more', 'peaceful', 'nice', 'closer', 'decent', 'british', 'welcoming', 'roomy', 'little', 'comfotable', 'child', 'underground', 'lancaster', 'lovely', 'small', 'local', 'affordable', 'central', 'clean', 'first', 'proper', 'helpful', 'bathroom', 'mobile', 'london', 'upgraded', 'cafe', 'rooom', 'good', 'perfect', 'easy', 'other', 'main', 'short']"
Monhotel Lounge SPA,"['modern', 'good', 'confortable', 'stylish', 'comfortable', 'best', 'attentive', 'helpful']"
The Principal London,"['offer', 'outside', 'comfy', 'big', 'classic', 'top', 'old', 'sized', 'quiet', 'fantastic', 'grand', 'comfortable', 'next', 'historic', 'spacious', 'great', 'incl', 'friendly', 'several', 'excellent', 'free', 'traditional', 'nice', 'interesting', 'essential', 'tube', 'british', 'beautiful', 'little', 'underground', 'large', 'small', 'local', 'pleasant', 'stunning', 'central', 'clean', 'victorian', 'helpful', 'steep', 'impressive', 'heritage', 'right', 'west', 'good', 'covent', 'national', 'easy', 'enjoyable']"
Park Plaza County Hall London,"['waterloo', 'smart', 'wonderful', 'big', 'top', 'many', 'superior', 'quiet', 'professional', 'spacious', 'key', 'comfortable', 'great', 'friendly', 'efficient', 'flexible', 'polite', 'modern', 'due', 'excellent', 'free', 'happy', 'quick', 'huge', 'nice', 'ready', 'better', 'italian', 'spectacular', 'warmful', 'beautiful', 'little', 'vibey', 'shrek', 'large', 'small', 'much', 'pleasant', 'tourist', 'lovely', 'nest', 'central', 'clean', 'helpful', 'tidy', 'cheese', 'storing', 'sight', 'right', 'special', 'good', 'obliging', 'perfect', 'easy', 'tubes', 'short', 'luckily', 'separate', 'expensive']"
One Aldwych,"['helpful', 'prompt', 'good', 'old', 'free', 'quiet', 'nice', 'spacious', 'comfortable', 'clean', 'anniversary', 'friendly']"
Splendid Etoile,"['close', 'good', 'local', 'easy', 'clean', 'great', 'friendly']"
Hotel Trianon Rive Gauche,"['asian', 'upgrade', 'less', 'everyday', 'top', 'quiet', 'comfortable', 'awesome', 'bueatiful', 'st', 'cathedral', 'antique', 'excellent', 'dame', 'more', 'direct', 'nice', 'opposite', 'decent', 'better', 'latin', 'most', 'major', 'notre', 'local', 'small', 'late', 'affordable', 'helpful', 'internet', 'safe', 'good', 'au', 'noisy', 'main', 'short']"
InterContinental London Park Lane,"['nice', 'excellent', 'good', 'polite']"
Novotel Suites Paris Nord 18 me,"['good', 'many']"
Grand Royale London Hyde Park,"['less', 'classic', 'many', 'quiet', 'bigger', 'comfortable', 'gergian', 'next', 'friendly', 'electrical', 'excellent', 'direct', 'few', 'fine', 'average', 'small', 'welcome', 'pleasant', 'relax', 'central', 'helpful', 'hot', 'typical', 'tubes', 'overnight', 'main', 'short', 'equipped', 'fresh', 'julian', 'alternative', 'comfy', 'fair', 'superior', 'quiete', 'attentive', 'breakfast', 'free', 'hill', 'wooden', 'theatre', 'much', 'local', 'character', 'delightful', 'portobello', 'subtle', 'worth', 'impressive', 'ornate', 'residential', 'unhelpful', 'tea', 'natural', 'burst', 'big', 'adequate', 'old', 'professional', 'grand', 'close', 'front', 'polite', 'nice', 'stay', 'decent', 'better', 'courteous', 'beautiful', 'major', 'little', 'underground', 'initial', 'large', 'clean', 'victorian', 'immaculate', 'safe', 'easy', 'web', 'edwardian', 'such', 'common', 'smallish', 'top', 'early', 'real', 'open', 'great', 'hyde', 'historical', 'modern', 'due', 'peaceful', 'traditional', 'tube', 'pleased', 'lovely', 'non', 'fab', 'ground', 'tidy', 'london', 'good', 'different', 'wifi']"
Crowne Plaza London Kings Cross,"['usual', 'new', 'big', 'i', 'warm', 'early', 'cereal', 'full', 'quiet', 'spacious', 'comfortable', 'unlimited', 'great', 'reasonable', 'friendly', 'close', 'convenient', 'polite', 'excellent', 'accessed', 'nice', 'available', 'wouldn', 'oyster', 'lovely', 'small', 'english', 'first', 'clean', 'central', 'helpful', 'public', 'west', 'good', 'refurbished', 'cooked', 'whole']"
Select Hotel,"['early', 'sized', 'helpfull', 'quiet', 'comfortable', 'able', 'extra', 'great', 'friendly', 'modern', 'normal', 'excellent', 'nice', 'fine', 'beautiful', 'small', 'clean', 'helpful', 'good', 'perfect', 'sure', 'french']"
H tel De Vend me,"['amazing', 'charming', 'overall', 'good', 'large', 'nice', 'comfortable', 'clean', 'great', 'friendly']"
Pullman Paris Centre Bercy,"['complete', 'comfy', 'high', 'comfortable', 'great', 'chic', 'friendly', 'polite', 'electronic', 'excellent', 'nice', 'multilingual', 'extensive', 'important', 'bottled', 'large', 'outdoor', 'daily', 'clean', 'helpful', 'hot', 'cold', 'good', 'shower', 'bercy']"
Gardette Park Hotel,"['reasonnable', 'quiet', 'comfortable', 'best', 'great', 'reasonable', 'friendly', 'convenient', 'overall', 'paris', 'nice', 'confortable', 'silent', 'major', 'little', 'small', 'trendy', 'clean', 'helpful', 'aware', 'oberkampf', 'good', 'easy', 'lively']"
Hotel Panache,"['close', 'little', 'good', 'excellent', 'table', 'nice', 'interior', 'balcony']"
Hotel Scribe Paris Opera by Sofitel,"['efficient', 'convenient', 'good', 'happy', 'paris', 'nice', 'spacious', 'key', 'roissybus', 'friendly', 'central', 'outstandig', 'most', 'helpful']"
Novotel London West,"['previous', 'needs', 'many', 'professional', 'quiet', 'comfortable', 'supportive', 'awesome', 'great', 'attentive', 'ok', 'friendly', 'efficient', 'olympia', 'minute', 'close', 'modern', 'excellent', 'quick', 'various', 'nice', 'tube', 'welcoming', 'little', 'necessary', 'extras', 'underground', 'large', 'small', 'local', 'similar', 'additional', 'central', 'clean', 'helpful', 'inner', 'internet', 'london', 'good', 'upfront', 'fuss', 'easy', 'shower', 'whole']"
Haymarket Hotel,"['comfy', 'good', 'lovely', 'quick', 'nice', 'such', 'friendly', 'clean', 'helpful']"
Intercontinental London The O2,"['memorable', 'superb', 'good', 'excellent', 'quiet', 'fantastic', 'nice', 'short', 'stay', 'friendly', 'clean', 'great', 'reasonable', 'helpful']"
H tel Juliana Paris,"['clean', 'good', 'large', 'bed', 'easy', 'quiet', 'high', 'nice', 'comfortable', 'exclusive', 'important']"
Hotel L Antoine,"['quite', 'modern', 'good', 'excellent', 'small', 'lovely', 'free', 'lingual', 'easy', 'stylish', 'nice', 'spacious', 'next', 'friendly', 'clean', 'great', 'helpful']"
Belfast,"['good', 'tiny']"
Mercure Paris Tour Eiffel Pont Mirabeau,"['front', 'good', 'free', 'much', 'happy', 'tower', 'daily', 'friendly']"
Knightsbridge Hotel,"['silent', 'good', 'nice', 'interior', 'friendly']"
The London EDITION,"['beautiful', 'modern', 'good', 'nice', 'interesting']"
The Cranley Hotel,"['london', 'little', 'prosecco', 'overall', 'good', 'gloucester', 'small', 'pleasant', 'quiet', 'high', 'nice', 'few', 'comfortable', 'great', 'communal']"
Hotel Le 10 BIS,"['nice', 'familiar', 'new', 'good']"
The Nadler Soho,"['comfy', 'ghd', 'quiet', 'stylish', 'nadler', 'comfortable', 'next', 'nespresso', 'great', 'super', 'friendly', 'modern', 'excellent', 'fabulous', 'nice', 'oxford', 'large', 'wee', 'clean', 'helpful', 'thoughtful', 'sleek', 'unfussy', 'good', 'complementary']"
Grange St Paul s Hotel,"['new', 'i', 'bitter', 'quiet', 'lukewarm', 'spacious', 'comfortable', 'able', 'great', 'attentive', 'friendly', 'unavailable', 'single', 'modern', 'overall', 'excellent', 'free', 'nice', 'desk', 'decent', 'better', 'dead', 'beautiful', 'young', 'helpless', 'limited', 'older', 'central', 'clean', 'spa', 'helpful', 'good', 'overcrowded', 'other', 't', 'whole']"
The Ampersand Hotel,"['hot', 'gorgeous', 'helpful', 'good', 'lovely', 'free', 'nice', 'albert', 'comfortable', 'personal', 'clean', 'great', 'kensington', 'friendly']"
Covent Garden Hotel,"['good', 'clean', 'great', 'super', 'second', 'friendly']"
The Nadler Victoria,"['rubbish', 'new', 'big', 'i', 'handy', 'quiet', 'professional', 'comfortable', 'great', 'friendly', 'convenient', 'polite', 'modern', 'eager', 'excellent', 'free', 'happy', 'solid', 'nice', 'few', 'basic', 'most', 'important', 'silent', 'multi', 'large', 'welcome', 'much', 'clean', 'helpful', 'minimalistic', 'boutique', 'royal', 'safe', 'good', 'easy', 'other']"
Novotel London Tower Bridge,"['top', 'nearby', 'professional', 'high', 'quiet', 'able', 'comfortable', 'best', 'great', 'ok', 'friendly', 'close', 'convenient', 'overall', 'excellent', 'nice', 'local', 'pleasant', 'clean', 'recommend', 'helpful', 'london', 'good', 'easy', 'perfect', 'other', 'equipped']"
Crowne Plaza Paris R publique,"['good', 'touristic', 'many', 'excellent', 'enough', 'nice', 'comfortable', 'great', 'most', 'friendly']"
Le Metropolitan a Tribute Portfolio Hotel,"['good', 'helpful']"
Atala Champs Elys es,"['good', 'friendly']"
H tel de Jos phine BONAPARTE,"['good', 'notre', 'perfect', 'fantastic', 'awesome', 'great', 'helpful']"
Le Senat,"['good', 'local', 'easy', 'quiet', 'nice', 'english', 'comfortable', 'friendly']"
Windsor Opera,"['good', 'quiet', 'other', 'spacious', 'atmosphere', 'same']"
Holiday Inn Paris Montparnasse Pasteur,['good']
H tel Keppler,"['helpful', 'great', 'good', 'friendly']"
Les Plumes Hotel,"['good', 'few', 'nice', 'friendly', 'helpful', 'classy']"
Hotel des Tuileries Relais du Silence,"['pretty', 'clean', 'good', 'helpful']"
Bradford Elys es Astotel,"['beautiful', 'holiday', 'lavish', 'helpful', 'good', 'overall', 'lys', 'smaller', 'wide', 'nice', 'bigger', 'comfortable', 'cozy', 'great', 'friendly']"
W London Leicester Square,"['gym', 'nice', 'great', 'good']"
The Victoria,"['public', 'good', 'south', 'easy', 'other', 'quiet', 'central']"
Pullman London St Pancras,"['big', 'warm', 'wide', 'stylish', 'spacious', 'comfortable', 'best', 'great', 'ok', 'super', 'attentive', 'friendly', 'upper', 'excellent', 'quality', 'free', 'nice', 'available', 'necessary', 'underground', 'small', 'much', 'central', 'clean', 'euro', 'helpful', 'tidy', 'worth', 'competent', 'good', 'brilliant', 'deluxe', 'other', 'international', 'expensive']"
Doubletree by Hilton London Kensington,"['third', 'flower', 'certain', 'warm', 'nearby', 'pleasent', 'quiet', 'fantastic', 'comfortable', 'best', 'ok', 'kensington', 'friendly', 'front', 'modern', 'swift', 'excellent', 'poor', 'free', 'happy', 'nice', 'intermittent', 'most', 'imperial', 'little', 'ten', 'small', 'pleasant', 'affordable', 'central', 'clean', 'parking', 'personal', 'isolated', 'helpful', 'special', 'west', 'good', 'south', 'communal']"
Ace Hotel London Shoreditch,"['many', 'nearby', 'quiet', 'spacious', 'comfortable', 'great', 's', 'friendly', 'modern', 'und', 'overall', 'excellent', 'better', 'cool', 'beautiful', 'large', 'clean', 'helpful', 'public', 'extraordinary', 'london', 'accessible', 'good', 'enough', 'easy', 'other', 'theme']"
