Hotel_Name,Descriptions
Splendid Etoile,"['close', 'good', 'local']"
Grand Royale London Hyde Park,['good']
Pullman Paris Centre Bercy,['good']
Gardette Park Hotel,[]
Novotel London West,[]
Intercontinental London The O2,"['superb', 'amazing', 'clean', 'good', 'soft', 'spotlessly', 'knowledgeable', 'luxurious', 'spacious', 'comfortable', 'personal', 'friendly']"
Grange St Paul s Hotel,"['great', 'good', 'short']"
The Victoria,"['nice', 'good']"
Pullman London St Pancras,"['t', 'london', 'big', 'adequate', 'excellent', 'good', 'much', 'more', 'easy', 'full', 'main', 'extra', 'available', 'central', 'next', 'continental', 'reasonable', 'st']"
Doubletree by Hilton London Kensington,"['professional', 'good']"
Amp re,[]
Holiday Inn London Stratford City,['good']
Shepherd s Bush Boutique Hotel,"['good', 'large', 'small', 'more', 'enough', 'nice', 'comfortable', 'friendly', 'helpful']"
Le Marcel,"['great', 'good', 'helpful']"
Arbor City,"['worth', 'new', 'good', 'nice', 'comfortable']"
Ambassadors Bloomsbury,"['cafe', 'little', 'smoked', 'good', 'many', 'easy']"
London Marriott Hotel Regents Park,"['good', 'expensive']"
The Chamberlain,"['plush', 'informative', 'good', 'comfortable', 'courteous']"
Radisson Blu Edwardian Grafton,"['excellent', 'good', 'friendly']"
Saint Georges Hotel,"['great', 'good']"
Clayton Crown Hotel London,"['outside', 'high', 'comfortable', 'great', 'friendly', 'st', 'fast', 'efficient', 'polite', 'several', 'free', 'frequent', 'limited', 'useful', 'pleasant', 'central', 'good', 'other', 'short', 'general']"
H tel California Champs Elys es,"['good', 'friendly']"
Britannia International Hotel Canary Wharf,"['great', 'good', 'short']"
Best Western Op ra Batignolles,"['beaten', 'good', 'little']"
Novotel London Greenwich,"['sark', 'good', 'local', 'cutty', 'nice', 'comfortable', 'next', 'short', 'courteous', 'clean', 'friendly']"
H tel Horset Op ra Best Western Premier Collection,"['good', 'quiet', 'twin', 'english', 'comfortable']"
Best Western The Boltons Hotel London Kensington,"['london', 'safe', 'good', 'sized', 'comfortable', 'clean', 'helpful']"
DoubleTree by Hilton London Victoria,['good']
Villa Opera Drouot,[]
citizenM London Bankside,"['varied', 'comfiest', 'good', 'small', 'available']"
Mercure Paris Terminus Nord,"['good', 'free', 'talkative', 'easy', 'nice', 'able', 'helpful']"
The Kings Head Hotel,[]
Montcalm Royal London House City of London,"['beautiful', 'particular', 'helpful', 'overall', 'good', 'small', 'impact', 't', 'great', 'relaxing', 'friendly']"
London Marriott Hotel West India Quay,"['excellent', 'good', 'large', 'full', 'comfortable', 'great', 'friendly']"
Park Plaza Victoria London,"['cool', 'good', 'best', 'available', 'most']"
Club Quarters Hotel St Paul s,"['good', 'free', 'quiet', 'clean', 'friendly', 'tidy']"
Best Western Nouvel Orl ans Montparnasse,"['little', 'modern', 'helpful', 'excellent', 'good', 'tight', 'comfortable', 'famous', 'friendly']"
Mayflower Hotel Apartments,"['great', 'good']"
DoubleTree by Hilton London Docklands Riverside,"['great', 'good']"
H10 London Waterloo,"['modern', 'good', 'local', 'fresh', 'clean', 'great']"
Bloomsbury Palace Hotel,[]
Relais Saint Jacques,"['boutique', 'good', 'pleasant', 'friendly', 'latin', 'helpful']"
Mercure Paris Montmartre Sacr Coeur,"['quiet', 'busy', 'comfortable', 'good']"
Holiday Inn Paris Op ra Grands Boulevards,[]
Holiday Inn London Camden Lock,"['great', 'good']"
DoubleTree by Hilton London Westminster,['good']
Blakemore Hyde Park,"['nice', 'clean', 'good', 'comfortable']"
Comfort Inn Suites Kings Cross St Pancras,"['inexpensive', 'excellent', 'good', 'large', 'available', 'british', 'helpful']"
Hotel Les Bulles De Paris,"['good', 'huge', 'cheaper', 'friendly', 'clean', 'helpful', 'pleased']"
Best Western Bretagne Montparnasse,"['super', 'great', 'good', 'picnic']"
The Westbridge Hotel,"['clean', 'good', 'pleasant']"
Timhotel Op ra Blanche Fontaine,"['convenient', 'cheerful', 'big', 'underground', 'good', 'spacious']"
My Chelsea,"['helpful', 'good', 'nearby', 'perfect', 'superior', 'huge', 'quiet', 'hospitable', 'clean', 'natural', 'friendly']"
Arbor Hyde Park,"['good', 'pleasant', 'scale', 'quiet', 't', 'clean', 'great']"
Strand Palace Hotel,"['public', 'initial', 'excellent', 'good', 'fine', 'easy', 'quiet', 'spacious', 'central', 'clean', 'double', 'helpful']"
The Cleveland,"['polite', 'prompt', 'good', 'perfect', 'great', 'friendly']"
Hotel Park Lane Paris,"['quiet', 'accessible', 'good', 'comfy']"
citizenM Tower of London,"['fun', 'good']"
Chiswick Rooms,"['functional', 'good', 'easy', 'friendly', 'clean', 'great', 'helpful']"
The RE London Shoreditch,"['convenient', 'good', 'comfy']"
Novotel London Blackfriars,"['efficient', 'good', 'comfortable', 'attractive', 'friendly']"
The Premier Notting Hill,"['safe', 'good', 'main']"
Radisson Blu Edwardian New Providence Wharf,"['beautiful', 'comfy', 'helpful', 'good', 'nice', 'friendly']"
Novotel London Wembley,"['busy', 'outside', 'everyday', 'warm', 'tasty', 'extra', 'great', 'friendly', 'possible', 'low', 'nice', 'committed', 'lovely', 'pleasant', 'central', 'clean', 'continental', 'good', 'didn']"
Villa Beaumarchais,"['hot', 'busy', 'new', 'good', 'quiet', 'nice', 'english', 'such', 'massive', 'friendly']"
Commodore Hotel,"['quiet', 'good', 'helpful', 'friendly']"
Hotel Le Mareuil,"['nice', 'good', 'friendly']"
Shaftesbury Hyde Park International,['good']
The Montcalm At Brewery London City,"['great', 'good', 'friendly']"
BEST WESTERN Maitrise Hotel Maida Vale,['good']
Dorsett Shepherds Bush,"['busy', 'convenient', 'clean', 'helpful', 'good', 'high', 'nice', 'next', 'central', 'chinese', 'super', 'friendly']"
DoubleTree by Hilton London Islington,"['double', 'good', 'tree', 'short']"
Clayton Hotel Chiswick,"['wonderful', 'modern', 'big', 'good', 'large', 'great', 'pleasant', 'nice', 'spacious', 'second', 'double', 'separate']"
Best Western Palm Hotel,"['rare', 'good', 'most', 'london']"
Radisson Blu Edwardian Vanderbilt,"['polite', 'good', 'nice', 'comfortable', 'blu', 'helpful']"
Gainsborough Hotel,"['big', 'good', 'such', 'nearby']"
Seraphine Kensington Gardens Hotel,['good']
Club Quarters Hotel Gracechurch,"['good', 'nice', 'comfortable', 'short', 'friendly']"
Novotel London Excel,"['previous', 'tired', 'adequate', 'good', 'quiet', 'nice']"
London Bridge Hotel,[]
Mercure Paris Gobelins Place d Italie,"['good', 'comfortable', 'massive']"
Club Quarters Hotel Trafalgar Square,"['excellent', 'good']"
The Hoxton Shoreditch,"['spitalfields', 'london', 'good', 'excellent', 'nice', 'central', 'great', 'friendly']"
Best Western Plus Seraphine Hammersmith Hotel,['good']
La Villa des Ternes,"['clean', 'helpful', 'good', 'friendly']"
Best Western Amiral Hotel,"['efficient', 'good', 'easy', 'high', 'comfortable', 'friendly', 'great', 'helpful']"
Corendon Vitality Hotel Amsterdam,"['good', 'nice', 'comfortable', 'wifi', 'great']"
Maison Borella,[]
Hampshire Hotel Rembrandt Square Amsterdam,"['perfect', 'few', 'easy', 'good']"
Hotel Mailberger Hof,"['t', 'copious', 'excellent', 'large', 'good', 'quiet', 'main', 'comfortable', 'inner', 'central', 'romantic']"
