Hotel_Name,Descriptions
Hotel Arena,"['beautiful', 'restaurant', 'polite', 'big', 'helpful', 'good', 'fabulous', 'enough', 'gothic', 'nice', 'spacious', 'comfortable', 'clean', 'friendly']"
K K Hotel George,"['helpful', 'underground', 'good', 'pleasant', 'nice', 'clean', 'great', 'proper', 'fine']"
Apex Temple Court Hotel,"['good', 'quiet', 'nice', 'comfortable', 'clean', 'great', 'helpful']"
The Principal London,"['absolute', 'big', 'slippy', 'stylish', 'fantastic', 'grand', 'comfortable', 'great', 'reasonable', 'friendly', 'polite', 'overall', 'more', 'traditional', 'happy', 'nice', 'oxford', 'bad', 'bath', 'british', 'hotel', 'beautiful', 'little', 'gorgeous', 'rainy', 'lovely', 'nicer', 'fab', 'english', 'clean', 'helpful', 'impressive', 'magnificient', 'good', 'other']"
Park Plaza County Hall London,"['flexible', 'big', 'helpful', 'good', 'excellent', 'late', 'nice', 'clean', 'friendly', 'cooperative']"
One Aldwych,"['nice', 'great', 'excellent', 'friendly']"
Hotel Trianon Rive Gauche,"['good', 'many', 'happy', 'nice', 'great']"
Grand Royale London Hyde Park,"['impressive', 'single', 'historical', 't', 'modern', 'excellent', 'good', 'small', 'fresh', 'enough', 'nice', 'grand', 'comfortable', 'friendly', 'fine', 'clean', 'great', 'helpful']"
Crowne Plaza London Kings Cross,"['great', 'nice', 'comfortable']"
Pullman Paris Centre Bercy,"['nice', 'great', 'excellent']"
Gardette Park Hotel,"['good', 'easy', 'nice', 'touristy', 'decent']"
Intercontinental London The O2,"['nice', 'fabulous']"
H tel Juliana Paris,"['nice', 'convenient', 'wonderful', 'small']"
Hotel L Antoine,"['nice', 'excellent', 'metro']"
Grange St Paul s Hotel,"['hot', 'beautiful', 'last', 'modem', 'i', 'good', 'many', 'top', 'steamy', 'real', 'roof', 'nice', 'comfortable', 'open', 'attentive', 'friendly']"
The Ampersand Hotel,"['bright', 'boutique', 'helpful', 'good', 'nice', 'next', 'great', 'friendly']"
Novotel London Tower Bridge,"['great', 'nice', 'friendly']"
Maison Souquet,"['nice', 'wonderful', 'unique']"
W London Leicester Square,"['good', 'nice', 'gym', 'great', 'friendly']"
The Victoria,"['great', 'nice']"
Pullman London St Pancras,"['nice', 'upper', 'friendly']"
Crowne Plaza London Kensington,[]
Ace Hotel London Shoreditch,"['great', 'nice', 'comfy', 'shower']"
Staybridge Suites London Vauxhall,"['necessary', 'other', 'nice', 'friendly', 'great', 'helpful']"
The Grosvenor,"['nice', 'friendly']"
Amp re,[]
Thistle Kensington Gardens,"['great', 'nice', 'friendly', 'available']"
Park Plaza Sherlock Holmes London,"['major', 'london', 'modern', 'good', 'live', 'nice', 'general', 'comfortable', 'open', 'fresh', 'break', 'friendly']"
