Hotel_Name,Descriptions
K K Hotel George,"['quiet', 'spacious', 's', 'reasonable', 'several', 'excellent', 'more', 'few', 'nice', 'buffet', 'earl', 'beautiful', 'underground', 'useful', 'small', 'clean', 'helpful', 'good', 'noisy', 'enough', 'short']"
Apex Temple Court Hotel,"['quiet', 'great', 'nice', 'good']"
The Park Grand London Paddington,"['decent', 'london', 'polite', 'quiet', 'high', 'nice', 'short', 'comfortable', 'central', 'friendly']"
Park Plaza County Hall London,"['busy', 'good', 'large', 'neat', 'real', 'tubes', 'nice', 'friendly', 'avaliable', 'helpful']"
Hotel Trianon Rive Gauche,['nice']
InterContinental London Park Lane,"['beautiful', 'nice', 'friendly']"
Novotel Suites Paris Nord 18 me,"['accessible', 'great', 'nice']"
Crowne Plaza London Kings Cross,"['comfy', 'excellent', 'good', 'bed', 'nice']"
Pullman Paris Centre Bercy,"['clean', 'nice', 'friendly']"
Gardette Park Hotel,"['public', 'little', 'nice', 'short', 'friendly', 'great', 'compact', 'helpful']"
H tel des Ducs D Anjou,"['good', 'small', 'nice', 'great', 'friendly']"
Novotel London West,"['public', 'london', 'good', 'fantastic', 'nice', 'central', 'great']"
Intercontinental London The O2,['nice']
H tel Juliana Paris,"['hotel', 'major', 'good', 'welcome', 'small', 'bed', 'quiet', 'nice', 'comfortable', 'most', 'expensive', 'friendly']"
Grange St Paul s Hotel,"['west', 'good', 'excellent', 'happy', 'quiet', 'nice', 'comfortable', 'friendly', 'helpful']"
The Ampersand Hotel,"['thoughtful', 'complimentary', 'stayed', 'nice', 'second', 'great', 'friendly']"
The Nadler Victoria,"['nice', 'excellent', 'lovely', 'good']"
Crowne Plaza Paris R publique,"['nice', 'good']"
Le Metropolitan a Tribute Portfolio Hotel,['nice']
H tel de Jos phine BONAPARTE,"['beautiful', 'special', 'big', 'welcome', 'free', 'tea', 'professional', 'nice', 'comfortable', 'clean', 'double', 'super']"
Le Senat,"['small', 'sweet', 'nicer', 'nice', 'bigger', 'first', 'arrival', 'second']"
Windsor Opera,"['nice', 'comfortable']"
Holiday Inn Paris Montparnasse Pasteur,['nice']
H tel Keppler,"['l', 'quiet', 'nice', 'comfortable', 'helpful']"
