Hotel_Name,Descriptions
Park Plaza County Hall London,"['big', 'good', 'perfect', 'nice', 'best', 'great']"
InterContinental London Park Lane,"['nice', 'good']"
Grange St Paul s Hotel,"['cathedral', 'modern', 'nice', 'thames', 'great', 's']"
The Grosvenor,"['victoria', 'gorgeous', 'nice', 'comfortable', 'great']"
Holiday Inn London Stratford City,"['nice', 'good', 'spacious', 'excellent']"
DoubleTree by Hilton London Hyde Park,"['token', 'good', 'small', 'nice', 'appreciated', 'friendly']"
Hotel The Peninsula Paris,"['beautiful', 'bad', 'nice', 't', 'outstanding']"
Novotel Paris Gare De Lyon,"['nice', 'excellent']"
Hilton London Metropole,['great']
Park Plaza Victoria London,"['big', 'nice']"
Club Quarters Hotel St Paul s,"['gym', 'stylish', 'nice', 'terrific']"
Blakemore Hyde Park,"['little', 'small', 'quiet', 'nice', 'clean', 'friendly']"
Millennium Gloucester Hotel London,"['daily', 'nice', 'free', 'good']"
St James Court A Taj Hotel London,"['fantastic', 'nice', 'indian']"
Grange Tower Bridge Hotel,"['amazing', 'long', 'quiet', 'nice', 'spa', 'great']"
The Marylebone Hotel,"['big', 'effective', 'nice', 'comfortable', 'friendly']"
Oceania Paris Porte De Versailles,['nice']
DoubleTree by Hilton London Islington,['nice']
The Piccadilly London West End,"['london', 'silent', 'special', 'excellent', 'long', 'perfect', 'nice', 'comfortable', 'best', 'central']"
Kingsway Hall Hotel,"['nice', 'comfortable']"
Corendon Vitality Hotel Amsterdam,"['quiet', 'nice', 'friendly']"
Hilton Vienna,"['great', 'nice']"
Apollo Hotel Amsterdam,"['furnished', 'good', 'long', 'nice', 'whole', 'great', 'super', 'willing']"
Axel Hotel Barcelona Urban Spa Adults Only,"['nice', 'helpful']"
Jaz Amsterdam,"['awesome', 'nice', 'comfortable', 'good']"
Best Western Premier Hotel Couture,[]
Holiday Inn London Wembley,"['clean', 'underground', 'nice', 'enough']"
St Pancras Renaissance Hotel London,"['quiet', 'nice', 'pool', 'great', 'helpful']"
DoubleTree By Hilton London Excel,"['choose', 'silent', 'included', 'free', 'nice', 'comfortable', 'open', 'expensive']"
WestCord Fashion Hotel Amsterdam,"['modern', 'warm', 'excellent', 'large', 'nice', 'friendly']"
Hilton London Kensington Hotel,"['quick', 'easy', 'nice', 'spacious', 'great']"
Room Mate Aitana,"['excellent', 'good', 'late', 'nice', 'spacious', 'great', 'friendly']"
Fleming s Selection Hotel Wien City,"['nice', 'helpful']"
NH Collection Milano President,"['trained', 'excellent', 'nice', 'central', 'gym']"
Mercure Amsterdam Sloterdijk Station,"['great', 'nice', 'comfortable']"
ARCOTEL Wimberger,"['clean', 'nice', 'good']"
Apex City Of London Hotel,"['central', 'great', 'nice']"
Aloft London Excel,"['helpful', 'nice', 'friendly', 'good']"
Ham Yard Hotel,"['nice', 'great', 'junior', 'specious']"
Hampton by Hilton Amsterdam Centre East,"['quiet', 'nice', 'comfortable', 'central', 'great']"
Monument Hotel,"['amazing', 'small', 'high', 'nice', 'extra', 'shower', 'fresh', 'clean', 'separate']"
Best Western Plus Hotel Galles,"['direct', 'nice', 'pillow', 'great']"
Hotel SB Diagonal Zero Barcelona 4 Sup,"['commercial', 'light', 'diagonal', 'big', 'snooze', 'professional', 'nice', 'comfortable', 'best', 'great', 'friendly']"
art otel Amsterdam,"['modern', 'overall', 'excellent', 'top', 'lovely', 'good', 'nice', 'fantastic', 'friendly', 'clean', 'great', 'super', 'helpful']"
Andaz Amsterdam Prinsengracht A Hyatt Hotel,"['welcoming', 'wonderful', 'delicious', 'perfect', 'nice', 'spa']"
Catalonia Park Putxet,"['great', 'nice', 'comfortable', 'helpful']"
Lindner Hotel Am Belvedere,"['nice', 'comfy']"
Austria Trend Hotel Savoyen Vienna,"['nice', 'large', 'helpful']"
Hyatt Regency Amsterdam,"['sound', 'great', 'nice']"
Hilton London Canary Wharf,"['polite', 'big', 'good', 'nice', 'spacious', 'gym']"
The May Fair Hotel,"['perfect', 'nice', 'fantastic']"
Imperial Riding School Renaissance Vienna Hotel,"['clean', 'nice', 'comfortable', 'good']"
Art Hotel Navigli,"['gym', 'great', 'nice']"
Starhotels Business Palace,"['nice', 'attentive']"
Radisson Blu Hotel Milan,"['knowledgeable', 'clean', 'nice', 'indoor']"
Bianca Maria Palace Hotel,"['included', 'good', 'nice', 'gym', 'helpful']"
Starhotels Tourist,"['nice', 'metro']"
Grand Visconti Palace,"['good', 'nice', 'spacious', 'english', 'great']"
Park Plaza Westminster Bridge London,"['outside', 'london', 'big', 'helpful', 'good', 'perfect', 'fantastic', 'main', 'nice', 'spacious', 'comfortable', 'tiny', 'friendly']"
The Student Hotel Amsterdam City,"['new', 'modern', 'accessible', 'rental', 'metro', 'good', 'nice', 'clean', 'great']"
