Hotel_Name,Descriptions
Monhotel Lounge SPA,"['quite', 'due', 'accessible', 'necessary', 'excellent', 'easy', 'responsive', 'nice', 'wasn', 'non', 'great']"
InterContinental London Park Lane,"['amazing', 'young', 'helpful']"
Maison Souquet,"['hopeless', 'poor', 'small', 'experienced', 'high', 'rough', 'friendly']"
Hotel des Tuileries Relais du Silence,"['clean', 'excellent']"
The Kensington Hotel,"['general', 'helpful', 'happy']"
Op ra Marigny,['able']
Hotel Eden,[]
Ashburn Hotel,['breakfast']
Saint Georges Hotel,"['aware', 'few', 'fantastic', 'oxford', 'great']"
La Tremoille Paris,"['perfect', 'excellent', 'added']"
Hotel Xenia Autograph Collection,"['economical', 'public', 'polite', 'lovely', 'more', 'local', 'clean', 'great', 'helpful']"
Villa Eugenie,"['impressive', 'accessible', 'much', 'central', 'clean']"
Hotel Plaza Elys es,"['modern', 'underground', 'excellent', 'good', 'free', 'paris', 'decent', 'clean', 'friendly']"
Hotel Champs Elys es Friedland by Happyculture,"['bad', 'small', 'available']"
Best Western Paris Gare Saint Lazare,"['fairy', 'new', 'pillow']"
Le Narcisse Blanc Spa,['expensive']
The Hoxton Holborn,"['helpfull', 'perfect', 'easy', 'better', 'most']"
H tel Regina,"['excellent', 'available']"
H tel Belloy Saint Germain By Happyculture,"['public', 'excellent', 'great', 'nice', 'main', 'extra', 'next', 'positive', 'clean', 'champagne', 'helpful']"
H tel Le M,"['clean', 'nice', 'public', 'excellent']"
H tel Paris Bastille Boutet MGallery by Sofitel,"['wonderful', 'new', 'warm', 'many', 'quiet', 'fantastic', 'comfortable', 'best', 'acceptable', 'reasonable', 'close', 'modern', 'excellent', 'metro', 'quick', 'huge', 'paris', 'nice', 'helpful', 'cheerful', 'private', 'exceptional', 'cozy']"
L Edmond H tel,"['polite', 'i', 'spacious', 't', 'clean', 'great', 'helpful']"
Grange Beauchamp Hotel,"['less', 'good', 'nearby', 'easy', 'quiet', 'high', 'nice', 'spacious', 'square', 'reasonable']"
H tel Vernet,"['beautiful', 'useful', 'pleasant', 'perfect', 'nouveau']"
The One Barcelona GL,"['hot', 'beautiful', 'excellent', 'easy', 'quiet', 'short']"
Le Pavillon de la Reine Spa,"['convenient', 'tranquil', 'complimentary', 'own', 'courteous']"
Bloomsbury Palace Hotel,"['such', 'local']"
