Hotel_Name,Descriptions
One Aldwych,[]
Splendid Etoile,"['clean', 'great', 'excellent']"
Hotel Trianon Rive Gauche,"['good', 'free', 'full', 'available', 'great', 'reasonable', 'helpful']"
Select Hotel,"['varied', 'uncomfortable', 'same', 'hot', 'modern', 'good', 'metro', 'small', 'parisian', 'perfect', 'other', 'comfortable', 'generous', 'friendly', 'central', 'luxurious', 'great', 'helpful']"
H tel De Vend me,[]
Pullman Paris Centre Bercy,"['third', 'valuable', 'crazy', 'good', 'i', 'nearby', 'much', 'happy', 'excellent', 'unable', 'other', 'nice', 'friendly', 'central', 'great', 'bercy', 'helpful']"
Gardette Park Hotel,"['ideal', 'safe', 'good', 'small', 'other', 'short', 'clean', 'great', 'friendly', 'st']"
Hotel Panache,"['paris', 'great', 'comfortable']"
H tel des Ducs D Anjou,"['great', 'good']"
Knightsbridge Hotel,"['great', 'super', 'good']"
The Ampersand Hotel,"['london', 'good', 'comfortable', 'central', 'clean', 'great', 'terrific', 'helpful']"
The Nadler Victoria,"['new', 'i', 'queen', 'quiet', 'fantastic', 'comfortable', 'contemporary', 'great', 'super', 'famous', 'friendly', 'closest', 'modern', 'excellent', 'more', 'nice', 'courteous', 'luxurious', 'basic', 'most', 'fine', 'pleased', 'own', 'lovely', 'small', 'pleasant', 'personal', 'helpful', 'london', 'good', 'perfect', 'short', 'exceptional']"
Crowne Plaza Paris R publique,"['fantastic', 'great', 'good']"
H tel de Jos phine BONAPARTE,"['cool', 'lovely', 'fabulous', 'free', 'happy', 'arrival', 'great', 'friendly']"
Maison Souquet,"['hopeless', 'poor', 'small', 'experienced', 'high', 'rough', 'friendly']"
Hotel Tour d Auvergne Opera,"['overall', 'warm', 'good', 'useful', 'excellent', 'total', 'comfortable', 'hospitable']"
Le Senat,"['nice', 'excellent', 'friendly', 'good']"
H tel Keppler,"['less', 'comfortable', 'friendly', 'clean', 'great', 'helpful']"
Les Plumes Hotel,"['usual', 'larger', 'convenient', 'normal', 'good', 'excellent', 'incredible', 'small', 'paris', 'nice', 'interesting', 'better', 'great', 'helpful']"
