Hotel_Name,Descriptions
Hotel Le 10 BIS,['invaluable']
H tel de Jos phine BONAPARTE,"['thoughtful', 'beautiful', 'excellent', 'good', 'free', 'stable', 'great', 'friendly']"
Windsor Opera,"['good', 'wonderful', 'small']"
Bradford Elys es Astotel,"['wonderful', 'complimentary', 'breakfast', 'high', 'nice', 'central', 'great', 'friendly']"
Le Marcel,"['good', 'large', 'small', 'secure', 'nice', 'international', 'strong', 'first']"
H tel Le Marianne,"['nice', 'fast']"
Marlin Waterloo,"['nespresso', 'wifi', 'good', 'nice']"
Novotel London Waterloo,"['new', 'quiet', 'comfortable', 'nespresso', 'great', 'friendly', 'poor', 'excellent', 'free', 'nice', 'lamps', 'recent', 'clean', 'complimentary', 'good', 'brilliant', 'south', 'perfect', 'cooked', 'stable', 'wifi']"
Le Relais Madeleine,"['daily', 'right', 'big', 'good', 'small', 'wifi', 'great', 'perfect', 'quiet', 'picnic', 'nice', 'electric', 'comfortable', 'separate', 'clean', 'hazel', 'optional', 'friendly']"
Batty Langley s,[]
Hotel La Lanterne,"['modern', 'quiet', 'nice', 'comfortable', 'great', 'friendly']"
H tel San R gis,"['certain', 'incredible', 'i', 'good', 'poor', 'high', 'best', 'helpful']"
Hotel Louvre Montana,"['major', 'modern', 'big', 'sebastian', 'good', 'excellent', 'free', 'english', 'relative', 'comfortable', 'available', 'clean', 'helpful']"
Hotel Le Six,"['usual', 'busy', 'smaller', 'informative', 'great', 'friendly', 'v', 'metro', 'free', 'nice', 'pleased', 'lovely', 'english', 'clean', 'helpful', 'willing', 'good', 'easy', 'main', 'shower', 'fresh']"
Charlotte Street Hotel,"['excellent', 'good', 'free', 'easy', 'nice', 'multiple', 'decent', 'helpful']"
Hotel Les Rives de Notre Dame,"['mobile', 'amazing', 'good', 'excellent', 'perfect', 'different', 'best', 'friendly', 'great', 'exceptional', 'helpful']"
St Paul s Hotel,"['big', 'sumptuous', 'i', 'cheap', 'fantastic', 'generous', 'longer', 'friendly', 'habitable', 'exterior', 'modern', 'long', 'excellent', 'free', 'fine', 'underground', 'lovely', 'clean', 'continental', 'helpful', 'good', 'perfect', 'short', 't', 'wifi', 'cozy']"
Nolinski Paris,"['second', 'beautiful', 'wifi', 'excellent']"
Idol Hotel,"['cool', 'original', 'airco', 'good', 'free', 'nice', 'clean', 'great', 'friendly']"
Hotel de Seze,"['la', 'good', 'large', 'free', 'quiet', 'clean', 'great', 'bath', 'helpful']"
Villa d Estr es,"['close', 'large', 'other', 'strong', 'great']"
The LaLit London,['free']
Hotel The Peninsula Paris,"['last', 'excellent', 'least', 'professional', 'quiet', 'high', 'magnificent', 'clean', 'attentive']"
Relais Du Louvre,"['satellite', 'good', 'pleasant', 'fantastic', 'nice', 'wifi', 'great']"
H tel Ad le Jules,"['ok', 'beautiful', 'reliable', 'big', 'helpful', 'good', 'lovely', 'small', 'notre', 'lys', 'perfect', 'nice', 'comfortable', 'short', 'wifi', 'basic', 'friendly']"
Okko Hotels Paris Porte De Versailles,[]
Hotel Louis 2,"['little', 'helpful', 'good', 'small', 'easy', 'paris', 'nice', 'english', 'comfortable', 'clean', 'great', 'friendly']"
Mercure Paris Notre Dame Saint Germain des Pr s,"['i', 'good', 'notre', 'nearby', 'free', 'easy', 'small', 'slow', 'nice', 't', 'latin', 'great', 'confortable']"
Simply Rooms Suites,"['olympia', 'excellent', 'good', 'walkable', 'comfortable', 'clean', 'friendly']"
Mercure Paris Pigalle Sacre Coeur,[]
H tel F licien by Elegancia,"['beautiful', 'little', 'elaquent', 'better', 'excellent', 'good', 'nice', 'fantastic', 'comfortable', 'arrival', 'great', 'romantic']"
Vice Versa,"['brilliant', 'good', 'free', 'nice', 'comfortable', 'friendly', 'great', 'helpful']"
The Kings Head Hotel,"['modern', 'warm', 'good', 'tea', 'nice', 'spacious', 'comfortable', 'shower']"
H tel De Buci by MH,"['convenient', 'delicious', 'perfect', 'great', 's']"
Hotel Opera Cadet,"['excellent', 'metro', 'helpful']"
Mercure Paris Arc de Triomphe Etoile,"['good', 'free']"
H tel Bourgogne Montana by MH,"['beautiful', 'most', 'modern', 'better', 'good', 'excellent', 'lovely', 'free', 'metro', 'quiet', 'real', 'nice', 'clean', 'great', 'u', 'helpful']"
BoB Hotel by Elegancia,"['useless', 'only', 'good', 'free', 'videos', 'slow', 'nice', 'stable', 't', 'wifi', 'great', 'friendly', 'willing']"
