Hotel_Name,Descriptions
Monhotel Lounge SPA,"['couldn', 'quite', 'accessible', 'better', 'modern', 'nice', 'excellent', 'cosey', 'fantastic', 'responsive', 'close', 'easy', 'stay']"
Milestone Hotel Kensington,"['read', 'jacamo', 'nice', 'return', 'exceptional', 'worth', 'make', 'beautiful', 'clean', 'picturesque', 'go', 'great', 'upbeat', 'enough', 'care', 'willing', 'relax', 'sure', 'store', 'comfortable', 'romantic', 'welcoming', 'english', 'constant', 'be', 'use']"
Belfast,"['nice', 'clean', 'include', 'be', 'super', 'rush']"
Hotel Le 10 BIS,"['great', 'good', 'silent', 'public', 'clean', 'cosy', 'comfortable', 'helpful', 'new']"
Le Marcel,"['great', 'few', 'clean', 'walk', 'free', 'mini', 'helpful']"
La Villa Haussmann,"['friendly', 'help', 'excellent', 'chic', 'boutique', 'comfortable', 'wonderful', 'short']"
Novotel Paris 14 Porte d Orl ans,"['like', 'have', 'same', 'respectful', 'run', 'poor', 'helpful', 'rude', 'cold']"
H tel des Academies et des Arts,"['beautiful', 'excellent', 'several', 'close', 'comfortable']"
Drawing Hotel,"['nearby', 'own', 'helpful', 'eat', 'other', 'green', 'exceptional', 'outstanding', 'be', 'super', 'herbal', 'wonderful']"
Hotel The Peninsula Paris,"['take', 'cloth', 'spacious', 'next', 'close', 'cost', 'gorgeous', 'i', 'trocadero', 'good', 'previous', 'dirty', 'perfect', 'free', 'new', 'wet', 'get', 'luxurious', 'few', 'other', 'top', 'arc', 'comfortable', 'wonderful', 'lady', 'walk']"
Hotel Dupond Smith,[]
La Villa Royale,"['take', 'use', 'lift', 'amazing', 'close', 'artisty', 'bother', 'beatiuful', 'perfect', 'stay', 'great', 'most', 'few', 'fantastic', 'pigalle', 'unique', 'local', 'be', 'hear', 'delicious', 'interesting']"
The Abbey Court Notting Hill,"['equipped', 'good', 'tasty', 'perfect', 'professional', 'helpful']"
Hotel Le petit Paris,"['unable', 'wish', 'welcoming', 'learn', 'switch', 'non', 'english', 'accomodate', 'understand', 'let', 'french', 'quaint', 'know']"
Royal Saint Honore,"['main', 'nice', 'maintain', 'pleasant', 'have', 'large', 'break', 'excellent', 'many', 'same', 'go', 'stay', 'helpful', 'other', 'open', 'easy', 'give', 'firm', 'cleanest', 'central']"
Le Pavillon de la Reine Spa,"['peaceful', 'comment', 'friendly', 'nice', 'whole', 'quiet', 'last', 'library', 'good', 'excellent', 'clean', 'honesty', 'helpful', 'trendy', 'great', 'luxurous', 'get', 'cosy', 'fantastic', 'louis', 'boutique', 'cheap', 'wonderful', 'romantic', 'expensive', 'cooperative', 'splendid', 'small', 'delightful', 'inner', 'be', 'least', 'super', 'dangerous', 'attentive']"
H tel La Comtesse by Elegancia,"['friendly', 'nice', 'c', 'quiet', 'exceptional', 'i', 'beautiful', 'good', 'safe', 'excellent', 'clean', 'perfect', 'go', 'helpful', 'bus', 'great', 'several', 'other', 'reception', 'find', 'lovely', 'super']"
Hotel La Villa Saint Germain Des Pr s,"['excellent', 'impolite', 'small', 'metro', 'bateaux', 'professional', 'poor', 'first', 'competent']"
H tel Recamier,"['efficient', 'friendly', 'st', 'cute', 'quiet', 'complimentary']"
BoB Hotel by Elegancia,"['little', 'main', 'friendly', 'throw', 'come', 'light', 'gorgeous', 'fave', 'beautiful', 'helpful', 'new', 'explore', 'enjoy', 'get', 'boutique', 'help', 'divine', 'small', 'be', 'delicious']"
Hotel Oscar,"['small', 'spaced', 'quiet', 'happy']"
Novotel Paris 17,[]
Eiffel Trocad ro,"['reasonable', 'excellent', 'local', 'next', 'comfortable']"
H tel Le Walt,[]
H tel de La Tamise Esprit de France,"['borrow', 'good', 'safe', 'available', 'open', 'small', 'such', 'unbeatable', 'thoughtful', 'shower', 'lovely', 'spotless', 'be', 'wonderful', 'proper']"
Renaissance Paris Vendome Hotel,"['best', 'good', 'available', 'open', 'poor', 'first']"
Suites H tel Helzear Montparnasse,"['paris', 'nice', 'beautiful', 'sweet', 'clean', 'have', 'crazy', 'utensils', 'uncomfortable', 'next', 'mini', 'smelled', 'female', 'comfortable', 'stay']"
Hotel le Lapin Blanc,"['great', 'quiet', 'shops', 'elegant', 'close', 'prepared', 'new']"
H tel R de Paris Boutique Hotel,"['i', 'great', 'best', 'website', 'good', 'mention', 'nice', 'central', 'helful', 'proffecianal', 'cretical', 'chronic', 'beatiful', 'super', 'very']"
Trinit Haussmann,"['cozy', 'trendy', 'immediate', 'most', 'friendly', 'good', 'helpful', 'cool', 'clean', 'huge', 'have', 'small', 've', 'be', 'move', 'comfortable', 'stay', 'big']"
A La Villa Madame,[]
H tel Barri re Le Fouquet s,"['wait', 'much', 'see', 'i', 'nice', 'legendary', 'encourage', 'complimentary', 'convenient', 'stay']"
Hotel Villa Lafayette Paris IX,"['quite', 'great', 'fresh', 'varied', 'friendly', 'good', 'few', 'clean', 'several', 'comfortable', 'helpful']"
Park Hyatt Paris Vendome,"['fresh', 'expensive', 'mention', 'demi', 'nice', 'first']"
Renaissance Paris Le Parc Trocadero Hotel,"['friendliest', 'boring', 'dated']"
Victoires Opera,"['explore', 'full', 'great', 'usual', 'cafes', 'parisian', 'few', 'local']"
Hotel Le Placide Saint Germain Des Pr s,"['handy', 'deep', 'useful', 'knowledgable', 'friendly', 'good', 'safe', 'nice', 'clean', 'several', 'spacious', 'light', 'overall', 'lovely', 'comfy', 'helpful', 'borrow', 'able']"
H tel Bel Ami,"['excellent', 'pleasant', 'ideal', 'small', 'outstanding', 'deux', 'high', 'clueless', 'short', 'service']"
Hotel Eiffel Blomet,"['cozy', 'friendly', 'clean', 'entire', 'top', 'outstanding', 'helpful', 'new', 'redesign']"
H tel Le Bellechasse Saint Germain,"['friendly', 'nice', 'pleassant', 'quiet', 'pleasant', 'have', 'uncomfortable', 'next', 'close', 'overall', 'beautiful', 'perfect', 'common', 'tiny', 'young', 'worst', 'shower', 'helpful', 'new', 'complementary', 'great', 'happy', 'such', 'comfortable', 'sweet', 'small', 'be', 'lovely', 'louvre']"
H tel Arvor Saint Georges,"['peaceful', 'friendly', 'nice', 'quiet', 'pleasant', 'fabulous', 'beautiful', 'perfect', 'browse', 'helpful', 'interior', 'warm', 'great', 'costly', 'eat', 'such', 'comfortable', 'cafe', 'unexpected', 'cozy', 'central', 'rooftop', 'lovely']"
Le Littr ,"['reception', 'easy', 'i', 'more', 'friendly', 'ask', 'montparnasse', 'clean', 'quiet', 'serve', 'come', 'close', 'go', 'lovely', 'single', 'comfortable', 'helpful', 'kept']"
H tel Waldorf Trocad ro,"['friendly', 'nice', 'good', 'silent', 'excellent', 'quirky', 'helpful']"
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,"['friendly', 'nice', 'good', 'bed', 'dj', 'comfortable']"
Vincci Mae,"['little', 'reach', 'see', 'friendly', 'nice', 'phenomenal', 'live', 'quiet', 'spacious', 'tapa', 'old', 'barcelona', 'diagonal', 'large', 'i', 'best', 'beautiful', 'good', 'shame', 'excellent', 'clean', 'significant', 'perfect', 'free', 'shower', 'comfy', 'helpful', 'stay', 'impeccable', 'big', 'new', 'great', 'most', 'extras', 'get', 'luxurious', 'several', 'other', 'top', 'stunning', 'easy', 'comfortable', 'high', 'wonderful', 'superb', 'av', 'greet', 'relaxed', 'reasonable', 'handy', 'modern', 'public', 'recommend', 'small', 'door', 'taxis', 'be', 'rooftop', 'welcome', 'interesting']"
Jumeirah Carlton Tower,"['slow', 'clear']"
Palais Coburg Residenz,"['major', 'fast', 'friendly', 'nice', 'excellent', 'high', 'delicious']"
Hotel Crivi s,"['tram', 'electric', 'clean', 'radio', 'metro', 'equipped']"
Four Seasons Hotel London at Park Lane,"['great', 'friendly', 'nice', 'excellent', 'clean', 'original', 'second', 'more', 'first', 'helpful']"
Hotel Park Villa,"['good', 'change']"
The Lanesborough,"['nice', 'excellent', 'helpful', 'be']"
Hotel G tico,"['main', 'great', 'modern', 'helpful', 'clean', 'ready', 'go', 'high', 'old', 'leave']"
Holiday Inn Vienna City,"['little', 'great', 'friendly', 'nice', 'good', 'public', 'bar', 'only', 'werent', 'pricey', 'helpful', 'big']"
Arthotel ANA Westbahn,[]
Hotel Sunflower,"['lovely', 'good', 'clean', 'help']"
Sheraton Grand London Park Lane,"['gym', 'i', 'great', 'quick', 'friendly', 'nice', 'good', 'few', 'decor', 'be', 'essex', 'comfortable', 'helpful', 'french', 'tasteful']"
InterContinental Amstel Amsterdam,"['full', 'expect', 'best', 'good', 'afford', 'do', 'have', 'fantastic', 'doesn', 'top', 'tip', 'special', 'go', 'hesitate', 'helpful', 'rude']"
Hyatt Regency Amsterdam,"['private', 'great', 'spinich', 'correct', 'friendly', 'beautiful', 'nice', 'try', 'few', 'good', 'whole', 'less', 'satisfactory', 'mini', 'helpful', 'wonderful']"
Hotel Sanpi Milano,"['little', 'friendly', 'nice', 'have', 'tasty', 'large', 'good', 'excellent', 'kettle', 'free', 'christian', 'helpful', 'garden', 'great', 'restaurant', 'open', 'fantastic', 'superior', 'comfortable', 'satellite', 'own', 'wonderful', 'front', 'cathedral', 'expensive', 'parks', 'put', 'particular']"
Grand Hotel et de Milan,"['avoid', 'attentive', 'fresh', 'long', 'st', 'nice', 'friendly', 'exceptional', 'western', 'prime', 'look', 'professional', 'junior', 'old', 'gym', 'authentic', 'good', 'excellent', 'helpful', 'stay', 'great', 'compare', 'northern', 'enough', 'other', 'fantastic', 'wonderful', 'anticipate', 'grand', 'work', 'favourite', 'small', 'exceptionall', 'celebrate', 'double', 'obvious', 'short', 'italian']"
Petit Palais Hotel De Charme,"['fresh', 'lovely', 'extra', 'helpful', 'rental', 'view', 'marble', 'wonderful', 'prepare']"
Hotel Mercure Milano Solari,"['brilliant', 'great', 'lit', 'good', 'safe', 'complimentary', 'awesome', 'nail', 'metro', 'free', 'upgraded', 'young', 'naviglia', 'bring']"
Palazzo Segreti,[]
Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,"['varied', 'nice', 'excellent', 'clean', 'fantastic', 'local']"
Best Western Hotel Major,"['low', 'nice', 'excellent', 'lodi', 'clean', 'many', 'metro', 'mini', 'single', 'daily', 'big', 'substantial']"
Best Western Antares Hotel Concorde,"['little', 'full', 'large', 'nice', 'beaten', 'good', 'local', 'easy', 'staffed', 'comfortable']"
Hotel Arkadenhof,"['make', 'hot', 'comfortable', 'sure']"
