Hotel_Name,Descriptions
Monhotel Lounge SPA,[]
Covent Garden Hotel,"['fresh', 'friendly', 'return', 'right', 'spacious', 'light', 'convenient', 'gorgeous', 'feel', 'large', 'i', 'fabulous', 'make', 'extra', 'good', 'excellent', 'clean', 'perfect', 'seating', 'mum', 'bright', 'honesty', 'separate', 'spend', 'helpful', 'big', 'umbrellas', 'escort', 'eager', 'great', 'fluffy', 'linen', 'luxurious', 'twin', 'several', 'talk', 'more', 'comfortable', 'first', 'wonderful', 'pillow', 'unique', 'modern', 'help', 'terrible', 'be', 'lovely', 'added', 'delicious', 'various']"
Windsor Opera,"['friendly', 'nice', 'good', 'speak', 'clean', 'quiet', 'nord', 'other', 'metro', 'english', 'only', 'comfortable', 'helpful', 'big']"
Hotel Astor Saint Honor ,"['ok', 'different', 'complimentary', 'have', 'top', 'spoil', 'give', 'helpful', 'technician', 'cold']"
Mercure Paris Porte d Orleans,"['comfortable', 'big']"
The Henrietta Hotel,"['excellent', 'helpful']"
The Goring,[]
Ritz Paris,"['behave', 'i', 'usual', 'arab', 'like', 'modern', 'help', 'good', 'whole', 'do', 'explain', 'much', 'sleek', 'second', 'fab', 'simple', 't']"
Hotel Les Rives de Notre Dame,"['much', 'long', 'keep', 'tell', 'desperate', 'excellent', 'noisy', 'clean', 'expect', 'detail', 'central', 'cheap', 'more', 'super', 'bath', 'big']"
Best Western Op ra Batignolles,"['much', 'friendly', 'beautiful', 'modern', 'subtle', 'fair', 'clean', 'walk', 'urine', 'comfortable', 'big']"
Bulgari Hotel London,"['comfortable', 'large', 'pretty', 'beautiful', 'sweet', 'general', 'super', 'junior', 'helpful', 'big', 'gorgeous']"
Best Western Paris Gare Saint Lazare,"['take', 'friendly', 'nice', 'airy', 'watch', 'compact', 'good', 'parisian', 'extra', 'clean', 'go', 'comfy', 'helpful', 'big', 'accessible', 'great', 'get', 'open', 'other', 'comfortable', 'opera', 'small', 'bed', 'walk']"
Splendide Royal Paris,"['i', 'useful', 'friendly', 'beautiful', 'huge', 'perfect', 'exceptional', 'bathrooms', 'be', 'helpful', 'welcome', 'attentive']"
Hotel The Peninsula Paris,"['have', 'nail', 'spacious', 'close', 'gorgeous', 'trocadero', 'extra', 'excellent', 'perfect', 'varnish', 'luxurious', 'few', 'automatic', 'other', 'top', 'bedroom', 'arc', 'comfortable', 'wonderful', 's', 'walk']"
