Hotel_Name,Descriptions
Kube Hotel Ice Bar,"['brilliant', 'modern', 'spacious', 'bed', 'comfortable', 'helpful']"
Covent Garden Hotel,"['brilliant', 'wait', 'friendly', 'nice', 'return', 'right', 'whole', 'spacious', 'second', 'gorgeous', 'feel', 'large', 'i', 'fabulous', 'best', 'make', 'extra', 'good', 'clean', 'perfect', 'seating', 'mum', 'classy', 'honesty', 'spend', 'comfy', 'separate', 'stay', 'big', 'umbrellas', 'escort', 'eager', 'great', 'linen', 'better', 'immaculate', 'luxurious', 'twin', 'several', 'fantastic', 'talk', 'more', 'comfortable', 'first', 'wonderful', 'pillow', 'front', 'complain', 'relaxed', 'unique', 'pompous', 'help', 'terrible', 'be', 'lovely', 'super', 'added', 'attentive']"
Atala Champs Elys es,"['spacious', 'great', 'close']"
H tel Le Marianne,"['friendly', 'quiet', 'outside', 'stylish', 'i', 'efficient', 'excellent', 'clean', 'helpful', 'few', 'general', 'fantastic', 'more', 'comfortable', 'ample', 'huge', 'smart', 'super', 'bathroom']"
La Villa Maillot,"['friendly', 'nice', 'giant', 'quiet', 'professionale', 'spacious', 'next', 'wi', 'gorgeous', 'large', 'nearby', 'make', 'good', 'excellent', 'parisian', 'clean', 'beautiful', 'like', 'extra', 'perfect', 'special', 'available', 'important', 'outstanding', 'free', 'favorite', 'shower', 'comfy', 'great', 'god', 'biggest', 'comfortable', 'wonderful', 'nespresso', 'polite', 'expensive', 'modern', 'true', 'courteous', 'different', 'small', 'terrific', 'super']"
Ritz Paris,"['delicious', 'friendly', 'fantastic', 'delicate', 'soft', 'professional', 'comfortable', 'helpful', 'impeccable']"
Mill sime H tel,"['brilliant', 'main', 'decent', 'friendly', 'nice', 'quiet', 'amazing', 'spacious', 'light', 'overall', 'leave', 'fabulous', 'efficient', 'supercomfortable', 'best', 'make', 'museums', 'excellent', 'suitable', 'clean', 'good', 'many', 'extra', 'perfect', 'd', 'go', 'shower', 'rouge', 'stay', 'helpful', 'big', 'warm', 'tasteful', 'german', 'great', 'paris', 'rue', 'classiest', 'fantastic', 'saint', 'petite', 'enjoyable', 'superior', 'first', 'comfortable', 'wonderful', 'superb', 'modern', 'gracious', 'huge', 'recommend', 'small', 'delightful', 'metro', 'central', 'english', 'river', 'attentive', 'muse']"
Drawing Hotel,"['first', 'much', 'good', 'excellent', 'cool', 'many', 'artistic', 'central', 'shift', 'second', 'last', 'comfy', 'loveliest', 'big']"
Splendide Royal Paris,"['friendly', 'select', 'immaculate', 'helpful', 'quiet', 'huge', 'negative', 'exceptional', 'spoil', 'new', 'warm', 'attentive']"
Le Narcisse Blanc Spa,"['large', 'great', 'i', 'long', 'make', 'good', 'clean', 'pleasant', 'complimentary', 'central', 'exceptional', 'comfy', 'truly', 'comfortable', 'helpful', 'impeccable']"
Boundary Rooms Suites,"['great', 'entertain', 'excellent', 'different', 'available', 'eat', 'eclectic', 'stay']"
Hotel Dupond Smith,"['cozy', 'great', 'more', 'typical', 'quaint', 'parisian', 'few', 'incredible', 'nicest', 'amazing', 'such', 'couch', 'suite', 'comfortable', 'stay', 'wonderful', 'upscale', 'european']"
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,"['great', 'friendly', 'make', 'excellent', 'cosy', 'quiet', 'small', 'come', 'likeable', 'comfortable']"
Hotel Chavanel,[]
XO Hotel,"['nearby', 'nice', 'excellent', 'clean', 'spacious', 'comfortable', 'helpful', 'new']"
Mandarin Oriental Paris,"['i', 'nice', 'perfect', 'bed', 'comfortable', 'helpful']"
Prince de Galles a Luxury Collection hotel Paris,"['comfortable', 'excellent', 'friendly']"
H tel Amastan Paris,"['friendly', 'nice', 'maintained', 'professional', 'i', 'tour', 'correct', 'best', 'beautiful', 'good', 'clean', 'big', 'great', 'paris', 'luxurious', 'nicest', 'comfortable', 'superb', 'amsterdam', 'find', 'bed', 'be']"
